Reading Date,Meter,Reading,Type,Low Temperature,High Temperature,Usage (Kwh)
11/29/20,1130296,19360,Actual,41,51,110
11/28/20,1130296,19250,Actual,47,57,105
11/27/20,1130296,19145,Actual,52,63,106
11/26/20,1130296,19039,Actual,43,73,102
11/25/20,1130296,18937,Actual,44,64,101
11/24/20,1130296,18836,Actual,55,72,98
11/23/20,1130296,18738,Actual,43,59,107
11/22/20,1130296,18631,Actual,46,61,107
11/21/20,1130296,18524,Actual,61,78,205
11/20/20,1130296,0,No Read,60,74,0
11/19/20,1130296,18319,Actual,54,77,99
11/18/20,1130296,18220,Actual,49,74,97
11/17/20,1130296,18123,Actual,41,74,95
11/16/20,1130296,18028,Actual,39,71,107
11/15/20,1130296,17921,Actual,43,68,84
11/14/20,1130296,17837,Actual,61,82,86
11/13/20,1130296,17751,Actual,54,72,76
11/12/20,1130296,17675,Actual,52,80,85
11/11/20,1130296,17590,Actual,42,73,71
11/10/20,1130296,17519,Actual,48,72,78
11/9/20,1130296,17441,Actual,62,79,110
11/8/20,1130296,17331,Actual,59,71,106
11/7/20,1130296,17225,Actual,53,76,104
11/6/20,1130296,17121,Actual,60,76,115
11/5/20,1130296,17006,Actual,58,79,107
11/4/20,1130296,16899,Actual,53,76,103
11/3/20,1130296,16796,Actual,46,79,107
11/2/20,1130296,16689,Actual,40,72,119
11/1/20,1130296,16570,Actual,47,72,106
10/31/20,1130296,16464,Actual,43,73,100
10/30/20,1130296,16364,Actual,38,69,109
10/29/20,1130296,16255,Actual,38,60,116
10/28/20,1130296,16139,Actual,37,46,113
10/27/20,1130296,16026,Actual,36,39,143
10/26/20,1130296,15883,Actual,36,55,109
10/25/20,1130296,15774,Actual,52,62,101
10/24/20,1130296,15673,Actual,44,59,100
10/23/20,1130296,15573,Actual,49,76,119
10/22/20,1130296,15454,Actual,68,85,154
10/21/20,1130296,15300,Actual,69,85,176
10/20/20,1130296,15124,Actual,58,87,127
10/19/20,1130296,14997,Actual,53,63,111
10/18/20,1130296,14886,Actual,54,88,186
10/17/20,1130296,14700,Actual,52,75,105
10/16/20,1130296,14595,Actual,50,70,112
10/15/20,1130296,14483,Actual,62,78,133
10/14/20,1130296,14350,Actual,59,91,148
10/13/20,1130296,14202,Actual,49,83,122
10/12/20,1130296,14080,Actual,56,83,158
10/11/20,1130296,13922,Actual,68,96,198
10/10/20,1130296,13724,Actual,63,88,159
10/9/20,1130296,13565,Actual,67,86,177
10/8/20,1130296,13388,Actual,60,88,157
10/7/20,1130296,13231,Actual,64,88,162
10/6/20,1130296,13069,Actual,59,89,139
10/5/20,1130296,12930,Actual,50,80,150
10/4/20,1130296,12780,Actual,56,78,130
10/3/20,1130296,12650,Actual,58,85,121
10/2/20,1130296,12529,Actual,51,78,115
10/1/20,1130296,12414,Actual,59,80,136
9/30/20,1130296,12278,Actual,56,93,123
9/29/20,1130296,12155,Actual,52,82,116
9/28/20,1130296,12039,Actual,56,77,127
9/27/20,1130296,11912,Actual,64,90,238
9/26/20,1130296,11674,Actual,65,89,162
9/25/20,1130296,11512,Actual,59,85,187
9/24/20,1130296,11325,Actual,63,79,136
9/23/20,1130296,11189,Actual,64,71,133
9/22/20,1130296,11056,Actual,65,72,141
9/21/20,1130296,10915,Actual,65,78,154
9/20/20,1130296,10761,Actual,58,81,210
9/19/20,1130296,10551,Actual,63,80,155
9/18/20,1130296,10396,Actual,66,85,179
9/17/20,1130296,10217,Actual,70,88,193
9/16/20,1130296,10024,Actual,71,88,187
9/15/20,1130296,9837,Actual,72,87,196
9/14/20,1130296,9641,Actual,66,87,206
9/13/20,1130296,9435,Actual,69,86,167
9/12/20,1130296,9268,Actual,65,86,158
9/11/20,1130296,9110,Actual,62,79,127
9/10/20,1130296,8983,Actual,55,68,124
9/9/20,1130296,8859,Actual,55,79,160
9/8/20,1130296,8699,Actual,76,91,216
9/7/20,1130296,8483,Actual,75,94,223
9/6/20,1130296,8260,Actual,71,91,203
9/5/20,1130296,8057,Actual,72,92,202
9/4/20,1130296,7855,Actual,72,87,184
9/3/20,1130296,7671,Actual,73,85,165
9/2/20,1130296,7506,Actual,71,83,156
9/1/20,1130296,7350,Actual,71,88,192
8/31/20,1130296,7158,Actual,82,98,486
8/30/20,1130296,0,No Read,72,98,0
8/29/20,1130296,6672,Actual,78,106,262
8/28/20,1130296,6410,Actual,75,105,464
8/27/20,1130296,0,No Read,73,95,0
8/26/20,1130296,5946,Actual,76,94,218
8/25/20,1130296,5728,Actual,72,96,222
8/24/20,1130296,5506,Actual,74,96,229
8/23/20,1130296,5277,Actual,73,95,234
8/22/20,1130296,5043,Actual,73,95,222
8/21/20,1130296,4821,Actual,69,94,211
8/20/20,1130296,4610,Actual,69,93,211
8/19/20,1130296,4399,Actual,65,93,206
8/18/20,1130296,4193,Actual,74,97,234
8/17/20,1130296,3959,Actual,71,94,217
8/16/20,1130296,3742,Actual,67,104,282
8/15/20,1130296,3460,Actual,81,104,295
8/14/20,1130296,3165,Actual,82,106,314
8/13/20,1130296,2851,Actual,82,103,324
8/12/20,1130296,2527,Actual,82,102,593
8/11/20,1130296,0,No Read,82,100,0
8/10/20,1130296,1934,Actual,80,100,277
8/9/20,1130296,1657,Actual,80,99,275
8/8/20,1130296,1382,Actual,79,99,265
8/7/20,1130296,1117,Actual,80,98,1117
