Time Bucket (America/New_York),30 Bellevue-Mains_A (kWatts),30 Bellevue-Mains_B (kWatts),30 Bellevue-Electric Vehicle/RV-Tesla Charger (kWatts),30 Bellevue-Heat Pump-Heat Pump Attic (kWatts),30 Bellevue-Heat Pump-Heat Pump Basement (kWatts),30 Bellevue-Cooktop/Range/Oven/Stove-Oven (kWatts)
1/18/23 7:30,3.7514,3.0089,3.1132,0.8205,0.0083,0.1287
1/18/23 7:45,1.1683,0.9686,0.0719,0.0059,0.0027,0.1276
1/18/23 8:00,1.4675,1.4606,0,1.2719,0.0016,0.1271
1/18/23 8:15,2.4127,2.4877,0,3.0872,0.0028,0.1279
1/18/23 8:30,1.6619,1.6154,0,2.0209,0.0018,0.069
1/18/23 8:45,0.5978,0.5293,0,0.0041,0.0008,0.0031
1/18/23 9:00,0.4276,0.3987,0,0.0039,0.0008,0.0038
1/18/23 9:15,0.7093,0.6724,0,0.2354,0.2459,0.0046
1/18/23 9:30,2.0723,2.1214,0,2.6103,0.3778,0.0095
1/18/23 9:45,0.4071,0.5056,0,0.0049,0.0006,0.0044
1/18/23 10:00,0.4382,0.4424,0,0.0044,0.0006,0.003
1/18/23 10:15,0.4271,0.5347,0,0.0049,0.001,0.0032
1/18/23 10:30,0.7554,1.2388,0,0.5473,0.0014,0.0054
1/18/23 10:45,1.5479,1.6894,0,2.027,0.0014,0.0073
1/18/23 11:00,0.4284,0.6438,0,0.0052,0.0009,0.0037
1/18/23 11:15,0.4317,0.685,0,0.0054,0.0008,0.0047
1/18/23 11:30,0.4276,0.5797,0,0.005,0.0006,0.0035
1/18/23 11:45,0.4288,0.5518,0,0.0048,0.0008,0.0034
1/18/23 12:00,0.4357,0.4361,0,0.0046,0.0054,0.0033
1/18/23 12:15,0.4429,0.4233,0,0.0045,0.0336,0.0034
1/18/23 12:30,0.4465,0.4535,0,0.0046,0.0337,0.0033
1/18/23 12:45,0.4374,0.5119,0,0.0044,0.0182,0.0041
1/18/23 13:00,0.4358,0.5981,0,0.0043,0.0006,0.0048
1/18/23 13:15,0.4299,0.5961,0,0.0039,0.0005,0.0045
1/18/23 13:30,0.4309,0.6395,0,0.005,0.0007,0.0047
1/18/23 13:45,0.4325,0.473,0,0.0048,0.0006,0.0035
1/18/23 14:00,0.4303,0.4211,0,0.0041,0.0006,0.003
1/18/23 14:15,0.4314,0.4569,0,0.0043,0.0008,0.0032
1/18/23 14:30,0.4371,0.5678,0,0.0049,0.0225,0.0043
1/18/23 14:45,0.4478,0.4256,0,0.0042,0.0334,0.0034
1/18/23 15:00,0.4422,0.3949,0,0.0046,0.032,0.0035
1/18/23 15:15,1.5021,1.3632,0,1.9557,0.0011,0.0061
1/18/23 15:30,1.8925,1.8816,0,2.5072,0.0014,0.0086
1/18/23 15:45,1.8133,1.6673,0.0186,2.0164,0.0017,0.0065
1/18/23 16:00,8.6653,8.3432,11.5109,1.3893,2.1652,0.0163
1/18/23 16:15,10.8313,10.8589,16.6618,0.002,2.9835,0.0218
1/18/23 16:30,3.2539,3.7468,1.8569,0.0039,2.6022,0.0112
1/18/23 16:45,1.4335,1.4401,0.0002,0.0044,0.1049,0.0095
1/18/23 17:00,1.8273,2.5476,0.0002,0.0043,2.3058,0.0099
1/18/23 17:15,0.9942,1.7122,0.0001,0.0061,0.7018,0.0075
1/18/23 17:30,1.5573,1.8334,0,0.7372,1.1839,0.0066
1/18/23 17:45,2.5664,2.8954,0,2.4703,1.1351,0.0091
1/18/23 18:00,0.7703,0.9264,0,0.0042,0.3348,0.0043
1/18/23 18:15,3.1938,3.0571,0.0017,2.5656,0.6707,0.0094
1/18/23 18:30,1.1544,0.9353,0,0.0131,0.0019,0.0039
1/18/23 18:45,1.4929,1.5683,0,0.941,0.0024,0.006
1/18/23 19:00,1.2707,2.1001,0.0001,1.3511,0.0018,0.0109
1/18/23 19:15,1.4243,2.1135,0,1.6042,0.0015,0.0106
1/18/23 19:30,1.1983,1.654,0,1.2251,0.0012,0.0079
1/18/23 19:45,0.9201,1.14,0,0.6499,0.0009,0.0051
1/18/23 20:00,1.6932,2.0805,0,2.1821,0.0018,0.0096
1/18/23 20:15,2.1524,2.5906,0,3.044,0.0017,0.0113
1/18/23 20:30,0.617,0.9763,0,0.2734,0.0008,0.007
1/18/23 20:45,1.3712,1.5577,0,1.7166,0.0008,0.0076
1/18/23 21:00,1.1458,1.196,0,0.1244,1.2289,0.0038
1/18/23 21:15,2.5273,2.6878,0,1.2921,2.5963,0.0074
1/18/23 21:30,1.2238,1.3351,0,0.9548,0.4754,0.0064
1/18/23 21:45,1.5073,1.5983,0,0.5734,1.4309,0.0054
1/18/23 22:00,0.5842,0.5836,0,0.1888,0.0499,0.0033
1/18/23 22:15,2.2842,2.4184,0,3.3218,0.0019,0.0101
1/18/23 22:30,0.8812,0.776,0,0.6913,0.0008,0.0045
1/18/23 22:45,0.8268,0.6356,0,0.6659,0.0008,0.0039
1/18/23 23:00,1.3356,1.1695,0,1.5964,0.0012,0.0061
1/18/23 23:15,1.9604,1.9343,0,2.6925,0.0015,0.0093
1/18/23 23:30,0.4496,0.3532,0,0.0044,0.0008,0.0031
1/18/23 23:45,1.3966,1.4099,0,1.7608,0.0015,0.0071
1/19/23 0:00,1.5243,1.7701,0,1.8248,0.0021,0.0085
1/19/23 0:15,2.1517,2.4312,0,3.0234,0.0022,0.0117
1/19/23 0:30,2.0062,1.9953,0,2.7305,0.0016,0.0099
1/19/23 0:45,1.8876,2.0517,0,2.5245,0.0019,0.0098
1/19/23 1:00,1.8373,1.921,0,2.3629,0.0339,0.009
1/19/23 1:15,1.8779,2.0792,0,2.4665,0.0343,0.0095
1/19/23 1:30,2.0806,2.2435,0,2.8998,0.0342,0.0094
1/19/23 1:45,10.8291,10.9184,16.3106,3.5653,0.0366,0.0239
1/19/23 2:00,11.1169,11.0631,16.6351,3.2955,0.0365,0.024
1/19/23 2:15,10.8062,10.8601,16.3906,2.7351,0.0363,0.0241
1/19/23 2:30,11.3893,11.425,16.2443,3.903,0.0367,0.0245
1/19/23 2:45,11.0879,11.1965,16.1627,3.2383,0.0364,0.0245
1/19/23 3:00,9.5319,9.4429,16.1402,0.402,0.0357,0.0219
1/19/23 3:15,10.3136,10.297,16.0832,1.9066,0.036,0.0229
1/19/23 3:30,5.4358,5.3548,7.806,1.1786,0.0346,0.0144
1/19/23 3:45,2.5417,2.5397,0,3.8285,0.0341,0.01
1/19/23 4:00,2.2841,2.2355,0,3.2763,0.0339,0.0088
1/19/23 4:15,2.2469,2.3829,0,3.2,0.0339,0.0102
1/19/23 4:30,2.3063,3.1295,0.0001,3.3272,0.0342,0.0145
1/19/23 4:45,2.315,3.0273,0.0001,3.3894,0.0341,0.0139
1/19/23 5:00,2.5383,3.2157,0.0001,3.8556,0.0339,0.0139
1/19/23 5:15,2.7521,3.2923,0,4.0941,0.1825,0.0136
1/19/23 5:30,3.7351,4.0703,0,3.9477,2.066,0.0121
1/19/23 5:45,2.2898,2.6622,0.0001,0.8106,2.4726,0.0081
1/19/23 6:00,2.0532,2.2296,0,0.0033,2.5476,0.0056
1/19/23 6:15,1.8219,1.9034,0,0.0043,1.8376,0.0051
1/19/23 6:30,1.8041,1.8329,0,0.0041,1.7499,0.0047
1/19/23 6:45,1.6365,1.1267,0,0.0042,0.0026,0.0043
1/19/23 7:00,1.36,1.1327,0,0.0056,0.0032,0.0036
1/19/23 7:15,1.9956,1.4131,0.9791,0.5685,0.0029,0.0051
1/19/23 7:30,4.5063,4.0837,2.1695,3.8384,0.0071,0.0122
1/19/23 7:45,2.3463,1.7107,1.7588,0.004,0.0042,0.006
1/19/23 8:00,2.0838,1.4469,0.0001,0.9123,0.0019,0.0062
1/19/23 8:15,1.2258,1.1392,0.0001,0.3411,0.0017,0.0065
1/19/23 8:30,4.2433,3.2535,0,4.5515,0.0582,0.0101
1/19/23 8:45,1.8805,1.9142,0,0.0182,2.1657,0.0043
1/19/23 9:00,2.0331,1.0263,0,0.605,0.0628,0.0028
1/19/23 9:15,0.6485,0.8051,0,0.2555,0.0008,0.0039
1/19/23 9:30,0.7725,0.8705,0,0.5139,0.0008,0.004
1/19/23 9:45,2.4412,2.5956,0,3.4975,0.0016,0.01
1/19/23 10:00,1.1119,1.1102,0,1.0338,0.0011,0.0045
1/19/23 10:15,0.5198,0.4234,0,0.0026,0.0005,0.0028
1/19/23 10:30,0.508,0.3702,0,0.003,0.0004,0.0024
1/19/23 10:45,1.5221,1.3035,0,1.5372,0.001,0.0048
1/19/23 11:00,2.7354,2.7483,0,4.2985,0.0015,0.0105
1/19/23 11:15,2.4311,2.4138,0,3.6043,0.0015,0.009
1/19/23 11:30,1.0162,0.7322,0,0.9496,0.0008,0.0036
1/19/23 11:45,1.7928,1.5728,0,2.1201,0.0013,0.0063
1/19/23 12:00,0.9938,0.8294,0,0.9541,0.0326,0.0042
1/19/23 12:15,0.4598,0.4879,0,0.0035,0.0327,0.0029
1/19/23 12:30,0.4591,0.5492,0,0.004,0.0328,0.0033
1/19/23 12:45,1.8194,1.9829,0,2.4568,0.0336,0.0087
1/19/23 13:00,0.8715,0.9273,0,0.7078,0.0331,0.0047
1/19/23 13:15,0.4571,0.4807,0,0.004,0.0329,0.0033
1/19/23 13:30,0.4623,0.4131,0,0.0038,0.033,0.0026
1/19/23 13:45,1.3892,1.7863,0,1.6164,0.0336,0.0072
1/19/23 14:00,0.4663,0.3147,0,0.0029,0.0329,0.002
1/19/23 14:15,2.9988,2.7133,0,2.5042,1.246,0.0063
1/19/23 14:30,4.3343,3.9777,0,3.6004,2.8738,0.008
1/19/23 14:45,3.3594,3.2043,0,2.081,2.8943,0.0072
1/19/23 15:00,1.9106,1.6706,0,0.0013,2.3488,0.0025
1/19/23 15:15,2.12,1.9336,0,0.2607,2.4766,0.0032
1/19/23 15:30,3.7584,3.382,0,2.8728,2.2036,0.007
1/19/23 15:45,0.9458,0.8298,0,0.4398,0.0008,0.0037
1/19/23 16:00,3.253,2.9558,0,4.2824,0.002,0.0086
1/19/23 16:15,0.752,0.6752,0,0.019,0.0005,0.0026
1/19/23 16:30,1.7671,2.3987,0.0002,1.2718,0.0023,0.5466
1/19/23 16:45,4.153,4.1038,0.0008,2.5973,0.0063,2.5728
1/19/23 17:00,2.2834,1.7399,0.0001,0.1414,0.0024,1.0342
1/19/23 17:15,2.4468,1.8952,0.0001,0.6726,0.0036,1.0481
1/19/23 17:30,1.8624,1.3459,0.0001,0.0041,0.003,0.5537
1/19/23 17:45,1.6049,0.9331,0,0.0035,0.0028,0.1244
1/19/23 18:00,1.6174,0.8971,0,0.0041,0.0029,0.1247
1/19/23 18:15,3.5477,2.5463,0,2.7433,0.0046,0.125
1/19/23 18:30,4.0259,3.0626,0,4.0079,0.0115,0.126
1/19/23 18:45,1.8379,1.3832,0.0001,0.7109,0.0342,0.1242
1/19/23 19:00,1.7817,1.3529,0,0.5985,0.0342,0.1236
1/19/23 19:15,1.8746,1.436,0.0001,0.2829,0.034,0.1023
1/19/23 19:30,2.757,2.8447,0,2.9474,0.0335,0.0092
1/19/23 19:45,1.4423,1.6099,0,0.5561,0.0325,0.0068
1/19/23 20:00,1.8061,1.7356,0.0001,0.8088,0.0328,0.0063
1/19/23 20:15,1.837,1.9335,0,1.664,0.0328,0.0066
1/19/23 20:30,2.5968,3.0211,0,2.7298,0.0331,0.0107
1/19/23 20:45,0.9403,1.0541,0,0.4381,0.0328,0.0042
1/19/23 21:00,0.8533,0.8313,0,0.3828,0.0327,0.0042
1/19/23 21:15,2.6892,3.3053,0,4.0695,0.0338,0.0135
1/19/23 21:30,1.7001,1.8736,0,2.2024,0.0332,0.0082
1/19/23 21:45,1.4177,1.5161,0,1.7261,0.033,0.0064
1/19/23 22:00,0.5114,0.5614,0,0.0034,0.0323,0.0031
1/19/23 22:15,1.1278,1.1667,0,1.0823,0.0326,0.0049
1/19/23 22:30,2.7914,2.9,0,4.2718,0.0332,0.0105
1/19/23 22:45,2.2783,2.2451,0,3.3012,0.0334,0.0081
1/19/23 23:00,2.7612,2.9272,0,4.2656,0.0336,0.0112
1/19/23 23:15,2.7156,2.7905,0,4.1852,0.0337,0.0105
1/19/23 23:30,2.6474,2.7369,0,4.0252,0.0339,0.011
1/19/23 23:45,2.6495,2.7066,0,4.0538,0.0339,0.0104
1/20/23 0:00,0.99,0.9546,0,1.0319,0.0334,0.0061
1/20/23 0:15,0.9975,0.8777,0,0.8911,0.0333,0.0054
1/20/23 0:30,2.9257,2.9498,0,4.6128,0.0345,0.0122
1/20/23 0:45,2.7096,2.7652,0,4.1159,0.0345,0.0111
1/20/23 1:00,0.5101,0.4833,0,0.0054,0.0335,0.0037
1/20/23 1:15,0.4892,0.3941,0,0.0047,0.0335,0.0029
1/20/23 1:30,1.4661,1.4525,0,1.7423,0.0338,0.007
1/20/23 1:45,2.6903,2.6993,0,4.1048,0.0344,0.0106
1/20/23 2:00,2.4062,2.492,0,3.5345,0.0345,0.0104
1/20/23 2:15,4.1781,4.2056,4.9051,2.11,0.0346,0.013
1/20/23 2:30,10.1962,10.1782,16.7927,1.8324,0.0358,0.023
1/20/23 2:45,10.136,9.9463,16.5111,1.5206,0.036,0.0227
1/20/23 3:00,10.4857,10.4194,16.2751,2.2067,0.036,0.0234
1/20/23 3:15,9.6407,9.4091,16.1842,0.671,0.0355,0.0218
1/20/23 3:30,5.3557,5.4732,7.39,1.7613,0.0344,0.0154
1/20/23 3:45,1.7902,1.9236,0,2.358,0.0336,0.0077
1/20/23 4:00,0.9606,1.2169,0,0.8546,0.0333,0.0064
1/20/23 4:15,2.829,3.4409,0,4.4759,0.0343,0.0123
1/20/23 4:30,1.9714,2.986,0.0003,2.756,0.0339,0.0145
1/20/23 4:45,1.8188,2.7865,0.0002,2.4062,0.0336,0.0131
1/20/23 5:00,1.8488,2.6623,0.0001,2.4811,0.0336,0.0124
1/20/23 5:15,3.1423,3.6838,0,4.6798,0.3676,0.0133
1/20/23 5:30,4.0799,4.3228,0,4.2187,2.5233,0.0117
1/20/23 5:45,2.4555,2.6477,0,1.0104,2.6561,0.0076
1/20/23 6:00,3.0168,3.366,0,2.7237,1.8853,0.0107
1/20/23 6:15,1.9853,2.2642,0,0.0033,2.7553,0.0064
1/20/23 6:30,1.9634,2.7898,0.0009,0.0059,2.7721,0.0104
1/20/23 6:45,2.5446,2.5333,0,0.2901,1.8188,0.0082
1/20/23 7:00,5.5269,4.937,2.6177,2.4409,2.67,0.0119
1/20/23 7:15,1.9184,1.6141,1.3332,0.0047,0.0034,0.0068
1/20/23 7:30,2.8976,2.7341,3.0551,0.005,0.0028,0.0111
1/20/23 7:45,3.6893,2.9689,0.4474,2.8306,0.003,0.009
1/20/23 8:00,1.0434,0.9611,0,0.0156,0.0012,0.0054
1/20/23 8:15,1.6978,1.6955,0.0002,0.6606,0.003,0.0097
1/20/23 8:30,1.3452,1.1312,0.0009,0.2515,0.002,0.0063
1/20/23 8:45,3.0467,2.3592,0,3.2651,0.0031,0.0081
1/20/23 9:00,1.3399,0.3504,0,0.0054,0.0019,0.0019
1/20/23 9:15,1.0692,0.7379,0,0.6546,0.0011,0.0036
1/20/23 9:30,2.45,2.2673,0,3.4989,0.002,0.0084
1/20/23 9:45,1.696,1.6748,0,2.0541,0.0018,0.0064
1/20/23 10:00,0.9658,0.9086,0.0062,0.6707,0.0033,0.0048
1/20/23 10:15,2.5194,2.357,0,1.6306,1.7315,0.0063
1/20/23 10:30,1.8209,1.6079,0,0.0023,1.7803,0.0038
1/20/23 10:45,2.0973,1.8951,0,1.477,0.4041,0.0057
1/20/23 11:00,4.1877,4.6792,0,2.9864,2.6626,0.0109
1/20/23 11:15,2.5576,2.7948,0.0006,1.8815,0.0334,0.0097
1/20/23 11:30,1.8318,1.2147,0.0001,0.004,0.0033,0.0033
1/20/23 11:45,4.0682,1.8913,0,1.7727,0.0082,0.0012
1/20/23 12:00,3.9684,1.5906,0.0003,0.4718,0.0069,0.0004
1/20/23 12:15,4.0298,2.2229,0.0009,1.0834,0.0094,0.0006
1/20/23 12:30,2.5632,1.7665,0,0.0032,0.7514,0.0028
1/20/23 12:45,3.0068,2.3287,0,1.6689,1.5513,0.0035
1/20/23 13:00,2.5412,2.3424,0,3.2113,0.0036,0.0071
1/20/23 13:15,1.1738,0.9147,0.0043,0.3252,0.0022,0.002
1/20/23 13:30,2.3471,1.8314,0,0.4622,1.8626,0.0024
1/20/23 13:45,1.5257,1.3603,0,0.0018,1.7436,0.0026
1/20/23 14:00,1.5195,1.191,0,0.0034,1.4258,0.0013
1/20/23 14:15,2.8311,2.615,0,2.6933,1.0922,0.0065
1/20/23 14:30,3.0628,2.8133,0,4.1988,0.0042,0.0088
1/20/23 14:45,2.4779,2.2404,0,3.0043,0.1588,0.0083
1/20/23 15:00,3.9994,3.6843,0,3.7265,2.4186,0.0086
1/20/23 15:15,1.6948,1.6728,0,1.7453,0.1905,0.0074
1/20/23 15:30,0.8883,0.8922,0,0.6237,0.0006,0.0045
1/20/23 15:45,2.6436,2.8049,0,3.7981,0.0019,0.0113
1/20/23 16:00,1.113,1.0192,0,0.9561,0.0008,0.0041
1/20/23 16:15,1.0945,0.9265,0.1498,0.1493,0.0007,0.0041
1/20/23 16:30,2.2434,2.7409,0.0001,1.0842,1.4426,0.0115
1/20/23 16:45,2.3345,2.3828,0,0.0042,1.5993,0.0094
1/20/23 17:00,1.094,1.4207,0.0001,0.0769,0.002,0.0086
1/20/23 17:15,2.25,2.2397,0,1.8368,0.0049,0.0085
1/20/23 17:30,1.476,1.511,0.0001,0.2741,0.0035,0.0076
1/20/23 17:45,2.5446,2.935,0,2.3308,0.006,0.0108
1/20/23 18:00,2.6766,2.866,0,3.5008,0.0028,0.0115
1/20/23 18:15,1.4196,1.9413,0.0003,1.3684,0.0015,0.0102
1/20/23 18:30,2.3337,2.6296,0,2.7393,0.002,0.0102
1/20/23 18:45,3.7152,3.6156,0,4.5409,0.0031,0.0118
1/20/23 19:00,3.7813,3.7477,0,4.5571,0.0031,0.0118
1/20/23 19:15,2.0381,2.4808,0,2.8134,0.002,0.011
1/20/23 19:30,2.1706,2.1962,0,2.3917,0.0018,0.0086
1/20/23 19:45,2.9398,2.9792,0,3.5685,0.0152,0.0111
1/20/23 20:00,2.883,2.4714,0,2.8642,0.0337,0.0082
1/20/23 20:15,1.5639,1.1904,0,0.6051,0.0327,0.0045
1/20/23 20:30,2.1082,1.8768,0,2.1716,0.0333,0.0066
1/20/23 20:45,0.5226,0.729,0,0.0048,0.0333,0.0051
1/20/23 21:00,0.8332,0.9125,0,0.5943,0.0329,0.0047
1/20/23 21:15,1.8405,1.9272,0,2.4217,0.0335,0.0081
1/20/23 21:30,2.7461,2.7307,0,4.161,0.0341,0.0111
1/20/23 21:45,0.5198,0.5268,0,0.0137,0.0329,0.0046
1/20/23 22:00,0.9064,0.7469,0,0.6912,0.0329,0.0041
1/20/23 22:15,2.2703,2.3966,0,3.2619,0.0336,0.0096
1/20/23 22:30,1.3656,1.5806,0,1.6443,0.0336,0.0074
1/20/23 22:45,0.5033,0.6565,0,0.005,0.0333,0.0044
1/20/23 23:00,2.367,2.542,0,3.4171,0.034,0.0103
1/20/23 23:15,2.6653,2.6737,0,4.0411,0.034,0.0104
1/20/23 23:30,2.5452,2.6374,0,3.8119,0.034,0.0107
1/20/23 23:45,2.9072,3.0782,0,4.5343,0.0342,0.0121
1/21/23 0:00,2.92,3.1321,0,4.5778,0.0344,0.0124
1/21/23 0:15,2.4991,2.647,0,3.7603,0.0344,0.0114
1/21/23 0:30,2.6674,2.5304,0,4.0698,0.0345,0.0105
1/21/23 0:45,2.9775,2.8699,0,4.6508,0.0348,0.0116
1/21/23 1:00,0.514,0.2645,0,0.0117,0.0337,0.0029
1/21/23 1:15,0.8169,0.8368,0,0.5938,0.0342,0.0049
1/21/23 1:30,2.1402,2.4972,0,3.0485,0.035,0.0107
1/21/23 1:45,1.012,1.051,0,0.9109,0.0341,0.0066
1/21/23 2:00,0.8148,0.8512,0,0.5908,0.0341,0.0055
1/21/23 2:15,9.3946,9.4281,16.4517,0.7079,0.0362,0.0223
1/21/23 2:30,10.3486,10.4805,16.742,1.9019,0.0364,0.0234
1/21/23 2:45,11.2055,11.3961,16.4541,3.5046,0.0368,0.0246
1/21/23 3:00,10.8191,11.0883,16.2514,2.8173,0.0363,0.0243
1/21/23 3:15,10.9152,11.0972,16.1853,3.159,0.0365,0.0244
1/21/23 3:30,4.8905,4.9177,7.8846,0.7008,0.0342,0.0129
1/21/23 3:45,2.7239,2.9125,0,4.1872,0.0341,0.0118
1/21/23 4:00,1.8413,1.8796,0,2.4774,0.0337,0.0079
1/21/23 4:15,0.8128,0.808,0,0.5888,0.0331,0.0045
1/21/23 4:30,0.4951,0.6977,0,0.0066,0.0331,0.0053
1/21/23 4:45,0.5151,0.7195,0,0.0052,0.0332,0.0053
1/21/23 5:00,0.4986,0.5369,0,0.0047,0.0331,0.004
1/21/23 5:15,0.4956,0.4393,0,0.0046,0.0333,0.0039
1/21/23 5:30,0.558,1.3224,0.0004,0.0089,0.0337,0.0118
1/21/23 5:45,0.5804,1.2936,0.0003,0.0086,0.0336,0.0109
1/21/23 6:00,0.5503,1.3158,0.0003,0.008,0.0333,0.0103
1/21/23 6:15,0.5802,1.2654,0.0003,0.008,0.0331,0.0093
1/21/23 6:30,0.4898,1.2491,0.0013,0.0081,0.0334,0.0093
1/21/23 6:45,0.7517,1.1111,0.0002,0.0073,0.0334,0.0075
1/21/23 7:00,1.611,1.4972,0.9299,0.0081,0.0336,0.0068
1/21/23 7:15,4.514,4.256,6.1962,0.0411,0.0337,0.0141
1/21/23 7:30,2.4056,2.3497,2.2448,0.0419,0.0339,0.0105
1/21/23 7:45,1.2136,1.0011,0,0.0422,0.0336,0.0055
1/21/23 8:00,1.0038,0.9363,0.0001,0.0415,0.0328,0.0056
1/21/23 8:15,1.2494,1.1587,0.0002,0.4726,0.0331,0.0072
1/21/23 8:30,4.2975,2.7319,0.0036,4.1658,0.0347,0.0067
1/21/23 8:45,2.2135,2.4684,0,2.8259,0.0333,0.0098
1/21/23 9:00,2.4354,1.6227,0,0.6487,0.0347,0.0036
1/21/23 9:15,1.7241,1.0535,0,0.5861,0.033,0.0024
1/21/23 9:30,1.9492,2.4274,0,1.5975,0.0341,0.0068
1/21/23 9:45,2.5717,2.9243,0,3.707,0.0339,0.01
1/21/23 10:00,1.6304,1.8036,0,2.1137,0.0332,0.0066
1/21/23 10:15,1.6436,0.9213,0.0944,0.2698,0.0333,0.0017
1/21/23 10:30,2.3461,2.2006,0,2.8034,0.0338,0.0074
1/21/23 10:45,2.8191,3.1533,0,4.423,0.0335,0.0116
1/21/23 11:00,1.365,1.6017,0,1.4583,0.0328,0.0063
1/21/23 11:15,0.4861,0.6873,0,0.0046,0.0325,0.0035
1/21/23 11:30,1.3999,1.4556,0.0375,1.0804,0.0328,0.0054
1/21/23 11:45,2.2312,2.4388,0,3.1932,0.0332,0.0087
1/21/23 12:00,0.4637,0.7407,0,0.0046,0.0325,0.0036
1/21/23 12:15,1.1139,1.2726,0,1.2052,0.0327,0.0047
1/21/23 12:30,2.982,3.078,0,4.6755,0.0338,0.011
1/21/23 12:45,0.5169,0.4157,0,0.0461,0.0325,0.0017
1/21/23 13:00,0.8622,0.7779,0,0.7171,0.0328,0.003
1/21/23 13:15,1.2163,1.2311,0,1.3358,0.033,0.0051
1/21/23 13:30,2.4602,2.4559,0,3.6481,0.0334,0.0095
1/21/23 13:45,0.6069,0.4633,0,0.2392,0.0323,0.0026
1/21/23 14:00,1.706,1.6028,0,2.2615,0.033,0.0068
1/21/23 14:15,2.1952,2.1913,0,3.0589,0.0332,0.0083
1/21/23 14:30,2.6323,2.7022,0,3.9771,0.0335,0.01
1/21/23 14:45,0.5844,0.5035,0,0.1549,0.0324,0.0023
1/21/23 15:00,1.1977,1.215,0,1.3656,0.0328,0.0047
1/21/23 15:15,2.5777,2.8031,0,3.8665,0.0334,0.011
1/21/23 15:30,1.3931,1.4523,0,1.4931,0.0328,0.0058
1/21/23 15:45,1.177,1.5228,0,1.2192,0.0329,0.0057
1/21/23 16:00,1.678,1.5056,0,0.4578,1.7613,0.0024
1/21/23 16:15,2.9936,2.8633,0.0762,1.6627,2.7217,0.0044
1/21/23 16:30,4.541,3.2413,0,1.9636,2.683,0.0049
1/21/23 16:45,2.9592,1.3749,0,0.0005,1.1651,0.001
1/21/23 17:00,2.8426,0.715,0,0.0004,0.0023,0.0004
1/21/23 17:15,2.3762,0.9248,0,0.0025,0.0057,0.0006
1/21/23 17:30,2.9711,0.8857,0,0.0013,0.0034,0.0005
1/21/23 17:45,1.4845,0.8337,0,0.0025,0.0022,0.0013
1/21/23 18:00,1.3967,1.5472,0,0.0064,0.0027,0.0077
1/21/23 18:15,1.7345,1.7495,0,0.0069,0.004,0.0089
1/21/23 18:30,2.5648,2.269,0,0.0068,0.0067,0.0091
1/21/23 18:45,2.5579,1.8394,0,0.0042,0.0056,0.0065
1/21/23 19:00,2.5178,1.2584,0,0.0026,0.0058,0.0026
1/21/23 19:15,3.7312,1.5478,0,0.0007,0.0097,0.003
1/21/23 19:30,3.1728,1.5434,0,0.0225,0.0036,0.0032
1/21/23 19:45,3.7374,2.0124,0.0001,0.0394,0.0247,0.006
1/21/23 20:00,1.3327,1.5591,0.0004,0.0416,0.0332,0.0086
1/21/23 20:15,1.162,1.6762,0.0009,0.0421,0.0332,0.0094
1/21/23 20:30,0.9257,1.1412,0,0.0415,0.0331,0.0072
1/21/23 20:45,0.8695,1.4173,0.0001,0.0419,0.0331,0.0103
1/21/23 21:00,0.8509,0.9568,0,0.0411,0.0327,0.006
1/21/23 21:15,0.8771,0.8618,0,0.0409,0.0326,0.0043
1/21/23 21:30,0.8894,1.0954,0,0.0412,0.0328,0.0058
1/21/23 21:45,0.8039,0.9299,0,0.0414,0.0329,0.0048
1/21/23 22:00,0.7708,0.8691,0,0.0415,0.033,0.005
1/21/23 22:15,0.7408,0.8316,0,0.0412,0.0328,0.0046
1/21/23 22:30,0.7777,1.1523,0,0.0421,0.0333,0.0062
1/21/23 22:45,0.8126,1.0049,0,0.042,0.0333,0.0061
1/21/23 23:00,0.8479,1.0609,0,0.042,0.0334,0.0071
1/21/23 23:15,0.7741,1.1469,0,0.0423,0.0335,0.0071
1/21/23 23:30,0.592,0.8962,0,0.0424,0.0335,0.0058
1/21/23 23:45,0.7918,0.9755,0,0.0423,0.0337,0.0056
1/22/23 0:00,0.8322,1.0423,0,0.0424,0.0337,0.0063
1/22/23 0:15,0.781,1.0097,0,0.0426,0.0338,0.0061
1/22/23 0:30,0.6704,0.9703,0,0.043,0.034,0.0067
1/22/23 0:45,0.7271,1.0172,0,0.0429,0.0339,0.0068
1/22/23 1:00,0.8335,0.8958,0,0.0426,0.0339,0.0061
1/22/23 1:15,0.6971,0.7445,0,0.0428,0.0339,0.0055
1/22/23 1:30,0.6913,0.759,0,0.043,0.0342,0.0061
1/22/23 1:45,0.836,0.8896,0,0.0428,0.0341,0.0063
1/22/23 2:00,1.0221,1.0953,0.4634,0.0429,0.0341,0.0066
1/22/23 2:15,9.4925,9.7776,17.0667,0.0418,0.0361,0.0236
1/22/23 2:30,9.5705,9.8312,16.7156,0.0417,0.0362,0.0236
1/22/23 2:45,9.7173,9.83,16.4858,0.0415,0.0362,0.0233
1/22/23 3:00,9.6579,9.61,16.3654,0.0413,0.0362,0.0231
1/22/23 3:15,9.5185,9.4829,16.2714,0.0411,0.036,0.0228
1/22/23 3:30,7.0273,6.9506,12.1923,0.0414,0.0352,0.018
1/22/23 3:45,0.8588,0.9907,0,0.0423,0.0337,0.0068
