Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1054615,-,b'Nevada',b'United States',36.16,-115.15,-8,620,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Clearsky DNI,Clearsky DHI,Clearsky GHI,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,7,10,348,17,33,87.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,7,20,446,23,56,85.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,7,30,525,28,82,84.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,7,40,589,32,110,82.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,7,50,643,36,138,80.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,8,0,688,40,168,79.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,8,10,725,43,197,77.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,8,20,758,45,226,76.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,8,30,786,48,254,74.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,8,40,810,50,282,73.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,8,50,831,52,309,71.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,9,0,849,53,335,70.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,9,10,865,55,359,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,9,20,880,56,383,68.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,9,30,892,58,406,67.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,9,40,896,61,426,65.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,9,50,906,62,446,64.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,10,0,915,63,464,64.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,10,10,931,64,485,63.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,10,20,938,65,500,62.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,10,30,944,66,514,61.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,10,40,950,66,526,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,10,50,954,66,537,60.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,0,958,67,546,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,10,960,67,553,59.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,20,962,67,558,59.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,30,964,67,561,59.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,40,966,67,563,59.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,11,50,966,67,563,59.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,12,0,965,67,561,59.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,12,10,964,67,558,59.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
