,Date,Valid,Installed_Charge_Capacity,Installed_Discharge_Capacity,Total_Charge,Total_Discharge,Hourly_Charging,Hourly_Discharging
10,12/15/2023,True,7022,5036,3321.406,2659.008,"[42.132, 42.132, 56.176, 49.153999999999996, 63.19800000000001, 147.46200000000002, 126.39600000000002, 182.572, 140.44, 210.66, 245.77, 273.858, 301.94599999999997, 308.968, 189.59400000000002, 98.30799999999999, 56.176, 42.132, 77.242, 63.19800000000001, 70.22, 119.37400000000001, 147.46200000000002, 266.836]","[65.468, 130.936, 75.53999999999999, 75.53999999999999, 141.00799999999998, 141.00799999999998, 226.62, 276.98, 75.53999999999999, 25.18, 35.251999999999995, 35.251999999999995, 60.432, 50.36, 50.36, 50.36, 176.26000000000002, 292.08799999999997, 120.864, 146.04399999999998, 226.62, 80.57600000000001, 40.288000000000004, 60.432]"
11,12/16/2023,True,7022,5410,3202.032,2915.9900000000002,"[126.39600000000002, 105.33, 182.572, 84.264, 119.37400000000001, 119.37400000000001, 70.22, 77.242, 273.858, 175.55, 224.704, 154.484, 182.572, 196.61599999999999, 238.74800000000002, 196.61599999999999, 56.176, 42.132, 91.286, 105.33, 70.22, 70.22, 91.286, 147.46200000000002]","[97.38000000000001, 81.14999999999999, 27.05, 91.97000000000001, 48.690000000000005, 64.92, 189.35000000000002, 275.90999999999997, 102.78999999999999, 86.56, 32.46, 54.1, 70.33000000000001, 81.14999999999999, 70.33000000000001, 140.66000000000003, 189.35000000000002, 351.65000000000003, 281.32000000000005, 205.57999999999998, 216.4, 81.14999999999999, 43.28, 32.46]"
12,12/17/2023,True,7022,5410,3223.098,2926.81,"[280.88, 294.92400000000004, 154.484, 70.22, 35.11, 63.19800000000001, 77.242, 84.264, 280.88, 203.63799999999998, 168.528, 175.55, 196.61599999999999, 119.37400000000001, 133.418, 133.418, 63.19800000000001, 28.088, 84.264, 70.22, 161.506, 112.352, 112.352, 119.37400000000001]","[43.28, 54.1, 16.23, 32.46, 102.78999999999999, 59.510000000000005, 129.84, 357.06, 48.690000000000005, 86.56, 37.87, 37.87, 48.690000000000005, 64.92, 43.28, 37.87, 173.12, 405.75, 470.66999999999996, 221.80999999999997, 156.89, 59.510000000000005, 135.25, 102.78999999999999]"
13,12/18/2023,True,7022,5410,3511.0,2028.7500000000002,"[140.44, 154.484, 231.726, 119.37400000000001, 210.66, 189.59400000000002, 35.11, 105.33, 273.858, 287.902, 147.46200000000002, 175.55, 147.46200000000002, 154.484, 252.79200000000003, 210.66, 63.19800000000001, 84.264, 42.132, 42.132, 63.19800000000001, 70.22, 161.506, 147.46200000000002]","[54.1, 43.28, 70.33000000000001, 59.510000000000005, 91.97000000000001, 75.74, 146.07000000000002, 146.07000000000002, 27.05, 81.14999999999999, 37.87, 27.05, 54.1, 64.92, 43.28, 86.56, 292.14000000000004, 156.89, 183.94000000000003, 81.14999999999999, 32.46, 16.23, 27.05, 129.84]"
14,12/19/2023,True,7022,5410,3075.636,2407.4500000000003,"[63.19800000000001, 105.33, 91.286, 77.242, 77.242, 98.30799999999999, 70.22, 98.30799999999999, 238.74800000000002, 182.572, 238.74800000000002, 154.484, 126.39600000000002, 252.79200000000003, 140.44, 280.88, 203.63799999999998, 84.264, 84.264, 14.044, 84.264, 91.286, 77.242, 140.44]","[54.1, 32.46, 10.82, 32.46, 81.14999999999999, 32.46, 194.76000000000002, 75.74, 75.74, 183.94000000000003, 75.74, 194.76000000000002, 167.71, 119.02000000000001, 102.78999999999999, 140.66000000000003, 146.07000000000002, 221.80999999999997, 86.56, 86.56, 91.97000000000001, 48.690000000000005, 102.78999999999999, 48.690000000000005]"
15,12/20/2023,True,7022,5410,3370.56,2796.9700000000003,"[182.572, 126.39600000000002, 133.418, 84.264, 91.286, 84.264, 42.132, 35.11, 182.572, 203.63799999999998, 203.63799999999998, 287.902, 196.61599999999999, 203.63799999999998, 231.726, 154.484, 98.30799999999999, 126.39600000000002, 49.153999999999996, 210.66, 91.286, 63.19800000000001, 133.418, 154.484]","[54.1, 37.87, 54.1, 64.92, 37.87, 48.690000000000005, 194.76000000000002, 227.22000000000003, 248.85999999999999, 227.22000000000003, 146.07000000000002, 156.89, 54.1, 124.42999999999999, 135.25, 81.14999999999999, 216.4, 308.37, 129.84, 27.05, 64.92, 37.87, 54.1, 64.92]"
16,12/21/2023,True,7022,5417,3482.9120000000003,2551.407,"[91.286, 119.37400000000001, 105.33, 112.352, 63.19800000000001, 63.19800000000001, 91.286, 231.726, 168.528, 252.79200000000003, 154.484, 175.55, 308.968, 189.59400000000002, 147.46200000000002, 105.33, 98.30799999999999, 84.264, 168.528, 161.506, 196.61599999999999, 217.682, 133.418, 42.132]","[32.502, 54.17, 43.336, 59.587, 92.08900000000001, 97.50600000000001, 81.255, 162.51, 108.34, 37.919, 157.093, 178.761, 135.425, 102.923, 140.842, 86.672, 157.093, 411.692, 146.25900000000001, 21.668, 32.502, 130.008, 48.75300000000001, 32.502]"
17,12/22/2023,True,7022,5417,2190.864,2123.464,"[56.176, 56.176, 56.176, 84.264, 63.19800000000001, 91.286, 42.132, 56.176, 91.286, 161.506, 168.528, 189.59400000000002, 140.44, 196.61599999999999, 91.286, 84.264, 21.066, 70.22, 70.22, 42.132, 42.132, 42.132, 98.30799999999999, 175.55]","[16.251, 16.251, 16.251, 27.085, 21.668, 59.587, 81.255, 276.267, 108.34, 97.50600000000001, 43.336, 37.919, 113.757, 27.085, 43.336, 32.502, 167.927, 541.7, 167.927, 32.502, 21.668, 21.668, 92.08900000000001, 59.587]"
18,12/23/2023,True,7022,5417,2879.02,2226.387,"[175.55, 168.528, 98.30799999999999, 126.39600000000002, 91.286, 77.242, 105.33, 70.22, 84.264, 161.506, 189.59400000000002, 98.30799999999999, 119.37400000000001, 133.418, 161.506, 63.19800000000001, 112.352, 91.286, 105.33, 42.132, 105.33, 189.59400000000002, 112.352, 196.61599999999999]","[54.17, 37.919, 32.502, 59.587, 27.085, 43.336, 32.502, 140.842, 140.842, 65.004, 59.587, 70.421, 54.17, 97.50600000000001, 37.919, 54.17, 97.50600000000001, 227.514, 124.591, 124.591, 130.008, 86.672, 303.352, 124.591]"
19,12/24/2023,True,7022,5417,3363.538,2529.739,"[133.418, 140.44, 133.418, 161.506, 70.22, 63.19800000000001, 56.176, 84.264, 84.264, 175.55, 105.33, 477.49600000000004, 358.12199999999996, 323.012, 273.858, 112.352, 42.132, 49.153999999999996, 56.176, 98.30799999999999, 42.132, 119.37400000000001, 98.30799999999999, 105.33]","[59.587, 81.255, 59.587, 81.255, 65.004, 102.923, 167.927, 319.603, 178.761, 119.174, 75.838, 21.668, 37.919, 59.587, 43.336, 70.421, 124.591, 373.773, 216.68, 48.75300000000001, 48.75300000000001, 54.17, 86.672, 32.502]"
20,12/25/2023,True,7022,5417,2780.712,3445.212,"[154.484, 203.63799999999998, 84.264, 70.22, 84.264, 98.30799999999999, 35.11, 63.19800000000001, 154.484, 189.59400000000002, 238.74800000000002, 105.33, 119.37400000000001, 133.418, 112.352, 112.352, 70.22, 70.22, 42.132, 105.33, 70.22, 147.46200000000002, 105.33, 210.66]","[32.502, 27.085, 27.085, 27.085, 16.251, 43.336, 97.50600000000001, 184.17800000000003, 81.255, 86.672, 75.838, 59.587, 65.004, 65.004, 86.672, 65.004, 211.263, 498.364, 682.542, 449.61100000000005, 281.684, 140.842, 113.757, 27.085]"
21,12/26/2023,True,7022,5417,4023.606,2681.415,"[491.54, 456.43, 182.572, 294.92400000000004, 119.37400000000001, 112.352, 56.176, 63.19800000000001, 175.55, 266.836, 189.59400000000002, 105.33, 98.30799999999999, 147.46200000000002, 337.056, 252.79200000000003, 42.132, 105.33, 56.176, 70.22, 105.33, 84.264, 98.30799999999999, 112.352]","[21.668, 32.502, 10.834, 10.834, 32.502, 21.668, 92.08900000000001, 205.846, 70.421, 97.50600000000001, 75.838, 48.75300000000001, 48.75300000000001, 37.919, 48.75300000000001, 75.838, 151.676, 417.109, 411.692, 303.352, 178.761, 140.842, 102.923, 43.336]"
