,period,subba-name,value,value-units
5197,2019-11-26T10,Dominion Virginia Power zone,11148,megawatthours
5196,2019-11-26T11,Dominion Virginia Power zone,12025,megawatthours
5195,2019-11-26T12,Dominion Virginia Power zone,13345,megawatthours
5194,2019-11-26T13,Dominion Virginia Power zone,13615,megawatthours
5193,2019-11-26T14,Dominion Virginia Power zone,12763,megawatthours
5192,2019-11-26T15,Dominion Virginia Power zone,11761,megawatthours
5191,2019-11-26T16,Dominion Virginia Power zone,11090,megawatthours
5190,2019-11-26T17,Dominion Virginia Power zone,10756,megawatthours
5189,2019-11-26T18,Dominion Virginia Power zone,10417,megawatthours
5188,2019-11-26T19,Dominion Virginia Power zone,10277,megawatthours
5187,2019-11-26T20,Dominion Virginia Power zone,10330,megawatthours
5186,2019-11-26T21,Dominion Virginia Power zone,10499,megawatthours
5185,2019-11-26T22,Dominion Virginia Power zone,10862,megawatthours
5184,2019-11-26T23,Dominion Virginia Power zone,11602,megawatthours
5183,2019-11-27T00,Dominion Virginia Power zone,11637,megawatthours
5182,2019-11-27T01,Dominion Virginia Power zone,11541,megawatthours
5181,2019-11-27T02,Dominion Virginia Power zone,11334,megawatthours
5180,2019-11-27T03,Dominion Virginia Power zone,10962,megawatthours
5179,2019-11-27T04,Dominion Virginia Power zone,10371,megawatthours
5178,2019-11-27T05,Dominion Virginia Power zone,9868,megawatthours
5177,2019-11-27T06,Dominion Virginia Power zone,9424,megawatthours
5176,2019-11-27T07,Dominion Virginia Power zone,9245,megawatthours
5175,2019-11-27T08,Dominion Virginia Power zone,9191,megawatthours
5174,2019-11-27T09,Dominion Virginia Power zone,9225,megawatthours
5173,2019-11-27T10,Dominion Virginia Power zone,9481,megawatthours
5172,2019-11-27T11,Dominion Virginia Power zone,10065,megawatthours
5171,2019-11-27T12,Dominion Virginia Power zone,10745,megawatthours
5170,2019-11-27T13,Dominion Virginia Power zone,11033,megawatthours
5169,2019-11-27T14,Dominion Virginia Power zone,11348,megawatthours
5168,2019-11-27T15,Dominion Virginia Power zone,11491,megawatthours
5167,2019-11-27T16,Dominion Virginia Power zone,11594,megawatthours
5166,2019-11-27T17,Dominion Virginia Power zone,11454,megawatthours
5165,2019-11-27T18,Dominion Virginia Power zone,11252,megawatthours
5164,2019-11-27T19,Dominion Virginia Power zone,11130,megawatthours
5163,2019-11-27T20,Dominion Virginia Power zone,11009,megawatthours
5162,2019-11-27T21,Dominion Virginia Power zone,10939,megawatthours
5161,2019-11-27T22,Dominion Virginia Power zone,11019,megawatthours
5160,2019-11-27T23,Dominion Virginia Power zone,11584,megawatthours
5159,2019-11-28T00,Dominion Virginia Power zone,11480,megawatthours
5158,2019-11-28T01,Dominion Virginia Power zone,11233,megawatthours
5157,2019-11-28T02,Dominion Virginia Power zone,10951,megawatthours
5156,2019-11-28T03,Dominion Virginia Power zone,10605,megawatthours
5155,2019-11-28T04,Dominion Virginia Power zone,10098,megawatthours
5154,2019-11-28T05,Dominion Virginia Power zone,9625,megawatthours
5153,2019-11-28T06,Dominion Virginia Power zone,9297,megawatthours
5152,2019-11-28T07,Dominion Virginia Power zone,9079,megawatthours
5151,2019-11-28T08,Dominion Virginia Power zone,8968,megawatthours
5150,2019-11-28T09,Dominion Virginia Power zone,9018,megawatthours
5149,2019-11-28T10,Dominion Virginia Power zone,9264,megawatthours
5148,2019-11-28T11,Dominion Virginia Power zone,9695,megawatthours
5147,2019-11-28T12,Dominion Virginia Power zone,10190,megawatthours
5146,2019-11-28T13,Dominion Virginia Power zone,10610,megawatthours
5145,2019-11-28T14,Dominion Virginia Power zone,10816,megawatthours
5144,2019-11-28T15,Dominion Virginia Power zone,10850,megawatthours
5143,2019-11-28T16,Dominion Virginia Power zone,10867,megawatthours
5142,2019-11-28T17,Dominion Virginia Power zone,10852,megawatthours
5141,2019-11-28T18,Dominion Virginia Power zone,10635,megawatthours
5140,2019-11-28T19,Dominion Virginia Power zone,10359,megawatthours
5139,2019-11-28T20,Dominion Virginia Power zone,10125,megawatthours
5138,2019-11-28T21,Dominion Virginia Power zone,10125,megawatthours
5137,2019-11-28T22,Dominion Virginia Power zone,10355,megawatthours
5136,2019-11-28T23,Dominion Virginia Power zone,10770,megawatthours
5135,2019-11-29T00,Dominion Virginia Power zone,10791,megawatthours
5134,2019-11-29T01,Dominion Virginia Power zone,10822,megawatthours
5133,2019-11-29T02,Dominion Virginia Power zone,10887,megawatthours
5132,2019-11-29T03,Dominion Virginia Power zone,10832,megawatthours
5131,2019-11-29T04,Dominion Virginia Power zone,10641,megawatthours
5130,2019-11-29T05,Dominion Virginia Power zone,10360,megawatthours
5129,2019-11-29T06,Dominion Virginia Power zone,10162,megawatthours
5128,2019-11-29T07,Dominion Virginia Power zone,10066,megawatthours
5127,2019-11-29T08,Dominion Virginia Power zone,10097,megawatthours
5126,2019-11-29T09,Dominion Virginia Power zone,10182,megawatthours
5125,2019-11-29T10,Dominion Virginia Power zone,10510,megawatthours
5124,2019-11-29T11,Dominion Virginia Power zone,10978,megawatthours
5123,2019-11-29T12,Dominion Virginia Power zone,11508,megawatthours
5122,2019-11-29T13,Dominion Virginia Power zone,11827,megawatthours
5121,2019-11-29T14,Dominion Virginia Power zone,11818,megawatthours
5120,2019-11-29T15,Dominion Virginia Power zone,11385,megawatthours
5119,2019-11-29T16,Dominion Virginia Power zone,10975,megawatthours
5118,2019-11-29T17,Dominion Virginia Power zone,10615,megawatthours
5117,2019-11-29T18,Dominion Virginia Power zone,10248,megawatthours
5116,2019-11-29T19,Dominion Virginia Power zone,9944,megawatthours
5115,2019-11-29T20,Dominion Virginia Power zone,9819,megawatthours
5114,2019-11-29T21,Dominion Virginia Power zone,10063,megawatthours
5113,2019-11-29T22,Dominion Virginia Power zone,10708,megawatthours
5112,2019-11-29T23,Dominion Virginia Power zone,11525,megawatthours
5111,2019-11-30T00,Dominion Virginia Power zone,11557,megawatthours
5110,2019-11-30T01,Dominion Virginia Power zone,11455,megawatthours
5109,2019-11-30T02,Dominion Virginia Power zone,11294,megawatthours
5108,2019-11-30T03,Dominion Virginia Power zone,11045,megawatthours
5107,2019-11-30T04,Dominion Virginia Power zone,10627,megawatthours
5106,2019-11-30T05,Dominion Virginia Power zone,10201,megawatthours
5105,2019-11-30T06,Dominion Virginia Power zone,9899,megawatthours
5104,2019-11-30T07,Dominion Virginia Power zone,9720,megawatthours
5103,2019-11-30T08,Dominion Virginia Power zone,9634,megawatthours
5102,2019-11-30T09,Dominion Virginia Power zone,9660,megawatthours
5101,2019-11-30T10,Dominion Virginia Power zone,9773,megawatthours
5100,2019-11-30T11,Dominion Virginia Power zone,10034,megawatthours
5099,2019-11-30T12,Dominion Virginia Power zone,10449,megawatthours
5098,2019-11-30T13,Dominion Virginia Power zone,10878,megawatthours
5097,2019-11-30T14,Dominion Virginia Power zone,11339,megawatthours
5096,2019-11-30T15,Dominion Virginia Power zone,11661,megawatthours
5095,2019-11-30T16,Dominion Virginia Power zone,11717,megawatthours
5094,2019-11-30T17,Dominion Virginia Power zone,11586,megawatthours
5093,2019-11-30T18,Dominion Virginia Power zone,11296,megawatthours
5092,2019-11-30T19,Dominion Virginia Power zone,11118,megawatthours
5091,2019-11-30T20,Dominion Virginia Power zone,11115,megawatthours
5090,2019-11-30T21,Dominion Virginia Power zone,11275,megawatthours
5089,2019-11-30T22,Dominion Virginia Power zone,11688,megawatthours
5088,2019-11-30T23,Dominion Virginia Power zone,12115,megawatthours
5087,2019-12-01T00,Dominion Virginia Power zone,12094,megawatthours
5086,2019-12-01T01,Dominion Virginia Power zone,12008,megawatthours
5085,2019-12-01T02,Dominion Virginia Power zone,11817,megawatthours
5084,2019-12-01T03,Dominion Virginia Power zone,11531,megawatthours
5083,2019-12-01T04,Dominion Virginia Power zone,11139,megawatthours
5082,2019-12-01T05,Dominion Virginia Power zone,10636,megawatthours
5081,2019-12-01T06,Dominion Virginia Power zone,10248,megawatthours
5080,2019-12-01T07,Dominion Virginia Power zone,10038,megawatthours
5079,2019-12-01T08,Dominion Virginia Power zone,9973,megawatthours
5078,2019-12-01T09,Dominion Virginia Power zone,9949,megawatthours
5077,2019-12-01T10,Dominion Virginia Power zone,10020,megawatthours
5076,2019-12-01T11,Dominion Virginia Power zone,10239,megawatthours
5075,2019-12-01T12,Dominion Virginia Power zone,10571,megawatthours
5074,2019-12-01T13,Dominion Virginia Power zone,10986,megawatthours
5073,2019-12-01T14,Dominion Virginia Power zone,11375,megawatthours
5072,2019-12-01T15,Dominion Virginia Power zone,11746,megawatthours
5071,2019-12-01T16,Dominion Virginia Power zone,11855,megawatthours
5070,2019-12-01T17,Dominion Virginia Power zone,11798,megawatthours
5069,2019-12-01T18,Dominion Virginia Power zone,11799,megawatthours
5068,2019-12-01T19,Dominion Virginia Power zone,11553,megawatthours
5067,2019-12-01T20,Dominion Virginia Power zone,11376,megawatthours
5066,2019-12-01T21,Dominion Virginia Power zone,11304,megawatthours
5065,2019-12-01T22,Dominion Virginia Power zone,11591,megawatthours
5064,2019-12-01T23,Dominion Virginia Power zone,12187,megawatthours
5063,2019-12-02T00,Dominion Virginia Power zone,12162,megawatthours
5062,2019-12-02T01,Dominion Virginia Power zone,12047,megawatthours
5061,2019-12-02T02,Dominion Virginia Power zone,11789,megawatthours
5060,2019-12-02T03,Dominion Virginia Power zone,11315,megawatthours
5059,2019-12-02T04,Dominion Virginia Power zone,10708,megawatthours
5058,2019-12-02T05,Dominion Virginia Power zone,10139,megawatthours
5057,2019-12-02T06,Dominion Virginia Power zone,9811,megawatthours
5056,2019-12-02T07,Dominion Virginia Power zone,9618,megawatthours
5055,2019-12-02T08,Dominion Virginia Power zone,9598,megawatthours
5054,2019-12-02T09,Dominion Virginia Power zone,9737,megawatthours
5053,2019-12-02T10,Dominion Virginia Power zone,10199,megawatthours
5052,2019-12-02T11,Dominion Virginia Power zone,11066,megawatthours
5051,2019-12-02T12,Dominion Virginia Power zone,12330,megawatthours
5050,2019-12-02T13,Dominion Virginia Power zone,12896,megawatthours
5049,2019-12-02T14,Dominion Virginia Power zone,12764,megawatthours
5048,2019-12-02T15,Dominion Virginia Power zone,12321,megawatthours
5047,2019-12-02T16,Dominion Virginia Power zone,11861,megawatthours
5046,2019-12-02T17,Dominion Virginia Power zone,11581,megawatthours
5045,2019-12-02T18,Dominion Virginia Power zone,11644,megawatthours
5044,2019-12-02T19,Dominion Virginia Power zone,11648,megawatthours
5043,2019-12-02T20,Dominion Virginia Power zone,11682,megawatthours
5042,2019-12-02T21,Dominion Virginia Power zone,11941,megawatthours
5041,2019-12-02T22,Dominion Virginia Power zone,12490,megawatthours
5040,2019-12-02T23,Dominion Virginia Power zone,13286,megawatthours
5039,2019-12-03T00,Dominion Virginia Power zone,13366,megawatthours
5038,2019-12-03T01,Dominion Virginia Power zone,13170,megawatthours
5037,2019-12-03T02,Dominion Virginia Power zone,12921,megawatthours
5036,2019-12-03T03,Dominion Virginia Power zone,12399,megawatthours
5035,2019-12-03T04,Dominion Virginia Power zone,11693,megawatthours
5034,2019-12-03T05,Dominion Virginia Power zone,11102,megawatthours
5033,2019-12-03T06,Dominion Virginia Power zone,10753,megawatthours
5032,2019-12-03T07,Dominion Virginia Power zone,10582,megawatthours
5031,2019-12-03T08,Dominion Virginia Power zone,10508,megawatthours
5030,2019-12-03T09,Dominion Virginia Power zone,10629,megawatthours
5029,2019-12-03T10,Dominion Virginia Power zone,11082,megawatthours
5028,2019-12-03T11,Dominion Virginia Power zone,11923,megawatthours
5027,2019-12-03T12,Dominion Virginia Power zone,13206,megawatthours
5026,2019-12-03T13,Dominion Virginia Power zone,13548,megawatthours
5025,2019-12-03T14,Dominion Virginia Power zone,13042,megawatthours
5024,2019-12-03T15,Dominion Virginia Power zone,12274,megawatthours
5023,2019-12-03T16,Dominion Virginia Power zone,11755,megawatthours
5022,2019-12-03T17,Dominion Virginia Power zone,11342,megawatthours
5021,2019-12-03T18,Dominion Virginia Power zone,11054,megawatthours
5020,2019-12-03T19,Dominion Virginia Power zone,10861,megawatthours
5019,2019-12-03T20,Dominion Virginia Power zone,10796,megawatthours
5018,2019-12-03T21,Dominion Virginia Power zone,11129,megawatthours
5017,2019-12-03T22,Dominion Virginia Power zone,11855,megawatthours
5016,2019-12-03T23,Dominion Virginia Power zone,12929,megawatthours
5015,2019-12-04T00,Dominion Virginia Power zone,13106,megawatthours
5014,2019-12-04T01,Dominion Virginia Power zone,13164,megawatthours
5013,2019-12-04T02,Dominion Virginia Power zone,12980,megawatthours
5012,2019-12-04T03,Dominion Virginia Power zone,12548,megawatthours
5011,2019-12-04T04,Dominion Virginia Power zone,11782,megawatthours
5010,2019-12-04T05,Dominion Virginia Power zone,11144,megawatthours
5009,2019-12-04T06,Dominion Virginia Power zone,10737,megawatthours
5008,2019-12-04T07,Dominion Virginia Power zone,10498,megawatthours
5007,2019-12-04T08,Dominion Virginia Power zone,10570,megawatthours
5006,2019-12-04T09,Dominion Virginia Power zone,10767,megawatthours
5005,2019-12-04T10,Dominion Virginia Power zone,11204,megawatthours
5004,2019-12-04T11,Dominion Virginia Power zone,12191,megawatthours
5003,2019-12-04T12,Dominion Virginia Power zone,13665,megawatthours
5002,2019-12-04T13,Dominion Virginia Power zone,14040,megawatthours
5001,2019-12-04T14,Dominion Virginia Power zone,13493,megawatthours
5000,2019-12-04T15,Dominion Virginia Power zone,12787,megawatthours
4999,2019-12-04T16,Dominion Virginia Power zone,12129,megawatthours
4998,2019-12-04T17,Dominion Virginia Power zone,11654,megawatthours
4997,2019-12-04T18,Dominion Virginia Power zone,11142,megawatthours
4996,2019-12-04T19,Dominion Virginia Power zone,10867,megawatthours
4995,2019-12-04T20,Dominion Virginia Power zone,10817,megawatthours
4994,2019-12-04T21,Dominion Virginia Power zone,11166,megawatthours
4993,2019-12-04T22,Dominion Virginia Power zone,11781,megawatthours
4992,2019-12-04T23,Dominion Virginia Power zone,12855,megawatthours
4991,2019-12-05T00,Dominion Virginia Power zone,13004,megawatthours
4990,2019-12-05T01,Dominion Virginia Power zone,12989,megawatthours
4989,2019-12-05T02,Dominion Virginia Power zone,12845,megawatthours
4988,2019-12-05T03,Dominion Virginia Power zone,12424,megawatthours
4987,2019-12-05T04,Dominion Virginia Power zone,11723,megawatthours
4986,2019-12-05T05,Dominion Virginia Power zone,11137,megawatthours
4985,2019-12-05T06,Dominion Virginia Power zone,10796,megawatthours
4984,2019-12-05T07,Dominion Virginia Power zone,10650,megawatthours
4983,2019-12-05T08,Dominion Virginia Power zone,10637,megawatthours
4982,2019-12-05T09,Dominion Virginia Power zone,10733,megawatthours
4981,2019-12-05T10,Dominion Virginia Power zone,11127,megawatthours
4980,2019-12-05T11,Dominion Virginia Power zone,11908,megawatthours
4979,2019-12-05T12,Dominion Virginia Power zone,13156,megawatthours
4978,2019-12-05T13,Dominion Virginia Power zone,13571,megawatthours
4977,2019-12-05T14,Dominion Virginia Power zone,13336,megawatthours
4976,2019-12-05T15,Dominion Virginia Power zone,11992,megawatthours
4975,2019-12-05T16,Dominion Virginia Power zone,11709,megawatthours
4974,2019-12-05T17,Dominion Virginia Power zone,11401,megawatthours
4973,2019-12-05T18,Dominion Virginia Power zone,11107,megawatthours
4972,2019-12-05T19,Dominion Virginia Power zone,10843,megawatthours
4971,2019-12-05T20,Dominion Virginia Power zone,10754,megawatthours
4970,2019-12-05T21,Dominion Virginia Power zone,11054,megawatthours
4969,2019-12-05T22,Dominion Virginia Power zone,11724,megawatthours
4968,2019-12-05T23,Dominion Virginia Power zone,12769,megawatthours
4967,2019-12-06T00,Dominion Virginia Power zone,13144,megawatthours
4966,2019-12-06T01,Dominion Virginia Power zone,13212,megawatthours
4965,2019-12-06T02,Dominion Virginia Power zone,13183,megawatthours
4964,2019-12-06T03,Dominion Virginia Power zone,12904,megawatthours
4963,2019-12-06T04,Dominion Virginia Power zone,12271,megawatthours
4962,2019-12-06T05,Dominion Virginia Power zone,11870,megawatthours
4961,2019-12-06T06,Dominion Virginia Power zone,11576,megawatthours
4960,2019-12-06T07,Dominion Virginia Power zone,11492,megawatthours
4959,2019-12-06T08,Dominion Virginia Power zone,11576,megawatthours
4958,2019-12-06T09,Dominion Virginia Power zone,11797,megawatthours
4957,2019-12-06T10,Dominion Virginia Power zone,12310,megawatthours
4956,2019-12-06T11,Dominion Virginia Power zone,13246,megawatthours
4955,2019-12-06T12,Dominion Virginia Power zone,14465,megawatthours
4954,2019-12-06T13,Dominion Virginia Power zone,14869,megawatthours
4953,2019-12-06T14,Dominion Virginia Power zone,14152,megawatthours
4952,2019-12-06T15,Dominion Virginia Power zone,13209,megawatthours
4951,2019-12-06T16,Dominion Virginia Power zone,12661,megawatthours
4950,2019-12-06T17,Dominion Virginia Power zone,12241,megawatthours
4949,2019-12-06T18,Dominion Virginia Power zone,11947,megawatthours
4948,2019-12-06T19,Dominion Virginia Power zone,11744,megawatthours
4947,2019-12-06T20,Dominion Virginia Power zone,11627,megawatthours
4946,2019-12-06T21,Dominion Virginia Power zone,11663,megawatthours
4945,2019-12-06T22,Dominion Virginia Power zone,11993,megawatthours
4944,2019-12-06T23,Dominion Virginia Power zone,12591,megawatthours
4943,2019-12-07T00,Dominion Virginia Power zone,12493,megawatthours
4942,2019-12-07T01,Dominion Virginia Power zone,12158,megawatthours
4941,2019-12-07T02,Dominion Virginia Power zone,11900,megawatthours
4940,2019-12-07T03,Dominion Virginia Power zone,11489,megawatthours
4939,2019-12-07T04,Dominion Virginia Power zone,11025,megawatthours
4938,2019-12-07T05,Dominion Virginia Power zone,10549,megawatthours
4937,2019-12-07T06,Dominion Virginia Power zone,10265,megawatthours
4936,2019-12-07T07,Dominion Virginia Power zone,10136,megawatthours
4935,2019-12-07T08,Dominion Virginia Power zone,10160,megawatthours
4934,2019-12-07T09,Dominion Virginia Power zone,10272,megawatthours
4933,2019-12-07T10,Dominion Virginia Power zone,10566,megawatthours
4932,2019-12-07T11,Dominion Virginia Power zone,11044,megawatthours
4931,2019-12-07T12,Dominion Virginia Power zone,11656,megawatthours
4930,2019-12-07T13,Dominion Virginia Power zone,12274,megawatthours
4929,2019-12-07T14,Dominion Virginia Power zone,12372,megawatthours
4928,2019-12-07T15,Dominion Virginia Power zone,12031,megawatthours
4927,2019-12-07T16,Dominion Virginia Power zone,11662,megawatthours
4926,2019-12-07T17,Dominion Virginia Power zone,11348,megawatthours
4925,2019-12-07T18,Dominion Virginia Power zone,10967,megawatthours
4924,2019-12-07T19,Dominion Virginia Power zone,10659,megawatthours
4923,2019-12-07T20,Dominion Virginia Power zone,10504,megawatthours
4922,2019-12-07T21,Dominion Virginia Power zone,10843,megawatthours
4921,2019-12-07T22,Dominion Virginia Power zone,11635,megawatthours
4920,2019-12-07T23,Dominion Virginia Power zone,12784,megawatthours
4919,2019-12-08T00,Dominion Virginia Power zone,13068,megawatthours
4918,2019-12-08T01,Dominion Virginia Power zone,13257,megawatthours
4917,2019-12-08T02,Dominion Virginia Power zone,13360,megawatthours
4916,2019-12-08T03,Dominion Virginia Power zone,13241,megawatthours
4915,2019-12-08T04,Dominion Virginia Power zone,13018,megawatthours
4914,2019-12-08T05,Dominion Virginia Power zone,12693,megawatthours
4913,2019-12-08T06,Dominion Virginia Power zone,12510,megawatthours
4912,2019-12-08T07,Dominion Virginia Power zone,12456,megawatthours
4911,2019-12-08T08,Dominion Virginia Power zone,12493,megawatthours
4910,2019-12-08T09,Dominion Virginia Power zone,12599,megawatthours
4909,2019-12-08T10,Dominion Virginia Power zone,12851,megawatthours
4908,2019-12-08T11,Dominion Virginia Power zone,13287,megawatthours
4907,2019-12-08T12,Dominion Virginia Power zone,13849,megawatthours
4906,2019-12-08T13,Dominion Virginia Power zone,14304,megawatthours
4905,2019-12-08T14,Dominion Virginia Power zone,14113,megawatthours
4904,2019-12-08T15,Dominion Virginia Power zone,13158,megawatthours
4903,2019-12-08T16,Dominion Virginia Power zone,12172,megawatthours
4902,2019-12-08T17,Dominion Virginia Power zone,11537,megawatthours
4901,2019-12-08T18,Dominion Virginia Power zone,11163,megawatthours
4900,2019-12-08T19,Dominion Virginia Power zone,10930,megawatthours
4899,2019-12-08T20,Dominion Virginia Power zone,10905,megawatthours
4898,2019-12-08T21,Dominion Virginia Power zone,11011,megawatthours
4897,2019-12-08T22,Dominion Virginia Power zone,11678,megawatthours
4896,2019-12-08T23,Dominion Virginia Power zone,12574,megawatthours
4895,2019-12-09T00,Dominion Virginia Power zone,12705,megawatthours
4894,2019-12-09T01,Dominion Virginia Power zone,12582,megawatthours
4893,2019-12-09T02,Dominion Virginia Power zone,12299,megawatthours
4892,2019-12-09T03,Dominion Virginia Power zone,11873,megawatthours
4891,2019-12-09T04,Dominion Virginia Power zone,11163,megawatthours
4890,2019-12-09T05,Dominion Virginia Power zone,10462,megawatthours
4889,2019-12-09T06,Dominion Virginia Power zone,10056,megawatthours
4888,2019-12-09T07,Dominion Virginia Power zone,9873,megawatthours
4887,2019-12-09T08,Dominion Virginia Power zone,9777,megawatthours
4886,2019-12-09T09,Dominion Virginia Power zone,9867,megawatthours
4885,2019-12-09T10,Dominion Virginia Power zone,10272,megawatthours
4884,2019-12-09T11,Dominion Virginia Power zone,11019,megawatthours
4883,2019-12-09T12,Dominion Virginia Power zone,12119,megawatthours
4882,2019-12-09T13,Dominion Virginia Power zone,12610,megawatthours
4881,2019-12-09T14,Dominion Virginia Power zone,12503,megawatthours
4880,2019-12-09T15,Dominion Virginia Power zone,12342,megawatthours
4879,2019-12-09T16,Dominion Virginia Power zone,12218,megawatthours
4878,2019-12-09T17,Dominion Virginia Power zone,12148,megawatthours
4877,2019-12-09T18,Dominion Virginia Power zone,12056,megawatthours
4876,2019-12-09T19,Dominion Virginia Power zone,11910,megawatthours
4875,2019-12-09T20,Dominion Virginia Power zone,11819,megawatthours
4874,2019-12-09T21,Dominion Virginia Power zone,11871,megawatthours
4873,2019-12-09T22,Dominion Virginia Power zone,12210,megawatthours
4872,2019-12-09T23,Dominion Virginia Power zone,12761,megawatthours
4871,2019-12-10T00,Dominion Virginia Power zone,12624,megawatthours
4870,2019-12-10T01,Dominion Virginia Power zone,12344,megawatthours
4869,2019-12-10T02,Dominion Virginia Power zone,11879,megawatthours
4868,2019-12-10T03,Dominion Virginia Power zone,11232,megawatthours
4867,2019-12-10T04,Dominion Virginia Power zone,10409,megawatthours
4866,2019-12-10T05,Dominion Virginia Power zone,9587,megawatthours
4865,2019-12-10T06,Dominion Virginia Power zone,9075,megawatthours
4864,2019-12-10T07,Dominion Virginia Power zone,8778,megawatthours
4863,2019-12-10T08,Dominion Virginia Power zone,8658,megawatthours
4862,2019-12-10T09,Dominion Virginia Power zone,8644,megawatthours
4861,2019-12-10T10,Dominion Virginia Power zone,8879,megawatthours
4860,2019-12-10T11,Dominion Virginia Power zone,9548,megawatthours
4859,2019-12-10T12,Dominion Virginia Power zone,10556,megawatthours
4858,2019-12-10T13,Dominion Virginia Power zone,10942,megawatthours
4857,2019-12-10T14,Dominion Virginia Power zone,10891,megawatthours
4856,2019-12-10T15,Dominion Virginia Power zone,10781,megawatthours
4855,2019-12-10T16,Dominion Virginia Power zone,10648,megawatthours
4854,2019-12-10T17,Dominion Virginia Power zone,10543,megawatthours
4853,2019-12-10T18,Dominion Virginia Power zone,10516,megawatthours
4852,2019-12-10T19,Dominion Virginia Power zone,10460,megawatthours
4851,2019-12-10T20,Dominion Virginia Power zone,10460,megawatthours
4850,2019-12-10T21,Dominion Virginia Power zone,10671,megawatthours
4849,2019-12-10T22,Dominion Virginia Power zone,11011,megawatthours
4848,2019-12-10T23,Dominion Virginia Power zone,11673,megawatthours
4847,2019-12-11T00,Dominion Virginia Power zone,11740,megawatthours
4846,2019-12-11T01,Dominion Virginia Power zone,11646,megawatthours
4845,2019-12-11T02,Dominion Virginia Power zone,11394,megawatthours
4844,2019-12-11T03,Dominion Virginia Power zone,10874,megawatthours
4843,2019-12-11T04,Dominion Virginia Power zone,10279,megawatthours
4842,2019-12-11T05,Dominion Virginia Power zone,9798,megawatthours
4841,2019-12-11T06,Dominion Virginia Power zone,9466,megawatthours
4840,2019-12-11T07,Dominion Virginia Power zone,9415,megawatthours
4839,2019-12-11T08,Dominion Virginia Power zone,9612,megawatthours
4838,2019-12-11T09,Dominion Virginia Power zone,9936,megawatthours
4837,2019-12-11T10,Dominion Virginia Power zone,10524,megawatthours
4836,2019-12-11T11,Dominion Virginia Power zone,11464,megawatthours
4835,2019-12-11T12,Dominion Virginia Power zone,12833,megawatthours
4834,2019-12-11T13,Dominion Virginia Power zone,13503,megawatthours
4833,2019-12-11T14,Dominion Virginia Power zone,13540,megawatthours
4832,2019-12-11T15,Dominion Virginia Power zone,13073,megawatthours
4831,2019-12-11T16,Dominion Virginia Power zone,12754,megawatthours
4830,2019-12-11T17,Dominion Virginia Power zone,12357,megawatthours
4829,2019-12-11T18,Dominion Virginia Power zone,12139,megawatthours
4828,2019-12-11T19,Dominion Virginia Power zone,11877,megawatthours
4827,2019-12-11T20,Dominion Virginia Power zone,11795,megawatthours
4826,2019-12-11T21,Dominion Virginia Power zone,11939,megawatthours
4825,2019-12-11T22,Dominion Virginia Power zone,12691,megawatthours
4824,2019-12-11T23,Dominion Virginia Power zone,13711,megawatthours
4823,2019-12-12T00,Dominion Virginia Power zone,14019,megawatthours
4822,2019-12-12T01,Dominion Virginia Power zone,14102,megawatthours
4821,2019-12-12T02,Dominion Virginia Power zone,14178,megawatthours
4820,2019-12-12T03,Dominion Virginia Power zone,13896,megawatthours
4819,2019-12-12T04,Dominion Virginia Power zone,13221,megawatthours
4818,2019-12-12T05,Dominion Virginia Power zone,12743,megawatthours
4817,2019-12-12T06,Dominion Virginia Power zone,12561,megawatthours
4816,2019-12-12T07,Dominion Virginia Power zone,12456,megawatthours
4815,2019-12-12T08,Dominion Virginia Power zone,12600,megawatthours
4814,2019-12-12T09,Dominion Virginia Power zone,12819,megawatthours
4813,2019-12-12T10,Dominion Virginia Power zone,13357,megawatthours
4812,2019-12-12T11,Dominion Virginia Power zone,14207,megawatthours
4811,2019-12-12T12,Dominion Virginia Power zone,15431,megawatthours
4810,2019-12-12T13,Dominion Virginia Power zone,15826,megawatthours
4809,2019-12-12T14,Dominion Virginia Power zone,15271,megawatthours
4808,2019-12-12T15,Dominion Virginia Power zone,14225,megawatthours
4807,2019-12-12T16,Dominion Virginia Power zone,13380,megawatthours
4806,2019-12-12T17,Dominion Virginia Power zone,12810,megawatthours
4805,2019-12-12T18,Dominion Virginia Power zone,12646,megawatthours
4804,2019-12-12T19,Dominion Virginia Power zone,12430,megawatthours
4803,2019-12-12T20,Dominion Virginia Power zone,12265,megawatthours
4802,2019-12-12T21,Dominion Virginia Power zone,12465,megawatthours
4801,2019-12-12T22,Dominion Virginia Power zone,13328,megawatthours
4800,2019-12-12T23,Dominion Virginia Power zone,14500,megawatthours
4799,2019-12-13T00,Dominion Virginia Power zone,14701,megawatthours
4798,2019-12-13T01,Dominion Virginia Power zone,14742,megawatthours
4797,2019-12-13T02,Dominion Virginia Power zone,14702,megawatthours
4796,2019-12-13T03,Dominion Virginia Power zone,14279,megawatthours
4795,2019-12-13T04,Dominion Virginia Power zone,13595,megawatthours
4794,2019-12-13T05,Dominion Virginia Power zone,12929,megawatthours
4793,2019-12-13T06,Dominion Virginia Power zone,12483,megawatthours
4792,2019-12-13T07,Dominion Virginia Power zone,12204,megawatthours
4791,2019-12-13T08,Dominion Virginia Power zone,12120,megawatthours
4790,2019-12-13T09,Dominion Virginia Power zone,12102,megawatthours
4789,2019-12-13T10,Dominion Virginia Power zone,12419,megawatthours
4788,2019-12-13T11,Dominion Virginia Power zone,12846,megawatthours
4787,2019-12-13T12,Dominion Virginia Power zone,13665,megawatthours
