,period,subba-name,value,value-units
4250,2019-01-04T21,Dominion Virginia Power zone,11655,megawatthours
4249,2019-01-04T22,Dominion Virginia Power zone,11958,megawatthours
4248,2019-01-04T23,Dominion Virginia Power zone,12490,megawatthours
4247,2019-01-05T00,Dominion Virginia Power zone,12357,megawatthours
4246,2019-01-05T01,Dominion Virginia Power zone,12089,megawatthours
4245,2019-01-05T02,Dominion Virginia Power zone,11721,megawatthours
4244,2019-01-05T03,Dominion Virginia Power zone,11256,megawatthours
4243,2019-01-05T04,Dominion Virginia Power zone,10758,megawatthours
4242,2019-01-05T05,Dominion Virginia Power zone,10159,megawatthours
4241,2019-01-05T06,Dominion Virginia Power zone,9657,megawatthours
4240,2019-01-05T07,Dominion Virginia Power zone,9328,megawatthours
4239,2019-01-05T08,Dominion Virginia Power zone,9131,megawatthours
4238,2019-01-05T09,Dominion Virginia Power zone,9085,megawatthours
4237,2019-01-05T10,Dominion Virginia Power zone,9130,megawatthours
4236,2019-01-05T11,Dominion Virginia Power zone,9294,megawatthours
4235,2019-01-05T12,Dominion Virginia Power zone,9634,megawatthours
4234,2019-01-05T13,Dominion Virginia Power zone,10030,megawatthours
4233,2019-01-05T14,Dominion Virginia Power zone,10404,megawatthours
4232,2019-01-05T15,Dominion Virginia Power zone,10585,megawatthours
4231,2019-01-05T16,Dominion Virginia Power zone,10650,megawatthours
4230,2019-01-05T17,Dominion Virginia Power zone,10473,megawatthours
4229,2019-01-05T18,Dominion Virginia Power zone,10271,megawatthours
4228,2019-01-05T19,Dominion Virginia Power zone,9963,megawatthours
4227,2019-01-05T20,Dominion Virginia Power zone,9729,megawatthours
4226,2019-01-05T21,Dominion Virginia Power zone,9694,megawatthours
4225,2019-01-05T22,Dominion Virginia Power zone,10050,megawatthours
4224,2019-01-05T23,Dominion Virginia Power zone,10866,megawatthours
4223,2019-01-06T00,Dominion Virginia Power zone,11047,megawatthours
4222,2019-01-06T01,Dominion Virginia Power zone,11127,megawatthours
4221,2019-01-06T02,Dominion Virginia Power zone,11030,megawatthours
4220,2019-01-06T03,Dominion Virginia Power zone,10852,megawatthours
4219,2019-01-06T04,Dominion Virginia Power zone,10489,megawatthours
4218,2019-01-06T05,Dominion Virginia Power zone,10221,megawatthours
4217,2019-01-06T06,Dominion Virginia Power zone,9932,megawatthours
4216,2019-01-06T07,Dominion Virginia Power zone,9777,megawatthours
4215,2019-01-06T08,Dominion Virginia Power zone,9717,megawatthours
4214,2019-01-06T09,Dominion Virginia Power zone,9699,megawatthours
4213,2019-01-06T10,Dominion Virginia Power zone,9838,megawatthours
4212,2019-01-06T11,Dominion Virginia Power zone,10147,megawatthours
4211,2019-01-06T12,Dominion Virginia Power zone,10520,megawatthours
4210,2019-01-06T13,Dominion Virginia Power zone,10846,megawatthours
4209,2019-01-06T14,Dominion Virginia Power zone,10973,megawatthours
4208,2019-01-06T15,Dominion Virginia Power zone,10558,megawatthours
4207,2019-01-06T16,Dominion Virginia Power zone,10103,megawatthours
4206,2019-01-06T17,Dominion Virginia Power zone,9824,megawatthours
4205,2019-01-06T18,Dominion Virginia Power zone,9670,megawatthours
4204,2019-01-06T19,Dominion Virginia Power zone,9594,megawatthours
4203,2019-01-06T20,Dominion Virginia Power zone,9449,megawatthours
4202,2019-01-06T21,Dominion Virginia Power zone,9550,megawatthours
4201,2019-01-06T22,Dominion Virginia Power zone,10024,megawatthours
4200,2019-01-06T23,Dominion Virginia Power zone,11068,megawatthours
