year,1,2,3,4,5,6,7,8,9,10,11,12
2019,4040.72311827957,3822.434523809524,3446.9489247311826,2886.6458333333335,3186.9327956989246,3701.6652777777776,4424.114247311828,4051.625,3588.9972222222223,2953.194892473118,3294.2258992805755,3667.8185483870966
2020,3644.2688172043013,3521.742816091954,3062.002773925104,2803.152777777778,2844.9758064516127,3632.3166666666666,4514.05376344086,4079.0430555555554,3281.2833333333333,2813.6958277254375,3003.998611111111,3712.2150537634407
2021,3863.0174731182797,4008.6770833333335,3217.0389784946237,2901.9416666666666,3006.2903225806454,3859.413888888889,4303.052419354839,4270.947580645161,3522.902777777778,3008.048387096774,3242.626388888889,3418.3521505376343
2022,4212.970430107527,3739.590773809524,3203.2884882108183,2893.8694444444445,3112.2634408602153,3692.6375,4249.5255376344085,4173.905913978495,3404.7805555555556,2837.1021505376343,3166.632183908046,3849.94623655914
2023,3501.9758064516127,3430.2127976190477,3202.9070735090154,2819.784722222222,2823.7258064516127,3289.85,4249.923387096775,3946.0497311827958,3469.5930555555556,2869.853494623656,3177.8325358851675,3448.412634408602
2024,3891.9862068965517,3496.932471264368,3071.73786407767,2893.511111111111,3023.1362467866325,,,,,,,
