,Date,Hour Starting,period,respondent,fueltype,type-name,value,value-units
64,2024-08-03,16,2024-08-03T17-05,ERCO,COL,Coal,11449,megawatthours
65,2024-08-03,17,2024-08-03T18-05,ERCO,COL,Coal,11119,megawatthours
66,2024-08-03,18,2024-08-03T19-05,ERCO,COL,Coal,11618,megawatthours
67,2024-08-03,19,2024-08-03T20-05,ERCO,COL,Coal,12289,megawatthours
68,2024-08-03,20,2024-08-03T21-05,ERCO,COL,Coal,12391,megawatthours
69,2024-08-03,21,2024-08-03T22-05,ERCO,COL,Coal,11386,megawatthours
70,2024-08-03,22,2024-08-03T23-05,ERCO,COL,Coal,10775,megawatthours
71,2024-08-03,23,2024-08-04T00-05,ERCO,COL,Coal,10786,megawatthours
72,2024-08-04,0,2024-08-04T01-05,ERCO,COL,Coal,10348,megawatthours
73,2024-08-04,1,2024-08-04T02-05,ERCO,COL,Coal,9357,megawatthours
74,2024-08-04,2,2024-08-04T03-05,ERCO,COL,Coal,8708,megawatthours
75,2024-08-04,3,2024-08-04T04-05,ERCO,COL,Coal,8626,megawatthours
76,2024-08-04,4,2024-08-04T05-05,ERCO,COL,Coal,8306,megawatthours
77,2024-08-04,5,2024-08-04T06-05,ERCO,COL,Coal,8210,megawatthours
78,2024-08-04,6,2024-08-04T07-05,ERCO,COL,Coal,8099,megawatthours
79,2024-08-04,7,2024-08-04T08-05,ERCO,COL,Coal,7868,megawatthours
80,2024-08-04,8,2024-08-04T09-05,ERCO,COL,Coal,7027,megawatthours
81,2024-08-04,9,2024-08-04T10-05,ERCO,COL,Coal,6579,megawatthours
82,2024-08-04,10,2024-08-04T11-05,ERCO,COL,Coal,6996,megawatthours
83,2024-08-04,11,2024-08-04T12-05,ERCO,COL,Coal,7677,megawatthours
84,2024-08-04,12,2024-08-04T13-05,ERCO,COL,Coal,8563,megawatthours
85,2024-08-04,13,2024-08-04T14-05,ERCO,COL,Coal,10187,megawatthours
86,2024-08-04,14,2024-08-04T15-05,ERCO,COL,Coal,11032,megawatthours
87,2024-08-04,15,2024-08-04T16-05,ERCO,COL,Coal,11301,megawatthours
88,2024-08-04,16,2024-08-04T17-05,ERCO,COL,Coal,11030,megawatthours
89,2024-08-04,17,2024-08-04T18-05,ERCO,COL,Coal,11252,megawatthours
90,2024-08-04,18,2024-08-04T19-05,ERCO,COL,Coal,11518,megawatthours
91,2024-08-04,19,2024-08-04T20-05,ERCO,COL,Coal,11504,megawatthours
92,2024-08-04,20,2024-08-04T21-05,ERCO,COL,Coal,11367,megawatthours
93,2024-08-04,21,2024-08-04T22-05,ERCO,COL,Coal,9978,megawatthours
94,2024-08-04,22,2024-08-04T23-05,ERCO,COL,Coal,8464,megawatthours
95,2024-08-04,23,2024-08-05T00-05,ERCO,COL,Coal,7557,megawatthours
96,2024-08-05,0,2024-08-05T01-05,ERCO,COL,Coal,7308,megawatthours
97,2024-08-05,1,2024-08-05T02-05,ERCO,COL,Coal,7303,megawatthours
98,2024-08-05,2,2024-08-05T03-05,ERCO,COL,Coal,7094,megawatthours
99,2024-08-05,3,2024-08-05T04-05,ERCO,COL,Coal,6975,megawatthours
100,2024-08-05,4,2024-08-05T05-05,ERCO,COL,Coal,7171,megawatthours
101,2024-08-05,5,2024-08-05T06-05,ERCO,COL,Coal,7378,megawatthours
102,2024-08-05,6,2024-08-05T07-05,ERCO,COL,Coal,7943,megawatthours
103,2024-08-05,7,2024-08-05T08-05,ERCO,COL,Coal,7701,megawatthours
104,2024-08-05,8,2024-08-05T09-05,ERCO,COL,Coal,6210,megawatthours
105,2024-08-05,9,2024-08-05T10-05,ERCO,COL,Coal,5596,megawatthours
106,2024-08-05,10,2024-08-05T11-05,ERCO,COL,Coal,6421,megawatthours
107,2024-08-05,11,2024-08-05T12-05,ERCO,COL,Coal,8501,megawatthours
108,2024-08-05,12,2024-08-05T13-05,ERCO,COL,Coal,9626,megawatthours
109,2024-08-05,13,2024-08-05T14-05,ERCO,COL,Coal,11032,megawatthours
110,2024-08-05,14,2024-08-05T15-05,ERCO,COL,Coal,11349,megawatthours
111,2024-08-05,15,2024-08-05T16-05,ERCO,COL,Coal,11595,megawatthours
112,2024-08-05,16,2024-08-05T17-05,ERCO,COL,Coal,11939,megawatthours
113,2024-08-05,17,2024-08-05T18-05,ERCO,COL,Coal,12129,megawatthours
114,2024-08-05,18,2024-08-05T19-05,ERCO,COL,Coal,12171,megawatthours
115,2024-08-05,19,2024-08-05T20-05,ERCO,COL,Coal,12356,megawatthours
116,2024-08-05,20,2024-08-05T21-05,ERCO,COL,Coal,12322,megawatthours
117,2024-08-05,21,2024-08-05T22-05,ERCO,COL,Coal,11162,megawatthours
118,2024-08-05,22,2024-08-05T23-05,ERCO,COL,Coal,9454,megawatthours
119,2024-08-05,23,2024-08-06T00-05,ERCO,COL,Coal,8344,megawatthours
120,2024-08-06,0,2024-08-06T01-05,ERCO,COL,Coal,7694,megawatthours
121,2024-08-06,1,2024-08-06T02-05,ERCO,COL,Coal,6625,megawatthours
122,2024-08-06,2,2024-08-06T03-05,ERCO,COL,Coal,6189,megawatthours
123,2024-08-06,3,2024-08-06T04-05,ERCO,COL,Coal,6149,megawatthours
124,2024-08-06,4,2024-08-06T05-05,ERCO,COL,Coal,6314,megawatthours
125,2024-08-06,5,2024-08-06T06-05,ERCO,COL,Coal,6779,megawatthours
126,2024-08-06,6,2024-08-06T07-05,ERCO,COL,Coal,7426,megawatthours
127,2024-08-06,7,2024-08-06T08-05,ERCO,COL,Coal,7465,megawatthours
128,2024-08-06,8,2024-08-06T09-05,ERCO,COL,Coal,6252,megawatthours
129,2024-08-06,9,2024-08-06T10-05,ERCO,COL,Coal,6028,megawatthours
130,2024-08-06,10,2024-08-06T11-05,ERCO,COL,Coal,6642,megawatthours
131,2024-08-06,11,2024-08-06T12-05,ERCO,COL,Coal,8850,megawatthours
132,2024-08-06,12,2024-08-06T13-05,ERCO,COL,Coal,11408,megawatthours
133,2024-08-06,13,2024-08-06T14-05,ERCO,COL,Coal,12267,megawatthours
134,2024-08-06,14,2024-08-06T15-05,ERCO,COL,Coal,12261,megawatthours
135,2024-08-06,15,2024-08-06T16-05,ERCO,COL,Coal,12051,megawatthours
136,2024-08-06,16,2024-08-06T17-05,ERCO,COL,Coal,12114,megawatthours
137,2024-08-06,17,2024-08-06T18-05,ERCO,COL,Coal,12353,megawatthours
138,2024-08-06,18,2024-08-06T19-05,ERCO,COL,Coal,12640,megawatthours
139,2024-08-06,19,2024-08-06T20-05,ERCO,COL,Coal,12933,megawatthours
140,2024-08-06,20,2024-08-06T21-05,ERCO,COL,Coal,12946,megawatthours
141,2024-08-06,21,2024-08-06T22-05,ERCO,COL,Coal,11973,megawatthours
142,2024-08-06,22,2024-08-06T23-05,ERCO,COL,Coal,10040,megawatthours
143,2024-08-06,23,2024-08-07T00-05,ERCO,COL,Coal,8970,megawatthours
144,2024-08-07,0,2024-08-07T01-05,ERCO,COL,Coal,8171,megawatthours
145,2024-08-07,1,2024-08-07T02-05,ERCO,COL,Coal,7520,megawatthours
146,2024-08-07,2,2024-08-07T03-05,ERCO,COL,Coal,6767,megawatthours
147,2024-08-07,3,2024-08-07T04-05,ERCO,COL,Coal,6537,megawatthours
148,2024-08-07,4,2024-08-07T05-05,ERCO,COL,Coal,6531,megawatthours
149,2024-08-07,5,2024-08-07T06-05,ERCO,COL,Coal,7046,megawatthours
150,2024-08-07,6,2024-08-07T07-05,ERCO,COL,Coal,7739,megawatthours
151,2024-08-07,7,2024-08-07T08-05,ERCO,COL,Coal,7473,megawatthours
152,2024-08-07,8,2024-08-07T09-05,ERCO,COL,Coal,6555,megawatthours
153,2024-08-07,9,2024-08-07T10-05,ERCO,COL,Coal,6462,megawatthours
154,2024-08-07,10,2024-08-07T11-05,ERCO,COL,Coal,7652,megawatthours
155,2024-08-07,11,2024-08-07T12-05,ERCO,COL,Coal,10267,megawatthours
156,2024-08-07,12,2024-08-07T13-05,ERCO,COL,Coal,11980,megawatthours
157,2024-08-07,13,2024-08-07T14-05,ERCO,COL,Coal,12330,megawatthours
158,2024-08-07,14,2024-08-07T15-05,ERCO,COL,Coal,12284,megawatthours
159,2024-08-07,15,2024-08-07T16-05,ERCO,COL,Coal,12230,megawatthours
160,2024-08-07,16,2024-08-07T17-05,ERCO,COL,Coal,12177,megawatthours
161,2024-08-07,17,2024-08-07T18-05,ERCO,COL,Coal,12159,megawatthours
162,2024-08-07,18,2024-08-07T19-05,ERCO,COL,Coal,11723,megawatthours
163,2024-08-07,19,2024-08-07T20-05,ERCO,COL,Coal,11923,megawatthours
164,2024-08-07,20,2024-08-07T21-05,ERCO,COL,Coal,12176,megawatthours
165,2024-08-07,21,2024-08-07T22-05,ERCO,COL,Coal,11698,megawatthours
166,2024-08-07,22,2024-08-07T23-05,ERCO,COL,Coal,9874,megawatthours
167,2024-08-07,23,2024-08-08T00-05,ERCO,COL,Coal,8513,megawatthours
168,2024-08-08,0,2024-08-08T01-05,ERCO,COL,Coal,7913,megawatthours
169,2024-08-08,1,2024-08-08T02-05,ERCO,COL,Coal,7517,megawatthours
170,2024-08-08,2,2024-08-08T03-05,ERCO,COL,Coal,7272,megawatthours
171,2024-08-08,3,2024-08-08T04-05,ERCO,COL,Coal,7529,megawatthours
172,2024-08-08,4,2024-08-08T05-05,ERCO,COL,Coal,7640,megawatthours
173,2024-08-08,5,2024-08-08T06-05,ERCO,COL,Coal,7656,megawatthours
174,2024-08-08,6,2024-08-08T07-05,ERCO,COL,Coal,8087,megawatthours
175,2024-08-08,7,2024-08-08T08-05,ERCO,COL,Coal,8176,megawatthours
176,2024-08-08,8,2024-08-08T09-05,ERCO,COL,Coal,7191,megawatthours
177,2024-08-08,9,2024-08-08T10-05,ERCO,COL,Coal,7606,megawatthours
178,2024-08-08,10,2024-08-08T11-05,ERCO,COL,Coal,8904,megawatthours
179,2024-08-08,11,2024-08-08T12-05,ERCO,COL,Coal,10104,megawatthours
180,2024-08-08,12,2024-08-08T13-05,ERCO,COL,Coal,10441,megawatthours
181,2024-08-08,13,2024-08-08T14-05,ERCO,COL,Coal,10628,megawatthours
182,2024-08-08,14,2024-08-08T15-05,ERCO,COL,Coal,10740,megawatthours
183,2024-08-08,15,2024-08-08T16-05,ERCO,COL,Coal,10962,megawatthours
184,2024-08-08,16,2024-08-08T17-05,ERCO,COL,Coal,10507,megawatthours
185,2024-08-08,17,2024-08-08T18-05,ERCO,COL,Coal,10274,megawatthours
186,2024-08-08,18,2024-08-08T19-05,ERCO,COL,Coal,10210,megawatthours
187,2024-08-08,19,2024-08-08T20-05,ERCO,COL,Coal,11551,megawatthours
188,2024-08-08,20,2024-08-08T21-05,ERCO,COL,Coal,11968,megawatthours
189,2024-08-08,21,2024-08-08T22-05,ERCO,COL,Coal,11722,megawatthours
190,2024-08-08,22,2024-08-08T23-05,ERCO,COL,Coal,11451,megawatthours
191,2024-08-08,23,2024-08-09T00-05,ERCO,COL,Coal,11399,megawatthours
