date,electric,industrial,resi_comm
2025-04-17,2.181,1.258,0.998
2025-04-18,1.693,0.9179999999999999,0.674
2025-04-19,1.36,0.6066666666666667,0.41111111111111115
2025-04-20,1.54,0.83,0.61
2025-04-21,1.9344444444444444,1.0499999999999998,0.7933333333333334
2025-04-22,1.80375,0.85875,0.6387499999999999
2025-04-23,1.7914285714285714,0.8814285714285715,0.6571428571428571
2025-04-24,1.8033333333333335,0.8233333333333334,0.5983333333333334
2025-04-25,1.65,0.6839999999999999,0.466
2025-04-26,1.5825,0.715,0.485
2025-04-27,1.7525,0.9375,0.6875
2025-04-28,1.805,0.8925000000000001,0.6675
2025-04-29,1.7033333333333331,0.89,0.6733333333333333
2025-04-30,1.8199999999999998,0.9950000000000001,0.77
2025-05-01,2.05,1.06,0.82
