,period,respondent-name,value,value-units
7907,2019-08-05T12,Tennessee,16540,megawatthours
7906,2019-08-05T13,Tennessee,17492,megawatthours
7905,2019-08-05T14,Tennessee,18653,megawatthours
7904,2019-08-05T15,Tennessee,19898,megawatthours
7903,2019-08-05T16,Tennessee,21363,megawatthours
7902,2019-08-05T17,Tennessee,22950,megawatthours
7901,2019-08-05T18,Tennessee,24295,megawatthours
7900,2019-08-05T19,Tennessee,25393,megawatthours
7899,2019-08-05T20,Tennessee,26311,megawatthours
7898,2019-08-05T21,Tennessee,26757,megawatthours
7897,2019-08-05T22,Tennessee,26864,megawatthours
7896,2019-08-05T23,Tennessee,26697,megawatthours
7895,2019-08-06T00,Tennessee,25959,megawatthours
7894,2019-08-06T01,Tennessee,24737,megawatthours
7893,2019-08-06T02,Tennessee,23898,megawatthours
7892,2019-08-06T03,Tennessee,22149,megawatthours
7891,2019-08-06T04,Tennessee,20080,megawatthours
7890,2019-08-06T05,Tennessee,18263,megawatthours
7889,2019-08-06T06,Tennessee,17078,megawatthours
7888,2019-08-06T07,Tennessee,16148,megawatthours
7887,2019-08-06T08,Tennessee,15566,megawatthours
7886,2019-08-06T09,Tennessee,15143,megawatthours
7885,2019-08-06T10,Tennessee,15271,megawatthours
7884,2019-08-06T11,Tennessee,16137,megawatthours
7883,2019-08-06T12,Tennessee,16929,megawatthours
7882,2019-08-06T13,Tennessee,17864,megawatthours
7881,2019-08-06T14,Tennessee,19182,megawatthours
7880,2019-08-06T15,Tennessee,20820,megawatthours
7879,2019-08-06T16,Tennessee,22541,megawatthours
7878,2019-08-06T17,Tennessee,23987,megawatthours
7877,2019-08-06T18,Tennessee,25358,megawatthours
7876,2019-08-06T19,Tennessee,26233,megawatthours
7875,2019-08-06T20,Tennessee,26929,megawatthours
7874,2019-08-06T21,Tennessee,27385,megawatthours
7873,2019-08-06T22,Tennessee,27492,megawatthours
7872,2019-08-06T23,Tennessee,27181,megawatthours
7871,2019-08-07T00,Tennessee,26483,megawatthours
7870,2019-08-07T01,Tennessee,25547,megawatthours
7869,2019-08-07T02,Tennessee,24203,megawatthours
7868,2019-08-07T03,Tennessee,22263,megawatthours
7867,2019-08-07T04,Tennessee,20318,megawatthours
7866,2019-08-07T05,Tennessee,18602,megawatthours
7865,2019-08-07T06,Tennessee,17385,megawatthours
7864,2019-08-07T07,Tennessee,16467,megawatthours
7863,2019-08-07T08,Tennessee,15902,megawatthours
7862,2019-08-07T09,Tennessee,15459,megawatthours
7861,2019-08-07T10,Tennessee,15496,megawatthours
7860,2019-08-07T11,Tennessee,16379,megawatthours
7859,2019-08-07T12,Tennessee,17245,megawatthours
7858,2019-08-07T13,Tennessee,18131,megawatthours
7857,2019-08-07T14,Tennessee,19216,megawatthours
7856,2019-08-07T15,Tennessee,20611,megawatthours
7855,2019-08-07T16,Tennessee,22340,megawatthours
7854,2019-08-07T17,Tennessee,23918,megawatthours
7853,2019-08-07T18,Tennessee,25367,megawatthours
7852,2019-08-07T19,Tennessee,26483,megawatthours
7851,2019-08-07T20,Tennessee,27047,megawatthours
7850,2019-08-07T21,Tennessee,27199,megawatthours
7849,2019-08-07T22,Tennessee,26647,megawatthours
7848,2019-08-07T23,Tennessee,25357,megawatthours
7847,2019-08-08T00,Tennessee,24320,megawatthours
7846,2019-08-08T01,Tennessee,23273,megawatthours
7845,2019-08-08T02,Tennessee,22641,megawatthours
7844,2019-08-08T03,Tennessee,21139,megawatthours
7843,2019-08-08T04,Tennessee,19360,megawatthours
7842,2019-08-08T05,Tennessee,17813,megawatthours
7841,2019-08-08T06,Tennessee,16724,megawatthours
7840,2019-08-08T07,Tennessee,15947,megawatthours
7839,2019-08-08T08,Tennessee,15446,megawatthours
7838,2019-08-08T09,Tennessee,15185,megawatthours
7837,2019-08-08T10,Tennessee,15457,megawatthours
7836,2019-08-08T11,Tennessee,16451,megawatthours
7835,2019-08-08T12,Tennessee,17437,megawatthours
7834,2019-08-08T13,Tennessee,18240,megawatthours
7833,2019-08-08T14,Tennessee,19225,megawatthours
7832,2019-08-08T15,Tennessee,20437,megawatthours
7831,2019-08-08T16,Tennessee,21797,megawatthours
7830,2019-08-08T17,Tennessee,22985,megawatthours
7829,2019-08-08T18,Tennessee,23941,megawatthours
7828,2019-08-08T19,Tennessee,24687,megawatthours
7827,2019-08-08T20,Tennessee,25111,megawatthours
7826,2019-08-08T21,Tennessee,25575,megawatthours
7825,2019-08-08T22,Tennessee,25776,megawatthours
7824,2019-08-08T23,Tennessee,25544,megawatthours
7823,2019-08-09T00,Tennessee,24736,megawatthours
7822,2019-08-09T01,Tennessee,24124,megawatthours
7821,2019-08-09T02,Tennessee,23536,megawatthours
7820,2019-08-09T03,Tennessee,22086,megawatthours
7819,2019-08-09T04,Tennessee,20333,megawatthours
7818,2019-08-09T05,Tennessee,18821,megawatthours
7817,2019-08-09T06,Tennessee,17558,megawatthours
7816,2019-08-09T07,Tennessee,16891,megawatthours
7815,2019-08-09T08,Tennessee,16321,megawatthours
7814,2019-08-09T09,Tennessee,16080,megawatthours
7813,2019-08-09T10,Tennessee,16328,megawatthours
7812,2019-08-09T11,Tennessee,17078,megawatthours
7811,2019-08-09T12,Tennessee,17960,megawatthours
7810,2019-08-09T13,Tennessee,18789,megawatthours
7809,2019-08-09T14,Tennessee,19966,megawatthours
7808,2019-08-09T15,Tennessee,21408,megawatthours
7807,2019-08-09T16,Tennessee,22737,megawatthours
7806,2019-08-09T17,Tennessee,24027,megawatthours
7805,2019-08-09T18,Tennessee,25084,megawatthours
7804,2019-08-09T19,Tennessee,25707,megawatthours
7803,2019-08-09T20,Tennessee,25964,megawatthours
7802,2019-08-09T21,Tennessee,26109,megawatthours
7801,2019-08-09T22,Tennessee,26072,megawatthours
7800,2019-08-09T23,Tennessee,25746,megawatthours
7799,2019-08-10T00,Tennessee,24793,megawatthours
7798,2019-08-10T01,Tennessee,23959,megawatthours
7797,2019-08-10T02,Tennessee,23446,megawatthours
7796,2019-08-10T03,Tennessee,22009,megawatthours
7795,2019-08-10T04,Tennessee,20449,megawatthours
7794,2019-08-10T05,Tennessee,18898,megawatthours
7793,2019-08-10T06,Tennessee,17660,megawatthours
7792,2019-08-10T07,Tennessee,16869,megawatthours
7791,2019-08-10T08,Tennessee,16176,megawatthours
7790,2019-08-10T09,Tennessee,15839,megawatthours
7789,2019-08-10T10,Tennessee,15707,megawatthours
7788,2019-08-10T11,Tennessee,15865,megawatthours
7787,2019-08-10T12,Tennessee,16065,megawatthours
7786,2019-08-10T13,Tennessee,17009,megawatthours
7785,2019-08-10T14,Tennessee,18484,megawatthours
7784,2019-08-10T15,Tennessee,20283,megawatthours
7783,2019-08-10T16,Tennessee,22000,megawatthours
7782,2019-08-10T17,Tennessee,23464,megawatthours
7781,2019-08-10T18,Tennessee,24454,megawatthours
7780,2019-08-10T19,Tennessee,25418,megawatthours
7779,2019-08-10T20,Tennessee,25975,megawatthours
7778,2019-08-10T21,Tennessee,26237,megawatthours
7777,2019-08-10T22,Tennessee,26399,megawatthours
7776,2019-08-10T23,Tennessee,26148,megawatthours
7775,2019-08-11T00,Tennessee,25308,megawatthours
7774,2019-08-11T01,Tennessee,24097,megawatthours
7773,2019-08-11T02,Tennessee,23305,megawatthours
7772,2019-08-11T03,Tennessee,21881,megawatthours
7771,2019-08-11T04,Tennessee,20212,megawatthours
7770,2019-08-11T05,Tennessee,18572,megawatthours
7769,2019-08-11T06,Tennessee,17216,megawatthours
7768,2019-08-11T07,Tennessee,16278,megawatthours
7767,2019-08-11T08,Tennessee,15556,megawatthours
7766,2019-08-11T09,Tennessee,15002,megawatthours
7765,2019-08-11T10,Tennessee,14765,megawatthours
7764,2019-08-11T11,Tennessee,14682,megawatthours
7763,2019-08-11T12,Tennessee,14776,megawatthours
7762,2019-08-11T13,Tennessee,15934,megawatthours
7761,2019-08-11T14,Tennessee,17900,megawatthours
7760,2019-08-11T15,Tennessee,19590,megawatthours
7759,2019-08-11T16,Tennessee,21391,megawatthours
7758,2019-08-11T17,Tennessee,23057,megawatthours
7757,2019-08-11T18,Tennessee,24404,megawatthours
7756,2019-08-11T19,Tennessee,25420,megawatthours
7755,2019-08-11T20,Tennessee,26067,megawatthours
7754,2019-08-11T21,Tennessee,26554,megawatthours
7753,2019-08-11T22,Tennessee,26678,megawatthours
7752,2019-08-11T23,Tennessee,26467,megawatthours
7751,2019-08-12T00,Tennessee,25519,megawatthours
7750,2019-08-12T01,Tennessee,24529,megawatthours
7749,2019-08-12T02,Tennessee,23746,megawatthours
7748,2019-08-12T03,Tennessee,22041,megawatthours
7747,2019-08-12T04,Tennessee,20062,megawatthours
7746,2019-08-12T05,Tennessee,18374,megawatthours
7745,2019-08-12T06,Tennessee,17088,megawatthours
7744,2019-08-12T07,Tennessee,16198,megawatthours
7743,2019-08-12T08,Tennessee,15640,megawatthours
7742,2019-08-12T09,Tennessee,15522,megawatthours
7741,2019-08-12T10,Tennessee,15743,megawatthours
7740,2019-08-12T11,Tennessee,16782,megawatthours
7739,2019-08-12T12,Tennessee,17763,megawatthours
7738,2019-08-12T13,Tennessee,18572,megawatthours
7737,2019-08-12T14,Tennessee,19851,megawatthours
7736,2019-08-12T15,Tennessee,21602,megawatthours
7735,2019-08-12T16,Tennessee,23509,megawatthours
7734,2019-08-12T17,Tennessee,25429,megawatthours
7733,2019-08-12T18,Tennessee,27065,megawatthours
7732,2019-08-12T19,Tennessee,28150,megawatthours
7731,2019-08-12T20,Tennessee,28869,megawatthours
7730,2019-08-12T21,Tennessee,29289,megawatthours
7729,2019-08-12T22,Tennessee,29355,megawatthours
7728,2019-08-12T23,Tennessee,29286,megawatthours
7727,2019-08-13T00,Tennessee,28658,megawatthours
7726,2019-08-13T01,Tennessee,27782,megawatthours
7725,2019-08-13T02,Tennessee,27059,megawatthours
7724,2019-08-13T03,Tennessee,25114,megawatthours
7723,2019-08-13T04,Tennessee,23042,megawatthours
7722,2019-08-13T05,Tennessee,21288,megawatthours
7721,2019-08-13T06,Tennessee,20003,megawatthours
7720,2019-08-13T07,Tennessee,18975,megawatthours
7719,2019-08-13T08,Tennessee,18305,megawatthours
7718,2019-08-13T09,Tennessee,17968,megawatthours
7717,2019-08-13T10,Tennessee,18134,megawatthours
7716,2019-08-13T11,Tennessee,19028,megawatthours
7715,2019-08-13T12,Tennessee,19798,megawatthours
7714,2019-08-13T13,Tennessee,20811,megawatthours
7713,2019-08-13T14,Tennessee,22397,megawatthours
7712,2019-08-13T15,Tennessee,24411,megawatthours
7711,2019-08-13T16,Tennessee,26250,megawatthours
7710,2019-08-13T17,Tennessee,27649,megawatthours
7709,2019-08-13T18,Tennessee,28501,megawatthours
7708,2019-08-13T19,Tennessee,29110,megawatthours
7707,2019-08-13T20,Tennessee,29568,megawatthours
7706,2019-08-13T21,Tennessee,29388,megawatthours
7705,2019-08-13T22,Tennessee,28923,megawatthours
7704,2019-08-13T23,Tennessee,28493,megawatthours
7703,2019-08-14T00,Tennessee,27624,megawatthours
7702,2019-08-14T01,Tennessee,26563,megawatthours
7701,2019-08-14T02,Tennessee,25244,megawatthours
7700,2019-08-14T03,Tennessee,23326,megawatthours
7699,2019-08-14T04,Tennessee,21461,megawatthours
7698,2019-08-14T05,Tennessee,19768,megawatthours
7697,2019-08-14T06,Tennessee,18529,megawatthours
7696,2019-08-14T07,Tennessee,17706,megawatthours
7695,2019-08-14T08,Tennessee,17003,megawatthours
7694,2019-08-14T09,Tennessee,16764,megawatthours
7693,2019-08-14T10,Tennessee,16727,megawatthours
7692,2019-08-14T11,Tennessee,17380,megawatthours
7691,2019-08-14T12,Tennessee,18425,megawatthours
7690,2019-08-14T13,Tennessee,19108,megawatthours
7689,2019-08-14T14,Tennessee,20163,megawatthours
7688,2019-08-14T15,Tennessee,21560,megawatthours
7687,2019-08-14T16,Tennessee,23116,megawatthours
7686,2019-08-14T17,Tennessee,24722,megawatthours
7685,2019-08-14T18,Tennessee,25617,megawatthours
7684,2019-08-14T19,Tennessee,26444,megawatthours
7683,2019-08-14T20,Tennessee,27081,megawatthours
7682,2019-08-14T21,Tennessee,27641,megawatthours
7681,2019-08-14T22,Tennessee,27791,megawatthours
7680,2019-08-14T23,Tennessee,27538,megawatthours
7679,2019-08-15T00,Tennessee,26594,megawatthours
7678,2019-08-15T01,Tennessee,25263,megawatthours
7677,2019-08-15T02,Tennessee,24301,megawatthours
7676,2019-08-15T03,Tennessee,22410,megawatthours
7675,2019-08-15T04,Tennessee,20416,megawatthours
7674,2019-08-15T05,Tennessee,18569,megawatthours
7673,2019-08-15T06,Tennessee,17389,megawatthours
7672,2019-08-15T07,Tennessee,16324,megawatthours
7671,2019-08-15T08,Tennessee,15668,megawatthours
7670,2019-08-15T09,Tennessee,15354,megawatthours
7669,2019-08-15T10,Tennessee,15518,megawatthours
7668,2019-08-15T11,Tennessee,16556,megawatthours
7667,2019-08-15T12,Tennessee,17481,megawatthours
7666,2019-08-15T13,Tennessee,18320,megawatthours
7665,2019-08-15T14,Tennessee,19574,megawatthours
7664,2019-08-15T15,Tennessee,21124,megawatthours
7663,2019-08-15T16,Tennessee,22850,megawatthours
7662,2019-08-15T17,Tennessee,24406,megawatthours
7661,2019-08-15T18,Tennessee,25502,megawatthours
7660,2019-08-15T19,Tennessee,26274,megawatthours
7659,2019-08-15T20,Tennessee,26841,megawatthours
7658,2019-08-15T21,Tennessee,27239,megawatthours
7657,2019-08-15T22,Tennessee,27399,megawatthours
7656,2019-08-15T23,Tennessee,26919,megawatthours
7655,2019-08-16T00,Tennessee,25918,megawatthours
7654,2019-08-16T01,Tennessee,24620,megawatthours
7653,2019-08-16T02,Tennessee,23726,megawatthours
7652,2019-08-16T03,Tennessee,21908,megawatthours
7651,2019-08-16T04,Tennessee,19764,megawatthours
7650,2019-08-16T05,Tennessee,17954,megawatthours
7649,2019-08-16T06,Tennessee,16764,megawatthours
7648,2019-08-16T07,Tennessee,15796,megawatthours
7647,2019-08-16T08,Tennessee,15127,megawatthours
7646,2019-08-16T09,Tennessee,14900,megawatthours
7645,2019-08-16T10,Tennessee,14960,megawatthours
7644,2019-08-16T11,Tennessee,15854,megawatthours
7643,2019-08-16T12,Tennessee,16720,megawatthours
7642,2019-08-16T13,Tennessee,17574,megawatthours
7641,2019-08-16T14,Tennessee,18878,megawatthours
7640,2019-08-16T15,Tennessee,20286,megawatthours
7639,2019-08-16T16,Tennessee,21871,megawatthours
7638,2019-08-16T17,Tennessee,23251,megawatthours
7637,2019-08-16T18,Tennessee,24602,megawatthours
7636,2019-08-16T19,Tennessee,25765,megawatthours
7635,2019-08-16T20,Tennessee,26545,megawatthours
7634,2019-08-16T21,Tennessee,27044,megawatthours
7633,2019-08-16T22,Tennessee,27371,megawatthours
7632,2019-08-16T23,Tennessee,26927,megawatthours
7631,2019-08-17T00,Tennessee,25798,megawatthours
7630,2019-08-17T01,Tennessee,24418,megawatthours
7629,2019-08-17T02,Tennessee,23510,megawatthours
7628,2019-08-17T03,Tennessee,21905,megawatthours
7627,2019-08-17T04,Tennessee,20158,megawatthours
7626,2019-08-17T05,Tennessee,18262,megawatthours
7625,2019-08-17T06,Tennessee,16999,megawatthours
7624,2019-08-17T07,Tennessee,16087,megawatthours
7623,2019-08-17T08,Tennessee,15422,megawatthours
7622,2019-08-17T09,Tennessee,14913,megawatthours
7621,2019-08-17T10,Tennessee,14665,megawatthours
7620,2019-08-17T11,Tennessee,14787,megawatthours
7619,2019-08-17T12,Tennessee,14935,megawatthours
7618,2019-08-17T13,Tennessee,15928,megawatthours
7617,2019-08-17T14,Tennessee,17633,megawatthours
7616,2019-08-17T15,Tennessee,19637,megawatthours
7615,2019-08-17T16,Tennessee,21760,megawatthours
7614,2019-08-17T17,Tennessee,23598,megawatthours
7613,2019-08-17T18,Tennessee,25143,megawatthours
7612,2019-08-17T19,Tennessee,26187,megawatthours
7611,2019-08-17T20,Tennessee,26926,megawatthours
7610,2019-08-17T21,Tennessee,27399,megawatthours
7609,2019-08-17T22,Tennessee,27612,megawatthours
7608,2019-08-17T23,Tennessee,27405,megawatthours
7607,2019-08-18T00,Tennessee,26343,megawatthours
7606,2019-08-18T01,Tennessee,25041,megawatthours
7605,2019-08-18T02,Tennessee,23995,megawatthours
7604,2019-08-18T03,Tennessee,22315,megawatthours
7603,2019-08-18T04,Tennessee,20446,megawatthours
7602,2019-08-18T05,Tennessee,18712,megawatthours
7601,2019-08-18T06,Tennessee,17311,megawatthours
7600,2019-08-18T07,Tennessee,16310,megawatthours
7599,2019-08-18T08,Tennessee,15540,megawatthours
7598,2019-08-18T09,Tennessee,15012,megawatthours
7597,2019-08-18T10,Tennessee,14793,megawatthours
7596,2019-08-18T11,Tennessee,14587,megawatthours
7595,2019-08-18T12,Tennessee,14655,megawatthours
7594,2019-08-18T13,Tennessee,16009,megawatthours
7593,2019-08-18T14,Tennessee,18038,megawatthours
7592,2019-08-18T15,Tennessee,20027,megawatthours
7591,2019-08-18T16,Tennessee,22091,megawatthours
7590,2019-08-18T17,Tennessee,23950,megawatthours
7589,2019-08-18T18,Tennessee,25570,megawatthours
7588,2019-08-18T19,Tennessee,26700,megawatthours
7587,2019-08-18T20,Tennessee,27351,megawatthours
7586,2019-08-18T21,Tennessee,27875,megawatthours
7585,2019-08-18T22,Tennessee,28037,megawatthours
7584,2019-08-18T23,Tennessee,27711,megawatthours
7583,2019-08-19T00,Tennessee,26525,megawatthours
7582,2019-08-19T01,Tennessee,25456,megawatthours
7581,2019-08-19T02,Tennessee,24561,megawatthours
7580,2019-08-19T03,Tennessee,22758,megawatthours
7579,2019-08-19T04,Tennessee,20873,megawatthours
7578,2019-08-19T05,Tennessee,19186,megawatthours
7577,2019-08-19T06,Tennessee,17973,megawatthours
7576,2019-08-19T07,Tennessee,17026,megawatthours
7575,2019-08-19T08,Tennessee,16543,megawatthours
7574,2019-08-19T09,Tennessee,16139,megawatthours
7573,2019-08-19T10,Tennessee,16353,megawatthours
7572,2019-08-19T11,Tennessee,17349,megawatthours
7571,2019-08-19T12,Tennessee,18331,megawatthours
7570,2019-08-19T13,Tennessee,19176,megawatthours
7569,2019-08-19T14,Tennessee,20564,megawatthours
7568,2019-08-19T15,Tennessee,22260,megawatthours
7567,2019-08-19T16,Tennessee,24374,megawatthours
7566,2019-08-19T17,Tennessee,26171,megawatthours
7565,2019-08-19T18,Tennessee,27827,megawatthours
7564,2019-08-19T19,Tennessee,28680,megawatthours
7563,2019-08-19T20,Tennessee,29202,megawatthours
7562,2019-08-19T21,Tennessee,29342,megawatthours
7561,2019-08-19T22,Tennessee,29082,megawatthours
7560,2019-08-19T23,Tennessee,28484,megawatthours
7559,2019-08-20T00,Tennessee,27563,megawatthours
7558,2019-08-20T01,Tennessee,26694,megawatthours
7557,2019-08-20T02,Tennessee,25891,megawatthours
7556,2019-08-20T03,Tennessee,23893,megawatthours
7555,2019-08-20T04,Tennessee,21795,megawatthours
7554,2019-08-20T05,Tennessee,20080,megawatthours
7553,2019-08-20T06,Tennessee,18834,megawatthours
7552,2019-08-20T07,Tennessee,17818,megawatthours
7551,2019-08-20T08,Tennessee,17160,megawatthours
7550,2019-08-20T09,Tennessee,16751,megawatthours
7549,2019-08-20T10,Tennessee,16891,megawatthours
7548,2019-08-20T11,Tennessee,17529,megawatthours
7547,2019-08-20T12,Tennessee,18424,megawatthours
7546,2019-08-20T13,Tennessee,19224,megawatthours
7545,2019-08-20T14,Tennessee,20671,megawatthours
7544,2019-08-20T15,Tennessee,22551,megawatthours
7543,2019-08-20T16,Tennessee,24417,megawatthours
7542,2019-08-20T17,Tennessee,26151,megawatthours
7541,2019-08-20T18,Tennessee,27672,megawatthours
7540,2019-08-20T19,Tennessee,28613,megawatthours
7539,2019-08-20T20,Tennessee,29310,megawatthours
7538,2019-08-20T21,Tennessee,29304,megawatthours
7537,2019-08-20T22,Tennessee,29182,megawatthours
7536,2019-08-20T23,Tennessee,28461,megawatthours
7535,2019-08-21T00,Tennessee,27146,megawatthours
7534,2019-08-21T01,Tennessee,26208,megawatthours
7533,2019-08-21T02,Tennessee,24989,megawatthours
7532,2019-08-21T03,Tennessee,23085,megawatthours
7531,2019-08-21T04,Tennessee,21097,megawatthours
7530,2019-08-21T05,Tennessee,19316,megawatthours
7529,2019-08-21T06,Tennessee,18072,megawatthours
7528,2019-08-21T07,Tennessee,17145,megawatthours
7527,2019-08-21T08,Tennessee,16468,megawatthours
7526,2019-08-21T09,Tennessee,16119,megawatthours
7525,2019-08-21T10,Tennessee,16254,megawatthours
7524,2019-08-21T11,Tennessee,17081,megawatthours
7523,2019-08-21T12,Tennessee,17973,megawatthours
7522,2019-08-21T13,Tennessee,18804,megawatthours
7521,2019-08-21T14,Tennessee,20073,megawatthours
7520,2019-08-21T15,Tennessee,21739,megawatthours
7519,2019-08-21T16,Tennessee,23526,megawatthours
7518,2019-08-21T17,Tennessee,25280,megawatthours
7517,2019-08-21T18,Tennessee,26645,megawatthours
7516,2019-08-21T19,Tennessee,27849,megawatthours
7515,2019-08-21T20,Tennessee,28546,megawatthours
7514,2019-08-21T21,Tennessee,29187,megawatthours
7513,2019-08-21T22,Tennessee,29294,megawatthours
7512,2019-08-21T23,Tennessee,29124,megawatthours
7511,2019-08-22T00,Tennessee,28256,megawatthours
7510,2019-08-22T01,Tennessee,27212,megawatthours
7509,2019-08-22T02,Tennessee,26146,megawatthours
7508,2019-08-22T03,Tennessee,24287,megawatthours
7507,2019-08-22T04,Tennessee,22290,megawatthours
7506,2019-08-22T05,Tennessee,20339,megawatthours
7505,2019-08-22T06,Tennessee,19033,megawatthours
7504,2019-08-22T07,Tennessee,18113,megawatthours
7503,2019-08-22T08,Tennessee,17382,megawatthours
7502,2019-08-22T09,Tennessee,17033,megawatthours
7501,2019-08-22T10,Tennessee,17143,megawatthours
7500,2019-08-22T11,Tennessee,18105,megawatthours
7499,2019-08-22T12,Tennessee,19025,megawatthours
7498,2019-08-22T13,Tennessee,19556,megawatthours
7497,2019-08-22T14,Tennessee,20463,megawatthours
7496,2019-08-22T15,Tennessee,21721,megawatthours
7495,2019-08-22T16,Tennessee,23107,megawatthours
7494,2019-08-22T17,Tennessee,24204,megawatthours
7493,2019-08-22T18,Tennessee,25188,megawatthours
7492,2019-08-22T19,Tennessee,26170,megawatthours
7491,2019-08-22T20,Tennessee,26620,megawatthours
7490,2019-08-22T21,Tennessee,26668,megawatthours
7489,2019-08-22T22,Tennessee,26268,megawatthours
7488,2019-08-22T23,Tennessee,25413,megawatthours
7487,2019-08-23T00,Tennessee,24261,megawatthours
7486,2019-08-23T01,Tennessee,23563,megawatthours
7485,2019-08-23T02,Tennessee,23023,megawatthours
7484,2019-08-23T03,Tennessee,21541,megawatthours
7483,2019-08-23T04,Tennessee,19847,megawatthours
7482,2019-08-23T05,Tennessee,18215,megawatthours
7481,2019-08-23T06,Tennessee,17248,megawatthours
7480,2019-08-23T07,Tennessee,16488,megawatthours
7479,2019-08-23T08,Tennessee,16087,megawatthours
7478,2019-08-23T09,Tennessee,15831,megawatthours
7477,2019-08-23T10,Tennessee,16111,megawatthours
7476,2019-08-23T11,Tennessee,17017,megawatthours
7475,2019-08-23T12,Tennessee,17936,megawatthours
7474,2019-08-23T13,Tennessee,18541,megawatthours
7473,2019-08-23T14,Tennessee,19628,megawatthours
7472,2019-08-23T15,Tennessee,20770,megawatthours
7471,2019-08-23T16,Tennessee,21951,megawatthours
7470,2019-08-23T17,Tennessee,23287,megawatthours
7469,2019-08-23T18,Tennessee,24411,megawatthours
7468,2019-08-23T19,Tennessee,25310,megawatthours
7467,2019-08-23T20,Tennessee,25713,megawatthours
7466,2019-08-23T21,Tennessee,25642,megawatthours
7465,2019-08-23T22,Tennessee,25307,megawatthours
7464,2019-08-23T23,Tennessee,24670,megawatthours
7463,2019-08-24T00,Tennessee,23557,megawatthours
7462,2019-08-24T01,Tennessee,22747,megawatthours
7461,2019-08-24T02,Tennessee,21994,megawatthours
7460,2019-08-24T03,Tennessee,20722,megawatthours
7459,2019-08-24T04,Tennessee,19280,megawatthours
7458,2019-08-24T05,Tennessee,17925,megawatthours
7457,2019-08-24T06,Tennessee,16806,megawatthours
7456,2019-08-24T07,Tennessee,16017,megawatthours
7455,2019-08-24T08,Tennessee,15501,megawatthours
7454,2019-08-24T09,Tennessee,15128,megawatthours
7453,2019-08-24T10,Tennessee,15097,megawatthours
7452,2019-08-24T11,Tennessee,15265,megawatthours
7451,2019-08-24T12,Tennessee,15395,megawatthours
7450,2019-08-24T13,Tennessee,16048,megawatthours
7449,2019-08-24T14,Tennessee,16962,megawatthours
7448,2019-08-24T15,Tennessee,18073,megawatthours
7447,2019-08-24T16,Tennessee,19041,megawatthours
7446,2019-08-24T17,Tennessee,20387,megawatthours
7445,2019-08-24T18,Tennessee,21618,megawatthours
7444,2019-08-24T19,Tennessee,22529,megawatthours
7443,2019-08-24T20,Tennessee,23207,megawatthours
7442,2019-08-24T21,Tennessee,23656,megawatthours
7441,2019-08-24T22,Tennessee,23616,megawatthours
7440,2019-08-24T23,Tennessee,23208,megawatthours
7439,2019-08-25T00,Tennessee,22338,megawatthours
7438,2019-08-25T01,Tennessee,21697,megawatthours
7437,2019-08-25T02,Tennessee,20911,megawatthours
7436,2019-08-25T03,Tennessee,19677,megawatthours
7435,2019-08-25T04,Tennessee,18065,megawatthours
7434,2019-08-25T05,Tennessee,16745,megawatthours
7433,2019-08-25T06,Tennessee,15744,megawatthours
7432,2019-08-25T07,Tennessee,15008,megawatthours
7431,2019-08-25T08,Tennessee,14556,megawatthours
7430,2019-08-25T09,Tennessee,14167,megawatthours
7429,2019-08-25T10,Tennessee,14145,megawatthours
7428,2019-08-25T11,Tennessee,14207,megawatthours
7427,2019-08-25T12,Tennessee,14388,megawatthours
7426,2019-08-25T13,Tennessee,15096,megawatthours
7425,2019-08-25T14,Tennessee,16220,megawatthours
7424,2019-08-25T15,Tennessee,17218,megawatthours
7423,2019-08-25T16,Tennessee,18026,megawatthours
7422,2019-08-25T17,Tennessee,18917,megawatthours
7421,2019-08-25T18,Tennessee,19624,megawatthours
7420,2019-08-25T19,Tennessee,20272,megawatthours
7419,2019-08-25T20,Tennessee,20509,megawatthours
7418,2019-08-25T21,Tennessee,20591,megawatthours
7417,2019-08-25T22,Tennessee,20612,megawatthours
7416,2019-08-25T23,Tennessee,20604,megawatthours
7415,2019-08-26T00,Tennessee,20145,megawatthours
7414,2019-08-26T01,Tennessee,20130,megawatthours
7413,2019-08-26T02,Tennessee,19661,megawatthours
7412,2019-08-26T03,Tennessee,18669,megawatthours
7411,2019-08-26T04,Tennessee,17357,megawatthours
7410,2019-08-26T05,Tennessee,16245,megawatthours
7409,2019-08-26T06,Tennessee,15510,megawatthours
7408,2019-08-26T07,Tennessee,15039,megawatthours
7407,2019-08-26T08,Tennessee,14763,megawatthours
7406,2019-08-26T09,Tennessee,14717,megawatthours
7405,2019-08-26T10,Tennessee,15197,megawatthours
7404,2019-08-26T11,Tennessee,16241,megawatthours
7403,2019-08-26T12,Tennessee,17500,megawatthours
7402,2019-08-26T13,Tennessee,17911,megawatthours
7401,2019-08-26T14,Tennessee,18221,megawatthours
7400,2019-08-26T15,Tennessee,18642,megawatthours
7399,2019-08-26T16,Tennessee,19093,megawatthours
7398,2019-08-26T17,Tennessee,19383,megawatthours
7397,2019-08-26T18,Tennessee,19666,megawatthours
7396,2019-08-26T19,Tennessee,19881,megawatthours
7395,2019-08-26T20,Tennessee,20135,megawatthours
7394,2019-08-26T21,Tennessee,20577,megawatthours
7393,2019-08-26T22,Tennessee,20778,megawatthours
7392,2019-08-26T23,Tennessee,20848,megawatthours
7391,2019-08-27T00,Tennessee,20704,megawatthours
