,period,respondent-name,value,value-units
4226,2019-01-05T21,Tennessee,15428,megawatthours
4225,2019-01-05T22,Tennessee,15392,megawatthours
4224,2019-01-05T23,Tennessee,15992,megawatthours
4223,2019-01-06T00,Tennessee,17357,megawatthours
4222,2019-01-06T01,Tennessee,17636,megawatthours
4221,2019-01-06T02,Tennessee,17663,megawatthours
4220,2019-01-06T03,Tennessee,17613,megawatthours
4219,2019-01-06T04,Tennessee,17377,megawatthours
4218,2019-01-06T05,Tennessee,17044,megawatthours
4217,2019-01-06T06,Tennessee,16656,megawatthours
4216,2019-01-06T07,Tennessee,16430,megawatthours
4215,2019-01-06T08,Tennessee,16317,megawatthours
4214,2019-01-06T09,Tennessee,16382,megawatthours
4213,2019-01-06T10,Tennessee,16656,megawatthours
4212,2019-01-06T11,Tennessee,17031,megawatthours
4211,2019-01-06T12,Tennessee,17700,megawatthours
4210,2019-01-06T13,Tennessee,18353,megawatthours
4209,2019-01-06T14,Tennessee,18829,megawatthours
4208,2019-01-06T15,Tennessee,18629,megawatthours
4207,2019-01-06T16,Tennessee,17438,megawatthours
4206,2019-01-06T17,Tennessee,16394,megawatthours
4205,2019-01-06T18,Tennessee,15665,megawatthours
4204,2019-01-06T19,Tennessee,15279,megawatthours
4203,2019-01-06T20,Tennessee,14944,megawatthours
4202,2019-01-06T21,Tennessee,14733,megawatthours
4201,2019-01-06T22,Tennessee,14875,megawatthours
4200,2019-01-06T23,Tennessee,15492,megawatthours
4199,2019-01-07T00,Tennessee,16948,megawatthours
4198,2019-01-07T01,Tennessee,17151,megawatthours
4197,2019-01-07T02,Tennessee,17156,megawatthours
4196,2019-01-07T03,Tennessee,16826,megawatthours
4195,2019-01-07T04,Tennessee,16364,megawatthours
4194,2019-01-07T05,Tennessee,15766,megawatthours
4193,2019-01-07T06,Tennessee,15170,megawatthours
4192,2019-01-07T07,Tennessee,14876,megawatthours
4191,2019-01-07T08,Tennessee,14722,megawatthours
4190,2019-01-07T09,Tennessee,14716,megawatthours
4189,2019-01-07T10,Tennessee,14918,megawatthours
4188,2019-01-07T11,Tennessee,15448,megawatthours
4187,2019-01-07T12,Tennessee,16756,megawatthours
4186,2019-01-07T13,Tennessee,18260,megawatthours
4185,2019-01-07T14,Tennessee,18356,megawatthours
4184,2019-01-07T15,Tennessee,17882,megawatthours
4183,2019-01-07T16,Tennessee,17368,megawatthours
4182,2019-01-07T17,Tennessee,17086,megawatthours
4181,2019-01-07T18,Tennessee,16732,megawatthours
4180,2019-01-07T19,Tennessee,16508,megawatthours
4179,2019-01-07T20,Tennessee,16343,megawatthours
4178,2019-01-07T21,Tennessee,16313,megawatthours
4177,2019-01-07T22,Tennessee,16168,megawatthours
4176,2019-01-07T23,Tennessee,17091,megawatthours
4175,2019-01-08T00,Tennessee,18023,megawatthours
4174,2019-01-08T01,Tennessee,18166,megawatthours
4173,2019-01-08T02,Tennessee,17617,megawatthours
4172,2019-01-08T03,Tennessee,17083,megawatthours
4171,2019-01-08T04,Tennessee,16291,megawatthours
4170,2019-01-08T05,Tennessee,15306,megawatthours
4169,2019-01-08T06,Tennessee,14472,megawatthours
4168,2019-01-08T07,Tennessee,13904,megawatthours
4167,2019-01-08T08,Tennessee,13648,megawatthours
4166,2019-01-08T09,Tennessee,13469,megawatthours
4165,2019-01-08T10,Tennessee,13457,megawatthours
4164,2019-01-08T11,Tennessee,13901,megawatthours
4163,2019-01-08T12,Tennessee,15243,megawatthours
4162,2019-01-08T13,Tennessee,16638,megawatthours
4161,2019-01-08T14,Tennessee,16813,megawatthours
4160,2019-01-08T15,Tennessee,16621,megawatthours
4159,2019-01-08T16,Tennessee,16554,megawatthours
4158,2019-01-08T17,Tennessee,16514,megawatthours
4157,2019-01-08T18,Tennessee,16374,megawatthours
4156,2019-01-08T19,Tennessee,16252,megawatthours
4155,2019-01-08T20,Tennessee,16071,megawatthours
4154,2019-01-08T21,Tennessee,15806,megawatthours
4153,2019-01-08T22,Tennessee,15862,megawatthours
4152,2019-01-08T23,Tennessee,16291,megawatthours
4151,2019-01-09T00,Tennessee,17480,megawatthours
4150,2019-01-09T01,Tennessee,17740,megawatthours
4149,2019-01-09T02,Tennessee,17761,megawatthours
4148,2019-01-09T03,Tennessee,17410,megawatthours
4147,2019-01-09T04,Tennessee,16967,megawatthours
4146,2019-01-09T05,Tennessee,16221,megawatthours
4145,2019-01-09T06,Tennessee,15698,megawatthours
4144,2019-01-09T07,Tennessee,15565,megawatthours
4143,2019-01-09T08,Tennessee,15594,megawatthours
4142,2019-01-09T09,Tennessee,15840,megawatthours
4141,2019-01-09T10,Tennessee,16254,megawatthours
4140,2019-01-09T11,Tennessee,16950,megawatthours
4139,2019-01-09T12,Tennessee,18682,megawatthours
4138,2019-01-09T13,Tennessee,20389,megawatthours
4137,2019-01-09T14,Tennessee,20475,megawatthours
4136,2019-01-09T15,Tennessee,19909,megawatthours
4135,2019-01-09T16,Tennessee,19369,megawatthours
4134,2019-01-09T17,Tennessee,18993,megawatthours
4133,2019-01-09T18,Tennessee,18580,megawatthours
4132,2019-01-09T19,Tennessee,18314,megawatthours
4131,2019-01-09T20,Tennessee,18033,megawatthours
4130,2019-01-09T21,Tennessee,17897,megawatthours
4129,2019-01-09T22,Tennessee,18103,megawatthours
4128,2019-01-09T23,Tennessee,19233,megawatthours
4127,2019-01-10T00,Tennessee,20967,megawatthours
4126,2019-01-10T01,Tennessee,21569,megawatthours
4125,2019-01-10T02,Tennessee,21753,megawatthours
4124,2019-01-10T03,Tennessee,21619,megawatthours
4123,2019-01-10T04,Tennessee,20973,megawatthours
4122,2019-01-10T05,Tennessee,20319,megawatthours
4121,2019-01-10T06,Tennessee,19917,megawatthours
4120,2019-01-10T07,Tennessee,19722,megawatthours
4119,2019-01-10T08,Tennessee,19633,megawatthours
4118,2019-01-10T09,Tennessee,19754,megawatthours
4117,2019-01-10T10,Tennessee,20184,megawatthours
4116,2019-01-10T11,Tennessee,21187,megawatthours
4115,2019-01-10T12,Tennessee,22740,megawatthours
4114,2019-01-10T13,Tennessee,24300,megawatthours
4113,2019-01-10T14,Tennessee,24368,megawatthours
4112,2019-01-10T15,Tennessee,23745,megawatthours
4111,2019-01-10T16,Tennessee,22910,megawatthours
4110,2019-01-10T17,Tennessee,21951,megawatthours
4109,2019-01-10T18,Tennessee,21030,megawatthours
4108,2019-01-10T19,Tennessee,20249,megawatthours
4107,2019-01-10T20,Tennessee,19710,megawatthours
4106,2019-01-10T21,Tennessee,19277,megawatthours
4105,2019-01-10T22,Tennessee,19417,megawatthours
4104,2019-01-10T23,Tennessee,20579,megawatthours
4103,2019-01-11T00,Tennessee,22388,megawatthours
4102,2019-01-11T01,Tennessee,23042,megawatthours
4101,2019-01-11T02,Tennessee,23359,megawatthours
4100,2019-01-11T03,Tennessee,23263,megawatthours
4099,2019-01-11T04,Tennessee,22627,megawatthours
4098,2019-01-11T05,Tennessee,21730,megawatthours
4097,2019-01-11T06,Tennessee,21343,megawatthours
4096,2019-01-11T07,Tennessee,21279,megawatthours
4095,2019-01-11T08,Tennessee,21300,megawatthours
4094,2019-01-11T09,Tennessee,21566,megawatthours
4093,2019-01-11T10,Tennessee,21972,megawatthours
4092,2019-01-11T11,Tennessee,22749,megawatthours
4091,2019-01-11T12,Tennessee,24318,megawatthours
4090,2019-01-11T13,Tennessee,25648,megawatthours
4089,2019-01-11T14,Tennessee,25504,megawatthours
4088,2019-01-11T15,Tennessee,24200,megawatthours
4087,2019-01-11T16,Tennessee,22983,megawatthours
4086,2019-01-11T17,Tennessee,21943,megawatthours
4085,2019-01-11T18,Tennessee,20962,megawatthours
4084,2019-01-11T19,Tennessee,20006,megawatthours
4083,2019-01-11T20,Tennessee,19397,megawatthours
4082,2019-01-11T21,Tennessee,19105,megawatthours
4081,2019-01-11T22,Tennessee,19243,megawatthours
4080,2019-01-11T23,Tennessee,20012,megawatthours
4079,2019-01-12T00,Tennessee,21028,megawatthours
4078,2019-01-12T01,Tennessee,20977,megawatthours
4077,2019-01-12T02,Tennessee,20779,megawatthours
4076,2019-01-12T03,Tennessee,20307,megawatthours
4075,2019-01-12T04,Tennessee,19663,megawatthours
4074,2019-01-12T05,Tennessee,18894,megawatthours
4073,2019-01-12T06,Tennessee,18110,megawatthours
4072,2019-01-12T07,Tennessee,17662,megawatthours
4071,2019-01-12T08,Tennessee,17367,megawatthours
4070,2019-01-12T09,Tennessee,17188,megawatthours
4069,2019-01-12T10,Tennessee,17111,megawatthours
4068,2019-01-12T11,Tennessee,17357,megawatthours
4067,2019-01-12T12,Tennessee,17529,megawatthours
4066,2019-01-12T13,Tennessee,18145,megawatthours
4065,2019-01-12T14,Tennessee,18817,megawatthours
4064,2019-01-12T15,Tennessee,19306,megawatthours
4063,2019-01-12T16,Tennessee,19640,megawatthours
4062,2019-01-12T17,Tennessee,19516,megawatthours
4061,2019-01-12T18,Tennessee,19237,megawatthours
4060,2019-01-12T19,Tennessee,19044,megawatthours
4059,2019-01-12T20,Tennessee,18790,megawatthours
4058,2019-01-12T21,Tennessee,18776,megawatthours
4057,2019-01-12T22,Tennessee,18926,megawatthours
4056,2019-01-12T23,Tennessee,19364,megawatthours
4055,2019-01-13T00,Tennessee,19897,megawatthours
4054,2019-01-13T01,Tennessee,19632,megawatthours
4053,2019-01-13T02,Tennessee,19354,megawatthours
4052,2019-01-13T03,Tennessee,18846,megawatthours
4051,2019-01-13T04,Tennessee,18076,megawatthours
4050,2019-01-13T05,Tennessee,17478,megawatthours
4049,2019-01-13T06,Tennessee,16628,megawatthours
4048,2019-01-13T07,Tennessee,16099,megawatthours
4047,2019-01-13T08,Tennessee,15748,megawatthours
4046,2019-01-13T09,Tennessee,15623,megawatthours
4045,2019-01-13T10,Tennessee,15605,megawatthours
4044,2019-01-13T11,Tennessee,15600,megawatthours
4043,2019-01-13T12,Tennessee,16024,megawatthours
4042,2019-01-13T13,Tennessee,16693,megawatthours
4041,2019-01-13T14,Tennessee,17435,megawatthours
4040,2019-01-13T15,Tennessee,18145,megawatthours
4039,2019-01-13T16,Tennessee,18381,megawatthours
4038,2019-01-13T17,Tennessee,18297,megawatthours
4037,2019-01-13T18,Tennessee,18365,megawatthours
4036,2019-01-13T19,Tennessee,18533,megawatthours
4035,2019-01-13T20,Tennessee,18644,megawatthours
4034,2019-01-13T21,Tennessee,18663,megawatthours
4033,2019-01-13T22,Tennessee,18882,megawatthours
4032,2019-01-13T23,Tennessee,19568,megawatthours
4031,2019-01-14T00,Tennessee,20266,megawatthours
4030,2019-01-14T01,Tennessee,20304,megawatthours
4029,2019-01-14T02,Tennessee,20170,megawatthours
4028,2019-01-14T03,Tennessee,19666,megawatthours
