,period,respondent,fueltype,type-name,value,value-units,Date,Hour Starting
4832,2023-02-03T14-06,ERCO,SUN,Solar,10140,megawatthours,2023-02-03,13
4831,2023-02-03T15-06,ERCO,SUN,Solar,10436,megawatthours,2023-02-03,14
4830,2023-02-03T16-06,ERCO,SUN,Solar,10422,megawatthours,2023-02-03,15
4829,2023-02-03T17-06,ERCO,SUN,Solar,9219,megawatthours,2023-02-03,16
4828,2023-02-03T18-06,ERCO,SUN,Solar,3564,megawatthours,2023-02-03,17
4827,2023-02-03T19-06,ERCO,SUN,Solar,96,megawatthours,2023-02-03,18
4826,2023-02-03T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,19
4825,2023-02-03T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,20
4824,2023-02-03T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,21
4823,2023-02-03T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,22
4822,2023-02-04T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-03,23
4821,2023-02-04T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,0
4820,2023-02-04T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,1
4819,2023-02-04T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,2
4818,2023-02-04T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,3
4817,2023-02-04T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,4
4816,2023-02-04T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,5
4815,2023-02-04T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,6
4814,2023-02-04T08-06,ERCO,SUN,Solar,251,megawatthours,2023-02-04,7
4813,2023-02-04T09-06,ERCO,SUN,Solar,2390,megawatthours,2023-02-04,8
4812,2023-02-04T10-06,ERCO,SUN,Solar,4521,megawatthours,2023-02-04,9
4811,2023-02-04T11-06,ERCO,SUN,Solar,4864,megawatthours,2023-02-04,10
4810,2023-02-04T12-06,ERCO,SUN,Solar,4697,megawatthours,2023-02-04,11
4809,2023-02-04T13-06,ERCO,SUN,Solar,4156,megawatthours,2023-02-04,12
4808,2023-02-04T14-06,ERCO,SUN,Solar,3831,megawatthours,2023-02-04,13
4807,2023-02-04T15-06,ERCO,SUN,Solar,3479,megawatthours,2023-02-04,14
4806,2023-02-04T16-06,ERCO,SUN,Solar,3428,megawatthours,2023-02-04,15
4805,2023-02-04T17-06,ERCO,SUN,Solar,3517,megawatthours,2023-02-04,16
4804,2023-02-04T18-06,ERCO,SUN,Solar,2511,megawatthours,2023-02-04,17
4803,2023-02-04T19-06,ERCO,SUN,Solar,92,megawatthours,2023-02-04,18
4802,2023-02-04T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,19
4801,2023-02-04T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,20
4800,2023-02-04T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,21
4799,2023-02-04T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,22
4798,2023-02-05T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-04,23
4797,2023-02-05T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,0
4796,2023-02-05T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,1
4795,2023-02-05T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,2
4794,2023-02-05T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,3
4793,2023-02-05T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,4
4792,2023-02-05T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,5
4791,2023-02-05T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,6
4790,2023-02-05T08-06,ERCO,SUN,Solar,224,megawatthours,2023-02-05,7
4789,2023-02-05T09-06,ERCO,SUN,Solar,4436,megawatthours,2023-02-05,8
4788,2023-02-05T10-06,ERCO,SUN,Solar,9532,megawatthours,2023-02-05,9
4787,2023-02-05T11-06,ERCO,SUN,Solar,10259,megawatthours,2023-02-05,10
4786,2023-02-05T12-06,ERCO,SUN,Solar,10053,megawatthours,2023-02-05,11
4785,2023-02-05T13-06,ERCO,SUN,Solar,9833,megawatthours,2023-02-05,12
4784,2023-02-05T14-06,ERCO,SUN,Solar,9828,megawatthours,2023-02-05,13
4783,2023-02-05T15-06,ERCO,SUN,Solar,9791,megawatthours,2023-02-05,14
4782,2023-02-05T16-06,ERCO,SUN,Solar,8886,megawatthours,2023-02-05,15
4781,2023-02-05T17-06,ERCO,SUN,Solar,8034,megawatthours,2023-02-05,16
4780,2023-02-05T18-06,ERCO,SUN,Solar,3586,megawatthours,2023-02-05,17
4779,2023-02-05T19-06,ERCO,SUN,Solar,114,megawatthours,2023-02-05,18
4778,2023-02-05T20-06,ERCO,SUN,Solar,2,megawatthours,2023-02-05,19
4777,2023-02-05T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,20
4776,2023-02-05T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,21
4775,2023-02-05T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,22
4774,2023-02-06T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-05,23
4773,2023-02-06T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,0
4772,2023-02-06T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,1
4771,2023-02-06T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,2
4770,2023-02-06T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,3
4769,2023-02-06T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,4
4768,2023-02-06T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,5
4767,2023-02-06T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,6
4766,2023-02-06T08-06,ERCO,SUN,Solar,118,megawatthours,2023-02-06,7
4765,2023-02-06T09-06,ERCO,SUN,Solar,1444,megawatthours,2023-02-06,8
4764,2023-02-06T10-06,ERCO,SUN,Solar,3181,megawatthours,2023-02-06,9
4763,2023-02-06T11-06,ERCO,SUN,Solar,3445,megawatthours,2023-02-06,10
4762,2023-02-06T12-06,ERCO,SUN,Solar,3560,megawatthours,2023-02-06,11
4761,2023-02-06T13-06,ERCO,SUN,Solar,3590,megawatthours,2023-02-06,12
4760,2023-02-06T14-06,ERCO,SUN,Solar,3268,megawatthours,2023-02-06,13
4759,2023-02-06T15-06,ERCO,SUN,Solar,3374,megawatthours,2023-02-06,14
4758,2023-02-06T16-06,ERCO,SUN,Solar,3410,megawatthours,2023-02-06,15
4757,2023-02-06T17-06,ERCO,SUN,Solar,3336,megawatthours,2023-02-06,16
4756,2023-02-06T18-06,ERCO,SUN,Solar,1881,megawatthours,2023-02-06,17
4755,2023-02-06T19-06,ERCO,SUN,Solar,77,megawatthours,2023-02-06,18
4754,2023-02-06T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,19
4753,2023-02-06T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,20
4752,2023-02-06T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,21
4751,2023-02-06T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,22
4750,2023-02-07T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-06,23
4749,2023-02-07T01-06,ERCO,SUN,Solar,0,megawatthours,2023-02-07,0
4748,2023-02-07T02-06,ERCO,SUN,Solar,0,megawatthours,2023-02-07,1
4747,2023-02-07T03-06,ERCO,SUN,Solar,0,megawatthours,2023-02-07,2
4746,2023-02-07T04-06,ERCO,SUN,Solar,0,megawatthours,2023-02-07,3
4745,2023-02-07T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-07,4
4744,2023-02-07T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-07,5
4743,2023-02-07T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-07,6
4742,2023-02-07T08-06,ERCO,SUN,Solar,52,megawatthours,2023-02-07,7
4741,2023-02-07T09-06,ERCO,SUN,Solar,734,megawatthours,2023-02-07,8
4740,2023-02-07T10-06,ERCO,SUN,Solar,1589,megawatthours,2023-02-07,9
4739,2023-02-07T11-06,ERCO,SUN,Solar,1833,megawatthours,2023-02-07,10
4738,2023-02-07T12-06,ERCO,SUN,Solar,2458,megawatthours,2023-02-07,11
4737,2023-02-07T13-06,ERCO,SUN,Solar,2766,megawatthours,2023-02-07,12
4736,2023-02-07T14-06,ERCO,SUN,Solar,2501,megawatthours,2023-02-07,13
4735,2023-02-07T15-06,ERCO,SUN,Solar,2019,megawatthours,2023-02-07,14
4734,2023-02-07T16-06,ERCO,SUN,Solar,1638,megawatthours,2023-02-07,15
4733,2023-02-07T17-06,ERCO,SUN,Solar,1425,megawatthours,2023-02-07,16
4732,2023-02-07T18-06,ERCO,SUN,Solar,570,megawatthours,2023-02-07,17
4731,2023-02-07T19-06,ERCO,SUN,Solar,34,megawatthours,2023-02-07,18
4730,2023-02-07T20-06,ERCO,SUN,Solar,23,megawatthours,2023-02-07,19
4729,2023-02-07T21-06,ERCO,SUN,Solar,23,megawatthours,2023-02-07,20
4728,2023-02-07T22-06,ERCO,SUN,Solar,23,megawatthours,2023-02-07,21
4727,2023-02-07T23-06,ERCO,SUN,Solar,23,megawatthours,2023-02-07,22
4726,2023-02-08T00-06,ERCO,SUN,Solar,23,megawatthours,2023-02-07,23
4725,2023-02-08T01-06,ERCO,SUN,Solar,23,megawatthours,2023-02-08,0
4724,2023-02-08T02-06,ERCO,SUN,Solar,23,megawatthours,2023-02-08,1
4723,2023-02-08T03-06,ERCO,SUN,Solar,23,megawatthours,2023-02-08,2
4722,2023-02-08T04-06,ERCO,SUN,Solar,6,megawatthours,2023-02-08,3
4721,2023-02-08T05-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,4
4720,2023-02-08T06-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,5
4719,2023-02-08T07-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,6
4718,2023-02-08T08-06,ERCO,SUN,Solar,80,megawatthours,2023-02-08,7
4717,2023-02-08T09-06,ERCO,SUN,Solar,2004,megawatthours,2023-02-08,8
4716,2023-02-08T10-06,ERCO,SUN,Solar,4839,megawatthours,2023-02-08,9
4715,2023-02-08T11-06,ERCO,SUN,Solar,5632,megawatthours,2023-02-08,10
4714,2023-02-08T12-06,ERCO,SUN,Solar,5558,megawatthours,2023-02-08,11
4713,2023-02-08T13-06,ERCO,SUN,Solar,5539,megawatthours,2023-02-08,12
4712,2023-02-08T14-06,ERCO,SUN,Solar,5295,megawatthours,2023-02-08,13
4711,2023-02-08T15-06,ERCO,SUN,Solar,5252,megawatthours,2023-02-08,14
4710,2023-02-08T16-06,ERCO,SUN,Solar,5238,megawatthours,2023-02-08,15
4709,2023-02-08T17-06,ERCO,SUN,Solar,4753,megawatthours,2023-02-08,16
4708,2023-02-08T18-06,ERCO,SUN,Solar,3137,megawatthours,2023-02-08,17
4707,2023-02-08T19-06,ERCO,SUN,Solar,154,megawatthours,2023-02-08,18
4706,2023-02-08T20-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,19
4705,2023-02-08T21-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,20
4704,2023-02-08T22-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,21
4703,2023-02-08T23-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,22
4702,2023-02-09T00-06,ERCO,SUN,Solar,0,megawatthours,2023-02-08,23
