year,1,2,3,4,5,6,7,8,9,10,11,12
2019,12787.793010752688,11780.962797619048,11151.445214979196,10308.183333333332,12240.095430107527,12759.277777777777,14351.137096774193,13731.220430107527,13303.576388888889,10865.032258064517,11294.8125,11617.85752688172
2020,12081.573924731183,11868.494252873563,10497.048387096775,9273.908333333333,9898.856182795698,12239.736111111111,14186.803763440861,13584.702956989247,11525.575,10110.094086021505,10407.631944444445,12453.04435483871
2021,12728.254032258064,12839.595238095239,10591.004032258064,10233.141666666666,10825.051075268817,12830.554166666667,13896.665322580646,14145.372311827958,11877.586111111112,10684.59677419355,11414.134722222223,11282.912634408602
2022,13573.287634408602,12231.276785714286,10806.802419354839,10357.281944444445,11589.135752688173,13703.56111111111,14601.301075268817,13939.201612903225,12021.15138888889,10279.99059139785,11178.581944444444,13157.31317204301
2023,12130.083333333334,11450.296130952382,11045.108870967742,10378.691666666668,10791.25940860215,12081.816666666668,14483.02822580645,14278.873655913978,12222.738888888889,10584.836021505376,11379.280555555555,12308.442204301075
2024,13671.072580645161,12065.419540229885,10787.051075268817,10695.051388888889,11395.47330960854,,,,,,,
