,Farley 1,Farley 2,Hatch 1,Hatch 2,Vogtle 1,Vogtle 2,Vogtle 3
3/26/22,100,100,100,100,100,0,0
3/27/22,100,100,100,100,100,0,0
3/28/22,100,100,100,100,100,0,0
3/29/22,100,99,100,100,100,0,0
3/30/22,100,98,100,100,100,0,0
3/31/22,100,97,100,100,100,0,0
4/1/22,100,96,100,100,100,0,0
4/2/22,100,95,100,100,100,0,0
4/3/22,100,94,100,100,100,0,0
4/4/22,100,93,100,100,100,0,0
4/5/22,100,92,100,100,100,0,0
4/6/22,100,91,100,100,100,41,0
4/7/22,100,91,100,100,100,60,0
4/8/22,100,90,100,100,100,81,0
4/9/22,100,88,100,100,100,95,0
4/10/22,100,69,100,100,100,100,0
4/11/22,100,0,100,100,100,65,0
4/12/22,100,0,100,100,100,65,0
4/13/22,100,0,100,100,100,65,0
4/14/22,100,0,100,100,100,80,0
4/15/22,100,0,100,100,100,100,0
4/16/22,100,0,100,100,100,100,0
4/17/22,100,0,100,100,100,100,0
4/18/22,100,0,100,100,100,100,0
4/19/22,100,0,100,100,100,100,0
4/20/22,100,0,100,100,100,100,0
4/21/22,100,0,100,100,100,100,0
4/22/22,100,0,100,100,100,100,0
4/23/22,100,0,100,100,100,100,0
4/24/22,100,0,100,100,100,100,0
4/25/22,100,0,100,100,100,100,0
4/26/22,100,0,100,100,100,100,0
4/27/22,100,0,100,100,100,100,0
4/28/22,100,0,100,100,100,100,0
4/29/22,100,0,100,100,100,100,0
4/30/22,100,0,100,100,100,100,0
5/1/22,100,0,100,100,100,100,0
5/2/22,100,0,100,100,100,100,0
5/3/22,100,10,100,100,100,100,0
5/4/22,100,47,100,100,0,100,0
5/5/22,100,58,100,100,3,100,0
5/6/22,100,60,100,100,20,100,0
5/7/22,100,60,100,100,65,100,0
5/8/22,100,60,100,100,65,100,0
5/9/22,100,92,100,100,100,100,0
5/10/22,100,100,100,100,100,100,0
5/11/22,100,100,100,100,100,100,0
5/12/22,100,100,100,100,100,100,0
5/13/22,100,100,100,100,100,100,0
5/14/22,100,100,100,100,100,100,0
5/15/22,100,100,100,100,100,100,0
5/16/22,100,100,100,100,100,100,0
5/17/22,100,100,97,100,100,100,0
5/18/22,100,100,96,100,100,100,0
5/19/22,100,100,96,100,100,100,0
5/20/22,100,100,97,100,100,100,0
5/21/22,100,100,97,100,100,100,0
5/22/22,100,100,97,100,100,100,0
5/23/22,100,100,0,100,100,100,0
5/24/22,100,100,0,100,100,100,0
5/25/22,100,100,0,100,100,100,0
5/26/22,100,100,33,100,100,100,0
5/27/22,100,100,95,100,92,100,0
5/28/22,100,100,100,97,100,100,0
5/29/22,100,100,97,100,100,100,0
5/30/22,100,100,97,100,100,100,0
5/31/22,100,100,100,97,100,100,0
6/1/22,100,100,100,100,100,100,0
6/2/22,100,100,100,100,100,100,0
6/3/22,100,100,100,100,100,100,0
6/4/22,100,100,100,100,100,100,0
6/5/22,100,100,100,100,100,100,0
6/6/22,100,100,100,100,100,100,0
6/7/22,100,100,100,100,100,100,0
6/8/22,100,100,100,100,100,100,0
6/9/22,100,100,100,100,100,100,0
6/10/22,100,100,100,100,100,100,0
6/11/22,100,100,100,100,100,100,0
6/12/22,100,100,100,100,100,100,0
6/13/22,100,89,100,100,100,100,0
6/14/22,100,100,100,100,100,100,0
6/15/22,100,100,100,100,100,100,0
6/16/22,100,100,100,100,100,100,0
6/17/22,100,100,100,100,100,100,0
6/18/22,100,100,100,100,100,100,0
6/19/22,100,100,100,100,100,100,0
6/20/22,100,100,100,100,100,100,0
6/21/22,100,100,100,100,100,100,0
6/22/22,100,100,100,100,100,100,0
6/23/22,100,100,100,100,100,100,0
6/24/22,100,100,100,100,100,100,0
6/25/22,100,100,100,100,100,100,0
6/26/22,100,100,100,100,100,100,0
6/27/22,100,100,100,100,100,100,0
6/28/22,100,100,100,100,100,100,0
6/29/22,100,100,100,100,100,100,0
6/30/22,100,100,100,100,100,100,0
7/1/22,100,100,100,100,100,100,0
7/2/22,100,100,100,100,100,100,0
7/3/22,100,100,100,100,100,100,0
7/4/22,100,100,100,100,100,100,0
7/5/22,100,100,100,100,100,100,0
7/6/22,100,100,100,100,100,100,0
7/7/22,100,100,100,100,100,100,0
7/8/22,100,100,100,100,100,100,0
7/9/22,100,100,100,100,100,100,0
7/10/22,100,100,100,100,100,100,0
7/11/22,100,100,100,100,100,100,0
7/12/22,100,100,100,100,100,100,0
7/13/22,100,100,100,100,100,100,0
7/14/22,100,100,100,100,100,100,0
7/15/22,100,100,100,100,100,100,0
7/16/22,100,100,100,100,100,100,0
7/17/22,100,100,100,100,100,100,0
7/18/22,100,100,100,100,100,100,0
7/19/22,100,100,100,100,100,100,0
7/20/22,100,100,100,100,100,100,0
7/21/22,100,100,100,100,100,100,0
7/22/22,100,100,100,100,100,100,0
7/23/22,100,100,100,100,100,45,0
7/24/22,100,100,100,100,100,35,0
7/25/22,100,100,100,100,100,100,0
7/26/22,100,100,100,100,100,100,0
7/27/22,100,100,100,100,100,100,0
7/28/22,100,100,100,100,100,100,0
7/29/22,100,100,100,100,100,100,0
7/30/22,100,100,100,100,60,100,0
7/31/22,100,100,100,100,90,100,0
8/1/22,100,100,100,100,100,100,0
8/2/22,100,100,100,100,100,100,0
8/3/22,100,100,100,100,100,100,0
8/4/22,0,100,100,100,100,100,0
8/5/22,0,100,100,100,100,100,0
