,Farley 1,Farley 2,Hatch 1,Hatch 2,Vogtle 1,Vogtle 2,Vogtle 3
9/9/23,100,100,100,100,100,86,100
9/10/23,100,100,100,99,100,0,100
9/11/23,100,100,100,100,100,0,100
9/12/23,100,100,100,100,100,0,100
9/13/23,100,100,100,100,100,0,100
9/14/23,100,100,100,100,100,0,100
9/15/23,100,100,100,100,100,0,100
9/16/23,100,100,100,100,100,0,100
9/17/23,100,100,100,100,100,0,100
9/18/23,100,100,100,100,100,0,100
9/19/23,100,100,100,100,100,0,100
9/20/23,100,100,100,100,100,0,100
9/21/23,100,100,100,100,100,0,100
9/22/23,100,100,100,100,100,0,100
9/23/23,100,100,100,100,100,0,100
9/24/23,100,100,100,100,100,0,100
9/25/23,100,100,100,100,100,0,100
9/26/23,100,98,100,100,100,0,100
9/27/23,100,98,100,100,100,0,100
9/28/23,100,97,100,100,100,0,100
9/29/23,100,96,100,100,100,0,100
9/30/23,100,95,100,100,100,0,100
10/1/23,100,93,100,100,100,40,100
10/2/23,100,93,100,100,100,70,100
10/3/23,100,92,100,100,100,95,100
10/4/23,100,90,100,100,100,100,100
10/5/23,100,90,100,100,100,100,100
10/6/23,100,89,100,100,100,100,100
10/7/23,100,87,100,100,100,100,100
10/8/23,100,67,100,100,100,100,100
10/9/23,100,0,100,100,100,100,100
10/10/23,100,0,100,100,100,100,100
10/11/23,100,0,100,100,100,100,100
10/12/23,100,0,100,100,100,100,100
10/13/23,100,0,100,100,100,100,100
10/14/23,100,0,100,100,100,100,100
10/15/23,100,0,100,100,100,100,100
10/16/23,100,0,100,100,100,100,100
10/17/23,100,0,100,100,100,100,100
10/18/23,100,0,100,100,100,100,100
10/19/23,100,0,100,100,100,100,100
