year,1,2,3,4,5,6,7,8,9,10,11,12
2019,12848.239247311827,11906.955357142857,11059.568548387097,9508.568055555555,11023.736559139785,11917.71388888889,13876.274193548386,13030.314516129032,11954.2,10053.405913978495,11101.404316546763,11887.600806451614
2020,11989.212365591398,11706.139367816091,10274.532593619972,9472.136111111111,9845.913978494624,12041.448611111111,14532.086021505376,13364.580555555556,11331.518055555556,10075.156123822342,10595.65138888889,12829.413978494624
2021,13342.798387096775,13724.294642857143,11230.783602150537,10422.719444444445,10898.323924731183,13141.983333333334,14390.822580645161,14383.709677419354,12418.78611111111,10983.867560008688,11905.747222222222,12252.497311827958
2022,14909.611559139785,13324.558035714286,11692.061026352289,11080.327777777778,11877.352150537634,13519.472222222223,15118.212365591398,14729.447580645161,12848.179166666667,11221.077956989247,12398.650862068966,14560.174731182795
2023,13483.047043010753,13139.452380952382,12435.546463245493,11668.818055555555,11786.34811827957,13160.301388888889,15833.36559139785,15204.318548387097,13489.705555555556,11959.24059139785,13076.287081339713,13955.556451612903
2024,15204.467586206896,14117.705459770115,12718.793342579751,12251.052777777777,12845.573264781491,,,,,,,
