"Region Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
FLA,"7/1/2022 12 a.m. EDT",0,21,2612,0,22044,1729,3819
FLA,"7/1/2022 1 a.m. EDT",0,21,2440,0,20070,1591,3823
FLA,"7/1/2022 2 a.m. EDT",0,22,2441,0,18254,1507,3827
FLA,"7/1/2022 3 a.m. EDT",0,21,2415,0,16986,1427,3824
FLA,"7/1/2022 4 a.m. EDT",0,22,2426,0,16234,1362,3829
FLA,"7/1/2022 5 a.m. EDT",0,21,2408,0,15968,1320,3829
FLA,"7/1/2022 6 a.m. EDT",0,22,2394,0,16342,1352,3829
FLA,"7/1/2022 7 a.m. EDT",2,21,2400,0,17178,1424,3835
FLA,"7/1/2022 8 a.m. EDT",523,22,2394,0,18166,1543,3831
FLA,"7/1/2022 9 a.m. EDT",1864,21,2384,0,19318,1778,3835
FLA,"7/1/2022 10 a.m. EDT",2898,22,2423,0,21092,1876,3834
FLA,"7/1/2022 11 a.m. EDT",3562,21,2763,0,23313,2062,3835
FLA,"7/1/2022 12 p.m. EDT",3869,18,3019,0,25570,2308,3831
FLA,"7/1/2022 1 p.m. EDT",3907,14,3089,0,27242,2770,3836
FLA,"7/1/2022 2 p.m. EDT",3680,14,3080,0,28698,3027,3834
FLA,"7/1/2022 3 p.m. EDT",3050,15,3126,0,29762,2983,3829
FLA,"7/1/2022 4 p.m. EDT",2220,14,3095,37,30426,2818,3828
FLA,"7/1/2022 5 p.m. EDT",1725,15,3077,47,30484,2779,3824
FLA,"7/1/2022 6 p.m. EDT",1061,37,3070,16,29827,2734,3823
FLA,"7/1/2022 7 p.m. EDT",703,14,3066,0,28640,2675,3822
FLA,"7/1/2022 8 p.m. EDT",260,12,2993,0,27418,2475,3824
FLA,"7/1/2022 9 p.m. EDT",6,13,2946,0,26614,2343,3824
FLA,"7/1/2022 10 p.m. EDT",0,13,2944,0,25596,2051,3825
FLA,"7/1/2022 11 p.m. EDT",0,15,2858,0,23783,1951,3824
FLA,"7/2/2022 12 a.m. EDT",0,15,2563,0,21772,1639,3828
FLA,"7/2/2022 1 a.m. EDT",0,15,2391,0,20071,1410,3829
FLA,"7/2/2022 2 a.m. EDT",0,15,2388,0,18430,1353,3832
FLA,"7/2/2022 3 a.m. EDT",0,17,2394,0,17224,1277,3832
FLA,"7/2/2022 4 a.m. EDT",0,16,2385,0,16381,1245,3837
FLA,"7/2/2022 5 a.m. EDT",0,17,2346,0,15945,1217,3837
FLA,"7/2/2022 6 a.m. EDT",0,16,2325,0,15860,1216,3840
FLA,"7/2/2022 7 a.m. EDT",6,16,2312,0,15932,1229,3841
FLA,"7/2/2022 8 a.m. EDT",503,17,2310,0,16481,1286,3844
FLA,"7/2/2022 9 a.m. EDT",1597,17,2405,0,17998,1411,3842
FLA,"7/2/2022 10 a.m. EDT",2719,16,2457,0,20172,1649,3842
FLA,"7/2/2022 11 a.m. EDT",3236,25,2788,0,22328,1957,3844
FLA,"7/2/2022 12 p.m. EDT",3426,29,2941,0,24800,2230,3840
FLA,"7/2/2022 1 p.m. EDT",3417,26,3023,0,26661,2497,3839
FLA,"7/2/2022 2 p.m. EDT",3140,26,2986,0,27684,2760,3837
FLA,"7/2/2022 3 p.m. EDT",2973,24,2926,0,27408,2758,3833
FLA,"7/2/2022 4 p.m. EDT",2640,24,2932,0,27139,2771,3835
FLA,"7/2/2022 5 p.m. EDT",2055,25,2942,0,26979,2640,3833
FLA,"7/2/2022 6 p.m. EDT",1434,36,3033,0,27034,2563,3831
FLA,"7/2/2022 7 p.m. EDT",849,23,3031,0,26412,2811,3829
FLA,"7/2/2022 8 p.m. EDT",321,21,2887,0,25857,2695,3832
FLA,"7/2/2022 9 p.m. EDT",13,21,2860,0,25330,2531,3828
FLA,"7/2/2022 10 p.m. EDT",0,23,2784,0,24557,2326,3831
FLA,"7/2/2022 11 p.m. EDT",0,24,2703,0,22970,1914,3832
FLA,"7/3/2022 12 a.m. EDT",0,24,2587,0,21107,1652,3832
FLA,"7/3/2022 1 a.m. EDT",0,24,2404,1,19409,1428,3837
FLA,"7/3/2022 2 a.m. EDT",0,25,2406,29,17836,1360,3837
FLA,"7/3/2022 3 a.m. EDT",0,24,2391,0,16766,1324,3837
FLA,"7/3/2022 4 a.m. EDT",0,24,2360,0,16060,1256,3842
FLA,"7/3/2022 5 a.m. EDT",0,24,2253,0,15628,1226,3843
FLA,"7/3/2022 6 a.m. EDT",0,24,2104,0,15557,1221,3845
FLA,"7/3/2022 7 a.m. EDT",1,24,2102,0,15662,1219,3849
FLA,"7/3/2022 8 a.m. EDT",554,24,2232,0,16057,1240,3846
