"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
FPC,"12/1/2022 12 a.m. EST",0,34,67,0,3326,373
FPC,"12/1/2022 1 a.m. EST",0,32,66,0,3191,397
FPC,"12/1/2022 2 a.m. EST",0,32,66,0,2971,378
FPC,"12/1/2022 3 a.m. EST",0,31,64,0,2503,644
FPC,"12/1/2022 4 a.m. EST",0,31,69,0,2472,656
FPC,"12/1/2022 5 a.m. EST",0,31,74,0,2519,653
FPC,"12/1/2022 6 a.m. EST",0,31,76,0,2752,655
FPC,"12/1/2022 7 a.m. EST",0,30,79,0,3283,656
FPC,"12/1/2022 8 a.m. EST",56,30,79,0,3535,652
FPC,"12/1/2022 9 a.m. EST",390,29,77,0,3306,656
FPC,"12/1/2022 10 a.m. EST",557,29,77,0,3045,655
FPC,"12/1/2022 11 a.m. EST",582,29,77,0,3140,653
FPC,"12/1/2022 12 p.m. EST",575,28,78,0,3015,655
FPC,"12/1/2022 1 p.m. EST",568,29,74,0,3201,656
FPC,"12/1/2022 2 p.m. EST",567,28,77,0,3272,653
FPC,"12/1/2022 3 p.m. EST",526,28,76,0,3497,655
FPC,"12/1/2022 4 p.m. EST",445,28,79,0,3677,653
FPC,"12/1/2022 5 p.m. EST",205,29,76,0,4033,573
FPC,"12/1/2022 6 p.m. EST",12,35,78,0,4540,551
FPC,"12/1/2022 7 p.m. EST",0,28,77,0,4605,689
FPC,"12/1/2022 8 p.m. EST",0,28,78,0,4471,687
FPC,"12/1/2022 9 p.m. EST",0,28,78,0,4226,663
FPC,"12/1/2022 10 p.m. EST",0,28,77,0,4062,571
FPC,"12/1/2022 11 p.m. EST",0,28,78,0,3796,342
FPC,"12/2/2022 12 a.m. EST",0,29,72,0,3596,149
FPC,"12/2/2022 1 a.m. EST",0,28,74,0,3425,128
FPC,"12/2/2022 2 a.m. EST",0,28,77,0,3138,127
FPC,"12/2/2022 3 a.m. EST",0,29,77,0,2910,128
FPC,"12/2/2022 4 a.m. EST",0,28,77,0,2857,127
FPC,"12/2/2022 5 a.m. EST",0,28,80,0,2981,129
FPC,"12/2/2022 6 a.m. EST",0,28,77,0,3177,128
FPC,"12/2/2022 7 a.m. EST",0,28,78,0,3740,140
FPC,"12/2/2022 8 a.m. EST",50,28,78,0,3816,224
FPC,"12/2/2022 9 a.m. EST",378,28,76,0,3665,206
FPC,"12/2/2022 10 a.m. EST",577,27,77,0,3410,205
FPC,"12/2/2022 11 a.m. EST",600,28,79,0,3513,205
FPC,"12/2/2022 12 p.m. EST",586,28,76,0,3677,205
FPC,"12/2/2022 1 p.m. EST",574,30,76,0,3813,226
FPC,"12/2/2022 2 p.m. EST",552,33,74,0,3940,292
FPC,"12/2/2022 3 p.m. EST",529,32,75,0,4032,347
FPC,"12/2/2022 4 p.m. EST",463,32,78,0,4235,395
FPC,"12/2/2022 5 p.m. EST",237,31,77,0,4644,415
FPC,"12/2/2022 6 p.m. EST",13,34,76,0,4841,453
FPC,"12/2/2022 7 p.m. EST",0,29,78,0,4855,468
FPC,"12/2/2022 8 p.m. EST",0,30,77,0,4742,403
FPC,"12/2/2022 9 p.m. EST",0,30,77,0,4470,265
FPC,"12/2/2022 10 p.m. EST",0,29,77,0,4234,206
FPC,"12/2/2022 11 p.m. EST",0,30,81,0,3773,185
FPC,"12/3/2022 12 a.m. EST",0,30,77,0,3544,127
FPC,"12/3/2022 1 a.m. EST",0,29,76,0,3034,128
FPC,"12/3/2022 2 a.m. EST",0,29,78,0,2844,128
FPC,"12/3/2022 3 a.m. EST",0,28,77,0,2747,126
FPC,"12/3/2022 4 a.m. EST",0,29,78,0,2662,128
FPC,"12/3/2022 5 a.m. EST",0,28,78,0,2649,126
FPC,"12/3/2022 6 a.m. EST",0,28,78,0,2743,126
FPC,"12/3/2022 7 a.m. EST",0,29,78,0,2929,128
FPC,"12/3/2022 8 a.m. EST",42,28,79,0,3113,126
FPC,"12/3/2022 9 a.m. EST",325,29,79,0,3144,126
FPC,"12/3/2022 10 a.m. EST",509,28,80,0,3277,127
FPC,"12/3/2022 11 a.m. EST",562,28,77,0,3464,127
FPC,"12/3/2022 12 p.m. EST",537,29,77,0,3771,152
FPC,"12/3/2022 1 p.m. EST",468,28,75,0,4005,288
FPC,"12/3/2022 2 p.m. EST",471,29,80,0,4258,311
FPC,"12/3/2022 3 p.m. EST",487,28,79,0,4430,420
FPC,"12/3/2022 4 p.m. EST",428,27,74,0,4495,547
FPC,"12/3/2022 5 p.m. EST",208,28,73,0,4743,625
FPC,"12/3/2022 6 p.m. EST",12,33,78,0,4920,564
FPC,"12/3/2022 7 p.m. EST",0,32,78,0,4915,482
FPC,"12/3/2022 8 p.m. EST",0,30,79,0,4542,271
FPC,"12/3/2022 9 p.m. EST",0,28,78,0,4502,127
FPC,"12/3/2022 10 p.m. EST",0,28,79,0,4235,127
FPC,"12/3/2022 11 p.m. EST",0,28,79,0,3746,128
FPC,"12/4/2022 12 a.m. EST",0,26,78,0,3318,126
FPC,"12/4/2022 1 a.m. EST",0,27,77,0,3042,125
FPC,"12/4/2022 2 a.m. EST",0,27,77,0,2832,125
FPC,"12/4/2022 3 a.m. EST",0,27,78,0,2684,124
FPC,"12/4/2022 4 a.m. EST",0,27,80,0,2588,124
FPC,"12/4/2022 5 a.m. EST",0,27,78,0,2522,125
FPC,"12/4/2022 6 a.m. EST",0,26,79,0,2591,124
FPC,"12/4/2022 7 a.m. EST",0,27,81,0,2728,124
FPC,"12/4/2022 8 a.m. EST",30,27,81,0,2899,125
FPC,"12/4/2022 9 a.m. EST",192,26,79,0,3158,124
FPC,"12/4/2022 10 a.m. EST",302,27,79,0,3396,125
FPC,"12/4/2022 11 a.m. EST",428,26,79,0,3513,124
FPC,"12/4/2022 12 p.m. EST",462,27,78,0,3727,190
FPC,"12/4/2022 1 p.m. EST",476,26,76,0,3796,367
FPC,"12/4/2022 2 p.m. EST",424,27,78,0,4158,452
FPC,"12/4/2022 3 p.m. EST",325,27,79,0,4467,480
FPC,"12/4/2022 4 p.m. EST",295,26,77,0,4505,604
FPC,"12/4/2022 5 p.m. EST",146,27,80,0,4590,706
FPC,"12/4/2022 6 p.m. EST",7,32,79,0,4738,714
FPC,"12/4/2022 7 p.m. EST",0,26,79,0,4826,713
FPC,"12/4/2022 8 p.m. EST",0,27,77,0,4767,692
FPC,"12/4/2022 9 p.m. EST",0,26,77,0,4564,595
FPC,"12/4/2022 10 p.m. EST",0,26,79,0,4114,581
FPC,"12/4/2022 11 p.m. EST",0,27,80,0,3528,530
FPC,"12/5/2022 12 a.m. EST",0,26,78,0,3150,403
FPC,"12/5/2022 1 a.m. EST",0,27,79,0,2957,189
FPC,"12/5/2022 2 a.m. EST",0,26,80,0,2768,125
FPC,"12/5/2022 3 a.m. EST",0,26,77,0,2685,127
FPC,"12/5/2022 4 a.m. EST",0,26,78,0,2647,126
FPC,"12/5/2022 5 a.m. EST",0,26,80,0,2683,126
