BA Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NEVP,10/1/2022 12 a.m. PDT,97,48,2,395,0,2953,274,0
NEVP,10/1/2022 1 a.m. PDT,81,48,2,386,0,3044,303,0
NEVP,10/1/2022 2 a.m. PDT,103,48,2,390,0,3211,303,0
NEVP,10/1/2022 3 a.m. PDT,72,47,2,405,0,3238,303,0
NEVP,10/1/2022 4 a.m. PDT,40,48,2,411,0,2893,302,0
NEVP,10/1/2022 5 a.m. PDT,43,49,2,418,0,2677,302,0
NEVP,10/1/2022 6 a.m. PDT,23,48,2,420,0,2447,301,0
NEVP,10/1/2022 7 a.m. PDT,3,55,2,427,0,2221,302,0
NEVP,10/1/2022 8 a.m. PDT,0,580,2,435,0,1852,303,0
NEVP,10/1/2022 9 a.m. PDT,0,1533,1,450,0,1455,303,0
NEVP,10/1/2022 10 a.m. PDT,0,1834,1,456,0,1252,303,0
NEVP,10/1/2022 11 a.m. PDT,0,1829,1,451,0,1433,303,0
NEVP,10/1/2022 12 p.m. PDT,0,1778,1,442,0,1477,303,0
NEVP,10/1/2022 1 p.m. PDT,0,1733,1,435,0,1684,302,0
NEVP,10/1/2022 2 p.m. PDT,1,1678,1,424,0,2261,303,0
NEVP,10/1/2022 3 p.m. PDT,5,1746,1,415,0,2421,303,0
NEVP,10/1/2022 4 p.m. PDT,6,1729,1,401,0,2677,304,0
NEVP,10/1/2022 5 p.m. PDT,8,1529,1,382,0,3040,303,0
NEVP,10/1/2022 6 p.m. PDT,20,656,1,383,0,3191,302,0
NEVP,10/1/2022 7 p.m. PDT,5,87,1,422,0,2997,302,0
NEVP,10/1/2022 8 p.m. PDT,61,73,1,430,0,3007,303,0
NEVP,10/1/2022 9 p.m. PDT,105,70,1,438,0,3446,304,0
NEVP,10/1/2022 10 p.m. PDT,92,48,1,376,0,3474,304,0
NEVP,10/1/2022 11 p.m. PDT,55,49,1,385,0,3300,303,0
NEVP,10/2/2022 12 a.m. PDT,25,49,1,393,0,3101,303,0
NEVP,10/2/2022 1 a.m. PDT,6,48,1,401,0,2968,303,0
NEVP,10/2/2022 2 a.m. PDT,0,48,1,404,0,2791,304,0
NEVP,10/2/2022 3 a.m. PDT,0,49,1,412,0,2655,302,0
NEVP,10/2/2022 4 a.m. PDT,0,49,1,412,0,2518,303,0
NEVP,10/2/2022 5 a.m. PDT,0,49,1,409,0,2549,302,0
NEVP,10/2/2022 6 a.m. PDT,0,48,1,409,0,2449,300,0
NEVP,10/2/2022 7 a.m. PDT,0,55,1,417,0,2457,304,0
NEVP,10/2/2022 8 a.m. PDT,0,533,1,419,0,2239,292,0
NEVP,10/2/2022 9 a.m. PDT,0,1463,2,436,0,1282,304,0
NEVP,10/2/2022 10 a.m. PDT,0,1781,2,428,0,1295,303,0
NEVP,10/2/2022 11 a.m. PDT,0,1788,1,419,0,1347,304,0
NEVP,10/2/2022 12 p.m. PDT,19,1761,1,409,0,1843,303,0
NEVP,10/2/2022 1 p.m. PDT,29,1516,1,398,0,2222,302,0
NEVP,10/2/2022 2 p.m. PDT,56,1453,1,389,0,2595,303,0
NEVP,10/2/2022 3 p.m. PDT,59,1508,1,376,0,2934,303,0
NEVP,10/2/2022 4 p.m. PDT,36,1551,1,363,0,3138,302,0
NEVP,10/2/2022 5 p.m. PDT,26,1494,1,343,0,3307,303,0
NEVP,10/2/2022 6 p.m. PDT,14,617,1,375,0,3510,302,0
NEVP,10/2/2022 7 p.m. PDT,7,77,1,389,0,3436,327,0
NEVP,10/2/2022 8 p.m. PDT,31,66,1,408,0,3470,348,0
NEVP,10/2/2022 9 p.m. PDT,87,61,1,400,0,3455,347,0
NEVP,10/2/2022 10 p.m. PDT,97,46,1,353,0,3233,347,0
NEVP,10/2/2022 11 p.m. PDT,58,47,1,361,0,3054,347,0
NEVP,10/3/2022 12 a.m. PDT,45,48,1,370,0,3142,347,0
NEVP,10/3/2022 1 a.m. PDT,33,49,1,379,0,2925,347,0
NEVP,10/3/2022 2 a.m. PDT,3,48,1,391,0,2854,304,0
NEVP,10/3/2022 3 a.m. PDT,0,48,1,395,0,2781,302,0
NEVP,10/3/2022 4 a.m. PDT,0,49,1,400,0,2829,302,0
NEVP,10/3/2022 5 a.m. PDT,0,48,1,403,0,2861,302,0
NEVP,10/3/2022 6 a.m. PDT,0,49,1,404,0,2714,302,0
NEVP,10/3/2022 7 a.m. PDT,0,50,1,407,0,2782,303,0
NEVP,10/3/2022 8 a.m. PDT,0,533,1,417,0,2644,304,0
NEVP,10/3/2022 9 a.m. PDT,0,1464,1,434,0,2040,304,0
NEVP,10/3/2022 10 a.m. PDT,0,1785,1,434,0,1686,303,0
NEVP,10/3/2022 11 a.m. PDT,0,1796,1,425,0,1685,304,0
NEVP,10/3/2022 12 p.m. PDT,0,1765,1,414,0,1994,303,0
NEVP,10/3/2022 1 p.m. PDT,0,1748,2,400,0,2359,267,0
NEVP,10/3/2022 2 p.m. PDT,3,1742,2,392,0,2682,300,0
NEVP,10/3/2022 3 p.m. PDT,1,1680,2,389,0,3004,304,0
