BA Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NEVP,2/4/2022 8 a.m. PST,0,513,2,438,0,2814,346,0
NEVP,2/4/2022 9 a.m. PST,0,1334,2,442,0,1734,289,0
NEVP,2/4/2022 10 a.m. PST,0,1533,2,449,0,1364,230,0
NEVP,2/4/2022 11 a.m. PST,0,1464,2,446,0,1309,214,0
NEVP,2/4/2022 12 p.m. PST,0,1441,2,437,0,1137,213,0
NEVP,2/4/2022 1 p.m. PST,0,1424,2,433,0,1064,214,0
NEVP,2/4/2022 2 p.m. PST,0,1462,2,426,0,1047,229,0
NEVP,2/4/2022 3 p.m. PST,0,1533,2,420,0,1045,271,0
NEVP,2/4/2022 4 p.m. PST,2,1255,2,410,0,1147,311,0
NEVP,2/4/2022 5 p.m. PST,6,375,2,406,0,2203,346,0
NEVP,2/4/2022 6 p.m. PST,1,43,2,407,0,2755,350,0
NEVP,2/4/2022 7 p.m. PST,0,44,2,413,0,3127,350,0
NEVP,2/4/2022 8 p.m. PST,1,46,2,425,0,3218,351,0
NEVP,2/4/2022 9 p.m. PST,9,46,2,428,0,3228,350,0
NEVP,2/4/2022 10 p.m. PST,4,47,2,429,0,3052,350,0
NEVP,2/4/2022 11 p.m. PST,4,45,2,431,0,2581,341,0
NEVP,2/5/2022 12 a.m. PST,12,45,2,436,0,2635,341,0
NEVP,2/5/2022 1 a.m. PST,3,45,2,430,0,2687,326,0
NEVP,2/5/2022 2 a.m. PST,0,45,2,434,0,2778,321,0
NEVP,2/5/2022 3 a.m. PST,0,45,2,435,0,2687,320,0
NEVP,2/5/2022 4 a.m. PST,0,45,2,435,0,2627,320,0
NEVP,2/5/2022 5 a.m. PST,0,45,2,435,0,2554,321,0
NEVP,2/5/2022 6 a.m. PST,0,45,2,436,0,2604,321,0
NEVP,2/5/2022 7 a.m. PST,0,37,2,434,0,2722,330,0
NEVP,2/5/2022 8 a.m. PST,0,490,2,438,0,2261,327,0
NEVP,2/5/2022 9 a.m. PST,9,1226,2,439,0,1315,269,0
NEVP,2/5/2022 10 a.m. PST,14,1445,2,438,0,964,212,0
