"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
FPC,"4/1/2022 12 a.m. EDT",0,32,78,0,3721,507
FPC,"4/1/2022 1 a.m. EDT",0,31,77,0,3405,352
FPC,"4/1/2022 2 a.m. EDT",0,32,77,0,3300,190
FPC,"4/1/2022 3 a.m. EDT",0,31,79,0,3150,180
FPC,"4/1/2022 4 a.m. EDT",0,32,80,0,3069,177
FPC,"4/1/2022 5 a.m. EDT",0,32,78,0,3058,178
FPC,"4/1/2022 6 a.m. EDT",0,31,81,0,3219,178
FPC,"4/1/2022 7 a.m. EDT",0,32,81,0,3598,176
FPC,"4/1/2022 8 a.m. EDT",5,32,83,0,3905,212
FPC,"4/1/2022 9 a.m. EDT",122,31,80,0,3918,196
FPC,"4/1/2022 10 a.m. EDT",306,32,80,0,3877,204
FPC,"4/1/2022 11 a.m. EDT",384,31,79,0,4038,206
FPC,"4/1/2022 12 p.m. EDT",416,32,81,0,4179,204
FPC,"4/1/2022 1 p.m. EDT",425,31,78,0,4324,327
FPC,"4/1/2022 2 p.m. EDT",471,32,81,0,4419,570
FPC,"4/1/2022 3 p.m. EDT",436,33,74,0,4908,537
FPC,"4/1/2022 4 p.m. EDT",449,32,58,0,5230,550
FPC,"4/1/2022 5 p.m. EDT",457,33,75,0,5417,584
FPC,"4/1/2022 6 p.m. EDT",389,32,80,0,5390,686
FPC,"4/1/2022 7 p.m. EDT",239,32,83,0,5402,697
FPC,"4/1/2022 8 p.m. EDT",31,31,85,0,5328,696
FPC,"4/1/2022 9 p.m. EDT",0,32,86,0,5221,695
FPC,"4/1/2022 10 p.m. EDT",0,31,87,0,4746,697
FPC,"4/1/2022 11 p.m. EDT",0,31,87,0,4241,601
FPC,"4/2/2022 12 a.m. EDT",0,31,85,0,3882,516
FPC,"4/2/2022 1 a.m. EDT",0,31,88,0,3503,382
FPC,"4/2/2022 2 a.m. EDT",0,31,86,0,3244,281
FPC,"4/2/2022 3 a.m. EDT",0,31,88,0,2944,266
FPC,"4/2/2022 4 a.m. EDT",0,31,86,0,2869,208
FPC,"4/2/2022 5 a.m. EDT",0,30,90,0,2858,166
FPC,"4/2/2022 6 a.m. EDT",0,31,87,0,2921,167
FPC,"4/2/2022 7 a.m. EDT",0,31,89,0,3194,167
FPC,"4/2/2022 8 a.m. EDT",12,30,87,0,3355,186
FPC,"4/2/2022 9 a.m. EDT",128,30,89,0,3568,194
FPC,"4/2/2022 10 a.m. EDT",131,30,92,0,3936,343
FPC,"4/2/2022 11 a.m. EDT",135,30,97,5,4029,616
FPC,"4/2/2022 12 p.m. EDT",125,30,93,0,4341,703
FPC,"4/2/2022 1 p.m. EDT",106,30,97,2,4643,704
FPC,"4/2/2022 2 p.m. EDT",107,28,96,0,4836,704
FPC,"4/2/2022 3 p.m. EDT",116,29,95,0,4840,705
FPC,"4/2/2022 4 p.m. EDT",91,29,95,0,4467,704
FPC,"4/2/2022 5 p.m. EDT",38,29,92,0,4142,702
FPC,"4/2/2022 6 p.m. EDT",25,29,96,0,4039,650
FPC,"4/2/2022 7 p.m. EDT",14,29,95,0,3969,548
FPC,"4/2/2022 8 p.m. EDT",3,28,89,0,3928,454
FPC,"4/2/2022 9 p.m. EDT",0,28,83,0,3931,391
FPC,"4/2/2022 10 p.m. EDT",0,28,82,0,3787,336
FPC,"4/2/2022 11 p.m. EDT",0,27,82,0,3579,233
FPC,"4/3/2022 12 a.m. EDT",0,28,81,0,3305,165
FPC,"4/3/2022 1 a.m. EDT",0,27,84,0,3002,171
FPC,"4/3/2022 2 a.m. EDT",0,27,100,0,2750,172
FPC,"4/3/2022 3 a.m. EDT",0,27,99,0,2552,173
FPC,"4/3/2022 4 a.m. EDT",0,26,97,0,2461,170
FPC,"4/3/2022 5 a.m. EDT",0,27,91,0,2442,172
FPC,"4/3/2022 6 a.m. EDT",0,27,89,0,2493,172
FPC,"4/3/2022 7 a.m. EDT",0,27,91,0,2605,171
FPC,"4/3/2022 8 a.m. EDT",13,26,92,0,2794,172
FPC,"4/3/2022 9 a.m. EDT",161,27,93,0,2968,171
FPC,"4/3/2022 10 a.m. EDT",364,27,94,0,3177,172
FPC,"4/3/2022 11 a.m. EDT",427,26,95,0,3365,171
FPC,"4/3/2022 12 p.m. EDT",471,27,94,0,3433,172
FPC,"4/3/2022 1 p.m. EDT",480,26,92,0,3483,171
FPC,"4/3/2022 2 p.m. EDT",492,27,97,0,3741,193
FPC,"4/3/2022 3 p.m. EDT",481,19,96,0,3985,237
FPC,"4/3/2022 4 p.m. EDT",475,15,98,0,4073,471
FPC,"4/3/2022 5 p.m. EDT",438,17,99,0,4305,655
FPC,"4/3/2022 6 p.m. EDT",397,32,99,0,4550,703
FPC,"4/3/2022 7 p.m. EDT",250,19,100,0,4642,709
FPC,"4/3/2022 8 p.m. EDT",37,25,102,0,4714,710
FPC,"4/3/2022 9 p.m. EDT",0,27,98,0,4709,706
FPC,"4/3/2022 10 p.m. EDT",0,27,99,0,4219,708
FPC,"4/3/2022 11 p.m. EDT",0,29,100,0,3634,579
FPC,"4/4/2022 12 a.m. EDT",0,31,100,0,3258,359
FPC,"4/4/2022 1 a.m. EDT",0,30,98,0,2930,172
FPC,"4/4/2022 2 a.m. EDT",0,31,98,0,2644,164
FPC,"4/4/2022 3 a.m. EDT",0,31,99,0,2498,164
FPC,"4/4/2022 4 a.m. EDT",0,31,99,0,2462,164
FPC,"4/4/2022 5 a.m. EDT",0,31,99,0,2494,165
FPC,"4/4/2022 6 a.m. EDT",0,31,101,0,2824,164
FPC,"4/4/2022 7 a.m. EDT",0,31,101,0,3266,177
FPC,"4/4/2022 8 a.m. EDT",23,31,98,0,3431,188
FPC,"4/4/2022 9 a.m. EDT",237,31,95,0,3378,190
FPC,"4/4/2022 10 a.m. EDT",413,31,96,0,3489,189
FPC,"4/4/2022 11 a.m. EDT",489,31,98,0,3497,189
FPC,"4/4/2022 12 p.m. EDT",526,30,95,0,3622,189
FPC,"4/4/2022 1 p.m. EDT",511,30,94,0,4028,211
FPC,"4/4/2022 2 p.m. EDT",489,29,87,0,4241,428
FPC,"4/4/2022 3 p.m. EDT",463,29,90,0,4365,676
FPC,"4/4/2022 4 p.m. EDT",448,31,90,0,4577,704
FPC,"4/4/2022 5 p.m. EDT",441,28,93,0,4936,703
FPC,"4/4/2022 6 p.m. EDT",368,31,90,0,5123,700
FPC,"4/4/2022 7 p.m. EDT",245,27,95,0,5233,704
FPC,"4/4/2022 8 p.m. EDT",32,27,96,0,5180,699
FPC,"4/4/2022 9 p.m. EDT",0,26,95,0,5245,707
FPC,"4/4/2022 10 p.m. EDT",0,27,97,0,4873,702
FPC,"4/4/2022 11 p.m. EDT",0,26,97,0,4213,690
FPC,"4/5/2022 12 a.m. EDT",0,26,95,0,3643,603
FPC,"4/5/2022 1 a.m. EDT",0,27,96,0,3166,409
FPC,"4/5/2022 2 a.m. EDT",0,26,94,0,2973,184
FPC,"4/5/2022 3 a.m. EDT",0,26,95,0,2850,147
FPC,"4/5/2022 4 a.m. EDT",0,26,94,0,2773,148
FPC,"4/5/2022 5 a.m. EDT",0,27,95,0,2813,147
FPC,"4/5/2022 6 a.m. EDT",0,26,94,0,3060,149
FPC,"4/5/2022 7 a.m. EDT",0,26,95,0,3585,168
FPC,"4/5/2022 8 a.m. EDT",18,26,92,0,3817,179
FPC,"4/5/2022 9 a.m. EDT",183,25,93,0,3813,294
FPC,"4/5/2022 10 a.m. EDT",362,24,92,0,3864,265
FPC,"4/5/2022 11 a.m. EDT",379,25,95,0,3974,500
FPC,"4/5/2022 12 p.m. EDT",380,25,90,0,4053,738
FPC,"4/5/2022 1 p.m. EDT",398,26,88,0,4764,788
FPC,"4/5/2022 2 p.m. EDT",406,25,90,0,5162,831
FPC,"4/5/2022 3 p.m. EDT",413,24,86,0,5473,862
FPC,"4/5/2022 4 p.m. EDT",289,24,88,0,5860,858
FPC,"4/5/2022 5 p.m. EDT",265,24,89,85,6112,863
FPC,"4/5/2022 6 p.m. EDT",281,32,90,275,6124,860
FPC,"4/5/2022 7 p.m. EDT",133,24,90,227,6132,853
FPC,"4/5/2022 8 p.m. EDT",11,24,93,96,6062,858
FPC,"4/5/2022 9 p.m. EDT",0,25,95,0,5894,858
FPC,"4/5/2022 10 p.m. EDT",0,25,94,0,5408,856
FPC,"4/5/2022 11 p.m. EDT",0,26,97,0,4854,862
FPC,"4/6/2022 12 a.m. EDT",0,26,99,0,4188,860
FPC,"4/6/2022 1 a.m. EDT",0,27,97,0,3473,801
FPC,"4/6/2022 2 a.m. EDT",0,29,99,0,3074,704
FPC,"4/6/2022 3 a.m. EDT",0,28,97,0,2859,520
FPC,"4/6/2022 4 a.m. EDT",0,29,97,0,2933,345
FPC,"4/6/2022 5 a.m. EDT",0,28,98,0,3027,315
FPC,"4/6/2022 6 a.m. EDT",0,29,98,0,3281,317
FPC,"4/6/2022 7 a.m. EDT",0,29,97,0,3730,396
FPC,"4/6/2022 8 a.m. EDT",7,28,97,0,3872,572
FPC,"4/6/2022 9 a.m. EDT",60,29,96,0,3921,782
FPC,"4/6/2022 10 a.m. EDT",101,28,95,0,4123,880
FPC,"4/6/2022 11 a.m. EDT",202,32,95,0,4456,876
FPC,"4/6/2022 12 p.m. EDT",218,33,96,0,4976,871
FPC,"4/6/2022 1 p.m. EDT",315,30,94,0,5289,875
FPC,"4/6/2022 2 p.m. EDT",281,27,97,0,5596,870
FPC,"4/6/2022 3 p.m. EDT",274,29,96,0,5692,874
FPC,"4/6/2022 4 p.m. EDT",301,29,98,0,5865,874
FPC,"4/6/2022 5 p.m. EDT",278,30,96,91,6140,871
FPC,"4/6/2022 6 p.m. EDT",162,30,96,298,6231,872
FPC,"4/6/2022 7 p.m. EDT",88,27,99,214,6166,873
FPC,"4/6/2022 8 p.m. EDT",16,28,100,117,5921,869
FPC,"4/6/2022 9 p.m. EDT",0,28,99,0,6017,875
FPC,"4/6/2022 10 p.m. EDT",0,26,97,0,5600,878
FPC,"4/6/2022 11 p.m. EDT",0,27,100,0,5138,842
FPC,"4/7/2022 12 a.m. EDT",0,26,98,0,4661,723
FPC,"4/7/2022 1 a.m. EDT",0,26,98,0,4062,641
FPC,"4/7/2022 2 a.m. EDT",0,26,100,0,3629,524
FPC,"4/7/2022 3 a.m. EDT",0,26,102,0,3411,389
FPC,"4/7/2022 4 a.m. EDT",0,25,99,0,3445,196
FPC,"4/7/2022 5 a.m. EDT",0,24,100,0,3560,156
FPC,"4/7/2022 6 a.m. EDT",0,24,98,0,3768,280
FPC,"4/7/2022 7 a.m. EDT",0,25,101,0,4069,505
FPC,"4/7/2022 8 a.m. EDT",6,23,99,0,4333,684
FPC,"4/7/2022 9 a.m. EDT",73,28,99,0,4511,690
FPC,"4/7/2022 10 a.m. EDT",151,26,99,0,4781,687
FPC,"4/7/2022 11 a.m. EDT",187,23,95,0,4954,693
FPC,"4/7/2022 12 p.m. EDT",228,22,96,0,5027,690
FPC,"4/7/2022 1 p.m. EDT",266,21,95,0,4889,687
FPC,"4/7/2022 2 p.m. EDT",299,18,96,0,4600,693
FPC,"4/7/2022 3 p.m. EDT",416,17,98,0,4351,689
FPC,"4/7/2022 4 p.m. EDT",397,17,96,0,4371,692
FPC,"4/7/2022 5 p.m. EDT",373,17,97,20,4501,693
FPC,"4/7/2022 6 p.m. EDT",363,16,99,0,4539,686
FPC,"4/7/2022 7 p.m. EDT",209,16,100,0,4685,693
FPC,"4/7/2022 8 p.m. EDT",36,16,100,0,4758,692
FPC,"4/7/2022 9 p.m. EDT",0,13,100,0,4835,690
FPC,"4/7/2022 10 p.m. EDT",0,13,100,0,4604,694
FPC,"4/7/2022 11 p.m. EDT",0,15,102,0,3977,693
FPC,"4/8/2022 12 a.m. EDT",0,14,101,0,3300,679
FPC,"4/8/2022 1 a.m. EDT",0,14,100,0,2868,516
FPC,"4/8/2022 2 a.m. EDT",0,13,100,0,2798,263
FPC,"4/8/2022 3 a.m. EDT",0,13,102,0,2697,165
FPC,"4/8/2022 4 a.m. EDT",0,13,100,0,2619,164
FPC,"4/8/2022 5 a.m. EDT",0,13,102,0,2609,163
FPC,"4/8/2022 6 a.m. EDT",0,12,99,0,2814,160
FPC,"4/8/2022 7 a.m. EDT",0,12,99,0,3323,194
FPC,"4/8/2022 8 a.m. EDT",30,10,95,0,3595,331
FPC,"4/8/2022 9 a.m. EDT",263,10,90,0,3526,474
FPC,"4/8/2022 10 a.m. EDT",500,2,93,0,3258,351
FPC,"4/8/2022 11 a.m. EDT",548,0,92,47,3303,210
FPC,"4/8/2022 12 p.m. EDT",558,0,94,0,3376,161
