"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"2/1/2022 12 a.m. PST",92,0,13,221,1041,206
LDWP,"2/1/2022 1 a.m. PST",102,0,7,211,713,205
LDWP,"2/1/2022 2 a.m. PST",135,0,7,181,691,206
LDWP,"2/1/2022 3 a.m. PST",144,0,7,139,687,206
LDWP,"2/1/2022 4 a.m. PST",135,0,7,139,689,205
LDWP,"2/1/2022 5 a.m. PST",133,0,7,140,669,205
LDWP,"2/1/2022 6 a.m. PST",125,0,4,193,881,206
LDWP,"2/1/2022 7 a.m. PST",102,0,180,225,989,206
LDWP,"2/1/2022 8 a.m. PST",120,159,194,225,1379,206
LDWP,"2/1/2022 9 a.m. PST",137,602,190,200,1186,206
LDWP,"2/1/2022 10 a.m. PST",136,898,11,140,995,206
LDWP,"2/1/2022 11 a.m. PST",163,909,0,122,928,206
LDWP,"2/1/2022 12 p.m. PST",175,792,0,117,860,205
LDWP,"2/1/2022 1 p.m. PST",118,852,0,118,720,204
LDWP,"2/1/2022 2 p.m. PST",102,848,0,120,730,204
LDWP,"2/1/2022 3 p.m. PST",135,851,0,122,745,205
LDWP,"2/1/2022 4 p.m. PST",145,625,192,143,740,206
LDWP,"2/1/2022 5 p.m. PST",131,174,395,190,796,206
LDWP,"2/1/2022 6 p.m. PST",111,1,386,231,1054,206
LDWP,"2/1/2022 7 p.m. PST",90,0,385,236,1254,205
LDWP,"2/1/2022 8 p.m. PST",66,0,383,235,1147,205
LDWP,"2/1/2022 9 p.m. PST",96,0,383,236,1080,205
LDWP,"2/1/2022 10 p.m. PST",88,0,381,233,1083,205
LDWP,"2/1/2022 11 p.m. PST",81,0,203,229,1077,205
LDWP,"2/2/2022 12 a.m. PST",65,0,205,228,1185,205
LDWP,"2/2/2022 1 a.m. PST",66,0,9,229,1233,205
LDWP,"2/2/2022 2 a.m. PST",62,0,8,221,1235,205
LDWP,"2/2/2022 3 a.m. PST",62,0,9,215,1204,205
LDWP,"2/2/2022 4 a.m. PST",43,0,9,210,1220,204
LDWP,"2/2/2022 5 a.m. PST",76,0,9,218,1242,205
LDWP,"2/2/2022 6 a.m. PST",130,0,10,223,1369,206
LDWP,"2/2/2022 7 a.m. PST",184,3,199,229,1491,206
LDWP,"2/2/2022 8 a.m. PST",94,218,383,229,1247,206
LDWP,"2/2/2022 9 a.m. PST",141,730,21,214,847,206
LDWP,"2/2/2022 10 a.m. PST",271,969,0,124,815,206
LDWP,"2/2/2022 11 a.m. PST",255,1010,0,112,619,207
LDWP,"2/2/2022 12 p.m. PST",270,985,0,108,618,207
LDWP,"2/2/2022 1 p.m. PST",263,988,0,106,617,206
LDWP,"2/2/2022 2 p.m. PST",274,989,0,104,567,207
LDWP,"2/2/2022 3 p.m. PST",271,905,0,111,594,206
LDWP,"2/2/2022 4 p.m. PST",259,666,0,139,695,206
LDWP,"2/2/2022 5 p.m. PST",228,191,28,214,1006,206
LDWP,"2/2/2022 6 p.m. PST",195,2,199,231,1269,206
LDWP,"2/2/2022 7 p.m. PST",106,0,199,231,1401,206
LDWP,"2/2/2022 8 p.m. PST",108,0,198,238,1514,206
LDWP,"2/2/2022 9 p.m. PST",79,0,198,233,1582,206
LDWP,"2/2/2022 10 p.m. PST",76,0,198,231,1513,206
LDWP,"2/2/2022 11 p.m. PST",61,0,196,230,1301,206
LDWP,"2/3/2022 12 a.m. PST",39,0,10,229,1350,206
LDWP,"2/3/2022 1 a.m. PST",18,0,8,164,1332,207
LDWP,"2/3/2022 2 a.m. PST",8,0,0,130,1374,207
LDWP,"2/3/2022 3 a.m. PST",1,0,0,144,1350,207
LDWP,"2/3/2022 4 a.m. PST",0,0,0,161,1457,207
LDWP,"2/3/2022 5 a.m. PST",0,0,7,143,1351,207
LDWP,"2/3/2022 6 a.m. PST",0,0,10,190,1391,207
LDWP,"2/3/2022 7 a.m. PST",0,1,197,229,1359,207
LDWP,"2/3/2022 8 a.m. PST",0,163,407,229,1261,206
LDWP,"2/3/2022 9 a.m. PST",0,569,198,162,1155,206
LDWP,"2/3/2022 10 a.m. PST",10,735,4,143,972,206
LDWP,"2/3/2022 11 a.m. PST",49,747,5,125,916,206
LDWP,"2/3/2022 12 p.m. PST",113,727,5,115,907,206
LDWP,"2/3/2022 1 p.m. PST",125,725,5,112,860,206
LDWP,"2/3/2022 2 p.m. PST",148,724,5,120,844,205
LDWP,"2/3/2022 3 p.m. PST",164,677,5,135,845,205
LDWP,"2/3/2022 4 p.m. PST",155,521,8,154,830,205
LDWP,"2/3/2022 5 p.m. PST",111,169,197,175,1288,206
LDWP,"2/3/2022 6 p.m. PST",84,2,196,231,1785,206
LDWP,"2/3/2022 7 p.m. PST",98,0,197,239,1827,206
LDWP,"2/3/2022 8 p.m. PST",46,0,380,238,1683,205
LDWP,"2/3/2022 9 p.m. PST",8,0,192,235,1653,205
LDWP,"2/3/2022 10 p.m. PST",13,0,189,230,1677,205
LDWP,"2/3/2022 11 p.m. PST",2,0,7,217,1559,206
LDWP,"2/4/2022 12 a.m. PST",3,0,5,201,1226,206
LDWP,"2/4/2022 1 a.m. PST",4,0,5,204,861,205
LDWP,"2/4/2022 2 a.m. PST",6,0,5,207,726,205
LDWP,"2/4/2022 3 a.m. PST",3,0,5,207,722,205
LDWP,"2/4/2022 4 a.m. PST",0,0,5,166,723,206
LDWP,"2/4/2022 5 a.m. PST",1,0,5,201,681,206
LDWP,"2/4/2022 6 a.m. PST",7,0,1,230,764,205
LDWP,"2/4/2022 7 a.m. PST",1,3,182,228,931,205
LDWP,"2/4/2022 8 a.m. PST",4,181,191,227,1151,206
LDWP,"2/4/2022 9 a.m. PST",0,592,190,175,954,205
LDWP,"2/4/2022 10 a.m. PST",15,832,7,136,839,206
LDWP,"2/4/2022 11 a.m. PST",60,993,1,122,832,206
LDWP,"2/4/2022 12 p.m. PST",68,984,0,117,834,206
LDWP,"2/4/2022 1 p.m. PST",42,987,0,110,831,206
LDWP,"2/4/2022 2 p.m. PST",33,980,0,106,836,206
LDWP,"2/4/2022 3 p.m. PST",41,915,0,106,940,206
LDWP,"2/4/2022 4 p.m. PST",62,693,2,126,995,206
LDWP,"2/4/2022 5 p.m. PST",65,212,195,163,1110,206
LDWP,"2/4/2022 6 p.m. PST",46,2,193,226,1236,207
LDWP,"2/4/2022 7 p.m. PST",12,0,194,233,1215,206
LDWP,"2/4/2022 8 p.m. PST",5,0,194,230,1144,206
LDWP,"2/4/2022 9 p.m. PST",4,0,194,229,1039,205
LDWP,"2/4/2022 10 p.m. PST",4,0,192,229,917,205
LDWP,"2/4/2022 11 p.m. PST",1,0,193,221,766,205
LDWP,"2/5/2022 12 a.m. PST",0,0,193,207,718,206
LDWP,"2/5/2022 1 a.m. PST",0,0,182,204,921,208
LDWP,"2/5/2022 2 a.m. PST",0,0,3,162,887,207
LDWP,"2/5/2022 3 a.m. PST",0,0,5,138,836,206
LDWP,"2/5/2022 4 a.m. PST",0,0,5,138,867,207
LDWP,"2/5/2022 5 a.m. PST",0,0,5,179,741,206
LDWP,"2/5/2022 6 a.m. PST",8,0,5,220,639,206
LDWP,"2/5/2022 7 a.m. PST",15,4,182,210,637,206
LDWP,"2/5/2022 8 a.m. PST",3,246,8,156,635,205
LDWP,"2/5/2022 9 a.m. PST",0,748,0,120,477,205
LDWP,"2/5/2022 10 a.m. PST",0,954,0,98,514,205
LDWP,"2/5/2022 11 a.m. PST",2,993,0,98,510,205
LDWP,"2/5/2022 12 p.m. PST",3,983,0,98,544,205
