"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
FPC,"5/1/2022 12 a.m. EDT",0,36,76,0,3149,1020
FPC,"5/1/2022 1 a.m. EDT",0,37,77,0,2980,776
FPC,"5/1/2022 2 a.m. EDT",0,37,77,0,2832,478
FPC,"5/1/2022 3 a.m. EDT",0,37,76,0,2620,354
FPC,"5/1/2022 4 a.m. EDT",0,37,77,0,2490,353
FPC,"5/1/2022 5 a.m. EDT",0,37,79,0,2423,355
FPC,"5/1/2022 6 a.m. EDT",0,37,76,0,2449,356
FPC,"5/1/2022 7 a.m. EDT",1,37,80,0,2542,353
FPC,"5/1/2022 8 a.m. EDT",88,37,77,0,2560,354
FPC,"5/1/2022 9 a.m. EDT",337,37,78,0,2900,355
FPC,"5/1/2022 10 a.m. EDT",448,37,77,0,3184,538
FPC,"5/1/2022 11 a.m. EDT",455,33,77,0,3427,936
FPC,"5/1/2022 12 p.m. EDT",519,37,79,0,3765,1072
FPC,"5/1/2022 1 p.m. EDT",457,35,75,0,4048,1075
FPC,"5/1/2022 2 p.m. EDT",424,32,78,0,4440,1155
FPC,"5/1/2022 3 p.m. EDT",377,34,76,0,4591,1346
FPC,"5/1/2022 4 p.m. EDT",334,33,76,0,4817,1382
FPC,"5/1/2022 5 p.m. EDT",166,35,76,22,5147,1380
FPC,"5/1/2022 6 p.m. EDT",197,39,78,47,5043,1376
FPC,"5/1/2022 7 p.m. EDT",91,36,78,0,4891,1388
FPC,"5/1/2022 8 p.m. EDT",30,36,77,0,4580,1376
FPC,"5/1/2022 9 p.m. EDT",0,35,78,0,4418,1384
FPC,"5/1/2022 10 p.m. EDT",0,34,78,0,3896,1383
FPC,"5/1/2022 11 p.m. EDT",0,34,77,0,3497,1360
FPC,"5/2/2022 12 a.m. EDT",0,34,77,0,3112,1219
FPC,"5/2/2022 1 a.m. EDT",0,33,77,0,2958,928
FPC,"5/2/2022 2 a.m. EDT",0,33,76,0,2902,522
FPC,"5/2/2022 3 a.m. EDT",0,32,78,0,2664,359
FPC,"5/2/2022 4 a.m. EDT",0,32,77,0,2507,357
FPC,"5/2/2022 5 a.m. EDT",0,32,77,0,2500,360
FPC,"5/2/2022 6 a.m. EDT",0,32,78,0,2764,359
FPC,"5/2/2022 7 a.m. EDT",1,30,78,0,3172,423
FPC,"5/2/2022 8 a.m. EDT",74,29,76,0,3206,562
FPC,"5/2/2022 9 a.m. EDT",323,32,76,0,3274,565
FPC,"5/2/2022 10 a.m. EDT",436,33,72,0,3423,628
FPC,"5/2/2022 11 a.m. EDT",496,31,57,0,3662,1037
FPC,"5/2/2022 12 p.m. EDT",536,30,52,0,3942,1272
FPC,"5/2/2022 1 p.m. EDT",523,31,52,44,3973,1343
FPC,"5/2/2022 2 p.m. EDT",499,32,51,50,4650,1297
FPC,"5/2/2022 3 p.m. EDT",532,32,35,49,4940,1259
FPC,"5/2/2022 4 p.m. EDT",477,31,35,49,5302,1233
FPC,"5/2/2022 5 p.m. EDT",325,32,35,178,5559,1231
FPC,"5/2/2022 6 p.m. EDT",267,38,36,170,5711,1224
