"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"5/1/2022 12 a.m. EDT",-2,9,288,0,702,733,3132
CPLE,"5/1/2022 1 a.m. EDT",-2,8,267,0,478,576,3235
CPLE,"5/1/2022 2 a.m. EDT",-1,7,217,0,473,378,3384
CPLE,"5/1/2022 3 a.m. EDT",-3,8,213,0,456,352,3496
CPLE,"5/1/2022 4 a.m. EDT",-2,6,203,0,438,350,3595
CPLE,"5/1/2022 5 a.m. EDT",-2,8,199,0,424,349,3643
CPLE,"5/1/2022 6 a.m. EDT",-3,9,201,0,447,349,3664
CPLE,"5/1/2022 7 a.m. EDT",10,20,233,0,471,351,3662
CPLE,"5/1/2022 8 a.m. EDT",441,8,167,0,414,350,3661
CPLE,"5/1/2022 9 a.m. EDT",1264,6,150,0,368,349,3669
CPLE,"5/1/2022 10 a.m. EDT",1916,8,147,0,359,251,3669
CPLE,"5/1/2022 11 a.m. EDT",2372,8,148,0,373,251,3665
CPLE,"5/1/2022 12 p.m. EDT",2580,8,182,0,465,287,3667
CPLE,"5/1/2022 1 p.m. EDT",2613,8,167,0,543,492,3659
CPLE,"5/1/2022 2 p.m. EDT",2555,5,187,0,587,571,3657
CPLE,"5/1/2022 3 p.m. EDT",2395,11,182,0,615,589,3656
CPLE,"5/1/2022 4 p.m. EDT",2113,40,186,0,684,731,3652
CPLE,"5/1/2022 5 p.m. EDT",1534,41,199,0,1181,1124,3652
CPLE,"5/1/2022 6 p.m. EDT",892,40,252,0,1470,1269,3650
CPLE,"5/1/2022 7 p.m. EDT",308,42,260,0,1638,1268,3663
CPLE,"5/1/2022 8 p.m. EDT",69,45,257,0,1529,1280,3660
CPLE,"5/1/2022 9 p.m. EDT",-3,40,293,0,1618,1315,3657
CPLE,"5/1/2022 10 p.m. EDT",-1,42,290,0,1488,1375,3661
CPLE,"5/1/2022 11 p.m. EDT",0,13,291,0,890,1392,3662
CPLE,"5/2/2022 12 a.m. EDT",-2,8,287,0,568,1101,3664
CPLE,"5/2/2022 1 a.m. EDT",-1,6,288,0,643,773,3663
CPLE,"5/2/2022 2 a.m. EDT",-2,8,288,0,661,611,3664
CPLE,"5/2/2022 3 a.m. EDT",-3,8,269,0,556,456,3666
CPLE,"5/2/2022 4 a.m. EDT",-2,9,193,0,404,419,3666
CPLE,"5/2/2022 5 a.m. EDT",-2,14,195,0,533,479,3662
CPLE,"5/2/2022 6 a.m. EDT",-2,14,192,0,655,759,3671
CPLE,"5/2/2022 7 a.m. EDT",9,40,266,0,732,886,3664
CPLE,"5/2/2022 8 a.m. EDT",385,44,260,0,725,1122,3668
CPLE,"5/2/2022 9 a.m. EDT",1037,44,261,0,713,960,3666
CPLE,"5/2/2022 10 a.m. EDT",1640,27,260,0,555,928,3669
CPLE,"5/2/2022 11 a.m. EDT",2065,13,259,0,599,1078,3666
