"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"10/4/2022 3 p.m. PDT",22,967,0,224,903,1181
LDWP,"10/4/2022 4 p.m. PDT",23,878,175,235,1082,1171
LDWP,"10/4/2022 5 p.m. PDT",35,664,189,234,1310,1223
LDWP,"10/4/2022 6 p.m. PDT",39,249,190,240,1584,1237
LDWP,"10/4/2022 7 p.m. PDT",44,5,188,241,1785,1237
LDWP,"10/4/2022 8 p.m. PDT",37,0,189,223,1689,1238
LDWP,"10/4/2022 9 p.m. PDT",23,0,188,240,1566,1229
LDWP,"10/4/2022 10 p.m. PDT",29,0,189,246,1346,1098
LDWP,"10/4/2022 11 p.m. PDT",25,0,189,251,1269,1016
LDWP,"10/5/2022 12 a.m. PDT",10,0,187,240,1269,729
LDWP,"10/5/2022 1 a.m. PDT",9,0,2,235,1268,532
LDWP,"10/5/2022 2 a.m. PDT",8,0,3,226,1268,434
LDWP,"10/5/2022 3 a.m. PDT",11,0,3,223,1268,428
LDWP,"10/5/2022 4 a.m. PDT",9,0,3,221,1268,420
LDWP,"10/5/2022 5 a.m. PDT",6,0,3,220,1269,416
LDWP,"10/5/2022 6 a.m. PDT",5,0,3,214,1268,421
LDWP,"10/5/2022 7 a.m. PDT",2,2,3,206,1270,540
LDWP,"10/5/2022 8 a.m. PDT",0,196,2,196,1250,436
LDWP,"10/5/2022 9 a.m. PDT",0,660,1,164,773,445
LDWP,"10/5/2022 10 a.m. PDT",0,909,1,112,549,473
LDWP,"10/5/2022 11 a.m. PDT",0,986,1,112,507,431
LDWP,"10/5/2022 12 p.m. PDT",2,1002,1,118,668,427
LDWP,"10/5/2022 1 p.m. PDT",8,995,1,187,770,476
LDWP,"10/5/2022 2 p.m. PDT",7,992,1,211,925,665
LDWP,"10/5/2022 3 p.m. PDT",5,957,1,223,1015,857
LDWP,"10/5/2022 4 p.m. PDT",17,871,1,237,1137,1037
LDWP,"10/5/2022 5 p.m. PDT",24,666,179,236,1263,1068
LDWP,"10/5/2022 6 p.m. PDT",29,238,187,243,1267,1197
LDWP,"10/5/2022 7 p.m. PDT",29,4,185,231,1459,1238
LDWP,"10/5/2022 8 p.m. PDT",16,0,3,228,1487,1240
LDWP,"10/5/2022 9 p.m. PDT",13,0,1,226,1297,1241
LDWP,"10/5/2022 10 p.m. PDT",15,0,1,222,1269,1241
LDWP,"10/5/2022 11 p.m. PDT",32,0,1,239,1269,1241
LDWP,"10/6/2022 12 a.m. PDT",20,0,1,231,1268,938
LDWP,"10/6/2022 1 a.m. PDT",11,0,1,222,1268,665
LDWP,"10/6/2022 2 a.m. PDT",14,0,1,215,1268,483
LDWP,"10/6/2022 3 a.m. PDT",13,0,1,215,1268,427
LDWP,"10/6/2022 4 a.m. PDT",11,0,1,214,1270,424
LDWP,"10/6/2022 5 a.m. PDT",7,0,1,210,1270,425
LDWP,"10/6/2022 6 a.m. PDT",2,0,1,213,1270,481
LDWP,"10/6/2022 7 a.m. PDT",1,1,1,212,1269,571
LDWP,"10/6/2022 8 a.m. PDT",1,181,0,211,558,741
LDWP,"10/6/2022 9 a.m. PDT",0,442,0,190,497,798
LDWP,"10/6/2022 10 a.m. PDT",0,906,0,170,1020,1129
LDWP,"10/6/2022 11 a.m. PDT",0,983,0,110,967,877
LDWP,"10/6/2022 12 p.m. PDT",0,1000,0,102,1011,620
LDWP,"10/6/2022 1 p.m. PDT",1,996,0,131,1016,722
LDWP,"10/6/2022 2 p.m. PDT",4,993,0,207,1058,898
LDWP,"10/6/2022 3 p.m. PDT",10,959,0,229,1214,930
LDWP,"10/6/2022 4 p.m. PDT",11,872,0,228,1318,999
LDWP,"10/6/2022 5 p.m. PDT",21,662,186,235,1421,1005
LDWP,"10/6/2022 6 p.m. PDT",39,227,187,223,1584,1011
LDWP,"10/6/2022 7 p.m. PDT",41,3,186,235,1659,1103
LDWP,"10/6/2022 8 p.m. PDT",35,0,183,218,1499,1107
LDWP,"10/6/2022 9 p.m. PDT",19,0,0,212,1362,1108
LDWP,"10/6/2022 10 p.m. PDT",13,0,0,222,1270,1108
LDWP,"10/6/2022 11 p.m. PDT",10,0,0,242,1269,1103
LDWP,"10/7/2022 12 a.m. PDT",11,0,0,239,1270,903
LDWP,"10/7/2022 1 a.m. PDT",14,0,0,229,1268,624
LDWP,"10/7/2022 2 a.m. PDT",11,0,0,214,1270,462
LDWP,"10/7/2022 3 a.m. PDT",12,0,0,210,1269,427
LDWP,"10/7/2022 4 a.m. PDT",12,0,0,205,1269,424
LDWP,"10/7/2022 5 a.m. PDT",8,0,0,206,1271,424
LDWP,"10/7/2022 6 a.m. PDT",7,0,0,217,1271,423
LDWP,"10/7/2022 7 a.m. PDT",9,1,0,226,1272,542
LDWP,"10/7/2022 8 a.m. PDT",9,187,1,214,1273,499
LDWP,"10/7/2022 9 a.m. PDT",0,653,0,193,1125,470
LDWP,"10/7/2022 10 a.m. PDT",0,909,0,172,1019,504
LDWP,"10/7/2022 11 a.m. PDT",0,982,0,175,1018,574
LDWP,"10/7/2022 12 p.m. PDT",0,999,0,173,1017,582
LDWP,"10/7/2022 1 p.m. PDT",3,1002,0,194,1031,717
LDWP,"10/7/2022 2 p.m. PDT",1,999,0,214,1041,760
LDWP,"10/7/2022 3 p.m. PDT",3,955,0,229,1148,965
LDWP,"10/7/2022 4 p.m. PDT",7,862,0,235,1264,1100
LDWP,"10/7/2022 5 p.m. PDT",14,678,180,242,1264,1102
LDWP,"10/7/2022 6 p.m. PDT",16,221,185,247,1439,1111
LDWP,"10/7/2022 7 p.m. PDT",9,3,184,234,1731,1229
LDWP,"10/7/2022 8 p.m. PDT",16,0,185,223,1394,1084
LDWP,"10/7/2022 9 p.m. PDT",11,0,185,215,1265,948
LDWP,"10/7/2022 10 p.m. PDT",2,0,185,225,1266,874
LDWP,"10/7/2022 11 p.m. PDT",0,0,189,235,1267,868
LDWP,"10/8/2022 12 a.m. PDT",0,0,2,234,1267,778
LDWP,"10/8/2022 1 a.m. PDT",1,0,0,227,1267,694
LDWP,"10/8/2022 2 a.m. PDT",2,0,0,214,1266,538
LDWP,"10/8/2022 3 a.m. PDT",3,0,0,208,1267,428
LDWP,"10/8/2022 4 a.m. PDT",1,0,0,205,1268,424
LDWP,"10/8/2022 5 a.m. PDT",0,0,0,205,1270,423
LDWP,"10/8/2022 6 a.m. PDT",12,0,0,206,1271,423
