"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
FPC,"2/1/2022 12 a.m. EST",0,40,100,0,3804,764
FPC,"2/1/2022 1 a.m. EST",0,41,104,0,3537,851
FPC,"2/1/2022 2 a.m. EST",0,40,102,0,3463,870
FPC,"2/1/2022 3 a.m. EST",0,40,101,0,3591,974
FPC,"2/1/2022 4 a.m. EST",0,40,95,0,3819,1081
FPC,"2/1/2022 5 a.m. EST",0,40,104,0,4177,1088
FPC,"2/1/2022 6 a.m. EST",0,41,102,0,4758,1084
FPC,"2/1/2022 7 a.m. EST",0,40,102,10,5579,1087
FPC,"2/1/2022 8 a.m. EST",19,40,101,35,6174,1088
FPC,"2/1/2022 9 a.m. EST",252,40,103,0,5514,1090
FPC,"2/1/2022 10 a.m. EST",441,41,101,0,4375,1088
FPC,"2/1/2022 11 a.m. EST",475,40,98,0,3489,1077
FPC,"2/1/2022 12 p.m. EST",477,37,91,0,3119,889
FPC,"2/1/2022 1 p.m. EST",458,38,102,0,3044,661
FPC,"2/1/2022 2 p.m. EST",446,38,97,0,2873,650
FPC,"2/1/2022 3 p.m. EST",449,38,97,0,2880,559
FPC,"2/1/2022 4 p.m. EST",427,38,99,0,2876,570
FPC,"2/1/2022 5 p.m. EST",312,38,97,0,2962,707
FPC,"2/1/2022 6 p.m. EST",73,41,98,0,3395,946
FPC,"2/1/2022 7 p.m. EST",0,38,101,0,3795,1103
FPC,"2/1/2022 8 p.m. EST",0,39,102,0,3876,1106
FPC,"2/1/2022 9 p.m. EST",0,39,102,0,3708,1106
FPC,"2/1/2022 10 p.m. EST",0,40,100,0,3367,1106
FPC,"2/1/2022 11 p.m. EST",0,39,100,0,2946,1103
FPC,"2/2/2022 12 a.m. EST",0,39,100,0,2603,1064
FPC,"2/2/2022 1 a.m. EST",0,39,101,0,3281,1056
FPC,"2/2/2022 2 a.m. EST",0,40,101,0,2439,1055
FPC,"2/2/2022 3 a.m. EST",0,40,98,0,2477,1055
FPC,"2/2/2022 4 a.m. EST",0,39,100,0,2535,1055
FPC,"2/2/2022 5 a.m. EST",0,40,95,0,2824,1053
FPC,"2/2/2022 6 a.m. EST",0,39,98,0,3376,1056
FPC,"2/2/2022 7 a.m. EST",0,40,96,0,4139,1057
FPC,"2/2/2022 8 a.m. EST",23,39,100,0,4468,1055
FPC,"2/2/2022 9 a.m. EST",222,39,102,0,4141,1056
FPC,"2/2/2022 10 a.m. EST",405,40,100,0,3377,1057
FPC,"2/2/2022 11 a.m. EST",455,40,102,0,2739,1058
FPC,"2/2/2022 12 p.m. EST",463,40,98,0,2468,1058
FPC,"2/2/2022 1 p.m. EST",443,39,100,0,2445,1059
FPC,"2/2/2022 2 p.m. EST",424,40,98,0,2449,1056
FPC,"2/2/2022 3 p.m. EST",405,39,102,0,2491,1058
FPC,"2/2/2022 4 p.m. EST",380,39,100,0,2605,1099
FPC,"2/2/2022 5 p.m. EST",254,40,100,0,2772,1193
FPC,"2/2/2022 6 p.m. EST",74,40,100,0,3041,1335
FPC,"2/2/2022 7 p.m. EST",1,39,102,0,3403,1389
FPC,"2/2/2022 8 p.m. EST",0,40,100,0,3388,1404
FPC,"2/2/2022 9 p.m. EST",0,39,102,0,3083,1407
FPC,"2/2/2022 10 p.m. EST",0,40,100,0,2742,1368
FPC,"2/2/2022 11 p.m. EST",0,39,103,0,2401,1299
FPC,"2/3/2022 12 a.m. EST",0,40,101,0,2349,1068
FPC,"2/3/2022 1 a.m. EST",0,39,102,0,2229,766
FPC,"2/3/2022 2 a.m. EST",0,40,101,0,2132,726
FPC,"2/3/2022 3 a.m. EST",0,40,102,0,2097,703
FPC,"2/3/2022 4 a.m. EST",0,40,102,0,2042,701
FPC,"2/3/2022 5 a.m. EST",0,40,103,0,2040,778
FPC,"2/3/2022 6 a.m. EST",0,39,101,0,2287,869
FPC,"2/3/2022 7 a.m. EST",0,40,104,0,2804,924
FPC,"2/3/2022 8 a.m. EST",24,39,102,0,3104,929
FPC,"2/3/2022 9 a.m. EST",170,40,101,0,3001,930
FPC,"2/3/2022 10 a.m. EST",345,39,101,0,2789,927
