"Region Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
FLA,"10/1/2022 12 a.m. EDT",75,13,2364,0,13781,2579,2823
FLA,"10/1/2022 1 a.m. EDT",75,14,2398,0,12420,2387,2821
FLA,"10/1/2022 2 a.m. EDT",75,13,2399,0,11189,2271,2823
FLA,"10/1/2022 3 a.m. EDT",75,14,2147,0,10611,2095,2824
FLA,"10/1/2022 4 a.m. EDT",75,13,1877,0,10196,2066,2823
FLA,"10/1/2022 5 a.m. EDT",75,14,1831,0,10103,2001,2825
FLA,"10/1/2022 6 a.m. EDT",75,13,1882,0,10181,2021,2827
FLA,"10/1/2022 7 a.m. EDT",75,14,2008,0,10604,2104,2825
FLA,"10/1/2022 8 a.m. EDT",130,13,1964,0,11135,2161,2827
FLA,"10/1/2022 9 a.m. EDT",1085,14,2081,0,11639,2284,2827
FLA,"10/1/2022 10 a.m. EDT",2434,13,2271,0,12346,2364,2826
FLA,"10/1/2022 11 a.m. EDT",3350,14,2633,0,13161,2375,2827
FLA,"10/1/2022 12 p.m. EDT",3876,13,2794,0,14171,2560,2826
FLA,"10/1/2022 1 p.m. EDT",3876,14,2831,0,15630,2820,2824
FLA,"10/1/2022 2 p.m. EDT",3577,14,2823,0,17015,3119,2828
FLA,"10/1/2022 3 p.m. EDT",3449,14,2828,0,18283,3186,2824
FLA,"10/1/2022 4 p.m. EDT",3330,14,2827,0,19133,3188,2824
FLA,"10/1/2022 5 p.m. EDT",3334,14,2814,30,19271,3491,2819
FLA,"10/1/2022 6 p.m. EDT",2471,29,2781,49,20100,3566,2825
FLA,"10/1/2022 7 p.m. EDT",805,14,2760,48,21000,3316,2824
FLA,"10/1/2022 8 p.m. EDT",88,14,2756,47,21147,2756,2821
FLA,"10/1/2022 9 p.m. EDT",75,14,2731,42,20239,2440,2820
FLA,"10/1/2022 10 p.m. EDT",75,14,2628,12,18750,2328,2824
FLA,"10/1/2022 11 p.m. EDT",75,13,2631,0,16859,2330,2823
FLA,"10/2/2022 12 a.m. EDT",75,13,2669,0,15088,2324,2822
FLA,"10/2/2022 1 a.m. EDT",75,13,2519,0,13756,2122,2824
FLA,"10/2/2022 2 a.m. EDT",75,13,2426,0,12652,1840,2823
FLA,"10/2/2022 3 a.m. EDT",75,13,2404,0,11911,1567,2826
FLA,"10/2/2022 4 a.m. EDT",75,13,2412,0,11349,1464,2825
FLA,"10/2/2022 5 a.m. EDT",74,13,2433,0,10920,1497,2828
FLA,"10/2/2022 6 a.m. EDT",75,12,2438,0,10860,1534,2825
FLA,"10/2/2022 7 a.m. EDT",75,12,2452,0,11167,1534,2824
FLA,"10/2/2022 8 a.m. EDT",140,13,2429,0,11754,1543,2825
FLA,"10/2/2022 9 a.m. EDT",1179,13,2476,0,12156,1548,2826
FLA,"10/2/2022 10 a.m. EDT",2591,12,2510,0,12886,1566,2828
FLA,"10/2/2022 11 a.m. EDT",3338,13,2645,0,14118,1548,2824
FLA,"10/2/2022 12 p.m. EDT",3895,14,2701,0,15337,1703,2824
FLA,"10/2/2022 1 p.m. EDT",4278,14,2794,0,16321,2070,2828
FLA,"10/2/2022 2 p.m. EDT",4336,14,2893,0,17821,2194,2826
FLA,"10/2/2022 3 p.m. EDT",4219,13,2812,0,19140,2368,2820
FLA,"10/2/2022 4 p.m. EDT",4037,13,2868,75,20258,2573,2821
FLA,"10/2/2022 5 p.m. EDT",3623,14,3089,79,20670,2997,2822
FLA,"10/2/2022 6 p.m. EDT",2629,28,3079,49,21807,3084,2820
FLA,"10/2/2022 7 p.m. EDT",830,13,3235,50,22332,3167,2819
FLA,"10/2/2022 8 p.m. EDT",25,13,3271,40,21822,3055,2822
FLA,"10/2/2022 9 p.m. EDT",17,12,3223,0,21409,2837,2820
FLA,"10/2/2022 10 p.m. EDT",17,13,2842,0,19638,2561,2822
FLA,"10/2/2022 11 p.m. EDT",17,12,2584,0,17622,2452,2821
FLA,"10/3/2022 12 a.m. EDT",17,13,2447,0,15470,2309,2824
FLA,"10/3/2022 1 a.m. EDT",17,13,2465,0,13788,2168,2822
FLA,"10/3/2022 2 a.m. EDT",17,12,2461,0,12623,1839,2823
FLA,"10/3/2022 3 a.m. EDT",16,13,2463,0,11678,1775,2822
FLA,"10/3/2022 4 a.m. EDT",17,13,2456,0,11206,1702,2823
FLA,"10/3/2022 5 a.m. EDT",17,13,2456,0,11171,1633,2824
FLA,"10/3/2022 6 a.m. EDT",16,12,2465,0,11947,1720,2823
FLA,"10/3/2022 7 a.m. EDT",17,13,2403,0,13235,1956,2822
FLA,"10/3/2022 8 a.m. EDT",85,13,2369,0,14218,1904,2823
FLA,"10/3/2022 9 a.m. EDT",1195,13,2442,0,14198,1813,2822
FLA,"10/3/2022 10 a.m. EDT",2768,13,2484,0,14375,1823,2825
FLA,"10/3/2022 11 a.m. EDT",3692,13,2742,0,15357,1775,2827
FLA,"10/3/2022 12 p.m. EDT",4205,11,2809,0,16309,2194,2821
FLA,"10/3/2022 1 p.m. EDT",4337,12,2804,0,18019,2442,2823
FLA,"10/3/2022 2 p.m. EDT",4239,12,2770,0,19814,2586,2822
FLA,"10/3/2022 3 p.m. EDT",3919,12,2826,0,21360,2563,2819
FLA,"10/3/2022 4 p.m. EDT",3475,14,2949,0,22463,2677,2818
FLA,"10/3/2022 5 p.m. EDT",3087,15,2977,0,23019,2849,2818
FLA,"10/3/2022 6 p.m. EDT",2070,14,3097,0,23168,2883,2815
FLA,"10/3/2022 7 p.m. EDT",605,14,3373,0,23167,2798,2818
FLA,"10/3/2022 8 p.m. EDT",6,14,3230,0,23266,2734,2818
FLA,"10/3/2022 9 p.m. EDT",0,14,3024,0,22401,2711,2817
FLA,"10/3/2022 10 p.m. EDT",0,14,2738,0,20793,2508,2817
FLA,"10/3/2022 11 p.m. EDT",0,14,2544,0,18682,2394,2819
FLA,"10/4/2022 12 a.m. EDT",0,14,2462,0,16220,2197,2817
FLA,"10/4/2022 1 a.m. EDT",0,14,2436,0,14295,2005,2819
FLA,"10/4/2022 2 a.m. EDT",0,14,2386,0,12942,1791,2817
