"Region Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
FLA,"8/1/2022 12 a.m. EDT",0,24,4126,0,24883,2855,3859
FLA,"8/1/2022 1 a.m. EDT",0,25,3982,20,22426,2575,3860
FLA,"8/1/2022 2 a.m. EDT",0,24,3767,13,20573,2266,3856
FLA,"8/1/2022 3 a.m. EDT",0,25,3559,0,19309,2122,3857
FLA,"8/1/2022 4 a.m. EDT",0,24,3417,0,18251,2037,3853
FLA,"8/1/2022 5 a.m. EDT",0,25,3409,0,17939,1966,3863
FLA,"8/1/2022 6 a.m. EDT",-1,25,3450,0,18357,1997,3866
FLA,"8/1/2022 7 a.m. EDT",0,24,3496,0,19027,2107,3863
FLA,"8/1/2022 8 a.m. EDT",421,25,3476,0,19400,2147,3866
FLA,"8/1/2022 9 a.m. EDT",2005,25,3491,0,20581,2221,3863
FLA,"8/1/2022 10 a.m. EDT",3442,24,3513,0,22179,2532,3870
FLA,"8/1/2022 11 a.m. EDT",4077,25,3718,0,24474,2769,3870
FLA,"8/1/2022 12 p.m. EDT",4414,22,3913,0,27245,2897,3868
FLA,"8/1/2022 1 p.m. EDT",4582,22,3870,13,29778,3326,3869
FLA,"8/1/2022 2 p.m. EDT",4494,22,3939,38,31375,3790,3869
FLA,"8/1/2022 3 p.m. EDT",4157,21,4059,43,32353,4165,3867
FLA,"8/1/2022 4 p.m. EDT",3845,22,4446,86,32721,4265,3861
FLA,"8/1/2022 5 p.m. EDT",3342,22,4628,139,33035,4334,3855
FLA,"8/1/2022 6 p.m. EDT",2798,37,4737,217,33130,4432,3849
FLA,"8/1/2022 7 p.m. EDT",1804,19,4715,285,32781,4339,3847
FLA,"8/1/2022 8 p.m. EDT",509,19,4716,203,32350,4090,3851
FLA,"8/1/2022 9 p.m. EDT",8,19,4250,62,31777,3922,3856
FLA,"8/1/2022 10 p.m. EDT",0,22,4168,0,30051,3752,3855
FLA,"8/1/2022 11 p.m. EDT",0,22,4054,0,27015,3583,3859
FLA,"8/2/2022 12 a.m. EDT",0,22,4197,0,24417,3329,3862
FLA,"8/2/2022 1 a.m. EDT",0,22,3894,0,21743,3114,3861
FLA,"8/2/2022 2 a.m. EDT",0,23,3823,0,20047,2774,3865
FLA,"8/2/2022 3 a.m. EDT",0,22,3707,0,18667,2193,3868
FLA,"8/2/2022 4 a.m. EDT",0,22,3646,0,17733,2010,3873
FLA,"8/2/2022 5 a.m. EDT",0,23,3576,0,17363,1961,3872
FLA,"8/2/2022 6 a.m. EDT",0,22,3550,0,17839,1878,3876
FLA,"8/2/2022 7 a.m. EDT",0,8,3481,0,18790,1897,3876
FLA,"8/2/2022 8 a.m. EDT",411,0,3442,0,19116,1906,3875
FLA,"8/2/2022 9 a.m. EDT",1915,0,3491,0,20188,1916,3874
FLA,"8/2/2022 10 a.m. EDT",3244,0,3529,0,21980,2252,3874
FLA,"8/2/2022 11 a.m. EDT",4078,0,3839,6,23723,2536,3875
FLA,"8/2/2022 12 p.m. EDT",4542,0,3921,0,26088,2884,3872
FLA,"8/2/2022 1 p.m. EDT",4662,0,3921,0,28476,3365,3872
FLA,"8/2/2022 2 p.m. EDT",4411,0,4085,0,29797,3931,3868
FLA,"8/2/2022 3 p.m. EDT",3769,0,4103,0,31154,3905,3868
FLA,"8/2/2022 4 p.m. EDT",3392,0,4222,21,31423,4338,3863
FLA,"8/2/2022 5 p.m. EDT",2752,11,4381,56,31661,4367,3861
FLA,"8/2/2022 6 p.m. EDT",1868,36,4545,57,31692,4317,3855
FLA,"8/2/2022 7 p.m. EDT",1162,20,4267,44,31216,4132,3850
FLA,"8/2/2022 8 p.m. EDT",245,19,4137,2,29871,3997,3854
FLA,"8/2/2022 9 p.m. EDT",1,17,4000,0,28509,3760,3850
FLA,"8/2/2022 10 p.m. EDT",0,17,3846,0,27481,3085,3852
FLA,"8/2/2022 11 p.m. EDT",0,20,3666,0,25077,2649,3852
FLA,"8/3/2022 12 a.m. EDT",0,20,3757,0,21919,2406,3859
FLA,"8/3/2022 1 a.m. EDT",0,20,3402,0,19640,2125,3864
FLA,"8/3/2022 2 a.m. EDT",0,21,3286,0,17527,2004,3865
FLA,"8/3/2022 3 a.m. EDT",0,20,3125,0,16139,1989,3870
FLA,"8/3/2022 4 a.m. EDT",0,21,2834,0,15584,1965,3866
FLA,"8/3/2022 5 a.m. EDT",0,21,2646,0,15263,1982,3867
FLA,"8/3/2022 6 a.m. EDT",0,22,2710,0,15577,1942,3868
FLA,"8/3/2022 7 a.m. EDT",-1,21,3058,0,16746,1991,3872
FLA,"8/3/2022 8 a.m. EDT",358,22,3088,0,17777,1995,3867
FLA,"8/3/2022 9 a.m. EDT",1747,21,3276,0,18803,2105,3867
FLA,"8/3/2022 10 a.m. EDT",3294,22,3276,0,20058,2313,3862
FLA,"8/3/2022 11 a.m. EDT",4128,22,3681,0,21770,2620,3866
FLA,"8/3/2022 12 p.m. EDT",4734,22,3783,0,24015,2786,3859
FLA,"8/3/2022 1 p.m. EDT",4737,22,3949,0,26285,3016,3856
FLA,"8/3/2022 2 p.m. EDT",4528,21,4264,2,28255,3257,3861
FLA,"8/3/2022 3 p.m. EDT",4202,22,4399,68,29162,3482,3859
FLA,"8/3/2022 4 p.m. EDT",3920,22,4401,70,29787,3607,3854
FLA,"8/3/2022 5 p.m. EDT",3292,22,4413,34,30917,3702,3850
FLA,"8/3/2022 6 p.m. EDT",2933,37,4226,10,30974,3627,3847
FLA,"8/3/2022 7 p.m. EDT",1760,19,4383,0,30573,3322,3843
FLA,"8/3/2022 8 p.m. EDT",367,19,4216,0,29821,3232,3836
FLA,"8/3/2022 9 p.m. EDT",7,16,3673,0,28940,3127,3835
FLA,"8/3/2022 10 p.m. EDT",0,16,3618,0,27709,2837,3832
FLA,"8/3/2022 11 p.m. EDT",0,17,3611,0,25010,2543,3837
FLA,"8/4/2022 12 a.m. EDT",0,20,3388,0,21917,2358,3847
FLA,"8/4/2022 1 a.m. EDT",0,21,3276,0,20074,2097,3848
FLA,"8/4/2022 2 a.m. EDT",0,21,3271,0,18321,1954,3853
FLA,"8/4/2022 3 a.m. EDT",0,20,3261,0,16885,1926,3857
FLA,"8/4/2022 4 a.m. EDT",0,19,3270,0,16036,1889,3860
FLA,"8/4/2022 5 a.m. EDT",0,20,3273,0,15764,1886,3859
FLA,"8/4/2022 6 a.m. EDT",0,20,3281,0,16341,1902,3862
FLA,"8/4/2022 7 a.m. EDT",0,20,3278,0,17366,1980,3863
FLA,"8/4/2022 8 a.m. EDT",414,20,3286,0,17941,1980,3862
FLA,"8/4/2022 9 a.m. EDT",2042,20,3264,0,18686,2165,3861
FLA,"8/4/2022 10 a.m. EDT",3462,21,3282,0,20391,2390,3864
FLA,"8/4/2022 11 a.m. EDT",4167,20,3410,1,23005,2502,3860
FLA,"8/4/2022 12 p.m. EDT",4538,21,3501,100,25497,2590,3858
FLA,"8/4/2022 1 p.m. EDT",4641,24,3565,142,27446,3056,3858
FLA,"8/4/2022 2 p.m. EDT",4608,25,3754,90,29232,3355,3857
