"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"1/1/2022 12 a.m. CST",12632,0,10,94,10364,11029,5100
ERCO,"1/1/2022 1 a.m. CST",12067,0,33,68,9739,10957,5099
ERCO,"1/1/2022 2 a.m. CST",12886,0,8,73,8564,10128,5099
ERCO,"1/1/2022 3 a.m. CST",14370,0,7,55,7351,8944,5099
ERCO,"1/1/2022 4 a.m. CST",16468,0,7,35,6259,7165,5099
ERCO,"1/1/2022 5 a.m. CST",18338,0,6,76,5454,5609,5100
ERCO,"1/1/2022 6 a.m. CST",18163,0,6,63,5356,5642,5100
ERCO,"1/1/2022 7 a.m. CST",18539,0,30,59,5127,5531,5101
ERCO,"1/1/2022 8 a.m. CST",18307,8,30,89,5207,5665,5101
ERCO,"1/1/2022 9 a.m. CST",17297,1349,30,87,5936,5676,5101
ERCO,"1/1/2022 10 a.m. CST",16918,3459,30,172,6469,5582,5102
ERCO,"1/1/2022 11 a.m. CST",17692,3242,68,125,7492,6201,5102
ERCO,"1/1/2022 12 p.m. CST",17781,2691,25,134,8260,7720,5101
ERCO,"1/1/2022 1 p.m. CST",16336,3593,6,151,8689,9090,5101
ERCO,"1/1/2022 2 p.m. CST",14857,4743,6,118,9308,9676,5101
ERCO,"1/1/2022 3 p.m. CST",14037,5070,6,108,9688,9895,5100
ERCO,"1/1/2022 4 p.m. CST",14347,4630,6,111,9907,9773,5099
ERCO,"1/1/2022 5 p.m. CST",16896,2008,6,98,10919,9092,5099
ERCO,"1/1/2022 6 p.m. CST",18797,231,6,140,11692,8836,5100
ERCO,"1/1/2022 7 p.m. CST",19859,0,6,104,11856,9214,5100
ERCO,"1/1/2022 8 p.m. CST",20444,0,7,114,11801,8328,5101
ERCO,"1/1/2022 9 p.m. CST",20860,0,7,124,11793,7656,5101
ERCO,"1/1/2022 10 p.m. CST",21380,0,7,99,12041,6671,5101
ERCO,"1/1/2022 11 p.m. CST",21761,0,7,135,11731,5851,5102
ERCO,"1/2/2022 12 a.m. CST",21548,0,8,103,11273,5608,5102
ERCO,"1/2/2022 1 a.m. CST",20687,0,30,102,11061,5678,5103
ERCO,"1/2/2022 2 a.m. CST",19944,0,5,101,11354,5592,5104
ERCO,"1/2/2022 3 a.m. CST",19967,0,7,118,11641,5463,5105
ERCO,"1/2/2022 4 a.m. CST",20258,0,8,97,12046,5547,5106
ERCO,"1/2/2022 5 a.m. CST",20747,0,8,99,12566,5619,5106
ERCO,"1/2/2022 6 a.m. CST",20298,0,9,102,14381,5783,5108
ERCO,"1/2/2022 7 a.m. CST",19939,0,33,128,15708,6449,5109
ERCO,"1/2/2022 8 a.m. CST",19360,17,34,142,17263,7772,5110
ERCO,"1/2/2022 9 a.m. CST",17960,1869,34,110,18473,8201,5111
ERCO,"1/2/2022 10 a.m. CST",15770,5499,33,151,18601,7724,5112
ERCO,"1/2/2022 11 a.m. CST",12994,6236,45,115,20197,8122,5113
ERCO,"1/2/2022 12 p.m. CST",10890,6052,9,107,21083,8505,5113
ERCO,"1/2/2022 1 p.m. CST",10502,6223,9,133,20443,7895,5115
ERCO,"1/2/2022 2 p.m. CST",9619,6477,9,177,20614,6740,5116
ERCO,"1/2/2022 3 p.m. CST",8678,6796,9,146,20340,6231,5117
ERCO,"1/2/2022 4 p.m. CST",7609,6830,9,150,20101,6305,5116
ERCO,"1/2/2022 5 p.m. CST",6173,5163,11,203,22556,6902,5117
ERCO,"1/2/2022 6 p.m. CST",5078,951,54,215,28097,9033,5119
ERCO,"1/2/2022 7 p.m. CST",4875,0,56,172,31549,9814,5119
ERCO,"1/2/2022 8 p.m. CST",4815,0,55,181,31831,10137,5118
ERCO,"1/2/2022 9 p.m. CST",4929,0,55,173,31813,10190,5119
ERCO,"1/2/2022 10 p.m. CST",4975,0,55,161,31634,10184,5119
ERCO,"1/2/2022 11 p.m. CST",4909,0,12,113,30684,10024,5120
ERCO,"1/3/2022 12 a.m. CST",4851,0,9,114,29632,10061,5121
ERCO,"1/3/2022 1 a.m. CST",4907,0,32,105,28907,9786,5121
ERCO,"1/3/2022 2 a.m. CST",5009,0,13,103,28934,9441,5122
ERCO,"1/3/2022 3 a.m. CST",5128,0,10,106,29139,9476,5122
ERCO,"1/3/2022 4 a.m. CST",5294,0,10,106,29804,9443,5121
ERCO,"1/3/2022 5 a.m. CST",5674,0,13,126,30683,9415,5121
ERCO,"1/3/2022 6 a.m. CST",6329,0,56,157,32263,9202,5122
ERCO,"1/3/2022 7 a.m. CST",6560,0,80,185,34449,9626,5122
ERCO,"1/3/2022 8 a.m. CST",7031,65,84,212,34849,9921,5122
ERCO,"1/3/2022 9 a.m. CST",7639,2578,82,165,31728,9784,5122
ERCO,"1/3/2022 10 a.m. CST",5746,6653,81,181,27579,9296,5122
ERCO,"1/3/2022 11 a.m. CST",4225,7084,48,164,25859,9324,5122
ERCO,"1/3/2022 12 p.m. CST",5177,6769,10,118,22538,9222,5122
ERCO,"1/3/2022 1 p.m. CST",6507,6567,14,133,19325,8714,5122
ERCO,"1/3/2022 2 p.m. CST",7277,6668,14,224,17841,7262,5122
ERCO,"1/3/2022 3 p.m. CST",8052,6979,13,142,16265,6211,5123
ERCO,"1/3/2022 4 p.m. CST",9180,6693,13,129,15268,5574,5122
ERCO,"1/3/2022 5 p.m. CST",9580,4135,14,227,17129,6230,5123
ERCO,"1/3/2022 6 p.m. CST",9633,566,14,181,20569,8619,5122
ERCO,"1/3/2022 7 p.m. CST",13327,0,14,191,20026,9174,5123
ERCO,"1/3/2022 8 p.m. CST",17746,0,14,176,17407,8473,5122
ERCO,"1/3/2022 9 p.m. CST",20557,0,15,177,16366,7129,5122
ERCO,"1/3/2022 10 p.m. CST",20723,0,15,159,16119,6678,5122
ERCO,"1/3/2022 11 p.m. CST",20665,0,15,131,14715,6521,5123
ERCO,"1/4/2022 12 a.m. CST",20612,0,15,123,13096,6326,5128
ERCO,"1/4/2022 1 a.m. CST",20467,0,35,132,11964,6500,5128
ERCO,"1/4/2022 2 a.m. CST",20225,0,10,117,11727,6637,5123
ERCO,"1/4/2022 3 a.m. CST",19674,0,10,110,11826,7141,5122
ERCO,"1/4/2022 4 a.m. CST",19265,0,11,121,12251,7790,5123
ERCO,"1/4/2022 5 a.m. CST",19352,0,10,121,13287,7917,5122
ERCO,"1/4/2022 6 a.m. CST",19921,0,10,163,15409,7897,5123
ERCO,"1/4/2022 7 a.m. CST",19801,0,34,178,18298,8612,5123
ERCO,"1/4/2022 8 a.m. CST",19542,51,35,192,19237,9702,5123
ERCO,"1/4/2022 9 a.m. CST",18676,1279,37,167,18188,9569,5123
ERCO,"1/4/2022 10 a.m. CST",17127,3251,36,174,16098,8955,5122
ERCO,"1/4/2022 11 a.m. CST",16900,3977,46,147,14446,7907,5122
ERCO,"1/4/2022 12 p.m. CST",18000,3867,10,123,12554,6735,5123
ERCO,"1/4/2022 1 p.m. CST",18318,3749,13,112,11008,6319,5127
ERCO,"1/4/2022 2 p.m. CST",18105,3887,11,108,9906,5803,5126
ERCO,"1/4/2022 3 p.m. CST",17632,4010,10,106,9368,5518,5127
ERCO,"1/4/2022 4 p.m. CST",17042,4377,10,156,9439,5236,5126
ERCO,"1/4/2022 5 p.m. CST",15519,4509,11,268,10495,5749,5124
ERCO,"1/4/2022 6 p.m. CST",13983,930,11,194,14410,8168,5125
ERCO,"1/4/2022 7 p.m. CST",14755,0,11,111,15040,9529,5124
ERCO,"1/4/2022 8 p.m. CST",17126,0,11,189,13331,8640,5124
ERCO,"1/4/2022 9 p.m. CST",17881,0,10,142,12811,8188,5124
ERCO,"1/4/2022 10 p.m. CST",17801,0,10,109,12315,7521,5124
ERCO,"1/4/2022 11 p.m. CST",17454,0,10,110,11182,6896,5124
ERCO,"1/5/2022 12 a.m. CST",16090,0,10,113,10700,6901,5124
ERCO,"1/5/2022 1 a.m. CST",15192,0,10,110,10027,7316,5123
ERCO,"1/5/2022 2 a.m. CST",14765,0,10,108,10036,7200,5123
ERCO,"1/5/2022 3 a.m. CST",14634,0,10,105,10404,6937,5124
ERCO,"1/5/2022 4 a.m. CST",16357,0,10,130,10390,5886,5124
ERCO,"1/5/2022 5 a.m. CST",17354,0,10,120,11040,5746,5124
ERCO,"1/5/2022 6 a.m. CST",17842,0,10,123,12745,6089,5124
ERCO,"1/5/2022 7 a.m. CST",18197,0,11,113,14457,7651,5124
ERCO,"1/5/2022 8 a.m. CST",18338,37,11,138,14730,9083,5124
ERCO,"1/5/2022 9 a.m. CST",16560,2208,11,133,14257,7852,5125
ERCO,"1/5/2022 10 a.m. CST",13490,6102,11,125,13344,6432,5125
ERCO,"1/5/2022 11 a.m. CST",10976,6637,46,129,13828,6658,5125
ERCO,"1/5/2022 12 p.m. CST",7610,6516,11,133,14463,8410,5124
ERCO,"1/5/2022 1 p.m. CST",4896,6391,10,108,15289,9539,5124
ERCO,"1/5/2022 2 p.m. CST",3361,6468,11,163,15983,9621,5123
ERCO,"1/5/2022 3 p.m. CST",3095,6735,11,159,15888,9559,5123
ERCO,"1/5/2022 4 p.m. CST",3280,6745,35,94,16121,9181,5124
ERCO,"1/5/2022 5 p.m. CST",4166,5185,35,135,17278,8775,5124
ERCO,"1/5/2022 6 p.m. CST",4546,1026,36,160,20808,9817,5124
ERCO,"1/5/2022 7 p.m. CST",5628,0,36,107,21650,10746,5124
ERCO,"1/5/2022 8 p.m. CST",6516,0,36,156,20847,10660,5124
ERCO,"1/5/2022 9 p.m. CST",7925,0,13,119,19622,10068,5124
ERCO,"1/5/2022 10 p.m. CST",9573,0,11,99,17934,9080,5124
ERCO,"1/5/2022 11 p.m. CST",11868,0,11,121,15439,7503,5124
ERCO,"1/6/2022 12 a.m. CST",14250,0,11,125,12633,6142,5124
ERCO,"1/6/2022 1 a.m. CST",14809,0,15,127,11005,6074,5125
ERCO,"1/6/2022 2 a.m. CST",15348,0,15,111,10094,5948,5121
ERCO,"1/6/2022 3 a.m. CST",15830,0,16,136,9871,5811,5115
ERCO,"1/6/2022 4 a.m. CST",14931,0,16,108,10561,6610,5115
ERCO,"1/6/2022 5 a.m. CST",16566,0,16,109,10428,6528,5115
ERCO,"1/6/2022 6 a.m. CST",18242,0,16,124,11730,6568,5114
ERCO,"1/6/2022 7 a.m. CST",19542,0,17,116,13231,8006,5119
ERCO,"1/6/2022 8 a.m. CST",20291,35,17,134,13834,8732,5118
ERCO,"1/6/2022 9 a.m. CST",19577,1338,17,115,13628,8588,5118
ERCO,"1/6/2022 10 a.m. CST",18199,3072,16,116,13523,8202,5118
ERCO,"1/6/2022 11 a.m. CST",17098,4279,51,107,13427,8003,5117
ERCO,"1/6/2022 12 p.m. CST",15473,5601,50,164,13338,7664,5117
ERCO,"1/6/2022 1 p.m. CST",13943,6436,20,182,13634,7322,5116
ERCO,"1/6/2022 2 p.m. CST",10880,6665,10,119,14943,8048,5117
ERCO,"1/6/2022 3 p.m. CST",8107,6979,10,103,16593,8394,5117
ERCO,"1/6/2022 4 p.m. CST",6853,6889,35,112,18008,8104,5117
ERCO,"1/6/2022 5 p.m. CST",6039,5132,37,127,20466,8838,5117
ERCO,"1/6/2022 6 p.m. CST",6075,1083,78,201,25143,10135,5117
ERCO,"1/6/2022 7 p.m. CST",7334,1,84,115,27136,10900,5117
ERCO,"1/6/2022 8 p.m. CST",8787,0,83,119,26275,10953,5117
ERCO,"1/6/2022 9 p.m. CST",9565,0,58,106,25501,10984,5117
ERCO,"1/6/2022 10 p.m. CST",10052,0,56,113,24787,10517,5117
ERCO,"1/6/2022 11 p.m. CST",9777,0,14,102,23722,10315,5118
ERCO,"1/7/2022 12 a.m. CST",9565,0,11,117,23024,10024,5117
ERCO,"1/7/2022 1 a.m. CST",9242,0,9,102,22579,9793,5117
ERCO,"1/7/2022 2 a.m. CST",9096,0,9,99,22470,9837,5118
ERCO,"1/7/2022 3 a.m. CST",8978,0,10,100,22742,9861,5123
ERCO,"1/7/2022 4 a.m. CST",8611,0,10,102,23227,10581,5128
ERCO,"1/7/2022 5 a.m. CST",8665,0,10,98,24200,10690,5128
ERCO,"1/7/2022 6 a.m. CST",8952,0,10,118,26038,10818,5128
ERCO,"1/7/2022 7 a.m. CST",8880,0,37,220,29191,10801,5128
ERCO,"1/7/2022 8 a.m. CST",8883,27,58,231,30508,10992,5128
ERCO,"1/7/2022 9 a.m. CST",7963,1960,55,142,29336,11261,5128
ERCO,"1/7/2022 10 a.m. CST",6324,5681,8,146,26496,11169,5128
ERCO,"1/7/2022 11 a.m. CST",6220,6247,40,88,24607,11023,5131
ERCO,"1/7/2022 12 p.m. CST",7031,6059,5,86,22047,11126,5134
ERCO,"1/7/2022 1 p.m. CST",8529,5934,4,114,18997,11028,5133
ERCO,"1/7/2022 2 p.m. CST",10129,5849,4,105,16384,11191,5133
ERCO,"1/7/2022 3 p.m. CST",11140,5900,3,138,14624,10719,5131
ERCO,"1/7/2022 4 p.m. CST",12128,5811,22,158,14115,10767,5129
ERCO,"1/7/2022 5 p.m. CST",13197,4517,41,150,14895,11010,5130
ERCO,"1/7/2022 6 p.m. CST",14060,1032,31,134,17411,11491,5129
ERCO,"1/7/2022 7 p.m. CST",17251,1,31,82,16716,11099,5129
ERCO,"1/7/2022 8 p.m. CST",19658,0,31,110,14674,10489,5129
ERCO,"1/7/2022 9 p.m. CST",19581,0,7,123,14416,9977,5129
ERCO,"1/7/2022 10 p.m. CST",19731,0,4,96,13368,9399,5129
ERCO,"1/7/2022 11 p.m. CST",19635,0,4,94,12188,8640,5129
ERCO,"1/8/2022 12 a.m. CST",19542,0,4,101,10440,8469,5129
ERCO,"1/8/2022 1 a.m. CST",19383,0,8,138,9176,8144,5129
ERCO,"1/8/2022 2 a.m. CST",19206,0,8,88,8625,7894,5129
ERCO,"1/8/2022 3 a.m. CST",19157,0,8,90,8393,7391,5129
ERCO,"1/8/2022 4 a.m. CST",19114,0,8,87,8236,7267,5129
ERCO,"1/8/2022 5 a.m. CST",19098,0,7,90,8169,7306,5129
ERCO,"1/8/2022 6 a.m. CST",18780,0,7,79,8564,7746,5129
ERCO,"1/8/2022 7 a.m. CST",18016,0,7,107,9686,8276,5129
ERCO,"1/8/2022 8 a.m. CST",17633,5,7,116,9986,9359,5129
ERCO,"1/8/2022 9 a.m. CST",17575,1255,7,78,10648,8671,5129
ERCO,"1/8/2022 10 a.m. CST",15716,3121,7,125,11220,8903,5129
ERCO,"1/8/2022 11 a.m. CST",14746,4302,41,113,11258,8916,5129
ERCO,"1/8/2022 12 p.m. CST",14328,4770,41,99,10996,8902,5129
ERCO,"1/8/2022 1 p.m. CST",14342,4815,2,97,10435,8978,5128
ERCO,"1/8/2022 2 p.m. CST",14289,4600,2,88,10301,8585,5128
ERCO,"1/8/2022 3 p.m. CST",13811,4993,2,85,9865,8279,5127
ERCO,"1/8/2022 4 p.m. CST",13545,5261,26,79,9662,7883,5128
ERCO,"1/8/2022 5 p.m. CST",13835,4325,27,99,9872,8111,5127
ERCO,"1/8/2022 6 p.m. CST",12529,1185,26,146,12735,9906,5127
ERCO,"1/8/2022 7 p.m. CST",12250,197,25,97,13699,10604,5126
ERCO,"1/8/2022 8 p.m. CST",13737,56,25,101,12155,10078,5125
ERCO,"1/8/2022 9 p.m. CST",15780,0,1,115,10262,9556,5125
ERCO,"1/8/2022 10 p.m. CST",17284,0,1,89,8811,8655,5126
ERCO,"1/8/2022 11 p.m. CST",18396,0,1,103,7100,7852,5127
ERCO,"1/9/2022 12 a.m. CST",17719,0,1,121,6360,7728,5127
ERCO,"1/9/2022 1 a.m. CST",16980,0,7,86,5757,7582,5127
ERCO,"1/9/2022 2 a.m. CST",17197,0,7,91,5220,6705,5127
ERCO,"1/9/2022 3 a.m. CST",18146,0,6,65,4659,5890,5127
