"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"11/1/2022 12 a.m. EDT",-4,18,924,0,1279,-21,2646
CPLE,"11/1/2022 1 a.m. EDT",-1,13,923,-4,1260,-30,2646
CPLE,"11/1/2022 2 a.m. EDT",-1,15,929,-4,1274,-31,2647
CPLE,"11/1/2022 3 a.m. EDT",-5,14,924,-1,1260,-32,2646
CPLE,"11/1/2022 4 a.m. EDT",-1,15,925,0,1273,-33,2646
CPLE,"11/1/2022 5 a.m. EDT",0,16,927,0,1275,-34,2643
CPLE,"11/1/2022 6 a.m. EDT",-3,13,931,0,1387,-33,2645
CPLE,"11/1/2022 7 a.m. EDT",-1,15,920,0,1501,-32,2643
CPLE,"11/1/2022 8 a.m. EDT",34,16,903,0,1567,-33,2645
CPLE,"11/1/2022 9 a.m. EDT",159,13,899,0,1450,-31,2642
CPLE,"11/1/2022 10 a.m. EDT",477,24,905,0,1440,-34,2639
CPLE,"11/1/2022 11 a.m. EDT",894,28,897,0,1398,-23,2636
CPLE,"11/1/2022 12 p.m. EDT",1422,24,885,0,1288,-19,2639
CPLE,"11/1/2022 1 p.m. EDT",1782,25,812,0,1244,8,2642
CPLE,"11/1/2022 2 p.m. EDT",1932,25,858,0,1239,59,2639
CPLE,"11/1/2022 3 p.m. EDT",1832,38,892,0,1231,134,2643
CPLE,"11/1/2022 4 p.m. EDT",1590,45,884,0,1235,219,2643
CPLE,"11/1/2022 5 p.m. EDT",1061,41,903,0,1368,229,2641
CPLE,"11/1/2022 6 p.m. EDT",359,39,916,0,1544,229,2640
CPLE,"11/1/2022 7 p.m. EDT",35,40,965,0,1621,231,2642
CPLE,"11/1/2022 8 p.m. EDT",26,39,971,0,1719,228,2642
CPLE,"11/1/2022 9 p.m. EDT",-2,38,1001,0,1730,230,2638
CPLE,"11/1/2022 10 p.m. EDT",0,43,991,0,1585,230,2642
CPLE,"11/1/2022 11 p.m. EDT",-1,19,930,0,1433,229,2638
CPLE,"11/2/2022 12 a.m. EDT",-1,10,912,0,1272,232,2643
CPLE,"11/2/2022 1 a.m. EDT",-5,16,917,-3,1290,227,2644
CPLE,"11/2/2022 2 a.m. EDT",-1,15,921,-3,1307,231,2642
CPLE,"11/2/2022 3 a.m. EDT",-3,13,926,-1,1319,229,2641
CPLE,"11/2/2022 4 a.m. EDT",-1,15,928,0,1317,230,2641
CPLE,"11/2/2022 5 a.m. EDT",-1,14,923,0,1321,229,2643
CPLE,"11/2/2022 6 a.m. EDT",-2,16,907,0,1257,230,2642
CPLE,"11/2/2022 7 a.m. EDT",-1,15,895,147,1244,230,2644
CPLE,"11/2/2022 8 a.m. EDT",32,15,896,164,1337,228,2644
CPLE,"11/2/2022 9 a.m. EDT",270,14,893,155,1298,231,2643
CPLE,"11/2/2022 10 a.m. EDT",734,42,884,155,1267,228,2645
CPLE,"11/2/2022 11 a.m. EDT",1183,44,885,150,1266,232,2643
CPLE,"11/2/2022 12 p.m. EDT",1622,40,865,137,1210,226,2645
CPLE,"11/2/2022 1 p.m. EDT",1874,39,890,137,1256,231,2641
CPLE,"11/2/2022 2 p.m. EDT",1883,41,896,119,1266,229,2640
CPLE,"11/2/2022 3 p.m. EDT",1923,39,896,118,1256,230,2643
CPLE,"11/2/2022 4 p.m. EDT",1621,36,894,108,1256,227,2643
CPLE,"11/2/2022 5 p.m. EDT",1031,36,901,101,1283,229,2643
CPLE,"11/2/2022 6 p.m. EDT",277,36,898,0,1492,233,2708
CPLE,"11/2/2022 7 p.m. EDT",27,38,900,0,1554,228,2774
CPLE,"11/2/2022 8 p.m. EDT",28,40,892,0,1530,230,2846
CPLE,"11/2/2022 9 p.m. EDT",-2,39,902,0,1442,227,2844
CPLE,"11/2/2022 10 p.m. EDT",-1,42,893,0,1428,232,2844
CPLE,"11/2/2022 11 p.m. EDT",-3,40,880,0,1314,228,2849
CPLE,"11/3/2022 12 a.m. EDT",-2,47,908,0,1280,229,2845
CPLE,"11/3/2022 1 a.m. EDT",-1,38,917,-3,1282,228,2846
CPLE,"11/3/2022 2 a.m. EDT",-1,16,918,0,1292,230,2847
CPLE,"11/3/2022 3 a.m. EDT",-4,18,921,-1,1299,229,2846
CPLE,"11/3/2022 4 a.m. EDT",-2,17,917,-1,1294,230,2850
CPLE,"11/3/2022 5 a.m. EDT",-1,19,915,-1,1286,229,2875
CPLE,"11/3/2022 6 a.m. EDT",-1,17,920,-1,1307,231,2947
CPLE,"11/3/2022 7 a.m. EDT",-1,18,928,0,1574,230,3019
CPLE,"11/3/2022 8 a.m. EDT",32,16,972,-1,1642,284,3055
CPLE,"11/3/2022 9 a.m. EDT",346,14,901,0,1588,293,3078
CPLE,"11/3/2022 10 a.m. EDT",933,13,849,-1,1568,231,3138
CPLE,"11/3/2022 11 a.m. EDT",1278,14,768,-1,1361,231,3174
CPLE,"11/3/2022 12 p.m. EDT",1684,13,796,-1,1249,230,3203
CPLE,"11/3/2022 1 p.m. EDT",1916,14,796,0,1239,229,3166
CPLE,"11/3/2022 2 p.m. EDT",1987,18,801,0,1242,230,3154
CPLE,"11/3/2022 3 p.m. EDT",1819,13,806,0,1250,229,3203
CPLE,"11/3/2022 4 p.m. EDT",1589,13,796,0,1218,231,3276
CPLE,"11/3/2022 5 p.m. EDT",1127,8,834,0,1196,228,3338
CPLE,"11/3/2022 6 p.m. EDT",340,17,918,0,1309,256,3369
CPLE,"11/3/2022 7 p.m. EDT",34,46,971,0,1558,297,3372
CPLE,"11/3/2022 8 p.m. EDT",28,46,936,0,1628,293,3371
CPLE,"11/3/2022 9 p.m. EDT",-6,44,936,0,1624,234,3377
CPLE,"11/3/2022 10 p.m. EDT",0,47,935,0,1648,228,3378
CPLE,"11/3/2022 11 p.m. EDT",0,46,934,0,1439,230,3379
CPLE,"11/4/2022 12 a.m. EDT",-3,47,926,0,1301,228,3373
CPLE,"11/4/2022 1 a.m. EDT",-2,45,916,-3,1324,231,3372
CPLE,"11/4/2022 2 a.m. EDT",-1,46,849,0,1307,228,3375
CPLE,"11/4/2022 3 a.m. EDT",-1,46,849,-3,1321,228,3377
CPLE,"11/4/2022 4 a.m. EDT",-3,12,841,-2,1300,230,3380
CPLE,"11/4/2022 5 a.m. EDT",-2,5,844,-2,1313,229,3380
CPLE,"11/4/2022 6 a.m. EDT",-1,8,908,-2,1329,230,3410
CPLE,"11/4/2022 7 a.m. EDT",-3,12,932,0,1327,272,3444
CPLE,"11/4/2022 8 a.m. EDT",33,10,896,-1,1302,317,3487
CPLE,"11/4/2022 9 a.m. EDT",291,10,874,-1,1248,302,3522
CPLE,"11/4/2022 10 a.m. EDT",942,10,859,0,1252,292,3528
CPLE,"11/4/2022 11 a.m. EDT",1614,11,811,-1,1264,229,3544
CPLE,"11/4/2022 12 p.m. EDT",2154,9,809,0,1252,230,3558
CPLE,"11/4/2022 1 p.m. EDT",2279,12,817,0,1243,229,3575
CPLE,"11/4/2022 2 p.m. EDT",1967,10,810,0,1223,230,3592
CPLE,"11/4/2022 3 p.m. EDT",1738,9,806,0,1206,230,3606
CPLE,"11/4/2022 4 p.m. EDT",1319,10,806,0,1189,229,3617
CPLE,"11/4/2022 5 p.m. EDT",889,43,872,0,1212,229,3617
CPLE,"11/4/2022 6 p.m. EDT",295,40,877,0,1274,270,3622
CPLE,"11/4/2022 7 p.m. EDT",33,37,958,0,1394,242,3629
CPLE,"11/4/2022 8 p.m. EDT",31,37,973,0,1392,148,3626
CPLE,"11/4/2022 9 p.m. EDT",-1,37,965,0,1414,-3,3632
CPLE,"11/4/2022 10 p.m. EDT",-4,36,916,0,1407,-20,3442
CPLE,"11/4/2022 11 p.m. EDT",-3,27,915,0,1338,-20,3236
CPLE,"11/5/2022 12 a.m. EDT",-2,4,868,0,1253,-20,3231
CPLE,"11/5/2022 1 a.m. EDT",-1,8,774,-3,1239,-19,3233
CPLE,"11/5/2022 2 a.m. EDT",-1,6,696,0,1022,-18,3261
CPLE,"11/5/2022 3 a.m. EDT",-1,5,592,-1,743,-17,3371
CPLE,"11/5/2022 4 a.m. EDT",-3,5,546,-3,646,-17,3431
CPLE,"11/5/2022 5 a.m. EDT",-4,8,557,0,668,-17,3442
CPLE,"11/5/2022 6 a.m. EDT",-1,5,575,-1,713,-18,3463
CPLE,"11/5/2022 7 a.m. EDT",-1,4,644,-1,938,-16,3474
CPLE,"11/5/2022 8 a.m. EDT",31,8,769,-1,1252,-19,3497
CPLE,"11/5/2022 9 a.m. EDT",407,5,821,0,1280,-17,3510
CPLE,"11/5/2022 10 a.m. EDT",1257,5,815,-1,1263,-17,3524
CPLE,"11/5/2022 11 a.m. EDT",1829,8,819,0,1249,-27,3537
CPLE,"11/5/2022 12 p.m. EDT",2061,5,820,0,1236,-22,3551
CPLE,"11/5/2022 1 p.m. EDT",1966,6,874,-1,1347,-25,3567
CPLE,"11/5/2022 2 p.m. EDT",1862,7,899,0,1369,-23,3579
CPLE,"11/5/2022 3 p.m. EDT",1722,4,907,0,1410,-17,3591
CPLE,"11/5/2022 4 p.m. EDT",1457,7,963,0,1613,-18,3609
CPLE,"11/5/2022 5 p.m. EDT",954,35,965,0,1651,-18,3616
CPLE,"11/5/2022 6 p.m. EDT",283,39,973,0,1704,-17,3616
CPLE,"11/5/2022 7 p.m. EDT",33,36,970,0,1821,-18,3619
CPLE,"11/5/2022 8 p.m. EDT",27,40,972,0,1789,-18,3615
CPLE,"11/5/2022 9 p.m. EDT",-1,38,970,0,1709,-17,3615
CPLE,"11/5/2022 10 p.m. EDT",-3,35,932,0,1583,-18,3620
CPLE,"11/5/2022 11 p.m. EDT",-1,11,929,0,1547,-17,3612
CPLE,"11/6/2022 12 a.m. EDT",-1,7,925,0,1433,-18,3612
CPLE,"11/6/2022 1 a.m. EDT",-2,10,863,-3,1257,-19,3617
CPLE,"11/6/2022 1 a.m. EST",0,0,826,0,1254,-18,3625
CPLE,"11/6/2022 2 a.m. EST",-1,8,850,-1,1234,-16,3645
CPLE,"11/6/2022 3 a.m. EST",-5,5,837,-2,1258,-18,3635
