"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"10/1/2022 12 a.m. EDT",-5,27,598,0,817,-22,2798
CPLE,"10/1/2022 1 a.m. EDT",-2,23,557,0,716,-22,2800
CPLE,"10/1/2022 2 a.m. EDT",-2,33,526,0,647,-20,2800
CPLE,"10/1/2022 3 a.m. EDT",-2,27,529,0,624,-20,2801
CPLE,"10/1/2022 4 a.m. EDT",-1,28,533,0,626,-22,2797
CPLE,"10/1/2022 5 a.m. EDT",0,27,530,0,628,-20,2799
CPLE,"10/1/2022 6 a.m. EDT",-1,17,546,0,661,-20,2793
CPLE,"10/1/2022 7 a.m. EDT",-1,5,533,0,652,-22,2794
CPLE,"10/1/2022 8 a.m. EDT",41,17,529,0,729,-20,2792
CPLE,"10/1/2022 9 a.m. EDT",259,5,605,-1,858,-21,2792
CPLE,"10/1/2022 10 a.m. EDT",499,7,755,-1,1101,-21,2794
CPLE,"10/1/2022 11 a.m. EDT",754,5,831,-1,1158,-21,2791
CPLE,"10/1/2022 12 p.m. EDT",1022,1,796,-1,1028,-20,2789
CPLE,"10/1/2022 1 p.m. EDT",1176,6,768,0,924,-20,2788
CPLE,"10/1/2022 2 p.m. EDT",1226,5,770,0,922,-21,2790
CPLE,"10/1/2022 3 p.m. EDT",1186,3,778,0,939,-22,2789
CPLE,"10/1/2022 4 p.m. EDT",988,4,831,0,1122,-20,2784
CPLE,"10/1/2022 5 p.m. EDT",645,4,854,0,1186,-20,2785
CPLE,"10/1/2022 6 p.m. EDT",298,5,868,0,1285,-20,2782
CPLE,"10/1/2022 7 p.m. EDT",60,3,894,0,1404,-22,2783
CPLE,"10/1/2022 8 p.m. EDT",28,5,891,0,1409,-21,2781
CPLE,"10/1/2022 9 p.m. EDT",-1,4,870,0,1406,-19,2778
CPLE,"10/1/2022 10 p.m. EDT",-4,4,852,0,1363,-21,2783
CPLE,"10/1/2022 11 p.m. EDT",-2,4,788,0,1230,-22,2783
CPLE,"10/2/2022 12 a.m. EDT",-2,5,719,0,1120,-19,2784
CPLE,"10/2/2022 1 a.m. EDT",-2,3,676,0,953,-21,2780
CPLE,"10/2/2022 2 a.m. EDT",-2,4,601,0,773,-21,2786
CPLE,"10/2/2022 3 a.m. EDT",0,4,613,-1,777,-24,2787
CPLE,"10/2/2022 4 a.m. EDT",0,5,610,0,823,-21,2786
CPLE,"10/2/2022 5 a.m. EDT",-2,3,638,-1,891,-23,2787
CPLE,"10/2/2022 6 a.m. EDT",-6,5,620,0,836,-23,2788
CPLE,"10/2/2022 7 a.m. EDT",0,3,629,-1,897,-22,2787
CPLE,"10/2/2022 8 a.m. EDT",76,3,652,0,1020,-23,2791
CPLE,"10/2/2022 9 a.m. EDT",519,5,608,0,896,-24,2787
CPLE,"10/2/2022 10 a.m. EDT",1071,4,590,0,834,-22,2785
CPLE,"10/2/2022 11 a.m. EDT",1367,5,566,0,770,-26,2785
CPLE,"10/2/2022 12 p.m. EDT",1360,2,625,0,956,-22,2782
CPLE,"10/2/2022 1 p.m. EDT",1207,5,734,0,1195,-25,2780
CPLE,"10/2/2022 2 p.m. EDT",1008,4,790,0,1306,-23,2670
CPLE,"10/2/2022 3 p.m. EDT",859,4,730,0,1190,-24,2620
CPLE,"10/2/2022 4 p.m. EDT",660,15,770,0,1340,-24,2609
CPLE,"10/2/2022 5 p.m. EDT",431,15,777,0,1417,-24,2611
CPLE,"10/2/2022 6 p.m. EDT",196,15,817,0,1475,-24,2607
CPLE,"10/2/2022 7 p.m. EDT",48,14,915,0,1588,-24,2603
CPLE,"10/2/2022 8 p.m. EDT",28,15,969,0,1628,-24,2663
CPLE,"10/2/2022 9 p.m. EDT",-1,10,985,0,1539,-25,2720
CPLE,"10/2/2022 10 p.m. EDT",-3,3,870,0,1390,-24,2729
CPLE,"10/2/2022 11 p.m. EDT",-1,4,773,0,1248,-24,2729
CPLE,"10/3/2022 12 a.m. EDT",-1,3,717,0,1115,-25,2733
CPLE,"10/3/2022 1 a.m. EDT",0,4,644,-1,894,-24,2738
CPLE,"10/3/2022 2 a.m. EDT",-2,4,603,-1,800,-26,2748
CPLE,"10/3/2022 3 a.m. EDT",-3,4,585,0,759,-25,2751
CPLE,"10/3/2022 4 a.m. EDT",-3,5,587,0,747,-24,2758
