YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2021,1,AK,Total Electric Power Industry,Total,"593,896"
2021,1,AK,Total Electric Power Industry,Coal,"72,164"
2021,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"171,307"
2021,1,AK,Total Electric Power Industry,Natural Gas,"266,928"
2021,1,AK,Total Electric Power Industry,Other,-318
2021,1,AK,Total Electric Power Industry,Petroleum,"68,802"
2021,1,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,0
2021,1,AK,Total Electric Power Industry,Other Biomass,"3,561"
2021,1,AK,Total Electric Power Industry,Wind,"11,452"
2021,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Industrial Power",Total,"9,752"
2021,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,496"
2021,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"3,256"
2021,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Commercial Power",Total,"32,264"
2021,1,AK,"Combined Heat and Power, Commercial Power",Coal,"11,558"
2021,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"17,161"
2021,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,1
2021,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,-17
2021,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"3,561"
2021,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Combined Heat and Power, Electric Power",Total,"15,505"
2021,1,AK,"Combined Heat and Power, Electric Power",Coal,"15,505"
2021,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2021,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2021,1,AK,"Electric Generators, Independent Power Producers",Total,"3,934"
2021,1,AK,"Electric Generators, Independent Power Producers",Wind,"3,934"
2021,1,AK,"Electric Generators, Electric Utilities",Total,"532,441"
2021,1,AK,"Electric Generators, Electric Utilities",Coal,"45,101"
2021,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"154,146"
2021,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"260,431"
2021,1,AK,"Electric Generators, Electric Utilities",Other,-318
2021,1,AK,"Electric Generators, Electric Utilities",Petroleum,"65,563"
2021,1,AK,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2021,1,AK,"Electric Generators, Electric Utilities",Wind,"7,518"
2021,1,AL,Total Electric Power Industry,Total,"12,574,679"
2021,1,AL,Total Electric Power Industry,Coal,"2,096,650"
2021,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,149,996"
2021,1,AL,Total Electric Power Industry,Natural Gas,"4,874,173"
2021,1,AL,Total Electric Power Industry,Nuclear,"4,122,597"
2021,1,AL,Total Electric Power Industry,Other Gases,6
2021,1,AL,Total Electric Power Industry,Other,2
2021,1,AL,Total Electric Power Industry,Petroleum,"2,919"
2021,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"19,127"
2021,1,AL,Total Electric Power Industry,Other Biomass,"3,886"
2021,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"305,322"
2021,1,AL,"Combined Heat and Power, Industrial Power",Total,"455,390"
2021,1,AL,"Combined Heat and Power, Industrial Power",Coal,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"149,858"
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,6
2021,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,204
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"305,322"
2021,1,AL,"Combined Heat and Power, Electric Power",Total,"416,382"
2021,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,"416,382"
2021,1,AL,"Electric Generators, Independent Power Producers",Total,"2,399,106"
2021,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,"2,374,690"
2021,1,AL,"Electric Generators, Independent Power Producers",Other,2
2021,1,AL,"Electric Generators, Independent Power Producers",Petroleum,"2,706"
2021,1,AL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"17,821"
2021,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,"3,886"
2021,1,AL,"Electric Generators, Electric Utilities",Total,"9,303,801"
2021,1,AL,"Electric Generators, Electric Utilities",Coal,"2,096,650"
2021,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,149,996"
2021,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"1,933,243"
2021,1,AL,"Electric Generators, Electric Utilities",Nuclear,"4,122,597"
2021,1,AL,"Electric Generators, Electric Utilities",Petroleum,9
2021,1,AL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"1,305"
2021,1,AR,Total Electric Power Industry,Total,"5,116,766"
2021,1,AR,Total Electric Power Industry,Coal,"2,302,243"
2021,1,AR,Total Electric Power Industry,Pumped Storage,934
2021,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"382,785"
2021,1,AR,Total Electric Power Industry,Natural Gas,"940,090"
2021,1,AR,Total Electric Power Industry,Nuclear,"1,369,932"
2021,1,AR,Total Electric Power Industry,Other,"1,021"
2021,1,AR,Total Electric Power Industry,Petroleum,"8,174"
2021,1,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,"24,572"
2021,1,AR,Total Electric Power Industry,Other Biomass,"5,229"
2021,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"81,785"
2021,1,AR,"Combined Heat and Power, Industrial Power",Total,"109,432"
2021,1,AR,"Combined Heat and Power, Industrial Power",Coal,"3,398"
2021,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"23,031"
2021,1,AR,"Combined Heat and Power, Industrial Power",Other,"1,041"
2021,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,0
2021,1,AR,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,176
2021,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"81,785"
2021,1,AR,"Combined Heat and Power, Commercial Power",Total,"3,488"
2021,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,"1,998"
2021,1,AR,"Combined Heat and Power, Commercial Power",Other,-20
2021,1,AR,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,056"
2021,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,454
2021,1,AR,"Combined Heat and Power, Electric Power",Total,"124,170"
2021,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,"124,170"
2021,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,0
2021,1,AR,"Electric Generators, Independent Power Producers",Total,"435,410"
2021,1,AR,"Electric Generators, Independent Power Producers",Coal,"402,345"
2021,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"5,091"
2021,1,AR,"Electric Generators, Independent Power Producers",Petroleum,163
2021,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"23,035"
2021,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,"4,775"
2021,1,AR,"Electric Generators, Electric Utilities",Total,"4,444,266"
2021,1,AR,"Electric Generators, Electric Utilities",Coal,"1,896,500"
2021,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,934
2021,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"377,694"
2021,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"790,891"
2021,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,369,932"
2021,1,AR,"Electric Generators, Electric Utilities",Petroleum,"8,010"
2021,1,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,304
2021,1,AZ,Total Electric Power Industry,Total,"8,670,505"
2021,1,AZ,Total Electric Power Industry,Coal,"938,410"
2021,1,AZ,Total Electric Power Industry,Pumped Storage,"-17,363"
2021,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"541,874"
2021,1,AZ,Total Electric Power Industry,Natural Gas,"3,728,724"
2021,1,AZ,Total Electric Power Industry,Nuclear,"2,976,208"
2021,1,AZ,Total Electric Power Industry,Other,-451
2021,1,AZ,Total Electric Power Industry,Petroleum,"2,467"
2021,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"356,796"
2021,1,AZ,Total Electric Power Industry,Other Biomass,"1,722"
2021,1,AZ,Total Electric Power Industry,Wind,"125,546"
2021,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"16,572"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Total,"12,469"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"11,403"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,1
2021,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,065"
2021,1,AZ,"Combined Heat and Power, Electric Power",Total,0
2021,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,0
2021,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,AZ,"Electric Generators, Independent Power Producers",Total,"1,739,645"
2021,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"1,282,942"
2021,1,AZ,"Electric Generators, Independent Power Producers",Other,-451
2021,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"313,314"
2021,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"1,722"
2021,1,AZ,"Electric Generators, Independent Power Producers",Wind,"125,546"
2021,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"16,572"
2021,1,AZ,"Electric Generators, Electric Utilities",Total,"6,918,391"
2021,1,AZ,"Electric Generators, Electric Utilities",Coal,"938,410"
2021,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"-17,363"
2021,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"541,874"
2021,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"2,434,379"
2021,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,976,208"
2021,1,AZ,"Electric Generators, Electric Utilities",Other,0
2021,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"2,466"
2021,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"42,418"
2021,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2021,1,CA,Total Electric Power Industry,Total,"13,163,522"
2021,1,CA,Total Electric Power Industry,Coal,"17,410"
2021,1,CA,Total Electric Power Industry,Geothermal,"908,714"
2021,1,CA,Total Electric Power Industry,Pumped Storage,"-23,754"
2021,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"739,113"
2021,1,CA,Total Electric Power Industry,Natural Gas,"7,156,401"
2021,1,CA,Total Electric Power Industry,Nuclear,"1,287,253"
2021,1,CA,Total Electric Power Industry,Other Gases,"90,701"
2021,1,CA,Total Electric Power Industry,Other,"48,631"
2021,1,CA,Total Electric Power Industry,Petroleum,"3,088"
2021,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,687,425"
2021,1,CA,Total Electric Power Industry,Other Biomass,"228,643"
2021,1,CA,Total Electric Power Industry,Wind,"748,703"
2021,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"271,195"
2021,1,CA,"Combined Heat and Power, Industrial Power",Total,"1,139,611"
2021,1,CA,"Combined Heat and Power, Industrial Power",Coal,"17,410"
2021,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"926,399"
2021,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,"90,701"
2021,1,CA,"Combined Heat and Power, Industrial Power",Other,"36,809"
2021,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,334
2021,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"3,446"
2021,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,"1,329"
2021,1,CA,"Combined Heat and Power, Industrial Power",Wind,225
2021,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"62,957"
2021,1,CA,"Combined Heat and Power, Commercial Power",Total,"201,940"
2021,1,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2021,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,947
2021,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,"132,063"
2021,1,CA,"Combined Heat and Power, Commercial Power",Other,-14
2021,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,41
2021,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"8,856"
2021,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,"59,303"
2021,1,CA,"Combined Heat and Power, Commercial Power",Wind,744
2021,1,CA,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2021,1,CA,"Combined Heat and Power, Electric Power",Total,"1,014,943"
2021,1,CA,"Combined Heat and Power, Electric Power",Coal,0
2021,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,"904,654"
2021,1,CA,"Combined Heat and Power, Electric Power",Other,"10,503"
2021,1,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,CA,"Combined Heat and Power, Electric Power",Solar Thermal and Photovoltaic,365
2021,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,"17,530"
2021,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"81,892"
2021,1,CA,"Electric Generators, Independent Power Producers",Total,"6,630,385"
2021,1,CA,"Electric Generators, Independent Power Producers",Geothermal,"843,303"
2021,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"42,166"
2021,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,"3,106,150"
2021,1,CA,"Electric Generators, Independent Power Producers",Other,"2,320"
2021,1,CA,"Electric Generators, Independent Power Producers",Petroleum,310
2021,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"1,654,560"
2021,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,"143,235"
2021,1,CA,"Electric Generators, Independent Power Producers",Wind,"711,995"
2021,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"126,346"
2021,1,CA,"Electric Generators, Electric Utilities",Total,"4,176,643"
2021,1,CA,"Electric Generators, Electric Utilities",Geothermal,"65,411"
2021,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,"-23,754"
2021,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"696,000"
2021,1,CA,"Electric Generators, Electric Utilities",Natural Gas,"2,087,135"
2021,1,CA,"Electric Generators, Electric Utilities",Nuclear,"1,287,253"
2021,1,CA,"Electric Generators, Electric Utilities",Other Gases,0
2021,1,CA,"Electric Generators, Electric Utilities",Other,-988
2021,1,CA,"Electric Generators, Electric Utilities",Petroleum,"2,403"
2021,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"20,198"
2021,1,CA,"Electric Generators, Electric Utilities",Other Biomass,"7,247"
2021,1,CA,"Electric Generators, Electric Utilities",Wind,"35,739"
2021,1,CO,Total Electric Power Industry,Total,"4,850,347"
2021,1,CO,Total Electric Power Industry,Coal,"1,966,022"
2021,1,CO,Total Electric Power Industry,Pumped Storage,"-17,964"
2021,1,CO,Total Electric Power Industry,Hydroelectric Conventional,"142,452"
2021,1,CO,Total Electric Power Industry,Natural Gas,"1,330,926"
2021,1,CO,Total Electric Power Industry,Other Gases,631
2021,1,CO,Total Electric Power Industry,Other,"3,844"
2021,1,CO,Total Electric Power Industry,Petroleum,871
2021,1,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,"78,554"
2021,1,CO,Total Electric Power Industry,Other Biomass,"6,625"
2021,1,CO,Total Electric Power Industry,Wind,"1,330,546"
2021,1,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,"7,839"
2021,1,CO,"Combined Heat and Power, Industrial Power",Total,"18,079"
2021,1,CO,"Combined Heat and Power, Industrial Power",Coal,0
2021,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,"13,480"
2021,1,CO,"Combined Heat and Power, Industrial Power",Other Gases,631
2021,1,CO,"Combined Heat and Power, Industrial Power",Other,"3,786"
2021,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,2
2021,1,CO,"Combined Heat and Power, Industrial Power",Wind,180
2021,1,CO,"Combined Heat and Power, Commercial Power",Total,"1,132"
2021,1,CO,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,619
2021,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,0
2021,1,CO,"Combined Heat and Power, Commercial Power",Other,0
2021,1,CO,"Combined Heat and Power, Commercial Power",Petroleum,0
2021,1,CO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,513
2021,1,CO,"Combined Heat and Power, Electric Power",Total,"3,325"
2021,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,83
2021,1,CO,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,"3,242"
2021,1,CO,"Electric Generators, Independent Power Producers",Total,"1,260,603"
2021,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"13,917"
2021,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,"175,485"
2021,1,CO,"Electric Generators, Independent Power Producers",Other,71
2021,1,CO,"Electric Generators, Independent Power Producers",Petroleum,0
2021,1,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"77,338"
2021,1,CO,"Electric Generators, Independent Power Producers",Other Biomass,"3,383"
2021,1,CO,"Electric Generators, Independent Power Producers",Wind,"982,570"
2021,1,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"7,839"
2021,1,CO,"Electric Generators, Electric Utilities",Total,"3,567,208"
2021,1,CO,"Electric Generators, Electric Utilities",Coal,"1,966,022"
2021,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,"-17,964"
2021,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"127,917"
2021,1,CO,"Electric Generators, Electric Utilities",Natural Gas,"1,141,878"
2021,1,CO,"Electric Generators, Electric Utilities",Other,-13
2021,1,CO,"Electric Generators, Electric Utilities",Petroleum,869
2021,1,CO,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,704
2021,1,CO,"Electric Generators, Electric Utilities",Wind,"347,796"
2021,1,CT,Total Electric Power Industry,Total,"3,671,505"
2021,1,CT,Total Electric Power Industry,Coal,"133,383"
2021,1,CT,Total Electric Power Industry,Pumped Storage,"9,153"
2021,1,CT,Total Electric Power Industry,Hydroelectric Conventional,"47,166"
2021,1,CT,Total Electric Power Industry,Natural Gas,"1,950,681"
2021,1,CT,Total Electric Power Industry,Nuclear,"1,399,646"
2021,1,CT,Total Electric Power Industry,Other,"46,944"
2021,1,CT,Total Electric Power Industry,Petroleum,"1,955"
2021,1,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,"14,068"
2021,1,CT,Total Electric Power Industry,Other Biomass,"38,926"
2021,1,CT,Total Electric Power Industry,Wind,"1,658"
2021,1,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,"27,926"
2021,1,CT,"Combined Heat and Power, Industrial Power",Total,"47,337"
2021,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,"47,134"
2021,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,197
2021,1,CT,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,6
2021,1,CT,"Combined Heat and Power, Commercial Power",Total,"25,806"
2021,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,"24,335"
2021,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,"1,281"
2021,1,CT,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,189
2021,1,CT,"Combined Heat and Power, Electric Power",Total,"14,832"
2021,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,"14,710"
2021,1,CT,"Combined Heat and Power, Electric Power",Petroleum,122
2021,1,CT,"Electric Generators, Independent Power Producers",Total,"3,573,859"
2021,1,CT,"Electric Generators, Independent Power Producers",Coal,"133,383"
2021,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,"9,153"
2021,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"43,413"
2021,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,"1,859,274"
2021,1,CT,"Electric Generators, Independent Power Producers",Nuclear,"1,399,646"
2021,1,CT,"Electric Generators, Independent Power Producers",Other,"46,944"
2021,1,CT,"Electric Generators, Independent Power Producers",Petroleum,-159
2021,1,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"13,695"
2021,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,"38,926"
2021,1,CT,"Electric Generators, Independent Power Producers",Wind,"1,658"
2021,1,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"27,926"
2021,1,CT,"Electric Generators, Electric Utilities",Total,"9,671"
2021,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"3,753"
2021,1,CT,"Electric Generators, Electric Utilities",Natural Gas,"5,228"
2021,1,CT,"Electric Generators, Electric Utilities",Petroleum,513
2021,1,CT,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,177
2021,1,CT,"Electric Generators, Electric Utilities",Other Biomass,0
2021,1,DC,Total Electric Power Industry,Total,"17,544"
2021,1,DC,Total Electric Power Industry,Natural Gas,"12,155"
2021,1,DC,Total Electric Power Industry,Petroleum,3
2021,1,DC,Total Electric Power Industry,Solar Thermal and Photovoltaic,779
2021,1,DC,Total Electric Power Industry,Other Biomass,"4,607"
2021,1,DC,"Combined Heat and Power, Commercial Power",Total,"16,765"
2021,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas,"12,155"
2021,1,DC,"Combined Heat and Power, Commercial Power",Petroleum,3
2021,1,DC,"Combined Heat and Power, Commercial Power",Other Biomass,"4,607"
2021,1,DC,"Electric Generators, Independent Power Producers",Total,779
2021,1,DC,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,779
2021,1,DE,Total Electric Power Industry,Total,"118,378"
2021,1,DE,Total Electric Power Industry,Coal,"-3,129"
2021,1,DE,Total Electric Power Industry,Natural Gas,"100,303"
2021,1,DE,Total Electric Power Industry,Other Gases,"10,842"
2021,1,DE,Total Electric Power Industry,Petroleum,350
2021,1,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,"2,968"
2021,1,DE,Total Electric Power Industry,Other Biomass,"6,533"
2021,1,DE,Total Electric Power Industry,Wind,511
2021,1,DE,"Combined Heat and Power, Industrial Power",Total,"88,946"
2021,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas,"77,106"
2021,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,"10,842"
2021,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,0
2021,1,DE,"Combined Heat and Power, Industrial Power",Other Biomass,998
2021,1,DE,"Combined Heat and Power, Commercial Power",Total,511
2021,1,DE,"Combined Heat and Power, Commercial Power",Wind,511
2021,1,DE,"Combined Heat and Power, Electric Power",Total,"3,127"
2021,1,DE,"Combined Heat and Power, Electric Power",Coal,0
2021,1,DE,"Combined Heat and Power, Electric Power",Natural Gas,"2,807"
2021,1,DE,"Combined Heat and Power, Electric Power",Petroleum,320
2021,1,DE,"Electric Generators, Independent Power Producers",Total,"24,841"
2021,1,DE,"Electric Generators, Independent Power Producers",Coal,"-3,129"
2021,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,"19,879"
2021,1,DE,"Electric Generators, Independent Power Producers",Petroleum,-58
2021,1,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"2,613"
2021,1,DE,"Electric Generators, Independent Power Producers",Other Biomass,"5,536"
2021,1,DE,"Electric Generators, Electric Utilities",Total,953
2021,1,DE,"Electric Generators, Electric Utilities",Natural Gas,511
2021,1,DE,"Electric Generators, Electric Utilities",Petroleum,88
2021,1,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,354
2021,1,FL,Total Electric Power Industry,Total,"18,188,570"
2021,1,FL,Total Electric Power Industry,Coal,"1,591,629"
2021,1,FL,Total Electric Power Industry,Hydroelectric Conventional,"22,148"
2021,1,FL,Total Electric Power Industry,Natural Gas,"12,619,799"
2021,1,FL,Total Electric Power Industry,Nuclear,"2,698,621"
2021,1,FL,Total Electric Power Industry,Other Gases,0
2021,1,FL,Total Electric Power Industry,Other,"259,140"
2021,1,FL,Total Electric Power Industry,Petroleum,"103,746"
2021,1,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"548,020"
2021,1,FL,Total Electric Power Industry,Other Biomass,"190,867"
2021,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,"154,600"
2021,1,FL,"Combined Heat and Power, Industrial Power",Total,"394,893"
2021,1,FL,"Combined Heat and Power, Industrial Power",Coal,"2,968"
2021,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,"140,673"
2021,1,FL,"Combined Heat and Power, Industrial Power",Other Gases,0
2021,1,FL,"Combined Heat and Power, Industrial Power",Other,"114,120"
2021,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,"2,681"
2021,1,FL,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,223
2021,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,"27,195"
2021,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"107,032"
2021,1,FL,"Combined Heat and Power, Commercial Power",Total,"36,937"
2021,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,"5,212"
2021,1,FL,"Combined Heat and Power, Commercial Power",Other,"16,527"
2021,1,FL,"Combined Heat and Power, Commercial Power",Petroleum,0
2021,1,FL,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,476
2021,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,"14,721"
2021,1,FL,"Combined Heat and Power, Electric Power",Total,"162,951"
2021,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,"158,749"
2021,1,FL,"Combined Heat and Power, Electric Power",Petroleum,0
2021,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,"4,202"
2021,1,FL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2021,1,FL,"Electric Generators, Independent Power Producers",Total,"528,604"
2021,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,"199,270"
2021,1,FL,"Electric Generators, Independent Power Producers",Other,"128,598"
2021,1,FL,"Electric Generators, Independent Power Producers",Petroleum,49
2021,1,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"64,357"
2021,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,"136,330"
2021,1,FL,"Electric Generators, Electric Utilities",Total,"17,065,186"
2021,1,FL,"Electric Generators, Electric Utilities",Coal,"1,588,662"
2021,1,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"22,148"
2021,1,FL,"Electric Generators, Electric Utilities",Natural Gas,"12,115,894"
2021,1,FL,"Electric Generators, Electric Utilities",Nuclear,"2,698,621"
2021,1,FL,"Electric Generators, Electric Utilities",Other,-106
2021,1,FL,"Electric Generators, Electric Utilities",Petroleum,"101,016"
2021,1,FL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"482,964"
2021,1,FL,"Electric Generators, Electric Utilities",Other Biomass,"8,419"
2021,1,FL,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,"47,568"
