"Region Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
FLA,"6/1/2022 12 a.m. EDT",0,37,1300,0,20357,1651,3871
FLA,"6/1/2022 1 a.m. EDT",0,36,1479,0,18846,1376,2965
FLA,"6/1/2022 2 a.m. EDT",0,37,1474,0,15225,1250,2961
FLA,"6/1/2022 3 a.m. EDT",0,36,1474,0,14435,1206,2963
FLA,"6/1/2022 4 a.m. EDT",0,37,1483,0,14072,1186,2966
FLA,"6/1/2022 5 a.m. EDT",0,37,1474,0,14027,1193,2962
FLA,"6/1/2022 6 a.m. EDT",0,36,1477,0,17472,1188,2961
FLA,"6/1/2022 7 a.m. EDT",14,37,1553,0,19278,1204,2959
FLA,"6/1/2022 8 a.m. EDT",643,37,1542,0,20073,1372,2968
FLA,"6/1/2022 9 a.m. EDT",1778,37,1913,0,20541,1572,2963
FLA,"6/1/2022 10 a.m. EDT",2365,37,2523,0,21804,1817,2965
FLA,"6/1/2022 11 a.m. EDT",2631,37,2587,7,23736,2055,2961
FLA,"6/1/2022 12 p.m. EDT",2735,39,2664,0,25926,2251,2963
FLA,"6/1/2022 1 p.m. EDT",2853,39,2755,0,27330,2523,2961
FLA,"6/1/2022 2 p.m. EDT",2804,39,2821,0,28883,2930,2960
FLA,"6/1/2022 3 p.m. EDT",2952,39,2754,0,29839,3134,2963
FLA,"6/1/2022 4 p.m. EDT",2849,39,2907,0,29914,3309,2958
FLA,"6/1/2022 5 p.m. EDT",2236,39,2935,0,30488,3537,2960
FLA,"6/1/2022 6 p.m. EDT",1775,38,2946,0,30429,3570,2960
FLA,"6/1/2022 7 p.m. EDT",1349,39,2803,0,29862,3501,2956
FLA,"6/1/2022 8 p.m. EDT",467,38,2743,0,30060,3084,2958
FLA,"6/1/2022 9 p.m. EDT",12,38,2658,0,29573,2892,2961
FLA,"6/1/2022 10 p.m. EDT",0,38,2563,0,28886,2597,2957
FLA,"6/1/2022 11 p.m. EDT",-1,38,2522,0,26650,2261,2960
FLA,"6/2/2022 12 a.m. EDT",0,38,2482,0,24095,1938,2962
FLA,"6/2/2022 1 a.m. EDT",0,39,1706,0,17188,1638,3857
FLA,"6/2/2022 2 a.m. EDT",0,38,1686,0,15539,1474,3857
FLA,"6/2/2022 3 a.m. EDT",0,38,1636,0,14388,1422,3860
FLA,"6/2/2022 4 a.m. EDT",0,39,1491,0,13744,1417,3860
FLA,"6/2/2022 5 a.m. EDT",0,38,1369,0,13714,1415,3859
FLA,"6/2/2022 6 a.m. EDT",0,39,1492,0,14290,1415,3858
FLA,"6/2/2022 7 a.m. EDT",14,38,1722,0,15365,1446,3861
