"Region Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
FLA,"3/1/2022 12 a.m. EST",0,34,693,0,15085,1595,3902
FLA,"3/1/2022 1 a.m. EST",0,35,538,0,13308,1590,3891
FLA,"3/1/2022 2 a.m. EST",0,34,533,0,11867,1559,3892
FLA,"3/1/2022 3 a.m. EST",0,35,539,0,11322,1530,3893
FLA,"3/1/2022 4 a.m. EST",0,35,524,0,11045,1520,3893
FLA,"3/1/2022 5 a.m. EST",0,34,531,0,11210,1540,3896
FLA,"3/1/2022 6 a.m. EST",-1,35,544,0,12295,1761,3897
FLA,"3/1/2022 7 a.m. EST",-1,34,560,0,14468,2069,3899
FLA,"3/1/2022 8 a.m. EST",185,34,571,0,15622,2143,3898
FLA,"3/1/2022 9 a.m. EST",919,33,573,24,15954,2054,3901
FLA,"3/1/2022 10 a.m. EST",1614,35,563,72,15879,1991,3902
FLA,"3/1/2022 11 a.m. EST",2428,34,549,87,15497,1913,3902
FLA,"3/1/2022 12 p.m. EST",3222,35,552,130,15112,1899,3899
FLA,"3/1/2022 1 p.m. EST",3675,35,542,181,15136,1900,3901
FLA,"3/1/2022 2 p.m. EST",3824,35,532,144,15602,1899,3908
FLA,"3/1/2022 3 p.m. EST",3795,35,530,107,16258,1918,3910
FLA,"3/1/2022 4 p.m. EST",3439,36,569,95,17217,1936,3906
FLA,"3/1/2022 5 p.m. EST",2750,35,637,4,18315,2139,3906
FLA,"3/1/2022 6 p.m. EST",1051,36,680,0,19895,2315,3905
FLA,"3/1/2022 7 p.m. EST",94,35,708,0,20679,2455,3906
FLA,"3/1/2022 8 p.m. EST",16,34,778,0,20713,2533,3906
FLA,"3/1/2022 9 p.m. EST",0,34,713,0,19553,2581,3907
FLA,"3/1/2022 10 p.m. EST",0,34,664,0,18016,2052,3895
FLA,"3/1/2022 11 p.m. EST",0,35,551,0,16272,1659,3895
FLA,"3/2/2022 12 a.m. EST",0,35,542,0,14398,1445,3896
FLA,"3/2/2022 1 a.m. EST",0,35,497,0,12697,1405,3900
FLA,"3/2/2022 2 a.m. EST",0,36,483,0,11745,1371,3897
FLA,"3/2/2022 3 a.m. EST",0,35,494,0,11182,1356,3898
FLA,"3/2/2022 4 a.m. EST",0,36,486,0,11011,1357,3900
FLA,"3/2/2022 5 a.m. EST",0,35,491,0,11308,1421,3901
FLA,"3/2/2022 6 a.m. EST",0,35,534,0,12547,1699,3890
FLA,"3/2/2022 7 a.m. EST",1,35,549,0,14767,2100,3900
FLA,"3/2/2022 8 a.m. EST",598,35,538,0,15656,2222,3903
FLA,"3/2/2022 9 a.m. EST",2439,35,537,37,14662,1962,3904
FLA,"3/2/2022 10 a.m. EST",3711,35,534,42,13691,1838,3905
FLA,"3/2/2022 11 a.m. EST",4249,36,533,42,13335,1817,3902
FLA,"3/2/2022 12 p.m. EST",4306,35,533,41,13630,1820,3905
FLA,"3/2/2022 1 p.m. EST",4215,36,528,41,14158,1829,3908
FLA,"3/2/2022 2 p.m. EST",4039,37,513,45,15194,1832,3913
FLA,"3/2/2022 3 p.m. EST",3714,36,516,83,15560,1837,3913
FLA,"3/2/2022 4 p.m. EST",3582,37,503,66,16387,1901,3913
FLA,"3/2/2022 5 p.m. EST",2810,37,542,2,17532,2092,3913
FLA,"3/2/2022 6 p.m. EST",1137,37,538,0,19296,2173,3913
FLA,"3/2/2022 7 p.m. EST",87,37,545,0,20559,2190,3913
FLA,"3/2/2022 8 p.m. EST",19,37,544,0,20572,2183,3911
FLA,"3/2/2022 9 p.m. EST",0,36,538,0,19526,2119,3915
FLA,"3/2/2022 10 p.m. EST",0,37,549,0,18129,1837,3903
FLA,"3/2/2022 11 p.m. EST",0,37,539,0,16364,1548,3888
FLA,"3/3/2022 12 a.m. EST",0,38,519,0,14267,1501,3896
FLA,"3/3/2022 1 a.m. EST",0,37,539,0,12631,1461,3899
FLA,"3/3/2022 2 a.m. EST",0,38,536,0,11619,1420,3902
FLA,"3/3/2022 3 a.m. EST",0,37,518,0,11051,1421,3902
FLA,"3/3/2022 4 a.m. EST",0,38,534,0,10805,1419,3905
FLA,"3/3/2022 5 a.m. EST",0,37,532,0,11256,1525,3906
FLA,"3/3/2022 6 a.m. EST",0,37,548,0,12709,1713,3907
FLA,"3/3/2022 7 a.m. EST",1,38,526,0,14911,1778,3902
FLA,"3/3/2022 8 a.m. EST",530,37,563,0,15772,1701,3909
FLA,"3/3/2022 9 a.m. EST",2236,37,522,24,14835,1797,3908
FLA,"3/3/2022 10 a.m. EST",3298,38,469,98,14418,1752,3908
FLA,"3/3/2022 11 a.m. EST",3701,37,465,102,14857,1707,3907
FLA,"3/3/2022 12 p.m. EST",3972,36,458,108,15477,1714,3908
FLA,"3/3/2022 1 p.m. EST",3956,37,472,111,16487,1690,3907
FLA,"3/3/2022 2 p.m. EST",3835,37,483,101,17604,1650,3914
FLA,"3/3/2022 3 p.m. EST",3694,38,532,69,18473,1841,3904
FLA,"3/3/2022 4 p.m. EST",3243,37,490,86,19601,2115,3912
FLA,"3/3/2022 5 p.m. EST",2689,37,494,109,20667,2133,3912
FLA,"3/3/2022 6 p.m. EST",1171,38,493,129,21814,2114,3911
FLA,"3/3/2022 7 p.m. EST",92,37,487,154,22380,2123,3911
FLA,"3/3/2022 8 p.m. EST",22,37,481,144,21960,2137,3911
FLA,"3/3/2022 9 p.m. EST",-1,37,479,21,20652,2130,3914
FLA,"3/3/2022 10 p.m. EST",0,37,525,0,18998,1853,3897
FLA,"3/3/2022 11 p.m. EST",0,37,549,0,17141,1527,3904
FLA,"3/4/2022 12 a.m. EST",0,37,532,0,14836,1446,3914
FLA,"3/4/2022 1 a.m. EST",0,38,540,0,12881,1419,3910
FLA,"3/4/2022 2 a.m. EST",0,37,539,0,11718,1413,3902
FLA,"3/4/2022 3 a.m. EST",0,37,537,0,11022,1413,3906
FLA,"3/4/2022 4 a.m. EST",0,37,537,0,10771,1416,3903
FLA,"3/4/2022 5 a.m. EST",0,38,530,0,11019,1418,3909
FLA,"3/4/2022 6 a.m. EST",0,37,539,0,12045,1527,3907
FLA,"3/4/2022 7 a.m. EST",1,37,553,0,14024,1694,3910
FLA,"3/4/2022 8 a.m. EST",616,37,561,0,14923,1801,3907
FLA,"3/4/2022 9 a.m. EST",2504,37,585,23,14409,1825,3908
FLA,"3/4/2022 10 a.m. EST",3724,37,587,0,14443,1831,3908
