"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NEVP,"12/1/2022 12 a.m. PST",101,38,0,526,0,2454,171,0
NEVP,"12/1/2022 1 a.m. PST",140,27,9,498,0,2408,171,0
NEVP,"12/1/2022 2 a.m. PST",149,18,1,455,0,2465,171,0
NEVP,"12/1/2022 3 a.m. PST",149,18,0,450,0,2310,170,0
NEVP,"12/1/2022 4 a.m. PST",149,18,0,452,0,2300,170,0
NEVP,"12/1/2022 5 a.m. PST",149,18,0,449,0,2348,171,0
NEVP,"12/1/2022 6 a.m. PST",149,18,0,457,0,2296,170,0
NEVP,"12/1/2022 7 a.m. PST",149,31,0,458,0,2329,170,0
NEVP,"12/1/2022 8 a.m. PST",149,326,0,457,0,2281,170,0
NEVP,"12/1/2022 9 a.m. PST",149,596,0,467,0,1779,170,0
NEVP,"12/1/2022 10 a.m. PST",149,812,0,485,0,1610,170,0
NEVP,"12/1/2022 11 a.m. PST",149,1130,0,486,0,1607,170,0
NEVP,"12/1/2022 12 p.m. PST",149,859,0,458,0,1696,195,0
NEVP,"12/1/2022 1 p.m. PST",149,867,0,435,0,1573,219,0
NEVP,"12/1/2022 2 p.m. PST",149,1127,0,420,0,1691,249,0
NEVP,"12/1/2022 3 p.m. PST",149,800,0,425,0,1888,275,0
NEVP,"12/1/2022 4 p.m. PST",149,207,4,445,0,2320,292,0
NEVP,"12/1/2022 5 p.m. PST",149,46,104,436,0,2682,271,0
NEVP,"12/1/2022 6 p.m. PST",149,40,109,520,0,2673,251,0
NEVP,"12/1/2022 7 p.m. PST",149,41,101,526,0,2964,250,0
NEVP,"12/1/2022 8 p.m. PST",149,42,100,518,0,2965,249,0
NEVP,"12/1/2022 9 p.m. PST",149,42,95,516,0,2675,250,0
NEVP,"12/1/2022 10 p.m. PST",149,43,4,461,0,2703,250,0
NEVP,"12/1/2022 11 p.m. PST",149,39,0,465,0,2364,250,0
NEVP,"12/2/2022 12 a.m. PST",149,6,0,468,0,2210,249,0
NEVP,"12/2/2022 1 a.m. PST",149,6,0,470,0,2113,249,0
NEVP,"12/2/2022 2 a.m. PST",117,6,0,475,0,2127,250,0
NEVP,"12/2/2022 3 a.m. PST",63,6,0,479,0,2226,249,0
NEVP,"12/2/2022 4 a.m. PST",4,6,0,479,0,2283,250,0
NEVP,"12/2/2022 5 a.m. PST",0,6,0,481,0,2466,249,0
NEVP,"12/2/2022 6 a.m. PST",12,7,0,481,0,2639,249,0
NEVP,"12/2/2022 7 a.m. PST",15,20,0,484,0,2683,250,0
NEVP,"12/2/2022 8 a.m. PST",7,486,0,484,0,2269,249,0
NEVP,"12/2/2022 9 a.m. PST",35,1185,0,497,0,2094,249,0
NEVP,"12/2/2022 10 a.m. PST",48,1432,0,522,0,1906,247,0
NEVP,"12/2/2022 11 a.m. PST",4,1372,0,540,0,1950,250,0
NEVP,"12/2/2022 12 p.m. PST",6,1236,0,541,0,1826,250,0
NEVP,"12/2/2022 1 p.m. PST",2,1345,0,540,0,1757,250,0
NEVP,"12/2/2022 2 p.m. PST",6,1353,0,525,0,1673,250,0
NEVP,"12/2/2022 3 p.m. PST",10,1076,0,501,0,1882,251,0
NEVP,"12/2/2022 4 p.m. PST",12,473,32,483,0,2628,250,0
NEVP,"12/2/2022 5 p.m. PST",9,74,100,470,0,3000,251,0
NEVP,"12/2/2022 6 p.m. PST",4,67,100,541,0,3144,251,0
NEVP,"12/2/2022 7 p.m. PST",0,68,100,557,0,2999,249,0
NEVP,"12/2/2022 8 p.m. PST",0,68,99,557,0,2905,249,0
NEVP,"12/2/2022 9 p.m. PST",1,45,97,555,0,2729,250,0
NEVP,"12/2/2022 10 p.m. PST",1,45,32,476,0,2690,250,0
NEVP,"12/2/2022 11 p.m. PST",0,45,1,474,0,2617,249,0
NEVP,"12/3/2022 12 a.m. PST",0,45,0,470,0,2548,249,0
NEVP,"12/3/2022 1 a.m. PST",0,32,0,472,0,2529,249,0
NEVP,"12/3/2022 2 a.m. PST",0,26,0,471,0,2436,249,0
