"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"6/1/2022 12 a.m. EDT",-1,61,518,0,1408,1422,3623
CPLE,"6/1/2022 1 a.m. EDT",-2,61,513,0,665,1178,3626
CPLE,"6/1/2022 2 a.m. EDT",0,61,514,0,641,721,3631
CPLE,"6/1/2022 3 a.m. EDT",-2,61,509,0,642,593,3632
CPLE,"6/1/2022 4 a.m. EDT",-1,60,502,0,622,597,3633
CPLE,"6/1/2022 5 a.m. EDT",-1,62,496,0,593,591,3639
CPLE,"6/1/2022 6 a.m. EDT",-4,57,485,0,575,838,3637
CPLE,"6/1/2022 7 a.m. EDT",39,63,523,0,580,1218,3639
CPLE,"6/1/2022 8 a.m. EDT",587,61,479,0,657,1401,3636
CPLE,"6/1/2022 9 a.m. EDT",1333,62,458,0,576,1276,3638
CPLE,"6/1/2022 10 a.m. EDT",1945,57,470,0,616,1267,3634
CPLE,"6/1/2022 11 a.m. EDT",2330,65,477,0,671,1384,3629
CPLE,"6/1/2022 12 p.m. EDT",2566,60,468,0,1222,1502,3629
CPLE,"6/1/2022 1 p.m. EDT",2620,61,482,0,1665,1528,3623
CPLE,"6/1/2022 2 p.m. EDT",2550,59,481,0,2108,1551,3625
CPLE,"6/1/2022 3 p.m. EDT",2419,62,530,0,2416,1582,3623
CPLE,"6/1/2022 4 p.m. EDT",2162,61,556,0,2795,1588,3619
CPLE,"6/1/2022 5 p.m. EDT",1797,52,663,0,2831,1578,3615
CPLE,"6/1/2022 6 p.m. EDT",1310,70,696,0,2814,1573,3616
CPLE,"6/1/2022 7 p.m. EDT",666,60,694,0,2846,1566,3613
CPLE,"6/1/2022 8 p.m. EDT",205,62,695,0,2866,1575,3610
CPLE,"6/1/2022 9 p.m. EDT",-1,59,741,0,2841,1540,3612
CPLE,"6/1/2022 10 p.m. EDT",-1,60,697,0,2659,1409,3611
CPLE,"6/1/2022 11 p.m. EDT",-1,59,525,0,1878,1418,3621
CPLE,"6/2/2022 12 a.m. EDT",-1,61,516,0,1350,1418,3625
CPLE,"6/2/2022 1 a.m. EDT",-1,61,516,0,1105,1439,3623
