"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"3/1/2022 12 a.m. PST",4,0,189,216,1000,196
LDWP,"3/1/2022 1 a.m. PST",8,0,0,221,885,196
LDWP,"3/1/2022 2 a.m. PST",2,0,3,221,959,197
LDWP,"3/1/2022 3 a.m. PST",2,0,3,223,996,197
LDWP,"3/1/2022 4 a.m. PST",3,0,3,224,995,197
LDWP,"3/1/2022 5 a.m. PST",2,0,4,223,1025,197
LDWP,"3/1/2022 6 a.m. PST",2,0,11,223,1033,198
LDWP,"3/1/2022 7 a.m. PST",0,55,196,214,1061,197
LDWP,"3/1/2022 8 a.m. PST",0,499,23,166,821,196
LDWP,"3/1/2022 9 a.m. PST",0,912,0,106,478,197
LDWP,"3/1/2022 10 a.m. PST",0,1044,0,102,436,196
LDWP,"3/1/2022 11 a.m. PST",0,1064,0,102,436,196
LDWP,"3/1/2022 12 p.m. PST",0,1042,0,104,436,196
LDWP,"3/1/2022 1 p.m. PST",1,1038,0,106,436,197
LDWP,"3/1/2022 2 p.m. PST",3,1041,0,111,437,197
LDWP,"3/1/2022 3 p.m. PST",7,980,0,138,451,197
LDWP,"3/1/2022 4 p.m. PST",13,704,0,152,619,199
LDWP,"3/1/2022 5 p.m. PST",29,423,0,181,898,198
LDWP,"3/1/2022 6 p.m. PST",32,22,396,229,1307,197
LDWP,"3/1/2022 7 p.m. PST",23,0,397,243,1588,197
LDWP,"3/1/2022 8 p.m. PST",17,0,203,233,1592,196
LDWP,"3/1/2022 9 p.m. PST",10,0,23,231,1531,197
LDWP,"3/1/2022 10 p.m. PST",9,0,20,225,1457,196
LDWP,"3/1/2022 11 p.m. PST",5,0,19,225,1277,197
LDWP,"3/2/2022 12 a.m. PST",2,0,19,220,1079,198
LDWP,"3/2/2022 1 a.m. PST",3,0,19,218,1178,198
LDWP,"3/2/2022 2 a.m. PST",18,0,19,211,1126,198
