"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"8/1/2022 12 a.m. EDT",-2,24,1165,0,1966,895,3598
CPLE,"8/1/2022 1 a.m. EDT",-2,8,1034,0,1485,775,3597
CPLE,"8/1/2022 2 a.m. EDT",-1,8,971,0,1441,777,3600
CPLE,"8/1/2022 3 a.m. EDT",-2,14,947,0,1376,773,3597
CPLE,"8/1/2022 4 a.m. EDT",-2,8,873,0,1172,775,3602
CPLE,"8/1/2022 5 a.m. EDT",-1,12,940,0,1421,772,3603
CPLE,"8/1/2022 6 a.m. EDT",-1,11,1020,0,1534,773,3600
CPLE,"8/1/2022 7 a.m. EDT",7,21,1088,0,1517,775,3607
CPLE,"8/1/2022 8 a.m. EDT",335,21,1099,0,1548,771,3607
CPLE,"8/1/2022 9 a.m. EDT",872,21,1157,0,1529,907,3605
CPLE,"8/1/2022 10 a.m. EDT",1337,21,1143,0,1540,1222,3605
CPLE,"8/1/2022 11 a.m. EDT",1733,12,1135,0,1802,1474,3606
CPLE,"8/1/2022 12 p.m. EDT",2026,12,1122,0,1894,1751,3603
CPLE,"8/1/2022 1 p.m. EDT",2303,12,1125,0,2104,1912,3603
CPLE,"8/1/2022 2 p.m. EDT",2264,13,1126,0,2309,1870,3598
CPLE,"8/1/2022 3 p.m. EDT",2052,9,1127,0,2366,1938,3594
CPLE,"8/1/2022 4 p.m. EDT",1730,13,1130,0,2382,2112,3596
CPLE,"8/1/2022 5 p.m. EDT",1479,29,1132,0,2430,2215,3590
CPLE,"8/1/2022 6 p.m. EDT",1074,45,1135,0,2538,2164,3583
CPLE,"8/1/2022 7 p.m. EDT",678,43,1145,0,2602,2258,3581
CPLE,"8/1/2022 8 p.m. EDT",194,39,1138,0,2598,2136,3584
CPLE,"8/1/2022 9 p.m. EDT",3,41,1173,0,2586,2069,3595
CPLE,"8/1/2022 10 p.m. EDT",-3,41,1172,0,2489,2108,3594
CPLE,"8/1/2022 11 p.m. EDT",-1,41,1170,0,1870,1861,3596
CPLE,"8/2/2022 12 a.m. EDT",-2,39,1098,0,1494,1327,3597
CPLE,"8/2/2022 1 a.m. EDT",0,14,1039,0,1450,830,3601
CPLE,"8/2/2022 2 a.m. EDT",-3,10,1017,0,1445,763,3601
