"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"9/1/2022 12 a.m. EDT",-3,12,1181,0,2288,615,3038
CPLE,"9/1/2022 1 a.m. EDT",-2,7,1178,0,1782,540,3027
CPLE,"9/1/2022 2 a.m. EDT",-2,5,1027,0,1655,545,3039
CPLE,"9/1/2022 3 a.m. EDT",-2,5,1019,0,1677,544,3039
CPLE,"9/1/2022 4 a.m. EDT",-2,5,991,0,1546,547,3041
CPLE,"9/1/2022 5 a.m. EDT",-2,6,1018,0,1550,551,3042
CPLE,"9/1/2022 6 a.m. EDT",-3,5,1095,0,1547,602,3042
CPLE,"9/1/2022 7 a.m. EDT",-1,14,1099,-1,1564,640,3042
CPLE,"9/1/2022 8 a.m. EDT",221,15,1106,-1,1583,670,3043
CPLE,"9/1/2022 9 a.m. EDT",879,14,1143,-1,1564,627,3040
CPLE,"9/1/2022 10 a.m. EDT",1572,16,1139,0,1530,616,3041
CPLE,"9/1/2022 11 a.m. EDT",2067,4,1151,0,1553,622,3040
CPLE,"9/1/2022 12 p.m. EDT",2388,3,1148,0,1563,623,3039
CPLE,"9/1/2022 1 p.m. EDT",2426,5,1152,0,1785,623,3037
CPLE,"9/1/2022 2 p.m. EDT",2420,14,1152,0,1904,620,3033
CPLE,"9/1/2022 3 p.m. EDT",2359,14,1151,0,2466,632,3034
CPLE,"9/1/2022 4 p.m. EDT",2151,17,1147,0,2849,744,3030
CPLE,"9/1/2022 5 p.m. EDT",1595,17,1151,0,3012,1221,3037
CPLE,"9/1/2022 6 p.m. EDT",945,17,1150,0,3029,1602,3034
CPLE,"9/1/2022 7 p.m. EDT",376,19,1147,0,3041,1685,3027
CPLE,"9/1/2022 8 p.m. EDT",75,16,1147,0,2998,1645,3025
CPLE,"9/1/2022 9 p.m. EDT",-1,19,1185,0,2796,1298,3026
