"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"12/4/2022 6 a.m. EST",-2,46,916,-1,1315,133,2879
CPLE,"12/4/2022 7 a.m. EST",-3,46,890,-1,1314,132,2881
CPLE,"12/4/2022 8 a.m. EST",105,46,935,-1,1542,146,2882
CPLE,"12/4/2022 9 a.m. EST",532,46,968,-1,1517,149,2883
CPLE,"12/4/2022 10 a.m. EST",1014,44,921,-1,1389,130,2884
CPLE,"12/4/2022 11 a.m. EST",1252,42,844,-1,1355,133,2887
CPLE,"12/4/2022 12 p.m. EST",1196,46,835,-1,1362,152,2881
CPLE,"12/4/2022 1 p.m. EST",983,45,823,0,1337,137,2884
CPLE,"12/4/2022 2 p.m. EST",766,46,902,86,1357,136,2879
CPLE,"12/4/2022 3 p.m. EST",558,45,898,154,1306,138,2879
CPLE,"12/4/2022 4 p.m. EST",294,46,900,132,1379,138,2882
CPLE,"12/4/2022 5 p.m. EST",83,43,906,9,1654,173,2881
CPLE,"12/4/2022 6 p.m. EST",30,43,911,-1,2003,296,2881
CPLE,"12/4/2022 7 p.m. EST",32,44,914,-1,2042,186,2882
CPLE,"12/4/2022 8 p.m. EST",33,48,910,-1,2077,122,2880
CPLE,"12/4/2022 9 p.m. EST",-2,42,955,-1,2060,121,2879
CPLE,"12/4/2022 10 p.m. EST",-2,43,928,0,2039,119,2884
CPLE,"12/4/2022 11 p.m. EST",-1,46,925,0,2027,121,2873
CPLE,"12/5/2022 12 a.m. EST",-1,44,933,0,2042,122,2881
CPLE,"12/5/2022 1 a.m. EST",-1,45,927,-3,2056,120,2883
CPLE,"12/5/2022 2 a.m. EST",-2,44,924,0,2076,121,2885
CPLE,"12/5/2022 3 a.m. EST",-2,42,917,-1,2012,168,2882
CPLE,"12/5/2022 4 a.m. EST",-3,44,913,-1,1992,184,2877
CPLE,"12/5/2022 5 a.m. EST",-3,45,908,0,2005,323,2882
CPLE,"12/5/2022 6 a.m. EST",0,44,925,-1,2114,516,2882
CPLE,"12/5/2022 7 a.m. EST",-1,43,1074,-1,2219,635,2880
CPLE,"12/5/2022 8 a.m. EST",157,44,1050,0,2458,642,2885
CPLE,"12/5/2022 9 a.m. EST",643,40,993,-1,2070,647,2881
CPLE,"12/5/2022 10 a.m. EST",979,44,978,0,1784,483,2881
CPLE,"12/5/2022 11 a.m. EST",1188,42,926,0,1907,200,2879
CPLE,"12/5/2022 12 p.m. EST",1446,44,845,0,1912,138,2876
CPLE,"12/5/2022 1 p.m. EST",1365,43,848,0,1868,140,2877
CPLE,"12/5/2022 2 p.m. EST",1086,44,872,0,1875,140,2877
CPLE,"12/5/2022 3 p.m. EST",667,43,910,0,1864,211,2876
CPLE,"12/5/2022 4 p.m. EST",472,44,913,0,1868,346,2877
CPLE,"12/5/2022 5 p.m. EST",185,39,905,0,1886,437,2872
CPLE,"12/5/2022 6 p.m. EST",32,45,905,0,2049,643,2876
CPLE,"12/5/2022 7 p.m. EST",31,43,910,0,2150,657,2876
CPLE,"12/5/2022 8 p.m. EST",30,41,905,0,2077,570,2877
CPLE,"12/5/2022 9 p.m. EST",-2,45,937,0,2019,466,2874
CPLE,"12/5/2022 10 p.m. EST",-1,42,941,0,1880,397,2869
CPLE,"12/5/2022 11 p.m. EST",-1,43,946,0,2020,184,2867
CPLE,"12/6/2022 12 a.m. EST",-2,40,941,0,1950,123,2873
CPLE,"12/6/2022 1 a.m. EST",-2,42,938,-3,1677,121,2874
CPLE,"12/6/2022 2 a.m. EST",-1,43,934,0,1522,123,2871
CPLE,"12/6/2022 3 a.m. EST",-2,41,931,0,1500,122,2878
CPLE,"12/6/2022 4 a.m. EST",0,44,922,-1,1482,120,2877
CPLE,"12/6/2022 5 a.m. EST",-3,42,905,-1,1416,220,2875
CPLE,"12/6/2022 6 a.m. EST",-3,42,906,-1,1563,299,2873
CPLE,"12/6/2022 7 a.m. EST",-1,42,905,-1,1832,471,2879
CPLE,"12/6/2022 8 a.m. EST",49,42,862,0,1783,641,2875
CPLE,"12/6/2022 9 a.m. EST",185,42,893,0,2121,490,2874
CPLE,"12/6/2022 10 a.m. EST",370,37,910,-1,2155,583,2872
CPLE,"12/6/2022 11 a.m. EST",627,48,908,0,2142,558,2873
CPLE,"12/6/2022 12 p.m. EST",685,41,905,-1,2132,610,2870
CPLE,"12/6/2022 1 p.m. EST",663,40,905,0,2105,579,2870
CPLE,"12/6/2022 2 p.m. EST",634,43,920,7,2114,643,2806
CPLE,"12/6/2022 3 p.m. EST",500,42,965,0,2177,616,2809
CPLE,"12/6/2022 4 p.m. EST",339,42,973,53,2245,537,2814
CPLE,"12/6/2022 5 p.m. EST",89,42,964,0,2242,606,2832
