"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"12/1/2022 12 a.m. PST",191,0,186,225,1291,264
LDWP,"12/1/2022 1 a.m. PST",219,0,0,220,1304,399
LDWP,"12/1/2022 2 a.m. PST",217,0,0,205,1304,557
LDWP,"12/1/2022 3 a.m. PST",219,0,0,202,1303,611
LDWP,"12/1/2022 4 a.m. PST",226,0,0,203,1303,613
LDWP,"12/1/2022 5 a.m. PST",214,0,0,210,1305,613
LDWP,"12/1/2022 6 a.m. PST",221,0,0,230,1306,611
LDWP,"12/1/2022 7 a.m. PST",218,5,0,227,1241,611
LDWP,"12/1/2022 8 a.m. PST",210,80,0,226,1016,611
LDWP,"12/1/2022 9 a.m. PST",230,197,0,226,1032,609
LDWP,"12/1/2022 10 a.m. PST",253,371,0,229,1023,601
LDWP,"12/1/2022 11 a.m. PST",251,579,0,230,995,515
LDWP,"12/1/2022 12 p.m. PST",251,562,0,234,935,441
LDWP,"12/1/2022 1 p.m. PST",254,405,0,237,855,557
LDWP,"12/1/2022 2 p.m. PST",241,495,0,228,904,419
LDWP,"12/1/2022 3 p.m. PST",253,421,0,228,975,358
LDWP,"12/1/2022 4 p.m. PST",264,150,179,241,1111,435
LDWP,"12/1/2022 5 p.m. PST",253,11,372,242,1289,582
LDWP,"12/1/2022 6 p.m. PST",242,0,189,247,1299,611
LDWP,"12/1/2022 7 p.m. PST",190,0,193,245,1299,611
LDWP,"12/1/2022 8 p.m. PST",165,0,203,247,1303,610
LDWP,"12/1/2022 9 p.m. PST",211,0,188,246,1304,581
LDWP,"12/1/2022 10 p.m. PST",259,0,0,236,1305,570
LDWP,"12/1/2022 11 p.m. PST",261,0,0,236,1306,597
LDWP,"12/2/2022 12 a.m. PST",253,0,0,235,1306,580
LDWP,"12/2/2022 1 a.m. PST",254,0,0,216,1306,463
LDWP,"12/2/2022 2 a.m. PST",259,0,0,215,1307,417
LDWP,"12/2/2022 3 a.m. PST",254,0,0,213,1306,415
LDWP,"12/2/2022 4 a.m. PST",244,0,0,200,1286,414
LDWP,"12/2/2022 5 a.m. PST",236,0,0,202,1308,431
LDWP,"12/2/2022 6 a.m. PST",92,0,0,217,1248,568
LDWP,"12/2/2022 7 a.m. PST",107,5,0,235,1145,610
LDWP,"12/2/2022 8 a.m. PST",101,187,0,236,1142,611
LDWP,"12/2/2022 9 a.m. PST",55,580,0,238,1135,612
LDWP,"12/2/2022 10 a.m. PST",63,781,0,227,1014,612
LDWP,"12/2/2022 11 a.m. PST",70,761,0,226,880,613
LDWP,"12/2/2022 12 p.m. PST",63,778,0,226,951,613
LDWP,"12/2/2022 1 p.m. PST",50,690,0,225,1002,613
LDWP,"12/2/2022 2 p.m. PST",37,457,0,224,1020,613
LDWP,"12/2/2022 3 p.m. PST",7,293,0,234,1121,613
LDWP,"12/2/2022 4 p.m. PST",1,119,179,237,1408,612
LDWP,"12/2/2022 5 p.m. PST",3,6,184,240,1606,613
LDWP,"12/2/2022 6 p.m. PST",0,0,181,247,1598,613
LDWP,"12/2/2022 7 p.m. PST",0,0,183,247,1504,613
LDWP,"12/2/2022 8 p.m. PST",0,0,183,247,1500,613
LDWP,"12/2/2022 9 p.m. PST",0,0,182,246,1457,612
LDWP,"12/2/2022 10 p.m. PST",0,0,163,245,1391,612
LDWP,"12/2/2022 11 p.m. PST",0,0,0,238,1356,613
LDWP,"12/3/2022 12 a.m. PST",0,0,0,233,1353,611
LDWP,"12/3/2022 1 a.m. PST",0,0,0,222,1303,598
LDWP,"12/3/2022 2 a.m. PST",0,0,0,222,1295,600
LDWP,"12/3/2022 3 a.m. PST",0,0,0,222,1287,602
LDWP,"12/3/2022 4 a.m. PST",0,0,0,219,1296,602
LDWP,"12/3/2022 5 a.m. PST",0,0,0,212,1210,602
LDWP,"12/3/2022 6 a.m. PST",0,0,0,212,1135,602
LDWP,"12/3/2022 7 a.m. PST",0,1,0,210,1267,601
LDWP,"12/3/2022 8 a.m. PST",0,61,0,197,1275,601
LDWP,"12/3/2022 9 a.m. PST",1,235,0,194,1274,601
LDWP,"12/3/2022 10 a.m. PST",0,568,0,198,1263,601
LDWP,"12/3/2022 11 a.m. PST",0,744,0,197,1253,601
LDWP,"12/3/2022 12 p.m. PST",0,729,0,196,1113,601
LDWP,"12/3/2022 1 p.m. PST",0,562,0,194,925,599
LDWP,"12/3/2022 2 p.m. PST",0,426,0,194,775,600
LDWP,"12/3/2022 3 p.m. PST",0,279,0,202,749,601
LDWP,"12/3/2022 4 p.m. PST",0,134,0,223,801,601
LDWP,"12/3/2022 5 p.m. PST",0,6,174,225,1062,601
LDWP,"12/3/2022 6 p.m. PST",0,0,187,236,1265,601
LDWP,"12/3/2022 7 p.m. PST",0,0,187,247,1267,601
LDWP,"12/3/2022 8 p.m. PST",0,0,186,247,1270,601
LDWP,"12/3/2022 9 p.m. PST",0,0,187,234,1368,601
LDWP,"12/3/2022 10 p.m. PST",0,0,186,245,1358,601
LDWP,"12/3/2022 11 p.m. PST",0,0,185,235,1321,600
LDWP,"12/4/2022 12 a.m. PST",2,0,0,230,1257,600
LDWP,"12/4/2022 1 a.m. PST",2,0,0,231,1270,600
LDWP,"12/4/2022 2 a.m. PST",0,0,0,234,1268,601
LDWP,"12/4/2022 3 a.m. PST",0,0,0,230,1217,601
LDWP,"12/4/2022 4 a.m. PST",0,0,1,230,949,601
LDWP,"12/4/2022 5 a.m. PST",2,0,1,224,917,601
LDWP,"12/4/2022 6 a.m. PST",35,0,0,222,850,602
LDWP,"12/4/2022 7 a.m. PST",47,1,0,222,824,602
LDWP,"12/4/2022 8 a.m. PST",90,106,0,219,723,601
LDWP,"12/4/2022 9 a.m. PST",130,282,0,191,706,587
LDWP,"12/4/2022 10 a.m. PST",85,475,0,191,671,599
LDWP,"12/4/2022 11 a.m. PST",164,605,0,198,606,583
LDWP,"12/4/2022 12 p.m. PST",188,663,0,198,576,498
LDWP,"12/4/2022 1 p.m. PST",201,650,0,195,574,415
LDWP,"12/4/2022 2 p.m. PST",220,547,0,192,543,490
LDWP,"12/4/2022 3 p.m. PST",236,636,0,195,486,559
LDWP,"12/4/2022 4 p.m. PST",217,263,184,221,744,566
LDWP,"12/4/2022 5 p.m. PST",202,13,187,222,1056,568
LDWP,"12/4/2022 6 p.m. PST",119,0,186,228,1076,572
LDWP,"12/4/2022 7 p.m. PST",183,0,186,228,1133,592
LDWP,"12/4/2022 8 p.m. PST",138,0,186,228,1041,598
LDWP,"12/4/2022 9 p.m. PST",166,0,188,228,1128,600
LDWP,"12/4/2022 10 p.m. PST",123,0,188,227,971,600
LDWP,"12/4/2022 11 p.m. PST",130,0,0,222,1042,601
LDWP,"12/5/2022 12 a.m. PST",93,0,0,216,974,601
