"Region Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
FLA,"9/1/2022 12 a.m. EDT",1,30,3170,0,21735,2150,3829
FLA,"9/1/2022 1 a.m. EDT",1,30,3093,0,19291,2042,3834
FLA,"9/1/2022 2 a.m. EDT",1,30,3105,0,17672,1811,3832
FLA,"9/1/2022 3 a.m. EDT",1,31,3021,0,16556,1680,3834
FLA,"9/1/2022 4 a.m. EDT",1,31,2989,0,15954,1568,3834
FLA,"9/1/2022 5 a.m. EDT",1,30,3003,0,15857,1521,3835
FLA,"9/1/2022 6 a.m. EDT",1,31,3043,0,16569,1548,3833
FLA,"9/1/2022 7 a.m. EDT",1,31,3105,0,18059,1533,3837
FLA,"9/1/2022 8 a.m. EDT",176,30,3089,0,18636,1566,3835
FLA,"9/1/2022 9 a.m. EDT",1311,31,3051,0,19318,1574,3841
FLA,"9/1/2022 10 a.m. EDT",2681,30,3046,6,20634,1613,3837
FLA,"9/1/2022 11 a.m. EDT",3760,31,3151,9,22509,1810,3834
FLA,"9/1/2022 12 p.m. EDT",4348,31,3185,0,25042,2142,3836
FLA,"9/1/2022 1 p.m. EDT",4315,29,3209,0,27637,2427,3832
FLA,"9/1/2022 2 p.m. EDT",4061,30,3345,0,29499,2705,3828
FLA,"9/1/2022 3 p.m. EDT",3563,29,3394,0,30704,3056,3822
FLA,"9/1/2022 4 p.m. EDT",2823,29,3486,0,31477,2819,3820
FLA,"9/1/2022 5 p.m. EDT",1970,29,3507,15,31505,2639,3813
FLA,"9/1/2022 6 p.m. EDT",1323,37,3490,0,31420,2505,3811
FLA,"9/1/2022 7 p.m. EDT",749,29,3480,0,30917,2301,3813
FLA,"9/1/2022 8 p.m. EDT",128,29,3479,0,29968,1956,3821
FLA,"9/1/2022 9 p.m. EDT",-1,29,3474,0,28762,1802,3822
FLA,"9/1/2022 10 p.m. EDT",0,29,3449,0,26360,1727,3802
FLA,"9/1/2022 11 p.m. EDT",0,28,3387,0,23772,1518,3748
FLA,"9/2/2022 12 a.m. EDT",0,29,3399,0,21147,1486,3674
FLA,"9/2/2022 1 a.m. EDT",0,28,3048,0,19295,1345,3617
FLA,"9/2/2022 2 a.m. EDT",0,28,3054,0,17827,1238,3581
FLA,"9/2/2022 3 a.m. EDT",0,28,3047,0,16522,1170,3530
FLA,"9/2/2022 4 a.m. EDT",0,29,3035,0,15887,1131,3485
FLA,"9/2/2022 5 a.m. EDT",0,28,3026,0,15774,1155,3429
FLA,"9/2/2022 6 a.m. EDT",0,28,3075,0,16440,1217,3414
FLA,"9/2/2022 7 a.m. EDT",0,29,3094,0,17934,1369,3419
FLA,"9/2/2022 8 a.m. EDT",182,28,3135,0,18548,1423,3414
FLA,"9/2/2022 9 a.m. EDT",1241,28,3155,0,19336,1522,3411
FLA,"9/2/2022 10 a.m. EDT",2771,29,3121,0,20644,1636,3418
FLA,"9/2/2022 11 a.m. EDT",3800,29,3350,0,22154,1822,3426
FLA,"9/2/2022 12 p.m. EDT",4208,29,3485,0,24603,2113,3419
FLA,"9/2/2022 1 p.m. EDT",4063,28,3624,0,27391,2349,3417
FLA,"9/2/2022 2 p.m. EDT",3761,27,3703,0,29421,2357,3417
FLA,"9/2/2022 3 p.m. EDT",3546,28,3736,4,30285,2391,3414
FLA,"9/2/2022 4 p.m. EDT",3392,27,3737,46,30502,2604,3409
FLA,"9/2/2022 5 p.m. EDT",2319,27,3723,76,31483,2633,3405
FLA,"9/2/2022 6 p.m. EDT",1348,39,3870,70,31520,2602,3398
FLA,"9/2/2022 7 p.m. EDT",638,27,3800,0,30715,2340,3398
FLA,"9/2/2022 8 p.m. EDT",115,27,3690,0,29378,2138,3397
FLA,"9/2/2022 9 p.m. EDT",0,27,3524,0,28191,2106,3395
FLA,"9/2/2022 10 p.m. EDT",0,25,3501,0,26403,1928,3322
FLA,"9/2/2022 11 p.m. EDT",-1,26,3430,0,24667,1711,3094
FLA,"9/3/2022 12 a.m. EDT",0,26,3217,0,22876,1542,2801
FLA,"9/3/2022 1 a.m. EDT",0,25,3047,0,20695,1447,2793
FLA,"9/3/2022 2 a.m. EDT",0,26,2915,0,19103,1376,2798
FLA,"9/3/2022 3 a.m. EDT",0,26,2897,0,18078,1286,2798
FLA,"9/3/2022 4 a.m. EDT",0,27,2889,0,17349,1186,2798
FLA,"9/3/2022 5 a.m. EDT",0,27,2898,0,16897,1153,2806
FLA,"9/3/2022 6 a.m. EDT",0,27,2899,0,16812,1151,2803
FLA,"9/3/2022 7 a.m. EDT",0,26,2894,0,17060,1156,2803
FLA,"9/3/2022 8 a.m. EDT",143,27,2901,0,17659,1153,2804
FLA,"9/3/2022 9 a.m. EDT",1342,28,3075,0,18854,1239,2804
FLA,"9/3/2022 10 a.m. EDT",2752,27,3176,0,20627,1535,2804
FLA,"9/3/2022 11 a.m. EDT",3458,25,3369,0,22650,1772,2801
FLA,"9/3/2022 12 p.m. EDT",4018,25,3412,0,25286,1941,2801
FLA,"9/3/2022 1 p.m. EDT",4228,26,3391,0,27661,2206,2797
FLA,"9/3/2022 2 p.m. EDT",4207,26,3424,0,29382,2409,2797
FLA,"9/3/2022 3 p.m. EDT",3967,26,3481,0,30723,2524,2796
FLA,"9/3/2022 4 p.m. EDT",3651,27,3548,0,31534,2704,2788
FLA,"9/3/2022 5 p.m. EDT",3093,26,3670,18,31678,2781,2784
FLA,"9/3/2022 6 p.m. EDT",2038,37,3762,45,31921,2820,2788
FLA,"9/3/2022 7 p.m. EDT",693,24,3798,25,31431,2778,2787
FLA,"9/3/2022 8 p.m. EDT",100,23,3605,0,30388,2529,2785
FLA,"9/3/2022 9 p.m. EDT",0,25,3543,0,29258,2361,2785
FLA,"9/3/2022 10 p.m. EDT",0,25,3370,0,27625,2111,2786
FLA,"9/3/2022 11 p.m. EDT",0,25,3273,2,26020,1558,2787
FLA,"9/4/2022 12 a.m. EDT",-1,25,3259,28,23982,1356,2790
FLA,"9/4/2022 1 a.m. EDT",0,25,2968,0,22103,1132,2791
FLA,"9/4/2022 2 a.m. EDT",0,25,2849,0,20342,1059,2795
FLA,"9/4/2022 3 a.m. EDT",0,27,2747,0,19097,984,2796
FLA,"9/4/2022 4 a.m. EDT",0,26,2775,0,18164,944,2798
FLA,"9/4/2022 5 a.m. EDT",0,27,2833,0,17567,993,2800
FLA,"9/4/2022 6 a.m. EDT",0,26,2851,0,17240,1087,2802
FLA,"9/4/2022 7 a.m. EDT",0,26,2882,0,17344,1088,2801
FLA,"9/4/2022 8 a.m. EDT",159,27,2878,0,17435,1160,2793
FLA,"9/4/2022 9 a.m. EDT",1499,26,3018,0,18838,1180,2795
FLA,"9/4/2022 10 a.m. EDT",3027,27,3152,0,20816,1471,2791
FLA,"9/4/2022 11 a.m. EDT",3785,26,3349,0,22974,1773,2794
FLA,"9/4/2022 12 p.m. EDT",4333,23,3413,0,25423,1984,2795
FLA,"9/4/2022 1 p.m. EDT",4533,23,3441,0,27777,2207,2795
FLA,"9/4/2022 2 p.m. EDT",4542,22,3313,0,29406,2390,2794
