BA Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NEVP,7/1/2022 12 a.m. PDT,11,0,7,333,0,3809,531,0
NEVP,7/1/2022 1 a.m. PDT,15,0,7,354,0,3813,485,0
NEVP,7/1/2022 2 a.m. PDT,28,0,7,363,0,3676,444,0
NEVP,7/1/2022 3 a.m. PDT,28,0,7,369,0,3510,440,0
NEVP,7/1/2022 4 a.m. PDT,28,0,7,372,0,3310,440,0
NEVP,7/1/2022 5 a.m. PDT,28,0,7,383,0,3158,440,0
NEVP,7/1/2022 6 a.m. PDT,33,17,7,388,0,2971,440,0
NEVP,7/1/2022 7 a.m. PDT,22,453,7,387,0,1966,440,0
NEVP,7/1/2022 8 a.m. PDT,21,929,7,398,0,1916,440,0
NEVP,7/1/2022 9 a.m. PDT,66,1128,7,398,0,1801,440,0
NEVP,7/1/2022 10 a.m. PDT,110,1324,7,389,0,1715,439,0
NEVP,7/1/2022 11 a.m. PDT,102,1421,7,387,0,1844,439,0
NEVP,7/1/2022 12 p.m. PDT,81,1593,7,375,0,2062,439,0
NEVP,7/1/2022 1 p.m. PDT,77,1673,7,364,0,2420,467,0
NEVP,7/1/2022 2 p.m. PDT,91,1815,7,349,0,2616,521,0
NEVP,7/1/2022 3 p.m. PDT,97,1804,7,343,0,2958,521,0
NEVP,7/1/2022 4 p.m. PDT,104,1792,7,334,0,3119,521,0
NEVP,7/1/2022 5 p.m. PDT,96,1753,7,321,0,3171,521,0
NEVP,7/1/2022 6 p.m. PDT,39,1644,7,318,0,3270,540,0
NEVP,7/1/2022 7 p.m. PDT,20,1106,7,290,0,3444,587,0
NEVP,7/1/2022 8 p.m. PDT,31,265,7,344,0,3664,597,0
NEVP,7/1/2022 9 p.m. PDT,31,27,7,362,0,3736,599,0
NEVP,7/1/2022 10 p.m. PDT,40,25,7,376,0,3382,600,0
NEVP,7/1/2022 11 p.m. PDT,66,24,7,385,0,3648,594,0
NEVP,7/2/2022 12 a.m. PDT,64,1,7,323,0,3714,537,0
NEVP,7/2/2022 1 a.m. PDT,61,0,7,350,0,3609,486,0
NEVP,7/2/2022 2 a.m. PDT,69,0,7,361,0,3293,452,0
NEVP,7/2/2022 3 a.m. PDT,56,0,7,367,0,3192,440,0
NEVP,7/2/2022 4 a.m. PDT,45,0,7,375,0,3185,440,0
NEVP,7/2/2022 5 a.m. PDT,33,0,7,379,0,3108,440,0
NEVP,7/2/2022 6 a.m. PDT,20,17,7,390,0,2849,440,0
NEVP,7/2/2022 7 a.m. PDT,27,389,7,386,0,1988,440,0
NEVP,7/2/2022 8 a.m. PDT,19,889,7,391,0,1624,437,0
NEVP,7/2/2022 9 a.m. PDT,45,1123,7,387,0,1445,403,0
NEVP,7/2/2022 10 a.m. PDT,88,1198,7,372,0,1362,294,0
NEVP,7/2/2022 11 a.m. PDT,113,1397,7,369,0,1488,294,0
NEVP,7/2/2022 12 p.m. PDT,122,1556,7,348,0,1315,294,0
NEVP,7/2/2022 1 p.m. PDT,138,1832,7,348,0,1578,294,0
NEVP,7/2/2022 2 p.m. PDT,147,1837,7,340,0,1810,294,0
NEVP,7/2/2022 3 p.m. PDT,143,1829,7,340,0,2000,294,0
NEVP,7/2/2022 4 p.m. PDT,147,1802,7,332,0,2002,296,0
NEVP,7/2/2022 5 p.m. PDT,140,1771,7,318,0,2442,365,0
NEVP,7/2/2022 6 p.m. PDT,137,1598,7,315,0,2761,406,0
NEVP,7/2/2022 7 p.m. PDT,138,1085,7,299,0,3491,406,0
NEVP,7/2/2022 8 p.m. PDT,142,230,7,370,0,3585,406,0
NEVP,7/2/2022 9 p.m. PDT,129,27,7,386,0,3728,406,0
NEVP,7/2/2022 10 p.m. PDT,74,24,7,388,0,3597,406,0
NEVP,7/2/2022 11 p.m. PDT,52,22,7,370,0,3674,443,0
NEVP,7/3/2022 12 a.m. PDT,44,0,7,331,0,3487,484,0
NEVP,7/3/2022 1 a.m. PDT,30,0,7,344,0,3725,447,0
NEVP,7/3/2022 2 a.m. PDT,40,0,7,355,0,3371,399,0
NEVP,7/3/2022 3 a.m. PDT,56,0,7,363,0,3205,393,0
NEVP,7/3/2022 4 a.m. PDT,39,0,7,366,0,2988,394,0
NEVP,7/3/2022 5 a.m. PDT,38,0,7,375,0,2868,395,0
NEVP,7/3/2022 6 a.m. PDT,27,14,7,383,0,2690,393,0
NEVP,7/3/2022 7 a.m. PDT,23,376,7,386,0,1927,393,0
NEVP,7/3/2022 8 a.m. PDT,66,919,7,390,0,1470,346,0
NEVP,7/3/2022 9 a.m. PDT,131,1132,7,398,0,1511,303,0
NEVP,7/3/2022 10 a.m. PDT,148,1221,7,396,0,1384,305,0
NEVP,7/3/2022 11 a.m. PDT,148,1341,7,395,0,1487,308,0
NEVP,7/3/2022 12 p.m. PDT,149,1520,7,391,0,1351,308,0
NEVP,7/3/2022 1 p.m. PDT,147,1763,7,378,0,1243,308,0
NEVP,7/3/2022 2 p.m. PDT,147,1779,7,366,0,1453,329,0
NEVP,7/3/2022 3 p.m. PDT,147,1742,7,362,0,1577,349,0
NEVP,7/3/2022 4 p.m. PDT,145,1668,7,339,0,1621,374,0
NEVP,7/3/2022 5 p.m. PDT,139,1621,7,335,0,1705,392,0
NEVP,7/3/2022 6 p.m. PDT,140,1587,7,343,0,1938,392,0
NEVP,7/3/2022 7 p.m. PDT,146,1039,7,326,0,2380,392,0
NEVP,7/3/2022 8 p.m. PDT,148,240,7,401,0,2731,392,0
NEVP,7/3/2022 9 p.m. PDT,128,26,7,410,0,2855,392,0
NEVP,7/3/2022 10 p.m. PDT,58,26,7,425,0,2878,392,0
NEVP,7/3/2022 11 p.m. PDT,43,23,7,405,0,3182,369,0
NEVP,7/4/2022 12 a.m. PDT,47,1,7,366,0,3347,310,0
NEVP,7/4/2022 1 a.m. PDT,55,1,7,377,0,3287,303,0
NEVP,7/4/2022 2 a.m. PDT,73,1,7,387,0,3102,303,0
NEVP,7/4/2022 3 a.m. PDT,30,1,7,394,0,3047,303,0
NEVP,7/4/2022 4 a.m. PDT,40,1,7,400,0,3019,303,0
NEVP,7/4/2022 5 a.m. PDT,38,1,7,405,0,3029,303,0
NEVP,7/4/2022 6 a.m. PDT,16,16,7,410,0,2958,303,0
NEVP,7/4/2022 7 a.m. PDT,16,370,7,412,0,1878,303,0
NEVP,7/4/2022 8 a.m. PDT,22,930,7,410,0,1516,303,0
NEVP,7/4/2022 9 a.m. PDT,87,1155,7,415,0,1369,303,0
NEVP,7/4/2022 10 a.m. PDT,120,1237,7,419,0,1435,303,0
NEVP,7/4/2022 11 a.m. PDT,134,1443,7,410,0,1517,303,0
NEVP,7/4/2022 12 p.m. PDT,136,1637,7,400,0,1691,303,0
NEVP,7/4/2022 1 p.m. PDT,142,1842,7,391,0,1943,303,0
NEVP,7/4/2022 2 p.m. PDT,137,1876,7,382,0,2026,303,0
NEVP,7/4/2022 3 p.m. PDT,143,1859,7,372,0,2127,303,0
NEVP,7/4/2022 4 p.m. PDT,142,1854,7,364,0,2232,303,0
NEVP,7/4/2022 5 p.m. PDT,143,1808,7,351,0,2322,303,0
NEVP,7/4/2022 6 p.m. PDT,143,1654,7,333,0,2407,303,0
NEVP,7/4/2022 7 p.m. PDT,142,1054,7,314,0,2756,303,0
NEVP,7/4/2022 8 p.m. PDT,137,237,7,378,0,3146,304,0
NEVP,7/4/2022 9 p.m. PDT,110,25,7,393,0,3177,304,0
NEVP,7/4/2022 10 p.m. PDT,63,25,7,402,0,3135,304,0
NEVP,7/4/2022 11 p.m. PDT,64,23,7,392,0,3136,304,0
NEVP,7/5/2022 12 a.m. PDT,59,1,7,357,0,3080,304,0
NEVP,7/5/2022 1 a.m. PDT,46,1,7,364,0,2975,304,0
NEVP,7/5/2022 2 a.m. PDT,63,1,7,377,0,2877,303,0
NEVP,7/5/2022 3 a.m. PDT,78,1,7,383,0,2768,303,0
NEVP,7/5/2022 4 a.m. PDT,71,1,7,386,0,2725,303,0
NEVP,7/5/2022 5 a.m. PDT,80,1,7,390,0,2682,303,0
NEVP,7/5/2022 6 a.m. PDT,56,11,7,398,0,2574,303,0
NEVP,7/5/2022 7 a.m. PDT,36,367,7,400,0,2160,303,0
NEVP,7/5/2022 8 a.m. PDT,37,916,7,396,0,1718,303,0
NEVP,7/5/2022 9 a.m. PDT,84,1150,7,397,0,1562,305,0
NEVP,7/5/2022 10 a.m. PDT,97,1235,7,397,0,1598,342,0
NEVP,7/5/2022 11 a.m. PDT,85,1431,7,397,0,1672,350,0
NEVP,7/5/2022 12 p.m. PDT,109,1580,7,388,0,2212,382,0
NEVP,7/5/2022 1 p.m. PDT,129,1820,7,375,0,2193,390,0
NEVP,7/5/2022 2 p.m. PDT,127,1860,7,363,0,2463,390,0
NEVP,7/5/2022 3 p.m. PDT,128,1849,7,354,0,2685,390,0
NEVP,7/5/2022 4 p.m. PDT,127,1803,7,353,0,2791,390,0
NEVP,7/5/2022 5 p.m. PDT,128,1702,7,335,0,2979,390,0
NEVP,7/5/2022 6 p.m. PDT,134,1522,7,312,0,3212,390,0
NEVP,7/5/2022 7 p.m. PDT,138,1006,7,297,0,3451,390,0
NEVP,7/5/2022 8 p.m. PDT,120,223,7,368,0,3497,390,0
