"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
FPC,"3/1/2022 12 a.m. EST",0,34,68,0,3199,210
FPC,"3/1/2022 1 a.m. EST",0,35,67,0,3038,211
FPC,"3/1/2022 2 a.m. EST",0,34,68,0,2698,210
FPC,"3/1/2022 3 a.m. EST",0,35,67,0,2622,211
FPC,"3/1/2022 4 a.m. EST",0,35,67,0,2616,209
FPC,"3/1/2022 5 a.m. EST",0,34,69,0,2754,211
FPC,"3/1/2022 6 a.m. EST",0,35,68,0,3192,212
FPC,"3/1/2022 7 a.m. EST",0,34,67,0,3800,232
FPC,"3/1/2022 8 a.m. EST",60,34,68,0,4009,324
FPC,"3/1/2022 9 a.m. EST",228,33,67,0,3965,297
FPC,"3/1/2022 10 a.m. EST",295,35,66,0,3798,254
FPC,"3/1/2022 11 a.m. EST",375,34,68,0,3555,211
FPC,"3/1/2022 12 p.m. EST",405,35,68,0,3454,209
FPC,"3/1/2022 1 p.m. EST",441,35,66,0,3403,210
FPC,"3/1/2022 2 p.m. EST",468,35,69,0,3476,211
FPC,"3/1/2022 3 p.m. EST",464,35,66,0,3626,219
FPC,"3/1/2022 4 p.m. EST",418,36,68,0,3833,252
FPC,"3/1/2022 5 p.m. EST",337,35,66,0,3940,349
FPC,"3/1/2022 6 p.m. EST",162,36,66,0,4127,401
FPC,"3/1/2022 7 p.m. EST",8,35,66,0,4302,420
FPC,"3/1/2022 8 p.m. EST",0,34,68,0,4285,418
FPC,"3/1/2022 9 p.m. EST",0,34,66,0,3972,403
FPC,"3/1/2022 10 p.m. EST",0,34,68,0,3770,266
FPC,"3/1/2022 11 p.m. EST",0,35,67,0,3386,211
FPC,"3/2/2022 12 a.m. EST",0,35,65,0,3096,210
FPC,"3/2/2022 1 a.m. EST",0,35,59,0,2723,196
FPC,"3/2/2022 2 a.m. EST",0,36,59,0,2583,187
FPC,"3/2/2022 3 a.m. EST",0,35,61,0,2508,186
FPC,"3/2/2022 4 a.m. EST",0,36,63,0,2503,188
FPC,"3/2/2022 5 a.m. EST",0,35,67,0,2592,186
FPC,"3/2/2022 6 a.m. EST",0,35,70,0,2976,207
FPC,"3/2/2022 7 a.m. EST",0,35,67,0,3622,284
FPC,"3/2/2022 8 a.m. EST",81,35,68,0,3816,391
FPC,"3/2/2022 9 a.m. EST",330,35,68,0,3677,276
FPC,"3/2/2022 10 a.m. EST",428,35,65,0,3427,213
FPC,"3/2/2022 11 a.m. EST",454,36,67,0,3183,212
FPC,"3/2/2022 12 p.m. EST",458,35,66,0,3176,211
FPC,"3/2/2022 1 p.m. EST",452,36,65,0,3180,214
FPC,"3/2/2022 2 p.m. EST",446,37,64,4,3679,214
FPC,"3/2/2022 3 p.m. EST",441,36,65,62,3497,215
FPC,"3/2/2022 4 p.m. EST",422,37,50,66,3743,249
FPC,"3/2/2022 5 p.m. EST",357,37,83,2,3984,405
FPC,"3/2/2022 6 p.m. EST",164,37,67,0,4281,437
FPC,"3/2/2022 7 p.m. EST",6,37,68,0,4500,431
FPC,"3/2/2022 8 p.m. EST",0,37,68,0,4573,422
FPC,"3/2/2022 9 p.m. EST",0,36,70,0,4318,421
FPC,"3/2/2022 10 p.m. EST",0,37,67,0,3934,362
FPC,"3/2/2022 11 p.m. EST",0,37,69,0,3577,263
FPC,"3/3/2022 12 a.m. EST",0,38,67,0,3183,211
FPC,"3/3/2022 1 a.m. EST",0,37,68,0,2831,210
FPC,"3/3/2022 2 a.m. EST",0,38,68,0,2667,186
FPC,"3/3/2022 3 a.m. EST",0,37,68,0,2576,187
FPC,"3/3/2022 4 a.m. EST",0,38,68,0,2556,187
FPC,"3/3/2022 5 a.m. EST",0,37,70,0,2673,186
FPC,"3/3/2022 6 a.m. EST",0,37,68,0,3097,186
FPC,"3/3/2022 7 a.m. EST",0,38,69,0,3737,187
FPC,"3/3/2022 8 a.m. EST",90,37,67,0,3930,186
FPC,"3/3/2022 9 a.m. EST",375,37,65,0,3513,187
FPC,"3/3/2022 10 a.m. EST",457,38,67,0,3299,185
FPC,"3/3/2022 11 a.m. EST",462,37,66,0,3352,186
FPC,"3/3/2022 12 p.m. EST",485,36,65,0,3450,186
FPC,"3/3/2022 1 p.m. EST",500,37,66,2,3575,187
FPC,"3/3/2022 2 p.m. EST",498,37,65,3,3878,197
FPC,"3/3/2022 3 p.m. EST",467,38,65,0,4052,412
FPC,"3/3/2022 4 p.m. EST",443,37,65,0,4163,686
FPC,"3/3/2022 5 p.m. EST",400,37,66,0,4500,719
FPC,"3/3/2022 6 p.m. EST",179,38,68,0,4747,720
FPC,"3/3/2022 7 p.m. EST",9,37,68,0,4842,721
FPC,"3/3/2022 8 p.m. EST",0,37,68,0,4730,719
FPC,"3/3/2022 9 p.m. EST",0,37,67,0,4239,711
FPC,"3/3/2022 10 p.m. EST",0,37,69,0,4072,555
FPC,"3/3/2022 11 p.m. EST",0,37,68,0,3683,307
FPC,"3/4/2022 12 a.m. EST",0,37,68,0,3240,206
FPC,"3/4/2022 1 a.m. EST",0,38,68,0,2839,176
FPC,"3/4/2022 2 a.m. EST",0,37,68,0,2593,174
FPC,"3/4/2022 3 a.m. EST",0,37,68,0,2472,175
FPC,"3/4/2022 4 a.m. EST",0,37,68,0,2445,175
FPC,"3/4/2022 5 a.m. EST",0,38,69,0,2580,175
FPC,"3/4/2022 6 a.m. EST",0,37,69,0,2828,174
FPC,"3/4/2022 7 a.m. EST",0,37,67,0,3304,176
FPC,"3/4/2022 8 a.m. EST",90,37,69,0,3466,203
FPC,"3/4/2022 9 a.m. EST",365,37,66,0,3357,223
FPC,"3/4/2022 10 a.m. EST",459,37,65,0,3386,202
FPC,"3/4/2022 11 a.m. EST",490,37,65,0,3522,201
FPC,"3/4/2022 12 p.m. EST",493,37,67,0,3724,201
FPC,"3/4/2022 1 p.m. EST",493,35,68,0,3880,343
FPC,"3/4/2022 2 p.m. EST",487,37,66,0,3973,637
FPC,"3/4/2022 3 p.m. EST",479,36,66,0,4139,703
FPC,"3/4/2022 4 p.m. EST",456,37,67,0,4383,709
FPC,"3/4/2022 5 p.m. EST",404,37,68,0,4528,706
FPC,"3/4/2022 6 p.m. EST",184,37,66,0,4651,709
FPC,"3/4/2022 7 p.m. EST",8,37,67,0,4599,710
FPC,"3/4/2022 8 p.m. EST",0,37,67,0,4429,708
FPC,"3/4/2022 9 p.m. EST",0,36,68,0,4048,708
FPC,"3/4/2022 10 p.m. EST",0,37,67,0,3562,708
FPC,"3/4/2022 11 p.m. EST",0,37,69,0,3160,696
FPC,"3/5/2022 12 a.m. EST",0,37,68,0,2885,618
FPC,"3/5/2022 1 a.m. EST",0,37,67,0,2624,528
FPC,"3/5/2022 2 a.m. EST",0,37,66,0,2660,269
FPC,"3/5/2022 3 a.m. EST",0,37,67,0,2618,177
FPC,"3/5/2022 4 a.m. EST",0,38,67,0,2530,180
FPC,"3/5/2022 5 a.m. EST",0,37,69,0,2543,177
FPC,"3/5/2022 6 a.m. EST",0,37,68,0,2619,179
FPC,"3/5/2022 7 a.m. EST",0,36,67,0,2761,180
FPC,"3/5/2022 8 a.m. EST",49,37,68,0,2942,178
FPC,"3/5/2022 9 a.m. EST",246,37,68,0,3088,180
FPC,"3/5/2022 10 a.m. EST",331,36,67,0,3306,178
FPC,"3/5/2022 11 a.m. EST",361,35,69,0,3556,202
FPC,"3/5/2022 12 p.m. EST",407,36,66,0,3669,361
FPC,"3/5/2022 1 p.m. EST",405,35,68,0,3726,604
FPC,"3/5/2022 2 p.m. EST",420,35,64,0,3809,712
FPC,"3/5/2022 3 p.m. EST",415,34,66,0,4025,709
FPC,"3/5/2022 4 p.m. EST",376,35,67,0,4320,711
FPC,"3/5/2022 5 p.m. EST",322,36,67,0,4519,710
FPC,"3/5/2022 6 p.m. EST",162,37,67,0,4623,712
FPC,"3/5/2022 7 p.m. EST",11,37,66,0,4496,711
FPC,"3/5/2022 8 p.m. EST",0,34,68,0,4364,710
FPC,"3/5/2022 9 p.m. EST",0,35,63,0,3940,713
FPC,"3/5/2022 10 p.m. EST",0,36,67,0,3934,673
FPC,"3/5/2022 11 p.m. EST",0,36,66,0,3465,527
FPC,"3/6/2022 12 a.m. EST",0,36,68,0,3275,303
FPC,"3/6/2022 1 a.m. EST",0,36,66,0,3111,180
FPC,"3/6/2022 2 a.m. EST",0,36,66,0,2875,178
FPC,"3/6/2022 3 a.m. EST",0,36,66,0,2639,180
FPC,"3/6/2022 4 a.m. EST",0,37,67,0,2579,178
FPC,"3/6/2022 5 a.m. EST",0,36,64,0,2574,181
FPC,"3/6/2022 6 a.m. EST",0,36,67,0,2610,179
FPC,"3/6/2022 7 a.m. EST",0,37,64,0,2737,178
FPC,"3/6/2022 8 a.m. EST",83,36,67,0,2870,180
FPC,"3/6/2022 9 a.m. EST",308,36,65,0,3086,180
FPC,"3/6/2022 10 a.m. EST",403,36,67,0,3515,180
FPC,"3/6/2022 11 a.m. EST",404,35,63,0,3898,190
FPC,"3/6/2022 12 p.m. EST",392,33,65,0,4154,367
FPC,"3/6/2022 1 p.m. EST",409,33,65,0,4259,654
FPC,"3/6/2022 2 p.m. EST",402,34,65,0,4341,711
FPC,"3/6/2022 3 p.m. EST",405,35,65,0,4658,715
FPC,"3/6/2022 4 p.m. EST",382,35,65,0,4975,715
FPC,"3/6/2022 5 p.m. EST",348,35,62,0,5172,716
FPC,"3/6/2022 6 p.m. EST",161,38,64,0,5268,713
FPC,"3/6/2022 7 p.m. EST",9,35,62,0,5163,714
FPC,"3/6/2022 8 p.m. EST",0,35,61,0,5144,714
FPC,"3/6/2022 9 p.m. EST",0,35,64,0,4597,713
FPC,"3/6/2022 10 p.m. EST",0,35,64,0,4321,715
FPC,"3/6/2022 11 p.m. EST",0,34,66,0,3776,689
FPC,"3/7/2022 12 a.m. EST",0,35,66,0,3446,507
FPC,"3/7/2022 1 a.m. EST",0,36,66,0,3103,210
FPC,"3/7/2022 2 a.m. EST",0,35,65,0,2834,176
FPC,"3/7/2022 3 a.m. EST",0,35,65,0,2683,176
FPC,"3/7/2022 4 a.m. EST",0,36,67,0,2641,179
FPC,"3/7/2022 5 a.m. EST",0,35,64,0,2665,176
FPC,"3/7/2022 6 a.m. EST",0,35,68,0,2911,177
FPC,"3/7/2022 7 a.m. EST",0,36,66,0,3351,178
