"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)"
LDWP,"8/1/2022 12 a.m. PDT",70,0,191,240,1968,411
LDWP,"8/1/2022 1 a.m. PDT",79,0,18,235,1584,389
LDWP,"8/1/2022 2 a.m. PDT",78,0,6,231,1494,388
LDWP,"8/1/2022 3 a.m. PDT",70,0,6,230,1492,393
LDWP,"8/1/2022 4 a.m. PDT",66,0,6,227,1476,395
LDWP,"8/1/2022 5 a.m. PDT",105,0,6,226,1267,396
LDWP,"8/1/2022 6 a.m. PDT",89,0,6,236,1434,398
LDWP,"8/1/2022 7 a.m. PDT",75,36,6,237,1439,521
LDWP,"8/1/2022 8 a.m. PDT",64,242,6,249,1531,577
LDWP,"8/1/2022 9 a.m. PDT",81,628,6,238,1465,634
LDWP,"8/1/2022 10 a.m. PDT",161,931,168,237,1532,644
LDWP,"8/1/2022 11 a.m. PDT",174,1021,192,235,1629,647
LDWP,"8/1/2022 12 p.m. PDT",199,1076,192,224,1676,656
LDWP,"8/1/2022 1 p.m. PDT",178,1044,192,230,1860,664
LDWP,"8/1/2022 2 p.m. PDT",156,827,192,242,1879,683
LDWP,"8/1/2022 3 p.m. PDT",144,628,194,242,1971,853
LDWP,"8/1/2022 4 p.m. PDT",155,420,367,234,2258,997
LDWP,"8/1/2022 5 p.m. PDT",186,223,468,237,2064,1013
LDWP,"8/1/2022 6 p.m. PDT",192,168,483,233,2091,909
LDWP,"8/1/2022 7 p.m. PDT",154,75,486,228,2105,728
LDWP,"8/1/2022 8 p.m. PDT",135,15,485,224,2112,676
LDWP,"8/1/2022 9 p.m. PDT",117,0,480,222,2062,608
LDWP,"8/1/2022 10 p.m. PDT",118,0,378,224,1834,594
LDWP,"8/1/2022 11 p.m. PDT",128,0,374,229,1676,573
LDWP,"8/2/2022 12 a.m. PDT",125,0,377,230,1575,438
LDWP,"8/2/2022 1 a.m. PDT",104,0,31,229,1521,402
LDWP,"8/2/2022 2 a.m. PDT",91,0,0,223,1504,408
LDWP,"8/2/2022 3 a.m. PDT",95,0,0,214,1453,402
LDWP,"8/2/2022 4 a.m. PDT",79,0,0,204,1439,402
LDWP,"8/2/2022 5 a.m. PDT",66,0,0,207,1442,398
LDWP,"8/2/2022 6 a.m. PDT",67,0,0,220,1464,399
LDWP,"8/2/2022 7 a.m. PDT",105,58,0,226,1480,560
LDWP,"8/2/2022 8 a.m. PDT",95,421,0,202,1206,640
LDWP,"8/2/2022 9 a.m. PDT",123,790,0,148,982,657
LDWP,"8/2/2022 10 a.m. PDT",154,954,4,151,773,662
LDWP,"8/2/2022 11 a.m. PDT",115,1044,5,157,705,652
LDWP,"8/2/2022 12 p.m. PDT",48,1075,9,167,1048,722
LDWP,"8/2/2022 1 p.m. PDT",31,1056,193,205,1137,739
LDWP,"8/2/2022 2 p.m. PDT",7,980,191,235,1362,758
LDWP,"8/2/2022 3 p.m. PDT",60,973,192,239,1450,762
LDWP,"8/2/2022 4 p.m. PDT",50,926,198,238,1664,762
LDWP,"8/2/2022 5 p.m. PDT",76,832,293,236,1713,751
LDWP,"8/2/2022 6 p.m. PDT",141,673,298,230,1806,746
LDWP,"8/2/2022 7 p.m. PDT",109,298,297,226,1839,742
LDWP,"8/2/2022 8 p.m. PDT",78,26,297,218,2019,740
LDWP,"8/2/2022 9 p.m. PDT",47,0,111,215,2000,609
LDWP,"8/2/2022 10 p.m. PDT",68,0,6,234,1931,551
LDWP,"8/2/2022 11 p.m. PDT",69,0,5,236,1667,528
LDWP,"8/3/2022 12 a.m. PDT",83,0,6,235,1624,566
LDWP,"8/3/2022 1 a.m. PDT",119,0,0,225,1548,649
LDWP,"8/3/2022 2 a.m. PDT",58,0,0,212,1252,468
LDWP,"8/3/2022 3 a.m. PDT",32,0,0,212,1220,388
LDWP,"8/3/2022 4 a.m. PDT",21,0,0,207,1224,384
LDWP,"8/3/2022 5 a.m. PDT",19,0,0,213,1232,383
LDWP,"8/3/2022 6 a.m. PDT",15,0,0,220,1229,379
LDWP,"8/3/2022 7 a.m. PDT",11,60,0,228,1235,452
LDWP,"8/3/2022 8 a.m. PDT",7,293,0,226,1216,615
LDWP,"8/3/2022 9 a.m. PDT",5,711,0,190,1162,640
LDWP,"8/3/2022 10 a.m. PDT",0,897,0,146,1196,639
LDWP,"8/3/2022 11 a.m. PDT",0,965,0,164,1221,642
LDWP,"8/3/2022 12 p.m. PDT",0,1029,0,151,1282,738
LDWP,"8/3/2022 1 p.m. PDT",7,1058,0,206,1478,871
LDWP,"8/3/2022 2 p.m. PDT",18,1075,0,216,1499,897
