"BA Code","Timestamp (Hour Ending)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CPLE,"1/1/2022 12 a.m. EST",-2,7,611,0,942,-20,3686
CPLE,"1/1/2022 1 a.m. EST",-3,6,602,0,926,-19,3686
CPLE,"1/1/2022 2 a.m. EST",-1,6,523,-2,655,-17,3685
CPLE,"1/1/2022 3 a.m. EST",-2,6,449,-2,489,-21,3687
CPLE,"1/1/2022 4 a.m. EST",-2,6,444,-1,491,-21,3687
CPLE,"1/1/2022 5 a.m. EST",0,6,436,0,463,-20,3683
CPLE,"1/1/2022 6 a.m. EST",-2,6,459,0,574,-20,3685
CPLE,"1/1/2022 7 a.m. EST",-2,7,504,0,665,-20,3681
CPLE,"1/1/2022 8 a.m. EST",38,6,550,0,864,-20,3685
CPLE,"1/1/2022 9 a.m. EST",234,6,600,0,1012,-18,3683
CPLE,"1/1/2022 10 a.m. EST",650,20,632,0,1049,-23,3680
CPLE,"1/1/2022 11 a.m. EST",988,22,608,0,1019,-23,3679
CPLE,"1/1/2022 12 p.m. EST",1200,21,614,0,1007,-23,3679
CPLE,"1/1/2022 1 p.m. EST",1352,9,545,0,851,-25,3677
CPLE,"1/1/2022 2 p.m. EST",1264,8,582,0,967,-26,3676
CPLE,"1/1/2022 3 p.m. EST",1191,9,593,0,968,-30,3674
CPLE,"1/1/2022 4 p.m. EST",779,10,620,0,1032,-33,3674
CPLE,"1/1/2022 5 p.m. EST",248,10,622,0,1044,-37,3674
CPLE,"1/1/2022 6 p.m. EST",26,30,643,0,1051,-40,3678
CPLE,"1/1/2022 7 p.m. EST",25,30,700,0,1053,-41,3677
CPLE,"1/1/2022 8 p.m. EST",25,30,693,0,1043,-40,3682
CPLE,"1/1/2022 9 p.m. EST",-1,15,728,0,1057,-45,3681
CPLE,"1/1/2022 10 p.m. EST",-2,9,725,0,1055,-47,3678
CPLE,"1/1/2022 11 p.m. EST",-2,9,673,0,980,-46,3680
CPLE,"1/2/2022 12 a.m. EST",-3,9,541,0,746,-47,3679
CPLE,"1/2/2022 1 a.m. EST",0,8,474,0,559,-46,3682
CPLE,"1/2/2022 2 a.m. EST",0,10,457,-2,519,-48,3682
CPLE,"1/2/2022 3 a.m. EST",-2,9,459,-1,515,-47,3680
CPLE,"1/2/2022 4 a.m. EST",-2,9,453,0,527,-48,3680
CPLE,"1/2/2022 5 a.m. EST",-2,14,423,0,441,-43,3686
CPLE,"1/2/2022 6 a.m. EST",-1,14,449,0,538,-49,3683
CPLE,"1/2/2022 7 a.m. EST",-2,23,471,0,577,-48,3683
CPLE,"1/2/2022 8 a.m. EST",52,26,443,0,544,-45,3682
CPLE,"1/2/2022 9 a.m. EST",280,26,404,0,442,-45,3687
CPLE,"1/2/2022 10 a.m. EST",449,12,426,0,534,-47,3690
CPLE,"1/2/2022 11 a.m. EST",445,14,528,0,814,-49,3685
CPLE,"1/2/2022 12 p.m. EST",460,14,585,0,972,-47,3684
CPLE,"1/2/2022 1 p.m. EST",468,10,623,0,1040,-47,3683
CPLE,"1/2/2022 2 p.m. EST",371,18,571,0,897,-45,3682
CPLE,"1/2/2022 3 p.m. EST",274,14,570,0,927,-41,3685
CPLE,"1/2/2022 4 p.m. EST",162,11,562,0,913,-41,3682
CPLE,"1/2/2022 5 p.m. EST",88,15,530,0,827,-30,3682
CPLE,"1/2/2022 6 p.m. EST",26,43,592,0,1001,-28,3682
CPLE,"1/2/2022 7 p.m. EST",26,44,598,0,996,-5,3683
CPLE,"1/2/2022 8 p.m. EST",25,42,505,0,733,29,3682
CPLE,"1/2/2022 9 p.m. EST",0,46,472,0,550,123,3687
CPLE,"1/2/2022 10 p.m. EST",-1,14,421,0,429,205,3686
CPLE,"1/2/2022 11 p.m. EST",-5,11,408,0,410,234,3690
CPLE,"1/3/2022 12 a.m. EST",-1,14,406,0,404,242,3692
CPLE,"1/3/2022 1 a.m. EST",-2,14,406,0,404,146,3689
CPLE,"1/3/2022 2 a.m. EST",-1,12,405,-2,415,121,3690
CPLE,"1/3/2022 3 a.m. EST",-1,14,419,-2,461,118,3691
CPLE,"1/3/2022 4 a.m. EST",-4,13,417,-1,452,115,3690
CPLE,"1/3/2022 5 a.m. EST",-1,17,448,0,524,122,3689
CPLE,"1/3/2022 6 a.m. EST",-2,19,478,0,806,111,3692
CPLE,"1/3/2022 7 a.m. EST",0,42,574,0,1110,119,3698
CPLE,"1/3/2022 8 a.m. EST",31,95,718,0,1406,119,3702
CPLE,"1/3/2022 9 a.m. EST",163,104,843,0,1550,116,3699
CPLE,"1/3/2022 10 a.m. EST",428,102,952,0,1438,134,3703
CPLE,"1/3/2022 11 a.m. EST",403,103,963,0,1513,268,3704
CPLE,"1/3/2022 12 p.m. EST",410,100,985,0,1549,407,3702
CPLE,"1/3/2022 1 p.m. EST",532,100,1047,0,1656,561,3708
CPLE,"1/3/2022 2 p.m. EST",573,105,1062,0,1702,624,3710
CPLE,"1/3/2022 3 p.m. EST",698,85,997,-2,1495,633,3705
CPLE,"1/3/2022 4 p.m. EST",660,43,989,-2,1516,637,3703
CPLE,"1/3/2022 5 p.m. EST",258,50,1057,141,1719,648,3701
CPLE,"1/3/2022 6 p.m. EST",27,103,1136,386,1771,657,3708
CPLE,"1/3/2022 7 p.m. EST",25,102,1129,380,2168,664,3704
CPLE,"1/3/2022 8 p.m. EST",25,91,1009,305,2143,685,3704
CPLE,"1/3/2022 9 p.m. EST",-1,83,1001,307,1978,690,3707
CPLE,"1/3/2022 10 p.m. EST",-1,83,1002,337,1836,727,3707
CPLE,"1/3/2022 11 p.m. EST",-2,79,951,231,1749,764,3713
CPLE,"1/4/2022 12 a.m. EST",-2,80,900,39,1673,775,3710
CPLE,"1/4/2022 1 a.m. EST",-3,78,904,0,1700,777,3712
CPLE,"1/4/2022 2 a.m. EST",-1,81,908,-2,1698,781,3713
CPLE,"1/4/2022 3 a.m. EST",0,74,901,90,1732,805,3711
CPLE,"1/4/2022 4 a.m. EST",-2,75,904,112,1818,825,3712
CPLE,"1/4/2022 5 a.m. EST",0,72,913,243,1950,884,3712
CPLE,"1/4/2022 6 a.m. EST",-1,73,1025,323,2298,980,3711
