"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"2/1/2022 12 a.m. CST",14836,0,6,126,9252,7403,5137
ERCO,"2/1/2022 1 a.m. CST",14627,0,24,103,8851,6862,5137
ERCO,"2/1/2022 2 a.m. CST",14094,0,7,151,8829,6405,5137
ERCO,"2/1/2022 3 a.m. CST",13794,0,6,114,8832,6442,5137
ERCO,"2/1/2022 4 a.m. CST",13671,0,6,101,9092,6257,5137
ERCO,"2/1/2022 5 a.m. CST",13468,0,6,147,9496,6567,5137
ERCO,"2/1/2022 6 a.m. CST",13542,0,7,146,10625,7387,5137
ERCO,"2/1/2022 7 a.m. CST",14131,0,26,157,12375,8178,5137
ERCO,"2/1/2022 8 a.m. CST",14315,21,26,204,12494,9392,5137
ERCO,"2/1/2022 9 a.m. CST",13565,825,25,136,12406,9410,5137
ERCO,"2/1/2022 10 a.m. CST",12334,2269,25,122,12447,9445,5136
ERCO,"2/1/2022 11 a.m. CST",11138,3076,8,135,12766,9319,5138
ERCO,"2/1/2022 12 p.m. CST",9994,3886,6,118,12554,9224,5142
ERCO,"2/1/2022 1 p.m. CST",8756,4747,6,114,12434,9184,5142
ERCO,"2/1/2022 2 p.m. CST",7327,5316,6,126,12961,8990,5142
ERCO,"2/1/2022 3 p.m. CST",6302,6108,6,118,12941,8975,5141
ERCO,"2/1/2022 4 p.m. CST",6417,5287,6,113,13058,9358,5138
ERCO,"2/1/2022 5 p.m. CST",6685,4542,6,142,13361,9487,5137
ERCO,"2/1/2022 6 p.m. CST",6760,1764,7,278,15560,10500,5137
ERCO,"2/1/2022 7 p.m. CST",8159,19,7,172,16637,11350,5137
ERCO,"2/1/2022 8 p.m. CST",11271,1,7,189,14828,10365,5136
ERCO,"2/1/2022 9 p.m. CST",13537,1,7,151,13186,9379,5136
ERCO,"2/1/2022 10 p.m. CST",14723,1,7,115,11962,8203,5136
ERCO,"2/1/2022 11 p.m. CST",15898,1,7,184,10109,6835,5137
ERCO,"2/2/2022 12 a.m. CST",15502,0,7,126,9423,6014,5136
ERCO,"2/2/2022 1 a.m. CST",15119,0,26,157,9121,5457,5136
ERCO,"2/2/2022 2 a.m. CST",14882,0,7,141,9168,4885,5136
ERCO,"2/2/2022 3 a.m. CST",14829,0,7,124,9270,4636,5135
ERCO,"2/2/2022 4 a.m. CST",14793,0,7,110,9349,4558,5135
ERCO,"2/2/2022 5 a.m. CST",15291,0,7,158,9651,4668,5135
ERCO,"2/2/2022 6 a.m. CST",16733,0,7,104,10510,4605,5135
ERCO,"2/2/2022 7 a.m. CST",17986,0,26,151,12357,4956,5136
ERCO,"2/2/2022 8 a.m. CST",18840,10,26,191,12925,5331,5135
ERCO,"2/2/2022 9 a.m. CST",18666,104,26,165,13584,5657,5138
ERCO,"2/2/2022 10 a.m. CST",19002,304,26,150,13874,5713,5140
ERCO,"2/2/2022 11 a.m. CST",19196,764,6,129,13910,5809,5140
ERCO,"2/2/2022 12 p.m. CST",17945,1236,6,115,14071,6895,5141
ERCO,"2/2/2022 1 p.m. CST",17587,1574,6,150,13981,7370,5142
ERCO,"2/2/2022 2 p.m. CST",17715,1739,5,120,14508,7021,5139
ERCO,"2/2/2022 3 p.m. CST",17389,1516,5,115,15697,6588,5133
ERCO,"2/2/2022 4 p.m. CST",17202,1002,5,107,17183,6140,5132
ERCO,"2/2/2022 5 p.m. CST",17364,558,25,128,18689,6318,5132
ERCO,"2/2/2022 6 p.m. CST",17107,141,25,136,19075,8441,5132
ERCO,"2/2/2022 7 p.m. CST",17115,1,53,137,19485,10011,5132
ERCO,"2/2/2022 8 p.m. CST",17512,0,44,157,19023,10497,5132
ERCO,"2/2/2022 9 p.m. CST",17500,0,25,160,19046,10279,5131
ERCO,"2/2/2022 10 p.m. CST",17475,0,6,168,18978,9498,5132
ERCO,"2/2/2022 11 p.m. CST",17617,0,5,179,19156,7697,5132
ERCO,"2/3/2022 12 a.m. CST",17665,0,6,152,19376,5866,5132
ERCO,"2/3/2022 1 a.m. CST",17387,0,25,170,19423,5039,5133
ERCO,"2/3/2022 2 a.m. CST",16886,0,14,148,19638,5262,5133
ERCO,"2/3/2022 3 a.m. CST",17524,0,14,154,19828,5033,5133
ERCO,"2/3/2022 4 a.m. CST",18434,0,14,148,20087,4966,5133
ERCO,"2/3/2022 5 a.m. CST",18737,0,13,147,20473,5884,5134
ERCO,"2/3/2022 6 a.m. CST",18745,0,9,155,21111,7615,5134
ERCO,"2/3/2022 7 a.m. CST",18672,0,70,152,22192,9625,5134
ERCO,"2/3/2022 8 a.m. CST",18237,10,71,183,23980,10582,5134
ERCO,"2/3/2022 9 a.m. CST",17487,390,79,166,25455,11006,5134
ERCO,"2/3/2022 10 a.m. CST",17465,1236,80,170,26058,11218,5134
ERCO,"2/3/2022 11 a.m. CST",17574,2290,66,168,26172,11289,5134
ERCO,"2/3/2022 12 p.m. CST",17388,3223,52,178,26090,11142,5134
ERCO,"2/3/2022 1 p.m. CST",17517,3497,52,151,25964,11044,5134
ERCO,"2/3/2022 2 p.m. CST",17758,3615,52,163,25649,10848,5133
