,period,value,value-units,Date,Hour Starting
4391,2023-12-05T00-06,42458,megawatthours,2023-12-04,23
4390,2023-12-05T01-06,41344,megawatthours,2023-12-05,0
4389,2023-12-05T02-06,40786,megawatthours,2023-12-05,1
4388,2023-12-05T03-06,40700,megawatthours,2023-12-05,2
4387,2023-12-05T04-06,40864,megawatthours,2023-12-05,3
4386,2023-12-05T05-06,42079,megawatthours,2023-12-05,4
4385,2023-12-05T06-06,44729,megawatthours,2023-12-05,5
4384,2023-12-05T07-06,48273,megawatthours,2023-12-05,6
4383,2023-12-05T08-06,49650,megawatthours,2023-12-05,7
4382,2023-12-05T09-06,49576,megawatthours,2023-12-05,8
4381,2023-12-05T10-06,47825,megawatthours,2023-12-05,9
4380,2023-12-05T11-06,46484,megawatthours,2023-12-05,10
4379,2023-12-05T12-06,45187,megawatthours,2023-12-05,11
4378,2023-12-05T13-06,44297,megawatthours,2023-12-05,12
4377,2023-12-05T14-06,44024,megawatthours,2023-12-05,13
4376,2023-12-05T15-06,43982,megawatthours,2023-12-05,14
4375,2023-12-05T16-06,44129,megawatthours,2023-12-05,15
4374,2023-12-05T17-06,44229,megawatthours,2023-12-05,16
4373,2023-12-05T18-06,44865,megawatthours,2023-12-05,17
4372,2023-12-05T19-06,46111,megawatthours,2023-12-05,18
4371,2023-12-05T20-06,46226,megawatthours,2023-12-05,19
4370,2023-12-05T21-06,45683,megawatthours,2023-12-05,20
4369,2023-12-05T22-06,44876,megawatthours,2023-12-05,21
4368,2023-12-05T23-06,42667,megawatthours,2023-12-05,22
4367,2023-12-06T00-06,40907,megawatthours,2023-12-05,23
4366,2023-12-06T01-06,39897,megawatthours,2023-12-06,0
4365,2023-12-06T02-06,39314,megawatthours,2023-12-06,1
4364,2023-12-06T03-06,39131,megawatthours,2023-12-06,2
4363,2023-12-06T04-06,39492,megawatthours,2023-12-06,3
4362,2023-12-06T05-06,40759,megawatthours,2023-12-06,4
4361,2023-12-06T06-06,43525,megawatthours,2023-12-06,5
4360,2023-12-06T07-06,47152,megawatthours,2023-12-06,6
4359,2023-12-06T08-06,48874,megawatthours,2023-12-06,7
4358,2023-12-06T09-06,48289,megawatthours,2023-12-06,8
4357,2023-12-06T10-06,47193,megawatthours,2023-12-06,9
4356,2023-12-06T11-06,45918,megawatthours,2023-12-06,10
4355,2023-12-06T12-06,45001,megawatthours,2023-12-06,11
4354,2023-12-06T13-06,44314,megawatthours,2023-12-06,12
4353,2023-12-06T14-06,43986,megawatthours,2023-12-06,13
4352,2023-12-06T15-06,43750,megawatthours,2023-12-06,14
4351,2023-12-06T16-06,43932,megawatthours,2023-12-06,15
4350,2023-12-06T17-06,44305,megawatthours,2023-12-06,16
4349,2023-12-06T18-06,46145,megawatthours,2023-12-06,17
4348,2023-12-06T19-06,47692,megawatthours,2023-12-06,18
4347,2023-12-06T20-06,47704,megawatthours,2023-12-06,19
4346,2023-12-06T21-06,47404,megawatthours,2023-12-06,20
4345,2023-12-06T22-06,46341,megawatthours,2023-12-06,21
4344,2023-12-06T23-06,44434,megawatthours,2023-12-06,22
4343,2023-12-07T00-06,42605,megawatthours,2023-12-06,23
4342,2023-12-07T01-06,41238,megawatthours,2023-12-07,0
4341,2023-12-07T02-06,40497,megawatthours,2023-12-07,1
4340,2023-12-07T03-06,40250,megawatthours,2023-12-07,2
4339,2023-12-07T04-06,40520,megawatthours,2023-12-07,3
4338,2023-12-07T05-06,41645,megawatthours,2023-12-07,4
4337,2023-12-07T06-06,44125,megawatthours,2023-12-07,5
4336,2023-12-07T07-06,47607,megawatthours,2023-12-07,6
4335,2023-12-07T08-06,48782,megawatthours,2023-12-07,7
4334,2023-12-07T09-06,48220,megawatthours,2023-12-07,8
4333,2023-12-07T10-06,47037,megawatthours,2023-12-07,9
4332,2023-12-07T11-06,46132,megawatthours,2023-12-07,10
4331,2023-12-07T12-06,45544,megawatthours,2023-12-07,11
4330,2023-12-07T13-06,45123,megawatthours,2023-12-07,12
4329,2023-12-07T14-06,45202,megawatthours,2023-12-07,13
4328,2023-12-07T15-06,45077,megawatthours,2023-12-07,14
4327,2023-12-07T16-06,45215,megawatthours,2023-12-07,15
4326,2023-12-07T17-06,45348,megawatthours,2023-12-07,16
4325,2023-12-07T18-06,46696,megawatthours,2023-12-07,17
4324,2023-12-07T19-06,47745,megawatthours,2023-12-07,18
4323,2023-12-07T20-06,47401,megawatthours,2023-12-07,19
4322,2023-12-07T21-06,46807,megawatthours,2023-12-07,20
4321,2023-12-07T22-06,45558,megawatthours,2023-12-07,21
4320,2023-12-07T23-06,43563,megawatthours,2023-12-07,22
4319,2023-12-08T00-06,41395,megawatthours,2023-12-07,23
4318,2023-12-08T01-06,39745,megawatthours,2023-12-08,0
4317,2023-12-08T02-06,38635,megawatthours,2023-12-08,1
4316,2023-12-08T03-06,38111,megawatthours,2023-12-08,2
4315,2023-12-08T04-06,37700,megawatthours,2023-12-08,3
4314,2023-12-08T05-06,38136,megawatthours,2023-12-08,4
4313,2023-12-08T06-06,39776,megawatthours,2023-12-08,5
4312,2023-12-08T07-06,42528,megawatthours,2023-12-08,6
4311,2023-12-08T08-06,44171,megawatthours,2023-12-08,7
4310,2023-12-08T09-06,44621,megawatthours,2023-12-08,8
4309,2023-12-08T10-06,45390,megawatthours,2023-12-08,9
4308,2023-12-08T11-06,45507,megawatthours,2023-12-08,10
4307,2023-12-08T12-06,45795,megawatthours,2023-12-08,11
4306,2023-12-08T13-06,46006,megawatthours,2023-12-08,12
4305,2023-12-08T14-06,46537,megawatthours,2023-12-08,13
4304,2023-12-08T15-06,46996,megawatthours,2023-12-08,14
4303,2023-12-08T16-06,47306,megawatthours,2023-12-08,15
4302,2023-12-08T17-06,47442,megawatthours,2023-12-08,16
4301,2023-12-08T18-06,47382,megawatthours,2023-12-08,17
4300,2023-12-08T19-06,48175,megawatthours,2023-12-08,18
4299,2023-12-08T20-06,47534,megawatthours,2023-12-08,19
4298,2023-12-08T21-06,46805,megawatthours,2023-12-08,20
4297,2023-12-08T22-06,45847,megawatthours,2023-12-08,21
4296,2023-12-08T23-06,44279,megawatthours,2023-12-08,22
4295,2023-12-09T00-06,42412,megawatthours,2023-12-08,23
4294,2023-12-09T01-06,40610,megawatthours,2023-12-09,0
4293,2023-12-09T02-06,39308,megawatthours,2023-12-09,1
4292,2023-12-09T03-06,38263,megawatthours,2023-12-09,2
4291,2023-12-09T04-06,37779,megawatthours,2023-12-09,3
4290,2023-12-09T05-06,37704,megawatthours,2023-12-09,4
4289,2023-12-09T06-06,38504,megawatthours,2023-12-09,5
4288,2023-12-09T07-06,39814,megawatthours,2023-12-09,6
4287,2023-12-09T08-06,41045,megawatthours,2023-12-09,7
4286,2023-12-09T09-06,42848,megawatthours,2023-12-09,8
4285,2023-12-09T10-06,44355,megawatthours,2023-12-09,9
4284,2023-12-09T11-06,45076,megawatthours,2023-12-09,10
4283,2023-12-09T12-06,45534,megawatthours,2023-12-09,11
4282,2023-12-09T13-06,46022,megawatthours,2023-12-09,12
4281,2023-12-09T14-06,46424,megawatthours,2023-12-09,13
4280,2023-12-09T15-06,46621,megawatthours,2023-12-09,14
4279,2023-12-09T16-06,46713,megawatthours,2023-12-09,15
4278,2023-12-09T17-06,46534,megawatthours,2023-12-09,16
4277,2023-12-09T18-06,47062,megawatthours,2023-12-09,17
4276,2023-12-09T19-06,47314,megawatthours,2023-12-09,18
4275,2023-12-09T20-06,46424,megawatthours,2023-12-09,19
4274,2023-12-09T21-06,45643,megawatthours,2023-12-09,20
4273,2023-12-09T22-06,44950,megawatthours,2023-12-09,21
4272,2023-12-09T23-06,43822,megawatthours,2023-12-09,22
4271,2023-12-10T00-06,42449,megawatthours,2023-12-09,23
4270,2023-12-10T01-06,41266,megawatthours,2023-12-10,0
4269,2023-12-10T02-06,40509,megawatthours,2023-12-10,1
4268,2023-12-10T03-06,40180,megawatthours,2023-12-10,2
4267,2023-12-10T04-06,40304,megawatthours,2023-12-10,3
4266,2023-12-10T05-06,40778,megawatthours,2023-12-10,4
4265,2023-12-10T06-06,42073,megawatthours,2023-12-10,5
4264,2023-12-10T07-06,44075,megawatthours,2023-12-10,6
4263,2023-12-10T08-06,45937,megawatthours,2023-12-10,7
4262,2023-12-10T09-06,47238,megawatthours,2023-12-10,8
4261,2023-12-10T10-06,47102,megawatthours,2023-12-10,9
4260,2023-12-10T11-06,46245,megawatthours,2023-12-10,10
4259,2023-12-10T12-06,45373,megawatthours,2023-12-10,11
4258,2023-12-10T13-06,44545,megawatthours,2023-12-10,12
4257,2023-12-10T14-06,43825,megawatthours,2023-12-10,13
4256,2023-12-10T15-06,43126,megawatthours,2023-12-10,14
4255,2023-12-10T16-06,43106,megawatthours,2023-12-10,15
4254,2023-12-10T17-06,43856,megawatthours,2023-12-10,16
4253,2023-12-10T18-06,46424,megawatthours,2023-12-10,17
4252,2023-12-10T19-06,49148,megawatthours,2023-12-10,18
4251,2023-12-10T20-06,49968,megawatthours,2023-12-10,19
4250,2023-12-10T21-06,50472,megawatthours,2023-12-10,20
4249,2023-12-10T22-06,50375,megawatthours,2023-12-10,21
4248,2023-12-10T23-06,49252,megawatthours,2023-12-10,22
4247,2023-12-11T00-06,47834,megawatthours,2023-12-10,23
4246,2023-12-11T01-06,46445,megawatthours,2023-12-11,0
4245,2023-12-11T02-06,45998,megawatthours,2023-12-11,1
4244,2023-12-11T03-06,45931,megawatthours,2023-12-11,2
4243,2023-12-11T04-06,46624,megawatthours,2023-12-11,3
4242,2023-12-11T05-06,48220,megawatthours,2023-12-11,4
4241,2023-12-11T06-06,51409,megawatthours,2023-12-11,5
4240,2023-12-11T07-06,55638,megawatthours,2023-12-11,6
4239,2023-12-11T08-06,57234,megawatthours,2023-12-11,7
4238,2023-12-11T09-06,55588,megawatthours,2023-12-11,8
4237,2023-12-11T10-06,52669,megawatthours,2023-12-11,9
4236,2023-12-11T11-06,50041,megawatthours,2023-12-11,10
4235,2023-12-11T12-06,47815,megawatthours,2023-12-11,11
4234,2023-12-11T13-06,46295,megawatthours,2023-12-11,12
4233,2023-12-11T14-06,45372,megawatthours,2023-12-11,13
4232,2023-12-11T15-06,44620,megawatthours,2023-12-11,14
4231,2023-12-11T16-06,44185,megawatthours,2023-12-11,15
4230,2023-12-11T17-06,44893,megawatthours,2023-12-11,16
4229,2023-12-11T18-06,47296,megawatthours,2023-12-11,17
4228,2023-12-11T19-06,49145,megawatthours,2023-12-11,18
4227,2023-12-11T20-06,49352,megawatthours,2023-12-11,19
4226,2023-12-11T21-06,49157,megawatthours,2023-12-11,20
4225,2023-12-11T22-06,48244,megawatthours,2023-12-11,21
4224,2023-12-11T23-06,46523,megawatthours,2023-12-11,22
4223,2023-12-12T00-06,44544,megawatthours,2023-12-11,23
4222,2023-12-12T01-06,43175,megawatthours,2023-12-12,0
4221,2023-12-12T02-06,42765,megawatthours,2023-12-12,1
4220,2023-12-12T03-06,42731,megawatthours,2023-12-12,2
4219,2023-12-12T04-06,43289,megawatthours,2023-12-12,3
4218,2023-12-12T05-06,44576,megawatthours,2023-12-12,4
4217,2023-12-12T06-06,47348,megawatthours,2023-12-12,5
4216,2023-12-12T07-06,51224,megawatthours,2023-12-12,6
4215,2023-12-12T08-06,52571,megawatthours,2023-12-12,7
4214,2023-12-12T09-06,51269,megawatthours,2023-12-12,8
4213,2023-12-12T10-06,49382,megawatthours,2023-12-12,9
4212,2023-12-12T11-06,47508,megawatthours,2023-12-12,10
4211,2023-12-12T12-06,45820,megawatthours,2023-12-12,11
4210,2023-12-12T13-06,44996,megawatthours,2023-12-12,12
4209,2023-12-12T14-06,44694,megawatthours,2023-12-12,13
4208,2023-12-12T15-06,44450,megawatthours,2023-12-12,14
4207,2023-12-12T16-06,44682,megawatthours,2023-12-12,15
4206,2023-12-12T17-06,45096,megawatthours,2023-12-12,16
4205,2023-12-12T18-06,47005,megawatthours,2023-12-12,17
4204,2023-12-12T19-06,48281,megawatthours,2023-12-12,18
4203,2023-12-12T20-06,48173,megawatthours,2023-12-12,19
4202,2023-12-12T21-06,47725,megawatthours,2023-12-12,20
4201,2023-12-12T22-06,46638,megawatthours,2023-12-12,21
4200,2023-12-12T23-06,44510,megawatthours,2023-12-12,22
4199,2023-12-13T00-06,42044,megawatthours,2023-12-12,23
4198,2023-12-13T01-06,40734,megawatthours,2023-12-13,0
4197,2023-12-13T02-06,40020,megawatthours,2023-12-13,1
4196,2023-12-13T03-06,39654,megawatthours,2023-12-13,2
4195,2023-12-13T04-06,39868,megawatthours,2023-12-13,3
4194,2023-12-13T05-06,40682,megawatthours,2023-12-13,4
4193,2023-12-13T06-06,43017,megawatthours,2023-12-13,5
4192,2023-12-13T07-06,46348,megawatthours,2023-12-13,6
4191,2023-12-13T08-06,47730,megawatthours,2023-12-13,7
4190,2023-12-13T09-06,47837,megawatthours,2023-12-13,8
4189,2023-12-13T10-06,48175,megawatthours,2023-12-13,9
4188,2023-12-13T11-06,48145,megawatthours,2023-12-13,10
4187,2023-12-13T12-06,47730,megawatthours,2023-12-13,11
4186,2023-12-13T13-06,47253,megawatthours,2023-12-13,12
4185,2023-12-13T14-06,46882,megawatthours,2023-12-13,13
4184,2023-12-13T15-06,46527,megawatthours,2023-12-13,14
4183,2023-12-13T16-06,46635,megawatthours,2023-12-13,15
4182,2023-12-13T17-06,47260,megawatthours,2023-12-13,16
4181,2023-12-13T18-06,49180,megawatthours,2023-12-13,17
4180,2023-12-13T19-06,50115,megawatthours,2023-12-13,18
4179,2023-12-13T20-06,50032,megawatthours,2023-12-13,19
4178,2023-12-13T21-06,49470,megawatthours,2023-12-13,20
4177,2023-12-13T22-06,48162,megawatthours,2023-12-13,21
4176,2023-12-13T23-06,45972,megawatthours,2023-12-13,22
4175,2023-12-14T00-06,43756,megawatthours,2023-12-13,23
4174,2023-12-14T01-06,42315,megawatthours,2023-12-14,0
4173,2023-12-14T02-06,41499,megawatthours,2023-12-14,1
4172,2023-12-14T03-06,41137,megawatthours,2023-12-14,2
4171,2023-12-14T04-06,41233,megawatthours,2023-12-14,3
4170,2023-12-14T05-06,42070,megawatthours,2023-12-14,4
4169,2023-12-14T06-06,44330,megawatthours,2023-12-14,5
4168,2023-12-14T07-06,47815,megawatthours,2023-12-14,6
4167,2023-12-14T08-06,49356,megawatthours,2023-12-14,7
4166,2023-12-14T09-06,49216,megawatthours,2023-12-14,8
4165,2023-12-14T10-06,48667,megawatthours,2023-12-14,9
4164,2023-12-14T11-06,47746,megawatthours,2023-12-14,10
4163,2023-12-14T12-06,46776,megawatthours,2023-12-14,11
4162,2023-12-14T13-06,45912,megawatthours,2023-12-14,12
4161,2023-12-14T14-06,45224,megawatthours,2023-12-14,13
4160,2023-12-14T15-06,44785,megawatthours,2023-12-14,14
4159,2023-12-14T16-06,44656,megawatthours,2023-12-14,15
4158,2023-12-14T17-06,45124,megawatthours,2023-12-14,16
4157,2023-12-14T18-06,46745,megawatthours,2023-12-14,17
4156,2023-12-14T19-06,47720,megawatthours,2023-12-14,18
4155,2023-12-14T20-06,47522,megawatthours,2023-12-14,19
4154,2023-12-14T21-06,47072,megawatthours,2023-12-14,20
4153,2023-12-14T22-06,45839,megawatthours,2023-12-14,21
4152,2023-12-14T23-06,43814,megawatthours,2023-12-14,22
4151,2023-12-15T00-06,41754,megawatthours,2023-12-14,23
4150,2023-12-15T01-06,39959,megawatthours,2023-12-15,0
4149,2023-12-15T02-06,38873,megawatthours,2023-12-15,1
4148,2023-12-15T03-06,38144,megawatthours,2023-12-15,2
4147,2023-12-15T04-06,38291,megawatthours,2023-12-15,3
4146,2023-12-15T05-06,38997,megawatthours,2023-12-15,4
4145,2023-12-15T06-06,40836,megawatthours,2023-12-15,5
4144,2023-12-15T07-06,43796,megawatthours,2023-12-15,6
4143,2023-12-15T08-06,45367,megawatthours,2023-12-15,7
4142,2023-12-15T09-06,45744,megawatthours,2023-12-15,8
4141,2023-12-15T10-06,46339,megawatthours,2023-12-15,9
4140,2023-12-15T11-06,46634,megawatthours,2023-12-15,10
4139,2023-12-15T12-06,46617,megawatthours,2023-12-15,11
4138,2023-12-15T13-06,46617,megawatthours,2023-12-15,12
4137,2023-12-15T14-06,46625,megawatthours,2023-12-15,13
4136,2023-12-15T15-06,46322,megawatthours,2023-12-15,14
4135,2023-12-15T16-06,46154,megawatthours,2023-12-15,15
4134,2023-12-15T17-06,46307,megawatthours,2023-12-15,16
4133,2023-12-15T18-06,47606,megawatthours,2023-12-15,17
4132,2023-12-15T19-06,48125,megawatthours,2023-12-15,18
4131,2023-12-15T20-06,47497,megawatthours,2023-12-15,19
4130,2023-12-15T21-06,46776,megawatthours,2023-12-15,20
4129,2023-12-15T22-06,46096,megawatthours,2023-12-15,21
4128,2023-12-15T23-06,44813,megawatthours,2023-12-15,22
4127,2023-12-16T00-06,43410,megawatthours,2023-12-15,23
4126,2023-12-16T01-06,42086,megawatthours,2023-12-16,0
4125,2023-12-16T02-06,41208,megawatthours,2023-12-16,1
4124,2023-12-16T03-06,40899,megawatthours,2023-12-16,2
4123,2023-12-16T04-06,40913,megawatthours,2023-12-16,3
4122,2023-12-16T05-06,41411,megawatthours,2023-12-16,4
4121,2023-12-16T06-06,42614,megawatthours,2023-12-16,5
4120,2023-12-16T07-06,44311,megawatthours,2023-12-16,6
4119,2023-12-16T08-06,45873,megawatthours,2023-12-16,7
4118,2023-12-16T09-06,46806,megawatthours,2023-12-16,8
4117,2023-12-16T10-06,46377,megawatthours,2023-12-16,9
4116,2023-12-16T11-06,45638,megawatthours,2023-12-16,10
4115,2023-12-16T12-06,44483,megawatthours,2023-12-16,11
4114,2023-12-16T13-06,43574,megawatthours,2023-12-16,12
4113,2023-12-16T14-06,42788,megawatthours,2023-12-16,13
4112,2023-12-16T15-06,42415,megawatthours,2023-12-16,14
4111,2023-12-16T16-06,42428,megawatthours,2023-12-16,15
4110,2023-12-16T17-06,42981,megawatthours,2023-12-16,16
4109,2023-12-16T18-06,44807,megawatthours,2023-12-16,17
4108,2023-12-16T19-06,46285,megawatthours,2023-12-16,18
4107,2023-12-16T20-06,46293,megawatthours,2023-12-16,19
4106,2023-12-16T21-06,46386,megawatthours,2023-12-16,20
4105,2023-12-16T22-06,46267,megawatthours,2023-12-16,21
4104,2023-12-16T23-06,45752,megawatthours,2023-12-16,22
4103,2023-12-17T00-06,44880,megawatthours,2023-12-16,23
4102,2023-12-17T01-06,44254,megawatthours,2023-12-17,0
4101,2023-12-17T02-06,43891,megawatthours,2023-12-17,1
4100,2023-12-17T03-06,43854,megawatthours,2023-12-17,2
4099,2023-12-17T04-06,43975,megawatthours,2023-12-17,3
4098,2023-12-17T05-06,44556,megawatthours,2023-12-17,4
4097,2023-12-17T06-06,45816,megawatthours,2023-12-17,5
4096,2023-12-17T07-06,47452,megawatthours,2023-12-17,6
4095,2023-12-17T08-06,49015,megawatthours,2023-12-17,7
4094,2023-12-17T09-06,49233,megawatthours,2023-12-17,8
4093,2023-12-17T10-06,47427,megawatthours,2023-12-17,9
4092,2023-12-17T11-06,45349,megawatthours,2023-12-17,10
4091,2023-12-17T12-06,43685,megawatthours,2023-12-17,11
4090,2023-12-17T13-06,42690,megawatthours,2023-12-17,12
4089,2023-12-17T14-06,41952,megawatthours,2023-12-17,13
4088,2023-12-17T15-06,41804,megawatthours,2023-12-17,14
4087,2023-12-17T16-06,41944,megawatthours,2023-12-17,15
4086,2023-12-17T17-06,42562,megawatthours,2023-12-17,16
4085,2023-12-17T18-06,44233,megawatthours,2023-12-17,17
4084,2023-12-17T19-06,45934,megawatthours,2023-12-17,18
4083,2023-12-17T20-06,46007,megawatthours,2023-12-17,19
4082,2023-12-17T21-06,45964,megawatthours,2023-12-17,20
4081,2023-12-17T22-06,45319,megawatthours,2023-12-17,21
4080,2023-12-17T23-06,43888,megawatthours,2023-12-17,22
4079,2023-12-18T00-06,42379,megawatthours,2023-12-17,23
4078,2023-12-18T01-06,41428,megawatthours,2023-12-18,0
4077,2023-12-18T02-06,40890,megawatthours,2023-12-18,1
4076,2023-12-18T03-06,41001,megawatthours,2023-12-18,2
4075,2023-12-18T04-06,41513,megawatthours,2023-12-18,3
4074,2023-12-18T05-06,42860,megawatthours,2023-12-18,4
4073,2023-12-18T06-06,45493,megawatthours,2023-12-18,5
4072,2023-12-18T07-06,48981,megawatthours,2023-12-18,6
4071,2023-12-18T08-06,50814,megawatthours,2023-12-18,7
4070,2023-12-18T09-06,49996,megawatthours,2023-12-18,8
4069,2023-12-18T10-06,48746,megawatthours,2023-12-18,9
4068,2023-12-18T11-06,47162,megawatthours,2023-12-18,10
4067,2023-12-18T12-06,45952,megawatthours,2023-12-18,11
4066,2023-12-18T13-06,45106,megawatthours,2023-12-18,12
4065,2023-12-18T14-06,44714,megawatthours,2023-12-18,13
4064,2023-12-18T15-06,44638,megawatthours,2023-12-18,14
4063,2023-12-18T16-06,44787,megawatthours,2023-12-18,15
4062,2023-12-18T17-06,45023,megawatthours,2023-12-18,16
4061,2023-12-18T18-06,46581,megawatthours,2023-12-18,17
4060,2023-12-18T19-06,48348,megawatthours,2023-12-18,18
4059,2023-12-18T20-06,48218,megawatthours,2023-12-18,19
4058,2023-12-18T21-06,48065,megawatthours,2023-12-18,20
4057,2023-12-18T22-06,47337,megawatthours,2023-12-18,21
4056,2023-12-18T23-06,45965,megawatthours,2023-12-18,22
4055,2023-12-19T00-06,44418,megawatthours,2023-12-18,23
4054,2023-12-19T01-06,43191,megawatthours,2023-12-19,0
4053,2023-12-19T02-06,42739,megawatthours,2023-12-19,1
4052,2023-12-19T03-06,42699,megawatthours,2023-12-19,2
4051,2023-12-19T04-06,43151,megawatthours,2023-12-19,3
4050,2023-12-19T05-06,44597,megawatthours,2023-12-19,4
4049,2023-12-19T06-06,47385,megawatthours,2023-12-19,5
4048,2023-12-19T07-06,51035,megawatthours,2023-12-19,6
4047,2023-12-19T08-06,52863,megawatthours,2023-12-19,7
4046,2023-12-19T09-06,52244,megawatthours,2023-12-19,8
4045,2023-12-19T10-06,51128,megawatthours,2023-12-19,9
4044,2023-12-19T11-06,49781,megawatthours,2023-12-19,10
4043,2023-12-19T12-06,48064,megawatthours,2023-12-19,11
4042,2023-12-19T13-06,46785,megawatthours,2023-12-19,12
4041,2023-12-19T14-06,46114,megawatthours,2023-12-19,13
4040,2023-12-19T15-06,45525,megawatthours,2023-12-19,14
4039,2023-12-19T16-06,45488,megawatthours,2023-12-19,15
4038,2023-12-19T17-06,45876,megawatthours,2023-12-19,16
4037,2023-12-19T18-06,47686,megawatthours,2023-12-19,17
4036,2023-12-19T19-06,49395,megawatthours,2023-12-19,18
4035,2023-12-19T20-06,49279,megawatthours,2023-12-19,19
4034,2023-12-19T21-06,49036,megawatthours,2023-12-19,20
4033,2023-12-19T22-06,47972,megawatthours,2023-12-19,21
4032,2023-12-19T23-06,45998,megawatthours,2023-12-19,22
4031,2023-12-20T00-06,43992,megawatthours,2023-12-19,23
4030,2023-12-20T01-06,42435,megawatthours,2023-12-20,0
4029,2023-12-20T02-06,41524,megawatthours,2023-12-20,1
4028,2023-12-20T03-06,41088,megawatthours,2023-12-20,2
4027,2023-12-20T04-06,41140,megawatthours,2023-12-20,3
4026,2023-12-20T05-06,41986,megawatthours,2023-12-20,4
4025,2023-12-20T06-06,43927,megawatthours,2023-12-20,5
4024,2023-12-20T07-06,46813,megawatthours,2023-12-20,6
4023,2023-12-20T08-06,48259,megawatthours,2023-12-20,7
4022,2023-12-20T09-06,48242,megawatthours,2023-12-20,8
4021,2023-12-20T10-06,47590,megawatthours,2023-12-20,9
4020,2023-12-20T11-06,46438,megawatthours,2023-12-20,10
4019,2023-12-20T12-06,45875,megawatthours,2023-12-20,11
4018,2023-12-20T13-06,45497,megawatthours,2023-12-20,12
4017,2023-12-20T14-06,45285,megawatthours,2023-12-20,13
4016,2023-12-20T15-06,45169,megawatthours,2023-12-20,14
4015,2023-12-20T16-06,45086,megawatthours,2023-12-20,15
4014,2023-12-20T17-06,45176,megawatthours,2023-12-20,16
4013,2023-12-20T18-06,46667,megawatthours,2023-12-20,17
4012,2023-12-20T19-06,47630,megawatthours,2023-12-20,18
4011,2023-12-20T20-06,47355,megawatthours,2023-12-20,19
4010,2023-12-20T21-06,46812,megawatthours,2023-12-20,20
4009,2023-12-20T22-06,45735,megawatthours,2023-12-20,21
4008,2023-12-20T23-06,43895,megawatthours,2023-12-20,22
4007,2023-12-21T00-06,41576,megawatthours,2023-12-20,23
4006,2023-12-21T01-06,39688,megawatthours,2023-12-21,0
4005,2023-12-21T02-06,38624,megawatthours,2023-12-21,1
4004,2023-12-21T03-06,38118,megawatthours,2023-12-21,2
4003,2023-12-21T04-06,37904,megawatthours,2023-12-21,3
4002,2023-12-21T05-06,38351,megawatthours,2023-12-21,4
4001,2023-12-21T06-06,39826,megawatthours,2023-12-21,5
4000,2023-12-21T07-06,42251,megawatthours,2023-12-21,6
3999,2023-12-21T08-06,44046,megawatthours,2023-12-21,7
3998,2023-12-21T09-06,44736,megawatthours,2023-12-21,8
3997,2023-12-21T10-06,45526,megawatthours,2023-12-21,9
3996,2023-12-21T11-06,45820,megawatthours,2023-12-21,10
3995,2023-12-21T12-06,46002,megawatthours,2023-12-21,11
3994,2023-12-21T13-06,46061,megawatthours,2023-12-21,12
3993,2023-12-21T14-06,46046,megawatthours,2023-12-21,13
3992,2023-12-21T15-06,45887,megawatthours,2023-12-21,14
3991,2023-12-21T16-06,45671,megawatthours,2023-12-21,15
3990,2023-12-21T17-06,45761,megawatthours,2023-12-21,16
3989,2023-12-21T18-06,47042,megawatthours,2023-12-21,17
3988,2023-12-21T19-06,47849,megawatthours,2023-12-21,18
3987,2023-12-21T20-06,47018,megawatthours,2023-12-21,19
3986,2023-12-21T21-06,46372,megawatthours,2023-12-21,20
3985,2023-12-21T22-06,45286,megawatthours,2023-12-21,21
3984,2023-12-21T23-06,43413,megawatthours,2023-12-21,22
3983,2023-12-22T00-06,41261,megawatthours,2023-12-21,23
3982,2023-12-22T01-06,39623,megawatthours,2023-12-22,0
3981,2023-12-22T02-06,38455,megawatthours,2023-12-22,1
3980,2023-12-22T03-06,37740,megawatthours,2023-12-22,2
3979,2023-12-22T04-06,37591,megawatthours,2023-12-22,3
3978,2023-12-22T05-06,37940,megawatthours,2023-12-22,4
3977,2023-12-22T06-06,39063,megawatthours,2023-12-22,5
3976,2023-12-22T07-06,40906,megawatthours,2023-12-22,6
3975,2023-12-22T08-06,42589,megawatthours,2023-12-22,7
3974,2023-12-22T09-06,43616,megawatthours,2023-12-22,8
3973,2023-12-22T10-06,44492,megawatthours,2023-12-22,9
3972,2023-12-22T11-06,44887,megawatthours,2023-12-22,10
3971,2023-12-22T12-06,44786,megawatthours,2023-12-22,11
3970,2023-12-22T13-06,44607,megawatthours,2023-12-22,12
3969,2023-12-22T14-06,44555,megawatthours,2023-12-22,13
3968,2023-12-22T15-06,44211,megawatthours,2023-12-22,14
3967,2023-12-22T16-06,44148,megawatthours,2023-12-22,15
3966,2023-12-22T17-06,44235,megawatthours,2023-12-22,16
3965,2023-12-22T18-06,45538,megawatthours,2023-12-22,17
3964,2023-12-22T19-06,46220,megawatthours,2023-12-22,18
3963,2023-12-22T20-06,45472,megawatthours,2023-12-22,19
3962,2023-12-22T21-06,44671,megawatthours,2023-12-22,20
3961,2023-12-22T22-06,43861,megawatthours,2023-12-22,21
3960,2023-12-22T23-06,42766,megawatthours,2023-12-22,22
3959,2023-12-23T00-06,41233,megawatthours,2023-12-22,23
3958,2023-12-23T01-06,39705,megawatthours,2023-12-23,0
3957,2023-12-23T02-06,38491,megawatthours,2023-12-23,1
3956,2023-12-23T03-06,37584,megawatthours,2023-12-23,2
