"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SOCO,"4/8/2023, Central Time",0,4098,36308,5887,-12,250940,98645,144696
SOCO,"4/9/2023, Central Time",0,15749,40071,5129,-14,238607,80083,143035
SOCO,"4/10/2023, Central Time",0,27322,46053,5075,-12,259668,92204,143221
SOCO,"4/11/2023, Central Time",0,33151,42930,4733,-14,267618,89714,143844
SOCO,"4/12/2023, Central Time",0,27205,44998,4322,20,274277,83811,143413
SOCO,"4/13/2023, Central Time",0,16344,45572,5872,-14,277784,88397,142307
SOCO,"4/14/2023, Central Time",0,23662,38294,7114,-9,281644,84940,142235
SOCO,"4/15/2023, Central Time",0,30373,34871,7456,-14,256489,89149,141990
SOCO,"4/16/2023, Central Time",0,17344,29844,7206,-11,276603,75755,142116
SOCO,"4/17/2023, Central Time",0,37177,26956,6868,-10,262749,85114,151703
SOCO,"4/18/2023, Central Time",0,37585,24869,6902,45,273146,87991,154537
SOCO,"4/19/2023, Central Time",0,36072,23769,6755,-11,290656,91270,153959
SOCO,"4/20/2023, Central Time",0,37745,25716,6083,-12,290518,100086,153812
SOCO,"4/21/2023, Central Time",0,33202,24858,5178,-12,295489,92149,153033
SOCO,"4/22/2023, Central Time",0,34646,22763,5610,-13,256434,78380,148065
SOCO,"4/23/2023, Central Time",0,37022,18205,5835,-9,237247,77600,155112
SOCO,"4/24/2023, Central Time",0,21675,18445,5671,-11,276646,83258,155289
SOCO,"4/25/2023, Central Time",0,27939,17626,5910,49,285445,91240,155165
SOCO,"4/26/2023, Central Time",0,23928,20661,6843,37,307597,82379,154831
SOCO,"4/27/2023, Central Time",0,6696,23763,7683,-13,317594,78381,154718
SOCO,"4/28/2023, Central Time",0,25343,37380,8427,-14,305030,76111,154858
SOCO,"4/29/2023, Central Time",0,19541,36758,8337,-8,283391,68418,154517
SOCO,"4/30/2023, Central Time",0,28522,35823,8051,-14,265331,49051,154774
SOCO,"5/1/2023, Central Time",0,36528,31486,7876,5,298444,52747,159858
SOCO,"5/2/2023, Central Time",0,37357,32384,7707,114,318829,54566,145251
SOCO,"5/3/2023, Central Time",0,37710,27384,7746,-10,321175,63295,142660
SOCO,"5/4/2023, Central Time",0,37198,26805,7734,-13,326031,62304,143117
SOCO,"5/5/2023, Central Time",0,14479,25020,6740,-11,334604,43438,142868
SOCO,"5/6/2023, Central Time",0,24709,20621,6499,-10,326153,42064,142281
SOCO,"5/7/2023, Central Time",0,33017,21571,7158,-14,338293,68216,142169
SOCO,"5/8/2023, Central Time",0,25670,24424,7017,-10,393001,94476,142108
SOCO,"5/9/2023, Central Time",0,25655,23771,6877,27,422714,91565,141535
SOCO,"5/10/2023, Central Time",0,29869,24605,7121,48,409902,84776,142062
SOCO,"5/11/2023, Central Time",0,25444,29274,7694,-12,397929,84234,141632
SOCO,"5/12/2023, Central Time",0,19156,32585,7426,-12,369402,92605,137989
SOCO,"5/13/2023, Central Time",0,28929,26124,7590,-11,352337,103766,134346
SOCO,"5/14/2023, Central Time",0,33812,22489,7968,-13,372911,112148,140837
SOCO,"5/15/2023, Central Time",0,28319,22197,8119,-12,415058,117400,141272
SOCO,"5/16/2023, Central Time",0,22789,20340,8738,43,419643,113323,140581
SOCO,"5/17/2023, Central Time",0,22385,25993,8512,51,373643,114827,142881
SOCO,"5/18/2023, Central Time",0,20764,24953,7931,-13,354267,101905,157326
SOCO,"5/19/2023, Central Time",0,16119,30076,7352,-11,338140,91597,145924
SOCO,"5/20/2023, Central Time",0,24783,24703,7094,-11,330167,96399,140397
SOCO,"5/21/2023, Central Time",0,23222,20147,7162,-11,334766,98832,139567
SOCO,"5/22/2023, Central Time",0,9358,20282,7488,-13,364364,108324,140021
SOCO,"5/23/2023, Central Time",0,12063,23518,7558,27,334548,102968,145763
SOCO,"5/24/2023, Central Time",0,23559,26901,8411,-12,333034,97796,161963
SOCO,"5/25/2023, Central Time",0,37882,23756,8148,-13,334451,83777,166277
SOCO,"5/26/2023, Central Time",0,25894,20234,8849,-10,316614,82146,168571
SOCO,"5/27/2023, Central Time",0,35879,18943,8875,-12,258313,65298,170530
SOCO,"5/28/2023, Central Time",0,30914,17209,8355,-14,264993,63597,170045
SOCO,"5/29/2023, Central Time",0,33578,14856,8298,-10,285407,76411,169528
SOCO,"5/30/2023, Central Time",0,32590,17652,7545,-10,344914,93414,169303
SOCO,"5/31/2023, Central Time",0,22052,19981,7653,-14,372214,96768,168805
SOCO,"6/1/2023, Central Time",0,24886,19458,7060,-11,380607,102682,168770
SOCO,"6/2/2023, Central Time",0,34415,18866,7584,43,391548,100597,167483
SOCO,"6/3/2023, Central Time",0,30778,14189,8365,-13,374294,94209,166585
SOCO,"6/4/2023, Central Time",0,33987,13144,8112,-11,356218,85310,164833
SOCO,"6/5/2023, Central Time",0,34419,14699,8431,3,390979,90716,169135
SOCO,"6/6/2023, Central Time",0,33711,17412,7919,-12,391979,111677,164278
SOCO,"6/7/2023, Central Time",0,30713,17346,6542,-13,420251,113881,140508
SOCO,"6/8/2023, Central Time",0,32921,15793,7734,-10,401310,115522,142597
SOCO,"6/9/2023, Central Time",0,34501,15801,7742,-11,374799,105601,151600
SOCO,"6/10/2023, Central Time",0,30452,13039,7767,5,340395,122923,149649
