BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
SOCO,"4/15/2023, Central Time",527366,550166,560315,32949
SOCO,"4/16/2023, Central Time",511422,501799,548858,37436
SOCO,"4/17/2023, Central Time",524735,519001,570551,45816
SOCO,"4/18/2023, Central Time",547718,542680,585066,37348
SOCO,"4/19/2023, Central Time",566349,557197,602462,36113
SOCO,"4/20/2023, Central Time",573510,571592,613951,40441
SOCO,"4/21/2023, Central Time",563761,555920,603884,40123
SOCO,"4/22/2023, Central Time",511042,502968,545878,34836
SOCO,"4/23/2023, Central Time",493882,486093,531016,37134
SOCO,"4/24/2023, Central Time",528446,530200,560971,32525
SOCO,"4/25/2023, Central Time",547673,539198,583381,35708
SOCO,"4/26/2023, Central Time",555102,544203,596276,41174
SOCO,"4/27/2023, Central Time",547463,536751,588820,41357
SOCO,"4/28/2023, Central Time",558348,548862,607139,48791
SOCO,"4/29/2023, Central Time",514856,515228,570953,56097
SOCO,"4/30/2023, Central Time",496183,491221,541543,45360
SOCO,"5/1/2023, Central Time",529123,538436,586944,57821
SOCO,"5/2/2023, Central Time",538209,539571,596206,57997
SOCO,"5/3/2023, Central Time",539927,532690,599958,60031
SOCO,"5/4/2023, Central Time",551087,548659,603173,52086
SOCO,"5/5/2023, Central Time",526248,528167,567144,40896
SOCO,"5/6/2023, Central Time",521109,510731,562315,41206
SOCO,"5/7/2023, Central Time",562728,545562,610409,47681
SOCO,"5/8/2023, Central Time",630361,621065,686684,56323
SOCO,"5/9/2023, Central Time",661172,650450,712138,50966
SOCO,"5/10/2023, Central Time",654564,643892,698384,43820
SOCO,"5/11/2023, Central Time",642654,653718,686196,43542
SOCO,"5/12/2023, Central Time",609921,607051,659151,49230
SOCO,"5/13/2023, Central Time",611030,598594,653081,42051
SOCO,"5/14/2023, Central Time",649221,640203,690151,40930
SOCO,"5/15/2023, Central Time",688229,683328,732358,44129
SOCO,"5/16/2023, Central Time",676389,669220,725451,49062
SOCO,"5/17/2023, Central Time",632512,639596,688287,55775
SOCO,"5/18/2023, Central Time",603289,596359,667129,63840
SOCO,"5/19/2023, Central Time",578649,575749,629196,50547
SOCO,"5/20/2023, Central Time",577585,568884,623535,45950
SOCO,"5/21/2023, Central Time",586727,578201,623685,36958
SOCO,"5/22/2023, Central Time",599646,602279,649825,50179
SOCO,"5/23/2023, Central Time",572106,561806,626444,54338
SOCO,"5/24/2023, Central Time",587805,580261,651650,63845
SOCO,"5/25/2023, Central Time",601145,593368,654280,53135
SOCO,"5/26/2023, Central Time",580990,574580,622295,41305
SOCO,"5/27/2023, Central Time",522488,531332,557827,35339
SOCO,"5/28/2023, Central Time",521608,531961,555094,33486
SOCO,"5/29/2023, Central Time",543171,539377,588069,44898
SOCO,"5/30/2023, Central Time",614509,603711,665413,50904
SOCO,"5/31/2023, Central Time",631487,628757,687454,55967
SOCO,"6/1/2023, Central Time",649588,631602,703449,53861
SOCO,"6/2/2023, Central Time",668656,658884,720538,51882
SOCO,"6/3/2023, Central Time",643462,629596,688410,44948
SOCO,"6/4/2023, Central Time",608611,594363,661598,52987
SOCO,"6/5/2023, Central Time",655118,641442,708384,53266
SOCO,"6/6/2023, Central Time",698501,694923,726957,28456
SOCO,"6/7/2023, Central Time",707062,693179,729226,22164
SOCO,"6/8/2023, Central Time",689940,679941,715872,25932
SOCO,"6/9/2023, Central Time",655233,641954,690027,34794
SOCO,"6/10/2023, Central Time",628110,614859,664228,36118
SOCO,"6/11/2023, Central Time",638944,616050,673615,34671
SOCO,"6/12/2023, Central Time",675922,674771,717181,41259
