BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
SOCO,"1/1/2022, Central Time",534264,529744,531511,-2753
SOCO,"1/2/2022, Central Time",525832,514534,537451,11619
SOCO,"1/3/2022, Central Time",710173,674557,710500,327
SOCO,"1/4/2022, Central Time",752587,738000,745310,-7277
SOCO,"1/5/2022, Central Time",659666,658132,655489,-4177
SOCO,"1/6/2022, Central Time",666980,667939,687093,20113
SOCO,"1/7/2022, Central Time",751931,753992,748434,-3497
SOCO,"1/8/2022, Central Time",702540,706513,694018,-8522
SOCO,"1/9/2022, Central Time",586553,589796,582972,-3581
SOCO,"1/10/2022, Central Time",663661,672388,673690,10029
SOCO,"1/11/2022, Central Time",754831,746262,767560,12729
SOCO,"1/12/2022, Central Time",745436,740787,751394,5958
SOCO,"1/13/2022, Central Time",696341,694553,700956,4615
SOCO,"1/14/2022, Central Time",668182,670223,678654,10472
SOCO,"1/15/2022, Central Time",654003,666107,656837,2834
SOCO,"1/16/2022, Central Time",734333,734736,747841,13508
SOCO,"1/17/2022, Central Time",792674,794887,800596,7922
SOCO,"1/18/2022, Central Time",783029,778574,796839,13810
SOCO,"1/19/2022, Central Time",694625,686984,713568,18943
SOCO,"1/20/2022, Central Time",700588,721212,730866,30278
SOCO,"1/21/2022, Central Time",844184,855835,846546,2362
SOCO,"1/22/2022, Central Time",804906,807617,817614,12708
SOCO,"1/23/2022, Central Time",807242,805203,818270,11028
SOCO,"1/24/2022, Central Time",760600,770369,757654,-2946
SOCO,"1/25/2022, Central Time",680382,688910,694785,14403
SOCO,"1/26/2022, Central Time",730482,737533,762974,32492
SOCO,"1/27/2022, Central Time",750794,756037,765448,14654
SOCO,"1/28/2022, Central Time",769653,762379,792381,22728
SOCO,"1/29/2022, Central Time",838239,846091,843221,4982
SOCO,"1/30/2022, Central Time",768940,773667,780368,11428
SOCO,"1/31/2022, Central Time",714383,717674,727056,12673
SOCO,"2/1/2022, Central Time",696119,701420,681828,-14291
SOCO,"2/2/2022, Central Time",639136,642177,631633,-7503
SOCO,"2/3/2022, Central Time",600477,599573,608445,7968
SOCO,"2/4/2022, Central Time",667822,670885,676849,9027
SOCO,"2/5/2022, Central Time",754826,764415,753320,-1506
SOCO,"2/6/2022, Central Time",730572,733548,721059,-9513
SOCO,"2/7/2022, Central Time",742157,742000,742817,660
SOCO,"2/8/2022, Central Time",734326,724583,732036,-2290
SOCO,"2/9/2022, Central Time",725935,732358,716108,-9827
SOCO,"2/10/2022, Central Time",677819,677084,675494,-2325
SOCO,"2/11/2022, Central Time",641090,637082,634688,-6402
SOCO,"2/12/2022, Central Time",583467,589519,573857,-9610
SOCO,"2/13/2022, Central Time",643411,646654,649447,6036
SOCO,"2/14/2022, Central Time",736123,722855,740726,4603
SOCO,"2/15/2022, Central Time",699576,688140,708728,9152
SOCO,"2/16/2022, Central Time",618826,621995,617889,-937
SOCO,"2/17/2022, Central Time",573061,574769,577765,4704
SOCO,"2/18/2022, Central Time",621563,619466,642685,21122
SOCO,"2/19/2022, Central Time",671157,655849,684968,13811
SOCO,"2/20/2022, Central Time",632641,630145,640822,8181
SOCO,"2/21/2022, Central Time",616612,610216,619075,2463
SOCO,"2/22/2022, Central Time",584007,587838,591518,7511
SOCO,"2/23/2022, Central Time",577103,570529,594439,17336
SOCO,"2/24/2022, Central Time",580094,570022,599950,19856
SOCO,"2/25/2022, Central Time",568008,558741,597388,29380
SOCO,"2/26/2022, Central Time",574271,569741,605289,31018
SOCO,"2/27/2022, Central Time",566774,557910,597121,30347
SOCO,"2/28/2022, Central Time",609832,596799,641054,31222
SOCO,"3/1/2022, Central Time",621369,609863,645226,23857
SOCO,"3/2/2022, Central Time",604446,595213,634104,29658
SOCO,"3/3/2022, Central Time",580529,576364,602395,21866
SOCO,"3/4/2022, Central Time",563314,555854,585040,21726
SOCO,"3/5/2022, Central Time",525367,518022,529019,3652
SOCO,"3/6/2022, Central Time",531735,522310,538586,6851
SOCO,"3/7/2022, Central Time",571044,570938,589105,18061
SOCO,"3/8/2022, Central Time",590159,573739,624375,34216
SOCO,"3/9/2022, Central Time",594289,583006,620672,26383
SOCO,"3/10/2022, Central Time",588245,578627,608545,20300
SOCO,"3/11/2022, Central Time",575452,561825,610049,34597
SOCO,"3/12/2022, Central Time",681936,680972,695947,14011
SOCO,"3/13/2022, Central Time",684491,669847,687401,2910
SOCO,"3/14/2022, Central Time",662243,659724,657639,-4604
SOCO,"3/15/2022, Central Time",588378,582426,575963,-12415
SOCO,"3/16/2022, Central Time",571231,561014,560715,-10516
SOCO,"3/17/2022, Central Time",572719,567962,570538,-2181
SOCO,"3/18/2022, Central Time",571545,562302,566841,-4704
SOCO,"3/19/2022, Central Time",521251,507217,524611,3360
SOCO,"3/20/2022, Central Time",533761,523920,530161,-3600
SOCO,"3/21/2022, Central Time",576803,564735,579284,2481
SOCO,"3/22/2022, Central Time",566773,559298,573681,6908
SOCO,"3/23/2022, Central Time",563386,555549,570051,6665
SOCO,"3/24/2022, Central Time",553326,550373,555943,2617
SOCO,"3/25/2022, Central Time",560318,548425,554325,-5993
SOCO,"3/26/2022, Central Time",537946,533055,544401,6455
SOCO,"3/27/2022, Central Time",534908,526975,534405,-503
SOCO,"3/28/2022, Central Time",576487,560949,582361,5874
SOCO,"3/29/2022, Central Time",579559,570907,586763,7204
SOCO,"3/30/2022, Central Time",582249,569093,584867,2618
SOCO,"3/31/2022, Central Time",564757,557118,563960,-797
SOCO,"4/1/2022, Central Time",543750,541143,543622,-128
SOCO,"4/2/2022, Central Time",520680,520057,534648,13968
SOCO,"4/3/2022, Central Time",517695,506491,529050,11355
SOCO,"4/4/2022, Central Time",565756,556836,579641,13885
SOCO,"4/5/2022, Central Time",569410,557087,571151,1741
SOCO,"4/6/2022, Central Time",588809,587223,594189,5380
SOCO,"4/7/2022, Central Time",558099,556438,580784,22685
SOCO,"4/8/2022, Central Time",566320,557918,584568,18248
SOCO,"4/9/2022, Central Time",575965,571049,587512,11547
SOCO,"4/10/2022, Central Time",562698,547281,570026,7328
SOCO,"4/11/2022, Central Time",561670,556926,569567,7897
SOCO,"4/12/2022, Central Time",591051,584617,593575,2524
SOCO,"4/13/2022, Central Time",598397,586429,596801,-1596
SOCO,"4/14/2022, Central Time",582936,569268,577695,-5241
SOCO,"4/15/2022, Central Time",554142,556639,549754,-4388
SOCO,"4/16/2022, Central Time",534510,536496,522683,-11827
SOCO,"4/17/2022, Central Time",527555,514548,525577,-1978
SOCO,"4/18/2022, Central Time",556235,557735,575640,19405
SOCO,"4/19/2022, Central Time",562075,555738,578159,16084
SOCO,"4/20/2022, Central Time",568492,559669,584968,16476
SOCO,"4/21/2022, Central Time",580523,566580,589402,8879
SOCO,"4/22/2022, Central Time",599080,591197,608452,9372
SOCO,"4/23/2022, Central Time",573360,561103,579835,6475
SOCO,"4/24/2022, Central Time",581064,560651,593780,12716
