"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SE,"4/22/2021, Central Time",559552,557824,576745,17253
SE,"4/23/2021, Central Time",542247,537824,549606,7396
SE,"4/24/2021, Central Time",511812,508666,528923,17103
SE,"4/25/2021, Central Time",495938,483798,511578,15448
SE,"4/26/2021, Central Time",559116,549779,573296,14159
SE,"4/27/2021, Central Time",594580,585842,595532,1030
SE,"4/28/2021, Central Time",622313,618188,629142,6909
SE,"4/29/2021, Central Time",622284,626400,630522,8277
SE,"4/30/2021, Central Time",591303,590811,585719,-5582
SE,"5/1/2021, Central Time",541232,532126,529059,-12203
SE,"5/2/2021, Central Time",547032,539554,540789,-6271
SE,"5/3/2021, Central Time",628421,627319,626397,-1998
SE,"5/4/2021, Central Time",630604,641431,643133,12555
SE,"5/5/2021, Central Time",586036,590065,599769,13760
SE,"5/6/2021, Central Time",574068,562180,580630,6709
SE,"5/7/2021, Central Time",538531,535633,542371,3915
SE,"5/8/2021, Central Time",515701,515275,513431,-2183
SE,"5/9/2021, Central Time",550434,539152,541565,-8770
SE,"5/10/2021, Central Time",596628,575343,612039,15500
SE,"5/11/2021, Central Time",601687,594195,614835,13182
SE,"5/12/2021, Central Time",565299,553461,589189,23895
SE,"5/13/2021, Central Time",550500,544988,567279,16767
SE,"5/14/2021, Central Time",548963,541845,553595,4618
SE,"5/15/2021, Central Time",523935,517372,534843,10894
SE,"5/16/2021, Central Time",534850,525756,540853,6030
SE,"5/17/2021, Central Time",598036,589991,604667,6600
SE,"5/18/2021, Central Time",614802,615344,620437,5610
SE,"5/19/2021, Central Time",636298,615761,649909,13611
SE,"5/20/2021, Central Time",639717,628567,653137,13397
SE,"5/21/2021, Central Time",641395,624897,657059,15630
SE,"5/22/2021, Central Time",621607,600287,635703,14056
SE,"5/23/2021, Central Time",639988,626675,666036,26017
SE,"5/24/2021, Central Time",722536,712555,755977,33427
SE,"5/25/2021, Central Time",749452,746381,775069,25624
SE,"5/26/2021, Central Time",744364,739698,774493,30113
SE,"5/27/2021, Central Time",737823,728720,763848,26002
SE,"5/28/2021, Central Time",718458,722948,742872,24394
