"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SE,"12/18/2021, Central Time",0,10141,27123,8523,-15,305582,72066,134478
SE,"12/19/2021, Central Time",0,6621,35667,8576,-11,317872,86446,138712
SE,"12/20/2021, Central Time",0,4259,44381,8946,-20,437479,93404,143704
SE,"12/21/2021, Central Time",0,3096,39925,8838,28,452665,80515,144356
SE,"12/22/2021, Central Time",0,21776,32706,8208,-18,407707,98332,144015
SE,"12/23/2021, Central Time",0,21655,30127,8761,-20,410816,94485,144151
SE,"12/24/2021, Central Time",0,20591,25970,8697,-16,336984,65766,143700
SE,"12/25/2021, Central Time",0,16181,20656,6943,-14,274913,56869,142872
SE,"12/26/2021, Central Time",0,12994,22106,6704,-15,268060,56065,142153
SE,"12/27/2021, Central Time",0,7951,28502,8506,-14,313895,53237,142025
SE,"12/28/2021, Central Time",0,11890,27193,8520,27,327428,58178,141630
SE,"12/29/2021, Central Time",0,8522,37336,7617,-14,345675,55251,133300
SE,"12/30/2021, Central Time",0,8352,50021,7775,-15,341603,54651,120114
SE,"12/31/2021, Central Time",0,10337,53582,8085,-14,312697,52839,120131
SE,"1/1/2022, Central Time",,,,,,,,
