"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
SE,"3/21/2021, Central Time",0,13576,38988,7599,-16,265222,87880,124507
SE,"3/22/2021, Central Time",0,20572,43686,8405,-14,259489,110913,120550
SE,"3/23/2021, Central Time",0,14848,40928,8083,12,270685,100045,120730
SE,"3/24/2021, Central Time",0,10112,41869,8709,-14,267883,103674,120479
SE,"3/25/2021, Central Time",0,13554,40312,8815,-18,279185,109782,119828
SE,"3/26/2021, Central Time",0,9566,41874,8520,-13,291178,114341,119485
SE,"3/27/2021, Central Time",0,14624,50408,8851,-13,274726,111963,118253
SE,"3/28/2021, Central Time",0,10805,58285,8930,-13,261440,84403,118773
SE,"3/29/2021, Central Time",0,24346,63706,8887,-14,272657,78023,120509
SE,"3/30/2021, Central Time",0,12860,59707,8557,45,289051,90829,120743
SE,"3/31/2021, Central Time",0,13149,56868,8705,-16,303936,94216,120003
SE,"4/1/2021, Central Time",0,24965,61749,8906,-9,299803,91554,121651
SE,"4/2/2021, Central Time",0,25699,65211,7981,-17,307511,86757,122261
SE,"4/3/2021, Central Time",0,24712,64881,7497,-17,271887,91868,122149
SE,"4/4/2021, Central Time",0,25166,63234,7187,-20,230635,84360,121860
SE,"4/5/2021, Central Time",0,24742,51645,6524,-13,259259,90015,121527
SE,"4/6/2021, Central Time",0,23751,48612,5358,33,275241,90464,121190
SE,"4/7/2021, Central Time",0,20610,47994,6096,40,287773,95634,120898
SE,"4/8/2021, Central Time",0,14925,48000,6153,-14,315262,79253,119392
SE,"4/9/2021, Central Time",0,3083,45589,577,53,320360,79339,99467
SE,"4/10/2021, Central Time",0,7613,40401,6265,-16,298467,72583,100163
SE,"4/11/2021, Central Time",0,15179,44039,5915,-12,277620,65515,115553
SE,"4/12/2021, Central Time",0,24925,41705,5798,-14,303048,82063,117389
SE,"4/13/2021, Central Time",0,21187,41506,5646,29,330873,72130,113664
SE,"4/14/2021, Central Time",0,16362,37977,5872,35,322336,90460,113794
SE,"4/15/2021, Central Time",0,7875,34496,6046,-17,310822,101398,113989
SE,"4/16/2021, Central Time",0,9952,30914,5035,-11,278765,99708,120806
SE,"4/17/2021, Central Time",0,13881,24420,3313,-16,255666,96970,120477
SE,"4/18/2021, Central Time",0,17906,23359,3657,-14,241676,104875,120281
SE,"4/19/2021, Central Time",0,25336,29760,4867,-11,286958,80950,120497
SE,"4/20/2021, Central Time",0,16147,30710,4727,153,307927,80559,120434
SE,"4/21/2021, Central Time",0,24254,24831,4536,-11,300522,84721,122959
SE,"4/22/2021, Central Time",0,24021,24134,5235,-17,307231,89957,126182
SE,"4/23/2021, Central Time",0,19469,23742,5378,19,288400,91501,121100
SE,"4/24/2021, Central Time",0,4297,33804,5217,-15,261122,95044,129451
SE,"4/25/2021, Central Time",0,24944,33166,5240,-15,221902,93212,133134
SE,"4/26/2021, Central Time",0,24692,32440,3614,-15,260340,115339,136881
SE,"4/27/2021, Central Time",0,21955,31836,3776,-11,284741,112011,141222
SE,"4/28/2021, Central Time",0,19586,31580,4794,47,304866,126623,141662
SE,"4/29/2021, Central Time",0,19353,28990,5734,96,307373,127741,141238
SE,"4/30/2021, Central Time",0,18556,23680,5815,24,268822,127494,141333
SE,"5/1/2021, Central Time",0,25633,18966,7666,-15,225323,108767,142719
SE,"5/2/2021, Central Time",0,16957,19634,7839,-13,237263,117023,142084
SE,"5/3/2021, Central Time",0,13868,30170,6836,-10,303135,131044,141354
SE,"5/4/2021, Central Time",0,15869,51638,5635,46,299662,130337,139947
SE,"5/5/2021, Central Time",0,10010,56488,5974,-12,265583,120636,141089
SE,"5/6/2021, Central Time",0,25768,59727,5610,-14,238497,108202,142838
SE,"5/7/2021, Central Time",0,26680,63775,6338,-14,200804,101382,143409
SE,"5/8/2021, Central Time",0,25618,61631,6732,-15,178994,96833,143639
SE,"5/9/2021, Central Time",0,23900,56896,7691,-12,220734,89615,142729
SE,"5/10/2021, Central Time",0,10897,50879,8219,-12,295725,104355,141968
SE,"5/11/2021, Central Time",0,14410,50494,8256,23,300152,99514,141980
SE,"5/12/2021, Central Time",0,7271,51505,7645,481,293591,85765,142924
SE,"5/13/2021, Central Time",0,21146,45135,7783,-13,270430,79077,143713
SE,"5/14/2021, Central Time",0,25324,41975,8442,-15,256324,77882,143662
SE,"5/15/2021, Central Time",0,25442,37291,8345,-13,236922,83243,143618
SE,"5/16/2021, Central Time",0,25057,31252,8369,-15,247422,85472,143296
SE,"5/17/2021, Central Time",0,23871,28108,7950,-13,312686,89246,142822
SE,"5/18/2021, Central Time",0,18286,24347,7465,29,328470,99554,142284
SE,"5/19/2021, Central Time",0,20014,26245,7519,37,346980,106949,142159
SE,"5/20/2021, Central Time",0,23687,27058,8381,8,348298,103226,142473
SE,"5/21/2021, Central Time",0,22483,30137,8139,-15,342172,111677,142453
SE,"5/22/2021, Central Time",0,22557,21978,8154,-12,325510,115034,142480
SE,"5/23/2021, Central Time",0,23847,21770,7729,-17,323438,147009,142269
SE,"5/24/2021, Central Time",0,21266,27621,7863,-10,376198,181141,141895
SE,"5/25/2021, Central Time",0,21539,24414,8192,-14,397447,181904,141590
SE,"5/26/2021, Central Time",0,21136,24795,8991,-12,390678,187512,141388
SE,"5/27/2021, Central Time",0,21965,22317,8517,108,387669,181888,141378
SE,"5/28/2021, Central Time",0,21019,24788,8493,-14,379777,167314,141487
SE,"5/29/2021, Central Time",0,21488,21247,8868,-14,289460,129936,141919
SE,"5/30/2021, Central Time",0,25689,20945,8696,-8,251523,111670,143075
SE,"5/31/2021, Central Time",0,25560,23499,8995,-16,271637,122208,142757
SE,"6/1/2021, Central Time",0,24775,25787,9170,27,333158,154136,142475
SE,"6/2/2021, Central Time",0,19128,23443,8995,-9,334572,163072,141921
SE,"6/3/2021, Central Time",0,15728,26021,8841,-14,346438,174751,141384
SE,"6/4/2021, Central Time",0,17594,28260,8984,77,360357,168514,141317
SE,"6/5/2021, Central Time",0,17202,20712,8988,-12,344357,168283,137896
SE,"6/6/2021, Central Time",0,14535,23823,9204,-14,338443,163209,140842
SE,"6/7/2021, Central Time",0,11891,29524,8943,-13,373879,172366,140823
SE,"6/8/2021, Central Time",0,13808,34176,8268,5,392676,164405,140780
SE,"6/9/2021, Central Time",0,21689,35652,7068,-13,390862,168828,140870
SE,"6/10/2021, Central Time",0,21651,44334,7222,-12,376211,177485,140840
SE,"6/11/2021, Central Time",0,16020,38372,8660,-12,383556,180041,136182
SE,"6/12/2021, Central Time",0,16036,31005,8647,-13,394313,185660,112691
SE,"6/13/2021, Central Time",0,18569,26361,8606,-14,375779,184136,113551
SE,"6/14/2021, Central Time",0,22157,31627,8290,-13,414821,215821,119528
SE,"6/15/2021, Central Time",0,22632,29024,8518,-12,410529,217572,119230
SE,"6/16/2021, Central Time",0,25345,28662,8134,22,360723,212130,120041
SE,"6/17/2021, Central Time",0,24097,28210,8953,-10,355725,212625,120220
SE,"6/18/2021, Central Time",0,17756,28309,8679,-14,367365,213210,124997
SE,"6/19/2021, Central Time",0,7111,26660,8972,-12,321437,164984,138575
SE,"6/20/2021, Central Time",0,13790,43672,7972,-13,314855,170794,140356
SE,"6/21/2021, Central Time",0,13589,45902,8148,-14,368231,183689,140537
SE,"6/22/2021, Central Time",0,10664,47068,8239,39,333961,161322,141159
SE,"6/23/2021, Central Time",0,18844,53926,7968,-12,331381,166263,141280
SE,"6/24/2021, Central Time",0,15317,47499,8049,-15,354363,174486,141443
SE,"6/25/2021, Central Time",0,24049,43389,7775,-15,342884,173804,141967
SE,"6/26/2021, Central Time",0,19989,28590,7701,-11,361564,175408,139414
SE,"6/27/2021, Central Time",0,18669,23944,7832,-14,387574,177062,140768
SE,"6/28/2021, Central Time",0,14974,32978,8935,-11,433869,190050,141161
SE,"6/29/2021, Central Time",0,19930,34266,9012,26,423332,180568,140961
SE,"6/30/2021, Central Time",0,13870,36974,8712,16,415813,193085,136417
SE,"7/1/2021, Central Time",0,16800,31336,9246,-13,405548,192358,119897
SE,"7/2/2021, Central Time",0,11082,31697,8782,-11,368750,173109,119704
SE,"7/3/2021, Central Time",0,18433,28790,8428,-14,336990,148033,119970
SE,"7/4/2021, Central Time",0,20205,24037,8421,-15,329089,163713,120160
SE,"7/5/2021, Central Time",0,15397,28333,8643,8,373743,171734,119994
SE,"7/6/2021, Central Time",0,13931,29182,7287,6,414902,177025,119728
SE,"7/7/2021, Central Time",0,9628,36018,7933,24,382647,183752,122565
SE,"7/8/2021, Central Time",0,17186,37707,6952,-13,389910,178485,129187
SE,"7/9/2021, Central Time",0,15512,31652,8361,24,390687,182447,129765
SE,"7/10/2021, Central Time",0,19304,24971,8442,-12,364124,176985,137191
SE,"7/11/2021, Central Time",0,15987,21100,8307,-15,347409,179275,140093
SE,"7/12/2021, Central Time",0,15925,32230,8334,-11,368522,188196,140956
SE,"7/13/2021, Central Time",0,20211,36423,8709,11,363105,194093,141239
SE,"7/14/2021, Central Time",0,20051,37001,8714,-12,394122,204116,140944
SE,"7/15/2021, Central Time",0,18221,35220,8921,-15,429405,210003,139204
SE,"7/16/2021, Central Time",0,20705,33078,8864,-10,423051,206794,129629
SE,"7/17/2021, Central Time",0,21510,22030,8972,-11,397008,189356,129922
SE,"7/18/2021, Central Time",0,16326,22737,8332,-14,364201,177451,132211
SE,"7/19/2021, Central Time",0,12540,33917,7639,-10,376175,179602,139591
SE,"7/20/2021, Central Time",0,12355,46718,7253,92,364063,180433,140783
SE,"7/21/2021, Central Time",0,15547,51920,7600,-13,398039,182452,140879
SE,"7/22/2021, Central Time",0,18341,51677,7081,-11,428062,199450,140437
SE,"7/23/2021, Central Time",0,17346,50110,6942,-10,414804,206229,140501
SE,"7/24/2021, Central Time",0,20494,33386,6831,-17,394265,203598,140848
SE,"7/25/2021, Central Time",0,21991,30397,6102,-7,396529,209014,141022
SE,"7/26/2021, Central Time",0,19420,37983,6247,-11,463521,213706,140420
SE,"7/27/2021, Central Time",0,16499,38249,4879,24,453446,213361,140345
SE,"7/28/2021, Central Time",0,18609,44158,6204,-12,444455,228882,140790
SE,"7/29/2021, Central Time",0,22310,40664,7012,-12,461976,247767,140210
SE,"7/30/2021, Central Time",0,21135,40858,7943,-11,445399,250789,139756
SE,"7/31/2021, Central Time",0,19707,24496,8878,-12,408730,255959,139832
SE,"8/1/2021, Central Time",0,18650,24022,8721,-15,397517,219812,140140
SE,"8/2/2021, Central Time",0,15638,28783,7647,11,411784,207928,140653
SE,"8/3/2021, Central Time",0,13345,27708,7627,77,397182,205280,128012
SE,"8/4/2021, Central Time",0,18136,26808,6989,-13,390855,207152,119704
SE,"8/5/2021, Central Time",0,16445,24813,6535,-14,403781,205669,119692
SE,"8/6/2021, Central Time",0,14905,24616,7217,-11,417414,192710,119561
SE,"8/7/2021, Central Time",0,17831,16930,8752,-14,393175,191276,123051
SE,"8/8/2021, Central Time",0,20291,17156,8178,-12,381199,211212,137645
SE,"8/9/2021, Central Time",0,19310,24658,8595,25,441754,229409,139273
SE,"8/10/2021, Central Time",0,16396,27600,8441,-14,446692,229084,139873
SE,"8/11/2021, Central Time",0,19457,27365,8352,-12,424101,218184,140187
SE,"8/12/2021, Central Time",0,19816,29181,8017,-14,431506,228892,140509
SE,"8/13/2021, Central Time",0,21017,28901,8191,48,443297,228350,140348
SE,"8/14/2021, Central Time",0,16398,21548,8180,-17,408814,211967,140537
SE,"8/15/2021, Central Time",0,13091,20731,8582,-7,382488,193571,140539
SE,"8/16/2021, Central Time",0,5872,28313,8465,9,386222,196469,140474
SE,"8/17/2021, Central Time",0,13848,41025,6438,-14,391102,191775,139982
SE,"8/18/2021, Central Time",0,18888,51930,7476,-12,455854,172508,139562
SE,"8/19/2021, Central Time",0,19158,56378,7784,-13,434342,200110,133598
SE,"8/20/2021, Central Time",0,15321,54484,8045,-15,405687,203655,133451
SE,"8/21/2021, Central Time",0,14528,42231,7243,-10,377150,203286,133397
SE,"8/22/2021, Central Time",0,15442,37558,7866,-14,375226,214658,135676
SE,"8/23/2021, Central Time",0,17698,44600,8233,-11,423980,220859,140204
SE,"8/24/2021, Central Time",0,17932,43105,8213,29,449607,229405,140174
SE,"8/25/2021, Central Time",0,15518,40218,8154,-14,449605,229471,140454
SE,"8/26/2021, Central Time",0,20560,34590,7990,-13,423131,216302,140312
SE,"8/27/2021, Central Time",0,14711,31534,7576,21,416140,221245,140038
SE,"8/28/2021, Central Time",0,12127,26236,7415,-13,396561,212317,140090
SE,"8/29/2021, Central Time",0,13803,24710,7678,-13,384112,212533,140278
SE,"8/30/2021, Central Time",0,12289,31048,7914,-8,394061,213664,140361
SE,"8/31/2021, Central Time",0,8349,40235,8524,58,366009,199233,140398
SE,"9/1/2021, Central Time",0,19190,51703,7914,-13,385642,188844,140278
SE,"9/2/2021, Central Time",0,20205,57541,8134,-13,363283,179017,141003
SE,"9/3/2021, Central Time",0,21676,54279,7996,-16,342517,154438,141614
SE,"9/4/2021, Central Time",0,23695,40213,8590,-11,316500,145824,141883
SE,"9/5/2021, Central Time",0,21183,37968,7896,-13,321961,156915,141543
SE,"9/6/2021, Central Time",0,17793,42461,8489,8,347383,166288,140866
SE,"9/7/2021, Central Time",0,18181,42589,8694,27,383362,168053,140317
SE,"9/8/2021, Central Time",0,8597,41075,7747,-11,383350,171464,140296
SE,"9/9/2021, Central Time",0,17140,40416,7862,-13,352743,165487,140345
SE,"9/10/2021, Central Time",0,22462,36642,7288,-13,311879,156669,141187
SE,"9/11/2021, Central Time",0,19920,27973,6940,-14,329227,146264,134192
SE,"9/12/2021, Central Time",0,19881,23237,8362,-14,353772,162032,114605
SE,"9/13/2021, Central Time",0,18528,25327,6483,-7,406777,172719,113332
SE,"9/14/2021, Central Time",0,15301,27663,5801,-16,402420,184974,112617
SE,"9/15/2021, Central Time",0,6930,23443,6499,-13,343738,190703,113055
SE,"9/16/2021, Central Time",0,6890,30362,6744,-8,354501,173916,113135
SE,"9/17/2021, Central Time",0,10039,29367,6928,-15,380995,162242,113115
SE,"9/18/2021, Central Time",0,11168,29565,7391,-13,381103,143357,112667
SE,"9/19/2021, Central Time",0,8567,39331,7246,-11,358521,143047,108310
SE,"9/20/2021, Central Time",0,10892,44550,6943,-13,389607,144494,111954
SE,"9/21/2021, Central Time",0,13381,49475,6304,-14,406894,144273,112827
SE,"9/22/2021, Central Time",0,14299,49813,6666,-10,353862,136893,112913
SE,"9/23/2021, Central Time",0,26301,47180,6899,22,282887,118541,114442
SE,"9/24/2021, Central Time",0,26120,43119,6017,-16,277461,112918,114474
SE,"9/25/2021, Central Time",0,24188,32374,6045,-10,286737,110926,114371
SE,"9/26/2021, Central Time",0,24947,30869,6099,-13,297256,107518,114252
SE,"9/27/2021, Central Time",0,22729,35287,6357,-14,373049,100596,113990
SE,"9/28/2021, Central Time",0,20729,34146,6515,-10,379140,120610,113682
SE,"9/29/2021, Central Time",0,20608,35047,6504,-16,389317,133107,113601
SE,"9/30/2021, Central Time",0,15129,34152,7714,-11,380798,131228,113447
