,Year,Month,State,Data Status,Residential - MWh,Industrial - MWh,Industrial - MWh.1,Transportation - MWh,Total - MWh
13297,1992,6,NV,Final,"541,573","395,060","593,126",.,"1,597,153"
13298,1992,5,NV,Final,"446,099","377,145","585,464",.,"1,474,428"
13299,1992,4,NV,Final,"368,198","310,641","525,141",.,"1,255,391"
13300,1992,3,NV,Final,"396,171","294,545","509,493",.,"1,251,540"
13301,1992,2,NV,Final,"439,105","284,150","490,865",.,"1,256,369"
13302,1992,1,NV,Final,"550,928","296,487","511,002",.,"1,409,254"
13303,1991,12,NV,Final,"504,777","326,260","520,948",.,"1,402,715"
13304,1991,11,NV,Final,"404,721","297,775","504,279",.,"1,273,255"
13305,1991,10,NV,Final,"443,801","335,318","527,266",.,"1,365,855"
13306,1991,9,NV,Final,"523,232","352,140","527,352",.,"1,471,013"
13307,1991,8,NV,Final,"664,231","416,024","575,069",.,"1,737,161"
13308,1991,7,NV,Final,"652,544","420,554","593,401",.,"1,740,444"
13309,1991,6,NV,Final,"478,380","378,125","548,301",.,"1,474,419"
13310,1991,5,NV,Final,"354,078","311,120","516,435",.,"1,239,661"
13311,1991,4,NV,Final,"368,489","287,726","476,927",.,"1,171,746"
13312,1991,3,NV,Final,"409,816","293,347","475,003",.,"1,222,757"
13313,1991,2,NV,Final,"393,965","255,130","439,233",.,"1,126,513"
13314,1991,1,NV,Final,"583,793","313,218","468,299",.,"1,399,880"
13315,1990,12,NV,Final,"504,217","319,251","528,425",.,"1,404,987"
13316,1990,11,NV,Final,"369,703","291,868","585,847",.,"1,307,903"
13317,1990,10,NV,Final,"361,556","302,765","483,543",.,"1,201,675"
13318,1990,9,NV,Final,"497,031","347,363","533,581",.,"1,446,035"
13319,1990,8,NV,Final,"616,372","404,636","584,727",.,"1,682,413"
13320,1990,7,NV,Final,"648,507","409,323","594,982",.,"1,728,414"
13321,1990,6,NV,Final,"559,962","340,028","534,478",.,"1,504,946"
13322,1990,5,NV,Final,"406,644","315,584","500,474",.,"1,281,237"
13323,1990,4,NV,Final,"311,582","286,368","496,682",.,"1,142,175"
13324,1990,3,NV,Final,"389,088","266,082","462,020",.,"1,159,736"
13325,1990,2,NV,Final,"386,653","290,414","473,566",.,"1,190,807"
13326,1990,1,NV,Final,"488,219","291,877","484,478",.,"1,301,566"
