Time Bucket (America/New_York),30 Bellevue_1 (kWatts),30 Bellevue_2 (kWatts),Tesla Charger (kWatts),Heat Pump Attic (kWatts),Heat Pump Basement (kWatts),Oven (kWatts)
11/01/2022 02:01:00,1.3691,1.3722,0.0000,1.7022,0.0013,0.0082
11/01/2022 02:02:00,1.9741,1.9734,0.0000,2.6709,0.0011,0.0091
11/01/2022 02:03:00,2.4258,2.4696,0.0000,3.2688,0.0023,0.0116
11/01/2022 02:04:00,1.3960,1.3746,0.0000,0.8121,0.0017,0.0068
11/01/2022 02:05:00,0.5104,0.5395,0.0000,0.0354,0.0008,0.0048
11/01/2022 02:06:00,0.5056,0.6536,0.0000,0.0022,0.0010,0.0038
11/01/2022 02:07:00,0.3937,0.6389,0.0000,0.0051,0.0009,0.0050
11/01/2022 02:08:00,0.3831,0.5750,0.0000,0.0046,0.0006,0.0058
11/01/2022 02:09:00,0.4060,0.7275,0.0000,0.0052,0.0004,0.0057
11/01/2022 02:10:00,0.3927,0.7734,0.0000,0.0059,0.0011,0.0066
11/01/2022 02:11:00,0.3959,0.7774,0.0000,0.0048,0.0009,0.0066
11/01/2022 02:12:00,0.3736,0.7760,0.0000,0.0038,0.0008,0.0067
11/01/2022 02:13:00,0.4089,0.7450,0.0000,0.0053,0.0014,0.0070
11/01/2022 02:14:00,0.3503,0.6506,0.0000,0.0039,0.0006,0.0063
11/01/2022 02:15:00,0.4282,0.5587,0.0000,0.0041,0.0011,0.0036
11/01/2022 02:16:00,0.3841,0.5202,0.0000,0.0046,0.0007,0.0027
11/01/2022 02:17:00,0.4875,0.6314,0.0000,0.0058,0.0004,0.0046
11/01/2022 02:18:00,0.4091,0.6388,0.0000,0.0042,0.0009,0.0050
11/01/2022 02:19:00,0.4824,0.6517,0.0000,0.0039,0.0009,0.0041
11/01/2022 02:20:00,0.4265,0.6309,0.0000,0.0049,0.0006,0.0050
11/01/2022 02:21:00,0.4635,0.6109,0.0000,0.0043,0.0007,0.0060
11/01/2022 02:22:00,0.4190,0.6027,0.0000,0.0048,0.0006,0.0041
11/01/2022 02:23:00,0.3643,0.5536,0.0000,0.0051,0.0011,0.0037
11/01/2022 02:24:00,0.4215,0.5524,0.0000,0.0052,0.0007,0.0033
11/01/2022 02:25:00,0.3614,0.5505,0.0000,0.0052,0.0009,0.0058
11/01/2022 02:26:00,0.4369,0.5492,0.0000,0.0039,0.0009,0.0047
11/01/2022 02:27:00,0.3762,0.5682,0.0000,0.0040,0.0007,0.0035
11/01/2022 02:28:00,0.7772,0.9052,0.0000,0.0040,0.0009,0.0050
11/01/2022 02:29:00,0.7644,0.9640,0.0000,0.0056,0.0007,0.0055
11/01/2022 02:30:00,0.4438,0.5700,0.0000,0.0038,0.0011,0.0044
11/01/2022 02:31:00,0.3839,0.6001,0.0000,0.0051,0.0013,0.0045
11/01/2022 02:32:00,0.4903,0.6208,0.0000,0.0054,0.0004,0.0048
11/01/2022 02:33:00,0.4135,0.6041,0.0000,0.0047,0.0013,0.0051
11/01/2022 02:34:00,0.4710,0.5660,0.0000,0.0043,0.0004,0.0044
11/01/2022 02:35:00,0.4114,0.5181,0.0000,0.0049,0.0018,0.0046
11/01/2022 02:36:00,0.4892,0.5094,0.0000,0.0036,0.0011,0.0032
11/01/2022 02:37:00,0.3953,0.4976,0.0000,0.0041,0.0011,0.0029
11/01/2022 02:38:00,0.4159,0.4501,0.0000,0.0038,0.0007,0.0037
11/01/2022 02:39:00,0.3636,0.4502,0.0000,0.0040,0.0005,0.0028
11/01/2022 02:40:00,0.4052,0.4499,0.0000,0.0045,0.0009,0.0035
11/01/2022 02:41:00,0.3634,0.4508,0.0000,0.0044,0.0012,0.0041
11/01/2022 02:42:00,0.4325,0.4500,0.0000,0.0043,0.0011,0.0046
11/01/2022 02:43:00,0.3633,0.5311,0.0000,0.0039,0.0013,0.0054
11/01/2022 02:44:00,0.4304,0.5328,0.0000,0.0057,0.0007,0.0051
11/01/2022 02:45:00,0.7812,0.7401,0.0000,0.2530,0.0007,0.0041
11/01/2022 02:46:00,1.2832,1.6863,0.0000,1.6005,0.0020,0.0100
11/01/2022 02:47:00,1.4094,1.5222,0.0000,1.7006,0.0007,0.0074
11/01/2022 02:48:00,1.7181,1.8631,0.0000,2.3954,0.0015,0.0094
11/01/2022 02:49:00,2.1333,2.2790,0.0000,3.2332,0.0017,0.0102
11/01/2022 02:50:00,0.6445,0.7457,0.0000,0.1836,0.0007,0.0062
11/01/2022 02:51:00,0.5111,0.5925,0.0000,0.0037,0.0007,0.0048
11/01/2022 02:52:00,0.4486,0.5823,0.0000,0.0048,0.0006,0.0043
11/01/2022 02:53:00,0.7707,0.8738,0.0000,0.0037,0.0011,0.0050
11/01/2022 02:54:00,0.8196,0.9140,0.0000,0.0028,0.0007,0.0061
11/01/2022 02:55:00,0.3729,0.5103,0.0000,0.0044,0.0013,0.0046
11/01/2022 02:56:00,0.4486,0.5089,0.0000,0.0037,0.0009,0.0040
11/01/2022 02:57:00,0.3514,0.5133,0.0000,0.0032,0.0005,0.0048
11/01/2022 02:58:00,0.4197,0.5378,0.0000,0.0049,0.0008,0.0026
