Date,Residential-Commercial,Industrial,Electric Generation
2022-05-01,0.6933333333333334,0.27222222222222225,0.8233333333333334
2022-05-02,0.7977777777777777,0.2766666666666666,0.8855555555555557
2022-05-03,0.7866666666666666,0.26555555555555577,0.994444444444444
2022-05-04,0.7677777777777778,0.25222222222222224,0.9988888888888887
2022-05-05,0.6011111111111112,0.23666666666666658,0.8788888888888888
2022-05-06,0.6155555555555555,0.24222222222222223,0.8866666666666667
2022-05-07,0.8344444444444444,0.26333333333333353,0.853333333333333
2022-05-08,0.8211111111111111,0.26666666666666683,0.8511111111111109
2022-05-09,0.8477777777777779,0.2633333333333333,0.9155555555555552
2022-05-10,0.68,0.24444444444444435,0.9033333333333331
2022-05-11,0.56625,0.245,0.8049999999999999
2022-05-12,0.5111111111111112,0.2122222222222222,0.8544444444444441
2022-05-13,0.40375,0.2,0.9624999999999999
2022-05-14,0.3514285714285714,0.19857142857142862,1.197142857142857
2022-05-15,0.3585714285714286,0.20857142857142857,1.0871428571428572
2022-05-16,0.44,0.20714285714285702,1.0671428571428572
2022-05-17,0.4966666666666666,0.20166666666666677,0.9416666666666665
2022-05-18,0.538,0.20999999999999996,0.8280000000000001
2022-05-19,0.5700000000000001,0.22599999999999998,0.9279999999999997
2022-05-20,0.522,0.22199999999999998,1.018
2022-05-21,0.434,0.20800000000000002,1.1560000000000001
2022-05-22,0.4439999999999999,0.20200000000000012,1.298
2022-05-23,0.472,0.20799999999999996,1.1440000000000006
2022-05-24,0.508,0.23199999999999998,0.9259999999999999
2022-05-25,0.5216666666666666,0.2316666666666667,0.9400000000000001
2022-05-26,0.425,0.23666666666666675,0.8583333333333335
2022-05-27,0.3828571428571429,0.21285714285714286,1.072857142857143
2022-05-28,0.33375,0.22875,0.9337500000000001
2022-05-29,0.32,0.24000000000000005,0.8437499999999998
2022-05-30,0.34125,0.21875000000000006,1.095
2022-05-31,0.4188888888888888,0.21888888888888897,1.2122222222222225
2022-06-01,0.449,0.23200000000000004,1.0929999999999997
2022-06-02,0.4589999999999999,0.23000000000000015,1.1239999999999999
2022-06-03,0.414,0.24500000000000005,1.041
2022-06-04,0.364,0.242,0.868
2022-06-05,0.347,0.239,0.864
2022-06-06,0.432,0.23300000000000004,0.9829999999999999
2022-06-07,0.389,0.21799999999999997,1.084
2022-06-08,0.374,0.21400000000000008,1.174
2022-06-09,0.3711111111111111,0.2144444444444445,1.16
2022-06-10,0.3377777777777778,0.2277777777777778,0.9888888888888887
2022-06-11,0.28,0.22999999999999998,0.7466666666666668
2022-06-12,0.2944444444444445,0.22999999999999987,0.8011111111111112
2022-06-13,0.38,0.21999999999999997,1.2244444444444444
2022-06-14,0.4077777777777778,0.20111111111111102,1.2422222222222223
2022-06-15,0.4244444444444444,0.2188888888888889,1.1444444444444444
2022-06-16,0.4155555555555555,0.21888888888888897,1.0833333333333335
2022-06-17,0.3988888888888888,0.1966666666666667,1.246666666666667
2022-06-18,0.3411111111111111,0.2311111111111111,0.6833333333333333
2022-06-19,0.3822222222222222,0.25444444444444453,0.6788888888888889
2022-06-20,0.4066666666666667,0.23222222222222216,0.8311111111111111
2022-06-21,0.39875,0.23499999999999993,0.9025
2022-06-22,0.39,0.22499999999999998,0.9299999999999999
2022-06-23,0.4111111111111111,0.2122222222222222,0.9644444444444447
2022-06-24,0.3777777777777778,0.20777777777777778,0.99
2022-06-25,0.3155555555555555,0.19333333333333347,1.3355555555555558
2022-06-26,0.3533333333333333,0.19666666666666677,1.4122222222222223
2022-06-27,0.3944444444444445,0.20444444444444443,1.2244444444444444
2022-06-28,0.4022222222222222,0.21888888888888886,1.0744444444444445
2022-06-29,0.3755555555555555,0.2177777777777778,1.2766666666666668
2022-06-30,0.4,0.21111111111111114,1.371111111111111
2022-07-01,0.38,0.20444444444444454,1.513333333333333
2022-07-02,0.2544444444444445,0.21777777777777774,1.2866666666666666
2022-07-03,0.2322222222222222,0.21888888888888888,1.2
2022-07-04,0.2533333333333333,0.21666666666666667,1.1688888888888889
2022-07-05,0.3279999999999999,0.22600000000000015,1.192
2022-07-06,0.378,0.22099999999999997,1.221
2022-07-07,0.359,0.21800000000000008,1.1099999999999999
2022-07-08,0.356,0.21600000000000008,1.0789999999999997
2022-07-09,0.341,0.22899999999999993,0.8369999999999999
2022-07-10,0.289,0.23000000000000004,0.83
2022-07-11,0.341,0.23600000000000004,1.1309999999999993
2022-07-12,0.429,0.21300000000000002,1.3810000000000002
2022-07-13,0.3949999999999999,0.2110000000000002,1.4509999999999998
2022-07-14,0.359,0.2290000000000001,1.3259999999999998
2022-07-15,0.305,0.22000000000000003,1.2269999999999999
2022-07-16,0.23,0.2399999999999999,1.18
2022-07-17,0.28,0.22099999999999997,1.3940000000000001
2022-07-18,0.374,0.22000000000000008,1.518
2022-07-19,0.47,0.21100000000000008,1.746
2022-07-20,0.507,0.21499999999999997,1.803
2022-07-21,0.44,0.21599999999999991,1.5850000000000002
2022-07-22,0.4277777777777778,0.21666666666666656,1.672222222222222
2022-07-23,0.38125,0.20750000000000002,1.685
2022-07-24,0.41125,0.21250000000000002,1.7874999999999999
2022-07-25,0.4075,0.20875,1.70125
2022-07-26,0.3742857142857143,0.2257142857142857,1.431428571428571
2022-07-27,0.3728571428571428,0.22285714285714298,1.415714285714286
2022-07-28,0.3928571428571428,0.21142857142857152,1.5414285714285711
2022-07-29,0.3428571428571428,0.2185714285714287,1.5014285714285713
2022-07-30,0.2642857142857143,0.2114285714285714,1.3371428571428572
2022-07-31,0.3128571428571428,0.22000000000000003,1.4271428571428566
