date,electric,industrial,resi_comm
2022-12-20,3.61,2.6,2.22
2022-12-21,3.61,2.5300000000000002,2.17
2022-12-22,3.2733333333333334,2.1266666666666665,1.7866666666666668
2022-12-23,3.39,2.7,2.365
2022-12-24,3.9775,3.2849999999999997,2.81
2022-12-25,3.795,3.135,2.7
2022-12-26,3.6325,2.9325,2.5425
2022-12-27,3.63,2.8099999999999996,2.442
2022-12-28,3.3066666666666666,2.348333333333333,1.9933333333333334
2022-12-29,2.9985714285714287,1.9957142857142856,1.6857142857142855
2022-12-30,2.4475000000000002,1.5762500000000002,1.295
2022-12-31,2.2,1.3633333333333335,1.0855555555555556
2023-01-01,2.395555555555555,1.6111111111111112,1.33
2023-01-02,2.8166666666666664,1.891111111111111,1.5755555555555556
2023-01-03,2.994444444444445,1.9544444444444444,1.6166666666666667
2023-01-04,2.772222222222222,1.7466666666666666,1.4477777777777776
2023-01-05,3.148888888888889,2.0844444444444448,1.77
2023-01-06,3.214444444444444,2.195555555555556,1.8444444444444446
2023-01-07,3.2310000000000003,2.323,1.9780000000000002
2023-01-08,3.3810000000000002,2.471,2.1049999999999995
2023-01-09,3.336,2.407,2.057
2023-01-10,3.496,2.476,2.125
2023-01-11,3.686,2.586,2.2039999999999997
2023-01-12,3.143,2.052,1.734
2023-01-13,2.864,1.888,1.607
2023-01-14,3.2879999999999994,2.331,1.988
2023-01-15,3.4200000000000004,2.4699999999999998,2.112
2023-01-16,3.568,2.528,2.168
2023-01-17,3.195,2.096,1.783
2023-01-18,3.1,1.9579999999999997,1.6510000000000002
2023-01-19,3.1100000000000003,2.118,1.784
2023-01-20,3.3899999999999997,2.447,2.093
2023-01-21,3.505,2.59,2.22
2023-01-22,3.353,2.368,2.0
2023-01-23,3.414,2.4810000000000003,2.1189999999999998
2023-01-24,3.436,2.462,2.11
2023-01-25,3.278888888888889,2.2488888888888887,1.913333333333333
2023-01-26,3.163333333333333,2.211111111111111,1.9144444444444444
2023-01-27,3.3233333333333333,2.352222222222222,2.017777777777778
2023-01-28,3.03,2.1333333333333333,1.8233333333333333
2023-01-29,3.0133333333333336,2.078888888888889,1.7844444444444443
2023-01-30,3.1377777777777776,2.2,1.9000000000000001
2023-01-31,3.63,2.775,2.44625
2023-02-01,3.83875,2.9737500000000003,2.5825
2023-02-02,3.785,2.9699999999999998,2.6
2023-02-03,4.7075,3.85125,3.37125
2023-02-04,4.63625,3.785,3.2275
2023-02-05,3.2225,2.3987499999999997,2.065
2023-02-06,3.2937499999999997,2.3475,2.045
2023-02-07,3.3775,2.4125,2.0525
2023-02-08,3.062222222222222,2.1566666666666667,1.8655555555555554
2023-02-09,2.832222222222222,1.8722222222222225,1.5744444444444445
2023-02-10,2.535555555555556,1.731111111111111,1.47
2023-02-11,2.8744444444444444,2.011111111111111,1.698888888888889
2023-02-12,2.8744444444444444,1.9300000000000002,1.6266666666666667
2023-02-13,3.0533333333333332,2.0744444444444445,1.7722222222222221
2023-02-14,2.8890000000000002,1.941,1.6490000000000002
2023-02-15,2.5469999999999997,1.6560000000000001,1.384
2023-02-16,2.321,1.43,1.188
2023-02-17,3.0989999999999998,2.093,1.8080000000000003
2023-02-18,3.281111111111111,2.3877777777777776,2.032222222222222
2023-02-19,3.018888888888889,2.1655555555555552,1.852222222222222
2023-02-20,2.6733333333333333,1.8066666666666664,1.5477777777777777
