State,Utility,Plan Type,Season,Time Period,Day Type,Time Segments,Source,,,,,,,,,
GA,Georgia Power,EV,Summer,Peak,Weekday,14-19;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Summer,Off-Peak,Weekday,7-14; 19-23;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Summer,Super Off-Peak,Weekday,0-7; 23-24;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Summer,Off-Peak,Weekend,7-23;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Summer,Super Off-Peak,Weekend,0-7; 23-24;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Winter,Off-Peak,Weekday,7-23;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Winter,Super Off-Peak,Weekday,0-7; 23-24;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Winter,Off-Peak,Weekend,7-23;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
GA,Georgia Power,EV,Winter,Super Off-Peak,Weekend,0-7; 23-24;,https://www.georgiapower.com/content/dam/georgia-power/pdfs/electric-service-tariff-pdfs/TOU-PEV-9.pdf,,,,,,,,,
MA,Naitonal Grid,TOU,All,Peak,Weekday,8-21;,https://www.nationalgridus.com/MA-Business/Rates/Service-Rates,,,,,,,,,
MA,National Grid,TOU,All,Off-Peak,Weekday,0-8; 21-24;,https://www.nationalgridus.com/MA-Business/Rates/Service-Rates,,,,,,,,,
MA,National Grid,TOU,All,Off-Peak,Weekend,0-24;,https://www.nationalgridus.com/MA-Business/Rates/Service-Rates,,,,,,,,,
