"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"12/1/2022 12 a.m. EST",11751,11490,9632,-2119
ISNE,"12/1/2022 1 a.m. EST",11700,10790,9690,-2010
ISNE,"12/1/2022 2 a.m. EST",11546,10510,9459,-2087
ISNE,"12/1/2022 3 a.m. EST",11457,10420,9415,-2042
ISNE,"12/1/2022 4 a.m. EST",11557,10520,9511,-2046
ISNE,"12/1/2022 5 a.m. EST",11678,10920,9694,-1984
ISNE,"12/1/2022 6 a.m. EST",12380,11930,10800,-1580
ISNE,"12/1/2022 7 a.m. EST",13468,13530,11840,-1628
ISNE,"12/1/2022 8 a.m. EST",14279,14470,12729,-1550
ISNE,"12/1/2022 9 a.m. EST",13810,13730,12318,-1492
ISNE,"12/1/2022 10 a.m. EST",13026,13010,11550,-1476
ISNE,"12/1/2022 11 a.m. EST",12632,12560,10680,-1952
ISNE,"12/1/2022 12 p.m. EST",12584,12510,10673,-1911
ISNE,"12/1/2022 1 p.m. EST",12889,12770,11181,-1708
ISNE,"12/1/2022 2 p.m. EST",13324,13040,11551,-1773
ISNE,"12/1/2022 3 p.m. EST",13822,13550,11879,-1943
ISNE,"12/1/2022 4 p.m. EST",14640,14420,12866,-1774
ISNE,"12/1/2022 5 p.m. EST",15774,15830,13821,-1953
ISNE,"12/1/2022 6 p.m. EST",16450,16660,14217,-2233
ISNE,"12/1/2022 7 p.m. EST",16278,16460,14239,-2039
ISNE,"12/1/2022 8 p.m. EST",15896,16040,13845,-2051
ISNE,"12/1/2022 9 p.m. EST",15337,15450,13127,-2210
ISNE,"12/1/2022 10 p.m. EST",14507,14660,12288,-2219
ISNE,"12/1/2022 11 p.m. EST",13427,13530,10950,-2477
ISNE,"12/2/2022 12 a.m. EST",12436,12550,9776,-2660
ISNE,"12/2/2022 1 a.m. EST",11860,11830,9186,-2674
ISNE,"12/2/2022 2 a.m. EST",12030,11490,9089,-2941
ISNE,"12/2/2022 3 a.m. EST",11913,11360,8986,-2927
ISNE,"12/2/2022 4 a.m. EST",11926,11400,8852,-3074
ISNE,"12/2/2022 5 a.m. EST",12042,11760,9104,-2938
ISNE,"12/2/2022 6 a.m. EST",12638,12690,10206,-2432
ISNE,"12/2/2022 7 a.m. EST",14100,14180,12213,-1887
ISNE,"12/2/2022 8 a.m. EST",14854,14890,13342,-1512
ISNE,"12/2/2022 9 a.m. EST",14317,14290,12826,-1491
ISNE,"12/2/2022 10 a.m. EST",13214,13340,11547,-1667
ISNE,"12/2/2022 11 a.m. EST",12606,12610,11087,-1519
ISNE,"12/2/2022 12 p.m. EST",12248,12110,10615,-1633
ISNE,"12/2/2022 1 p.m. EST",12479,12020,10959,-1520
ISNE,"12/2/2022 2 p.m. EST",12653,12230,11047,-1606
ISNE,"12/2/2022 3 p.m. EST",13323,12940,11990,-1333
ISNE,"12/2/2022 4 p.m. EST",14089,14010,12719,-1370
ISNE,"12/2/2022 5 p.m. EST",15207,15310,13813,-1394
ISNE,"12/2/2022 6 p.m. EST",15707,16050,14290,-1417
ISNE,"12/2/2022 7 p.m. EST",15420,15810,14128,-1292
