"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"10/1/2022 12 a.m. EDT",10345,10440,10050,-295
ISNE,"10/1/2022 1 a.m. EDT",,9710,,
ISNE,"10/1/2022 2 a.m. EDT",,9320,,
ISNE,"10/1/2022 3 a.m. EDT",9416,9090,8275,-1141
ISNE,"10/1/2022 4 a.m. EDT",9518,9000,8327,-1191
ISNE,"10/1/2022 5 a.m. EDT",9355,9080,8324,-1031
ISNE,"10/1/2022 6 a.m. EDT",9638,9360,8652,-986
ISNE,"10/1/2022 7 a.m. EDT",9895,9940,8927,-968
ISNE,"10/1/2022 8 a.m. EDT",10551,10610,9639,-912
ISNE,"10/1/2022 9 a.m. EDT",11324,11380,10488,-836
ISNE,"10/1/2022 10 a.m. EDT",11813,11850,10802,-1011
ISNE,"10/1/2022 11 a.m. EDT",11926,11980,10694,-1232
ISNE,"10/1/2022 12 p.m. EDT",11807,11930,10328,-1479
ISNE,"10/1/2022 1 p.m. EDT",11600,11890,10302,-1298
ISNE,"10/1/2022 2 p.m. EDT",11434,11870,9934,-1500
ISNE,"10/1/2022 3 p.m. EDT",11396,11800,9906,-1490
ISNE,"10/1/2022 4 p.m. EDT",11408,11870,10255,-1153
ISNE,"10/1/2022 5 p.m. EDT",11732,12100,10512,-1220
ISNE,"10/1/2022 6 p.m. EDT",12332,12600,10837,-1495
ISNE,"10/1/2022 7 p.m. EDT",12770,13250,11136,-1634
ISNE,"10/1/2022 8 p.m. EDT",12716,12910,11159,-1557
ISNE,"10/1/2022 9 p.m. EDT",12229,12360,10582,-1647
ISNE,"10/1/2022 10 p.m. EDT",11592,11720,10281,-1311
ISNE,"10/1/2022 11 p.m. EDT",10851,10990,9850,-1001
ISNE,"10/2/2022 12 a.m. EDT",10109,10250,9230,-879
ISNE,"10/2/2022 1 a.m. EDT",9569,9570,8644,-925
ISNE,"10/2/2022 2 a.m. EDT",9640,9200,8473,-1167
ISNE,"10/2/2022 3 a.m. EDT",9786,8960,8494,-1292
ISNE,"10/2/2022 4 a.m. EDT",9692,8870,8550,-1142
