"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NEVP,"7/1/2022 12 a.m. PDT",5787,5204,4691,-1096
NEVP,"7/1/2022 1 a.m. PDT",5389,5242,4674,-715
NEVP,"7/1/2022 2 a.m. PDT",5101,5012,4518,-583
NEVP,"7/1/2022 3 a.m. PDT",4877,4790,4354,-523
NEVP,"7/1/2022 4 a.m. PDT",4722,4582,4157,-565
NEVP,"7/1/2022 5 a.m. PDT",4624,4482,4016,-608
NEVP,"7/1/2022 6 a.m. PDT",4549,4413,3856,-693
NEVP,"7/1/2022 7 a.m. PDT",4605,4486,3275,-1330
NEVP,"7/1/2022 8 a.m. PDT",4861,4355,3711,-1150
NEVP,"7/1/2022 9 a.m. PDT",5167,4706,3840,-1327
NEVP,"7/1/2022 10 a.m. PDT",5469,5081,3984,-1485
NEVP,"7/1/2022 11 a.m. PDT",5799,5432,4200,-1599
NEVP,"7/1/2022 12 p.m. PDT",6153,5764,4557,-1596
NEVP,"7/1/2022 1 p.m. PDT",6469,6058,5008,-1461
NEVP,"7/1/2022 2 p.m. PDT",6744,6382,5399,-1345
NEVP,"7/1/2022 3 p.m. PDT",7036,6692,5730,-1306
NEVP,"7/1/2022 4 p.m. PDT",7254,6897,5877,-1377
NEVP,"7/1/2022 5 p.m. PDT",7429,6959,5869,-1560
NEVP,"7/1/2022 6 p.m. PDT",7517,7023,5818,-1699
NEVP,"7/1/2022 7 p.m. PDT",7440,6935,5454,-1986
NEVP,"7/1/2022 8 p.m. PDT",7174,6773,4908,-2266
NEVP,"7/1/2022 9 p.m. PDT",6849,6448,4762,-2087
NEVP,"7/1/2022 10 p.m. PDT",6488,6067,4430,-2058
NEVP,"7/1/2022 11 p.m. PDT",6081,5656,4724,-1357
NEVP,"7/2/2022 12 a.m. PDT",5675,5184,4646,-1029
NEVP,"7/2/2022 1 a.m. PDT",5321,4753,4513,-808
NEVP,"7/2/2022 2 a.m. PDT",5034,4502,4182,-852
NEVP,"7/2/2022 3 a.m. PDT",4785,4235,4062,-723
NEVP,"7/2/2022 4 a.m. PDT",4586,4049,4052,-534
NEVP,"7/2/2022 5 a.m. PDT",4445,3898,3967,-478
NEVP,"7/2/2022 6 a.m. PDT",4323,3913,3723,-600
NEVP,"7/2/2022 7 a.m. PDT",4309,3929,3237,-1072
NEVP,"7/2/2022 8 a.m. PDT",4511,4533,3367,-1144
NEVP,"7/2/2022 9 a.m. PDT",4839,4916,3410,-1429
NEVP,"7/2/2022 10 a.m. PDT",5236,5261,3321,-1915
NEVP,"7/2/2022 11 a.m. PDT",5602,5570,3668,-1934
NEVP,"7/2/2022 12 p.m. PDT",6058,5918,3642,-2416
NEVP,"7/2/2022 1 p.m. PDT",6370,6302,4197,-2173
NEVP,"7/2/2022 2 p.m. PDT",6657,6595,4435,-2222
NEVP,"7/2/2022 3 p.m. PDT",6933,6829,4613,-2320
NEVP,"7/2/2022 4 p.m. PDT",7153,7036,4586,-2567
NEVP,"7/2/2022 5 p.m. PDT",7305,7082,5043,-2262
NEVP,"7/2/2022 6 p.m. PDT",7359,7024,5224,-2135
NEVP,"7/2/2022 7 p.m. PDT",7223,6933,5426,-1797
NEVP,"7/2/2022 8 p.m. PDT",6906,6703,4740,-2166
NEVP,"7/2/2022 9 p.m. PDT",6625,6342,4683,-1942
NEVP,"7/2/2022 10 p.m. PDT",6292,5938,4496,-1796
NEVP,"7/2/2022 11 p.m. PDT",5897,5582,4568,-1329
NEVP,"7/3/2022 12 a.m. PDT",5502,5291,4353,-1149
NEVP,"7/3/2022 1 a.m. PDT",5149,5021,4553,-596
NEVP,"7/3/2022 2 a.m. PDT",4848,4698,4172,-676
NEVP,"7/3/2022 3 a.m. PDT",4626,4403,4024,-602
NEVP,"7/3/2022 4 a.m. PDT",4438,4228,3794,-644
NEVP,"7/3/2022 5 a.m. PDT",4314,4114,3683,-631
NEVP,"7/3/2022 6 a.m. PDT",4170,4121,3514,-656
NEVP,"7/3/2022 7 a.m. PDT",4131,4194,3112,-1019
NEVP,"7/3/2022 8 a.m. PDT",4285,4473,3198,-1087
NEVP,"7/3/2022 9 a.m. PDT",4553,4829,3482,-1071
NEVP,"7/3/2022 10 a.m. PDT",4847,5136,3461,-1386
NEVP,"7/3/2022 11 a.m. PDT",5117,5436,3686,-1431
NEVP,"7/3/2022 12 p.m. PDT",5452,5770,3726,-1726
NEVP,"7/3/2022 1 p.m. PDT",5693,6118,3846,-1847
NEVP,"7/3/2022 2 p.m. PDT",5910,6382,4081,-1829
NEVP,"7/3/2022 3 p.m. PDT",6136,6671,4184,-1952
NEVP,"7/3/2022 4 p.m. PDT",6309,6869,4154,-2155
NEVP,"7/3/2022 5 p.m. PDT",6448,6900,4199,-2249
NEVP,"7/3/2022 6 p.m. PDT",6518,6917,4407,-2111
NEVP,"7/3/2022 7 p.m. PDT",6472,6809,4290,-2182
NEVP,"7/3/2022 8 p.m. PDT",6251,6646,3919,-2332
NEVP,"7/3/2022 9 p.m. PDT",6021,6310,3818,-2203
NEVP,"7/3/2022 10 p.m. PDT",5748,5936,3786,-1962
NEVP,"7/3/2022 11 p.m. PDT",5436,5584,4029,-1407
NEVP,"7/4/2022 12 a.m. PDT",5086,5270,4078,-1008
NEVP,"7/4/2022 1 a.m. PDT",4762,4995,4030,-732
NEVP,"7/4/2022 2 a.m. PDT",4517,4674,3873,-644
NEVP,"7/4/2022 3 a.m. PDT",4317,4394,3782,-535
NEVP,"7/4/2022 4 a.m. PDT",4148,4215,3770,-378
NEVP,"7/4/2022 5 a.m. PDT",4059,4106,3783,-276
NEVP,"7/4/2022 6 a.m. PDT",3935,4129,3710,-225
NEVP,"7/4/2022 7 a.m. PDT",3939,4208,2986,-953
NEVP,"7/4/2022 8 a.m. PDT",4105,4510,3188,-917
NEVP,"7/4/2022 9 a.m. PDT",4392,4822,3336,-1056
NEVP,"7/4/2022 10 a.m. PDT",4689,5095,3521,-1168
NEVP,"7/4/2022 11 a.m. PDT",4979,5405,3814,-1165
NEVP,"7/4/2022 12 p.m. PDT",5351,5674,4174,-1177
NEVP,"7/4/2022 1 p.m. PDT",5679,6006,4628,-1051
NEVP,"7/4/2022 2 p.m. PDT",5980,6325,4731,-1249
NEVP,"7/4/2022 3 p.m. PDT",6235,6689,4811,-1424
NEVP,"7/4/2022 4 p.m. PDT",6450,6850,4902,-1548
NEVP,"7/4/2022 5 p.m. PDT",6640,6973,4934,-1706
NEVP,"7/4/2022 6 p.m. PDT",6731,7028,4847,-1884
NEVP,"7/4/2022 7 p.m. PDT",6637,6935,4576,-2061
NEVP,"7/4/2022 8 p.m. PDT",6361,6729,4209,-2152
NEVP,"7/4/2022 9 p.m. PDT",6036,6375,4016,-2020
NEVP,"7/4/2022 10 p.m. PDT",5709,5976,3936,-1773
NEVP,"7/4/2022 11 p.m. PDT",5444,5606,3926,-1518
NEVP,"7/5/2022 12 a.m. PDT",5126,5284,3808,-1318
NEVP,"7/5/2022 1 a.m. PDT",4772,4869,3697,-1075
NEVP,"7/5/2022 2 a.m. PDT",4507,4559,3628,-879
NEVP,"7/5/2022 3 a.m. PDT",4292,4272,3540,-752
NEVP,"7/5/2022 4 a.m. PDT",4140,4113,3493,-647
NEVP,"7/5/2022 5 a.m. PDT",4077,4034,3463,-614
NEVP,"7/5/2022 6 a.m. PDT",4027,4079,3349,-678
NEVP,"7/5/2022 7 a.m. PDT",4075,4199,3273,-802
NEVP,"7/5/2022 8 a.m. PDT",4321,4493,3377,-944
NEVP,"7/5/2022 9 a.m. PDT",4629,4756,3505,-1124
NEVP,"7/5/2022 10 a.m. PDT",4971,5062,3676,-1295
NEVP,"7/5/2022 11 a.m. PDT",5331,5366,3942,-1389
NEVP,"7/5/2022 12 p.m. PDT",5721,5652,4678,-1043
NEVP,"7/5/2022 1 p.m. PDT",6067,5966,4914,-1153
NEVP,"7/5/2022 2 p.m. PDT",6426,6352,5210,-1216
NEVP,"7/5/2022 3 p.m. PDT",6733,6768,5413,-1320
NEVP,"7/5/2022 4 p.m. PDT",7003,7032,5471,-1532
NEVP,"7/5/2022 5 p.m. PDT",7203,7183,5541,-1662
NEVP,"7/5/2022 6 p.m. PDT",7298,7180,5577,-1721
NEVP,"7/5/2022 7 p.m. PDT",7204,7081,5289,-1915
NEVP,"7/5/2022 8 p.m. PDT",6921,6746,4605,-2316
NEVP,"7/5/2022 9 p.m. PDT",6612,6368,4414,-2198
NEVP,"7/5/2022 10 p.m. PDT",6248,5954,4454,-1794
NEVP,"7/5/2022 11 p.m. PDT",5880,5598,4652,-1228
NEVP,"7/6/2022 12 a.m. PDT",5478,5250,4426,-1052
NEVP,"7/6/2022 1 a.m. PDT",5112,4863,4301,-811
NEVP,"7/6/2022 2 a.m. PDT",4845,4641,4114,-731
NEVP,"7/6/2022 3 a.m. PDT",4606,4398,3747,-859
NEVP,"7/6/2022 4 a.m. PDT",4433,4220,3676,-757
NEVP,"7/6/2022 5 a.m. PDT",4338,4098,3666,-672
NEVP,"7/6/2022 6 a.m. PDT",4270,4158,3517,-753
NEVP,"7/6/2022 7 a.m. PDT",4319,4228,3282,-1037
NEVP,"7/6/2022 8 a.m. PDT",4610,4275,3270,-1340
NEVP,"7/6/2022 9 a.m. PDT",4948,4557,3471,-1477
NEVP,"7/6/2022 10 a.m. PDT",5278,4894,3712,-1566
NEVP,"7/6/2022 11 a.m. PDT",5626,5193,3994,-1632
NEVP,"7/6/2022 12 p.m. PDT",5980,5557,4151,-1829
NEVP,"7/6/2022 1 p.m. PDT",6264,5901,4591,-1673
NEVP,"7/6/2022 2 p.m. PDT",6561,6250,4925,-1636
NEVP,"7/6/2022 3 p.m. PDT",6773,6553,5160,-1613
NEVP,"7/6/2022 4 p.m. PDT",6973,6785,5297,-1676
NEVP,"7/6/2022 5 p.m. PDT",7136,6969,5381,-1755
NEVP,"7/6/2022 6 p.m. PDT",7203,7019,5521,-1682
NEVP,"7/6/2022 7 p.m. PDT",7113,6933,5126,-1987
NEVP,"7/6/2022 8 p.m. PDT",6845,6651,4662,-2183
NEVP,"7/6/2022 9 p.m. PDT",6578,6238,4645,-1933
NEVP,"7/6/2022 10 p.m. PDT",6241,5860,4666,-1575
NEVP,"7/6/2022 11 p.m. PDT",5816,5408,4586,-1230
NEVP,"7/7/2022 12 a.m. PDT",5387,5006,4484,-903
NEVP,"7/7/2022 1 a.m. PDT",5033,4776,4254,-779
NEVP,"7/7/2022 2 a.m. PDT",4751,4534,3913,-838
NEVP,"7/7/2022 3 a.m. PDT",4536,4315,3752,-784
NEVP,"7/7/2022 4 a.m. PDT",4395,4138,3695,-700
NEVP,"7/7/2022 5 a.m. PDT",4314,4073,3773,-541
NEVP,"7/7/2022 6 a.m. PDT",4266,3982,3813,-453
