"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"5/1/2022 12 a.m. EDT",10150,10090,8685,-1465
ISNE,"5/1/2022 1 a.m. EDT",9624,9610,7828,-1796
ISNE,"5/1/2022 2 a.m. EDT",9303,9300,7445,-1858
ISNE,"5/1/2022 3 a.m. EDT",9144,9140,7313,-1831
ISNE,"5/1/2022 4 a.m. EDT",9110,9110,7263,-1847
ISNE,"5/1/2022 5 a.m. EDT",9204,9210,7287,-1917
ISNE,"5/1/2022 6 a.m. EDT",9447,9450,7510,-1937
ISNE,"5/1/2022 7 a.m. EDT",9643,9640,7611,-2032
ISNE,"5/1/2022 8 a.m. EDT",9456,9450,7776,-1680
ISNE,"5/1/2022 9 a.m. EDT",8939,8920,7437,-1502
ISNE,"5/1/2022 10 a.m. EDT",8396,8360,7181,-1215
ISNE,"5/1/2022 11 a.m. EDT",8393,7630,7275,-1118
ISNE,"5/1/2022 12 p.m. EDT",8355,7340,7309,-1046
ISNE,"5/1/2022 1 p.m. EDT",8240,7230,7261,-979
ISNE,"5/1/2022 2 p.m. EDT",8156,7310,7029,-1127
ISNE,"5/1/2022 3 p.m. EDT",8272,7470,7120,-1152
ISNE,"5/1/2022 4 p.m. EDT",8941,7980,7844,-1097
ISNE,"5/1/2022 5 p.m. EDT",9395,9080,8293,-1102
ISNE,"5/1/2022 6 p.m. EDT",10540,10520,9251,-1289
ISNE,"5/1/2022 7 p.m. EDT",11609,11510,9845,-1764
ISNE,"5/1/2022 8 p.m. EDT",12111,11970,10050,-2061
ISNE,"5/1/2022 9 p.m. EDT",12267,12130,10056,-2211
ISNE,"5/1/2022 10 p.m. EDT",11593,11540,9406,-2187
ISNE,"5/1/2022 11 p.m. EDT",10644,10630,8751,-1893
ISNE,"5/2/2022 12 a.m. EDT",9772,9850,8030,-1742
ISNE,"5/2/2022 1 a.m. EDT",9393,9220,7788,-1605
ISNE,"5/2/2022 2 a.m. EDT",9517,8930,7798,-1719
ISNE,"5/2/2022 3 a.m. EDT",9615,8840,7753,-1862
ISNE,"5/2/2022 4 a.m. EDT",9706,8850,7858,-1848
ISNE,"5/2/2022 5 a.m. EDT",9755,9180,7984,-1771
ISNE,"5/2/2022 6 a.m. EDT",10115,10050,8522,-1593
ISNE,"5/2/2022 7 a.m. EDT",11142,11220,9737,-1405
ISNE,"5/2/2022 8 a.m. EDT",11862,11940,10424,-1438
ISNE,"5/2/2022 9 a.m. EDT",12014,11920,10363,-1651
ISNE,"5/2/2022 10 a.m. EDT",12058,11980,10478,-1580
ISNE,"5/2/2022 11 a.m. EDT",12133,11890,10322,-1811
ISNE,"5/2/2022 12 p.m. EDT",12072,11980,10260,-1812
ISNE,"5/2/2022 1 p.m. EDT",12203,12010,10396,-1807
ISNE,"5/2/2022 2 p.m. EDT",12419,12160,10744,-1675
ISNE,"5/2/2022 3 p.m. EDT",12370,12170,10526,-1844
ISNE,"5/2/2022 4 p.m. EDT",12444,12400,10469,-1975
ISNE,"5/2/2022 5 p.m. EDT",12799,12690,10921,-1878
ISNE,"5/2/2022 6 p.m. EDT",13358,13190,11497,-1861
ISNE,"5/2/2022 7 p.m. EDT",13577,13330,11372,-2205
ISNE,"5/2/2022 8 p.m. EDT",13520,13350,11231,-2289
ISNE,"5/2/2022 9 p.m. EDT",13247,13110,11148,-2099
ISNE,"5/2/2022 10 p.m. EDT",12400,12310,10360,-2040
ISNE,"5/2/2022 11 p.m. EDT",11337,11210,9392,-1945
ISNE,"5/3/2022 12 a.m. EDT",10670,10240,8554,-2116
ISNE,"5/3/2022 1 a.m. EDT",10409,9640,8068,-2341
ISNE,"5/3/2022 2 a.m. EDT",10295,9310,7873,-2422
ISNE,"5/3/2022 3 a.m. EDT",10144,9140,7790,-2354
ISNE,"5/3/2022 4 a.m. EDT",10126,9300,7807,-2319
ISNE,"5/3/2022 5 a.m. EDT",10137,9570,7860,-2277
ISNE,"5/3/2022 6 a.m. EDT",10680,10330,8570,-2110
ISNE,"5/3/2022 7 a.m. EDT",11630,11550,9848,-1782
ISNE,"5/3/2022 8 a.m. EDT",12521,12440,10683,-1838
ISNE,"5/3/2022 9 a.m. EDT",12707,12650,10636,-2071
ISNE,"5/3/2022 10 a.m. EDT",12582,12540,10234,-2348
ISNE,"5/3/2022 11 a.m. EDT",12319,12330,9939,-2380
ISNE,"5/3/2022 12 p.m. EDT",12214,12050,9888,-2326
ISNE,"5/3/2022 1 p.m. EDT",12054,11670,10074,-1980
