"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"7/4/2022 3 p.m. EDT",13284,13340,12485,-799
ISNE,"7/4/2022 4 p.m. EDT",13919,14250,12805,-1114
ISNE,"7/4/2022 5 p.m. EDT",14793,15560,13610,-1183
ISNE,"7/4/2022 6 p.m. EDT",15785,16300,14536,-1249
ISNE,"7/4/2022 7 p.m. EDT",16348,16530,15127,-1221
ISNE,"7/4/2022 8 p.m. EDT",16150,16070,14919,-1231
ISNE,"7/4/2022 9 p.m. EDT",15624,15530,14291,-1333
ISNE,"7/4/2022 10 p.m. EDT",14980,14820,13562,-1418
ISNE,"7/4/2022 11 p.m. EDT",14002,13940,12524,-1478
ISNE,"7/5/2022 12 a.m. EDT",12929,12790,11689,-1240
ISNE,"7/5/2022 1 a.m. EDT",12023,12020,10605,-1418
ISNE,"7/5/2022 2 a.m. EDT",11882,11360,10220,-1662
ISNE,"7/5/2022 3 a.m. EDT",11461,10920,9774,-1687
ISNE,"7/5/2022 4 a.m. EDT",11484,10690,9601,-1883
ISNE,"7/5/2022 5 a.m. EDT",11573,10800,9671,-1902
ISNE,"7/5/2022 6 a.m. EDT",11782,11260,10103,-1679
ISNE,"7/5/2022 7 a.m. EDT",12315,12150,10533,-1782
ISNE,"7/5/2022 8 a.m. EDT",12999,13060,11533,-1466
ISNE,"7/5/2022 9 a.m. EDT",13705,13760,12465,-1240
ISNE,"7/5/2022 10 a.m. EDT",14189,14240,13164,-1025
ISNE,"7/5/2022 11 a.m. EDT",14812,14860,13699,-1113
ISNE,"7/5/2022 12 p.m. EDT",15482,15510,14520,-962
ISNE,"7/5/2022 1 p.m. EDT",15873,15910,14933,-940
ISNE,"7/5/2022 2 p.m. EDT",16070,16110,15024,-1046
ISNE,"7/5/2022 3 p.m. EDT",16013,16050,15128,-885
ISNE,"7/5/2022 4 p.m. EDT",16058,16100,15028,-1030
ISNE,"7/5/2022 5 p.m. EDT",16007,16000,15008,-999
ISNE,"7/5/2022 6 p.m. EDT",16263,16230,15275,-988
ISNE,"7/5/2022 7 p.m. EDT",16309,16220,15352,-957
ISNE,"7/5/2022 8 p.m. EDT",16082,16170,15054,-1028
ISNE,"7/5/2022 9 p.m. EDT",15746,15790,14760,-986
ISNE,"7/5/2022 10 p.m. EDT",15137,15480,13968,-1169
ISNE,"7/5/2022 11 p.m. EDT",14067,14500,12845,-1222
ISNE,"7/6/2022 12 a.m. EDT",13251,13500,12033,-1218
ISNE,"7/6/2022 1 a.m. EDT",12462,12230,11389,-1073
ISNE,"7/6/2022 2 a.m. EDT",12526,11760,11133,-1393
ISNE,"7/6/2022 3 a.m. EDT",12300,11500,10833,-1467
ISNE,"7/6/2022 4 a.m. EDT",12235,11440,10787,-1448
ISNE,"7/6/2022 5 a.m. EDT",12438,11690,10975,-1463
ISNE,"7/6/2022 6 a.m. EDT",12701,12280,11266,-1435
ISNE,"7/6/2022 7 a.m. EDT",13226,13310,11922,-1304
ISNE,"7/6/2022 8 a.m. EDT",14319,14390,13052,-1267
ISNE,"7/6/2022 9 a.m. EDT",15084,15140,13796,-1288
ISNE,"7/6/2022 10 a.m. EDT",15575,15620,14450,-1125
ISNE,"7/6/2022 11 a.m. EDT",15748,15770,14557,-1191
ISNE,"7/6/2022 12 p.m. EDT",15961,15970,14913,-1048
ISNE,"7/6/2022 1 p.m. EDT",16025,16060,14916,-1109
ISNE,"7/6/2022 2 p.m. EDT",16190,16250,14944,-1246
ISNE,"7/6/2022 3 p.m. EDT",16342,16420,15119,-1223
ISNE,"7/6/2022 4 p.m. EDT",16710,16780,15502,-1208
ISNE,"7/6/2022 5 p.m. EDT",17170,17280,16450,-720
ISNE,"7/6/2022 6 p.m. EDT",17837,18010,17156,-681
ISNE,"7/6/2022 7 p.m. EDT",18140,18570,17187,-953
ISNE,"7/6/2022 8 p.m. EDT",17931,18080,16620,-1311
ISNE,"7/6/2022 9 p.m. EDT",17260,17590,15940,-1320
ISNE,"7/6/2022 10 p.m. EDT",16449,16770,14983,-1466
ISNE,"7/6/2022 11 p.m. EDT",15014,15360,13516,-1498
ISNE,"7/7/2022 12 a.m. EDT",13571,13860,12496,-1075
ISNE,"7/7/2022 1 a.m. EDT",12513,12510,11196,-1317
ISNE,"7/7/2022 2 a.m. EDT",12074,11770,10974,-1100
ISNE,"7/7/2022 3 a.m. EDT",11577,11290,10420,-1157
ISNE,"7/7/2022 4 a.m. EDT",11292,11000,10214,-1078
ISNE,"7/7/2022 5 a.m. EDT",11321,11050,10244,-1077
ISNE,"7/7/2022 6 a.m. EDT",11691,11430,10660,-1031
ISNE,"7/7/2022 7 a.m. EDT",12402,12310,11343,-1059
ISNE,"7/7/2022 8 a.m. EDT",12964,13030,11863,-1101
ISNE,"7/7/2022 9 a.m. EDT",13182,13220,12111,-1071
ISNE,"7/7/2022 10 a.m. EDT",13215,13250,12568,-647
ISNE,"7/7/2022 11 a.m. EDT",13399,13550,12794,-605
ISNE,"7/7/2022 12 p.m. EDT",14006,14100,13288,-718
ISNE,"7/7/2022 1 p.m. EDT",14635,14570,13937,-698
ISNE,"7/7/2022 2 p.m. EDT",15127,14930,14488,-639
ISNE,"7/7/2022 3 p.m. EDT",15441,15270,14654,-787
ISNE,"7/7/2022 4 p.m. EDT",15900,15770,15065,-835
ISNE,"7/7/2022 5 p.m. EDT",16523,16480,15772,-751
ISNE,"7/7/2022 6 p.m. EDT",17187,17170,16017,-1170
ISNE,"7/7/2022 7 p.m. EDT",17385,17420,16249,-1136
ISNE,"7/7/2022 8 p.m. EDT",17036,17030,15553,-1483
ISNE,"7/7/2022 9 p.m. EDT",16492,16550,14926,-1566
ISNE,"7/7/2022 10 p.m. EDT",15847,15900,14484,-1363
ISNE,"7/7/2022 11 p.m. EDT",14566,14630,13090,-1476
ISNE,"7/8/2022 12 a.m. EDT",13305,13360,11572,-1733
ISNE,"7/8/2022 1 a.m. EDT",12653,12300,10747,-1906
ISNE,"7/8/2022 2 a.m. EDT",12449,11610,10428,-2021
ISNE,"7/8/2022 3 a.m. EDT",12271,11200,10235,-2036
ISNE,"7/8/2022 4 a.m. EDT",12038,10970,10211,-1827
ISNE,"7/8/2022 5 a.m. EDT",12101,11060,10244,-1857
ISNE,"7/8/2022 6 a.m. EDT",12235,11470,10340,-1895
ISNE,"7/8/2022 7 a.m. EDT",12692,12270,10765,-1927
ISNE,"7/8/2022 8 a.m. EDT",13147,13080,11249,-1898
ISNE,"7/8/2022 9 a.m. EDT",13595,13440,11929,-1666
ISNE,"7/8/2022 10 a.m. EDT",13774,13500,12426,-1348
ISNE,"7/8/2022 11 a.m. EDT",13960,14100,12951,-1009
ISNE,"7/8/2022 12 p.m. EDT",14478,14760,13455,-1023
ISNE,"7/8/2022 1 p.m. EDT",14994,15080,14008,-986
ISNE,"7/8/2022 2 p.m. EDT",15866,15940,14801,-1065
ISNE,"7/8/2022 3 p.m. EDT",16496,16470,15322,-1174
ISNE,"7/8/2022 4 p.m. EDT",16977,17020,15632,-1345
ISNE,"7/8/2022 5 p.m. EDT",17607,17590,16052,-1555
ISNE,"7/8/2022 6 p.m. EDT",18137,18450,16374,-1763
ISNE,"7/8/2022 7 p.m. EDT",18229,18440,16759,-1470
ISNE,"7/8/2022 8 p.m. EDT",17920,17950,16266,-1654
ISNE,"7/8/2022 9 p.m. EDT",17546,17410,15485,-2061
ISNE,"7/8/2022 10 p.m. EDT",16920,16710,14796,-2124
ISNE,"7/8/2022 11 p.m. EDT",15776,15540,13670,-2106
ISNE,"7/9/2022 12 a.m. EDT",14552,14270,12776,-1776
